0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23263 21635	6	 * 	292.73	DCR|4VULN|2DMG|3ASPD|2CDMG|1DUR	19CDMG|235ASPD|4589VULN|59BPWR|6RCR|79DMG|aDUR
52	32134 31615	9	   	266.90	DCR|3VULN|3DMG|1DUR|1CDMG|1AART	156DMG|2DUR|3ERES|456VULN|56BPWR|7LHND|8RCR|9CDMG|aAART
53	32134 31635	8	   	266.90	DCR|3VULN|3DMG|1DUR|1CDMG|1AART	156DMG|2DUR|3ERES|456VULN|56BPWR|7LHND|8RCR|9AART|aCDMG
54	32134 36315	9	   	266.90	DCR|3VULN|3DMG|1DUR|1CDMG|1AART	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9CDMG|aAART
55	32134 51225	9	   	266.85	DCR|4VULN|2DMG|1DUR|1AART	15DMG|2DUR|3ERES|4569VULN|5BPWR|7AART|8LIT|aRCR
56	23631 31135	7	 * 	266.53	DCR|3VULN|3DUR|1DMG|2CDMG	19CDMG|2ASPD|349VULN|5DMG|6FEWX|79aDUR|8RCR|9BPWR
57	23631 36135	6	   	266.53	DCR|3VULN|3DUR|1DMG|2CDMG	19CDMG|2ASPD|349VULN|5DMG|6FEWX|79aDUR|8RCR|9BPWR
58	23631 61135	7	   	266.53	DCR|3VULN|3DUR|1DMG|2CDMG	19CDMG|2ASPD|349VULN|5DMG|6LWND|79aDUR|8RCR|9BPWR
59	32134 31633	10	   	266.48	DCR|3VULN|3DMG|2DUR	156DMG|29DUR|3ERES|456VULN|56BPWR|7LHND|8RCR|aLIT
60	32134 36333	10	   	266.48	DCR|3VULN|3DMG|2DUR	156DMG|29DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|aLIT
61	23631 36135	5	   	266.43	DCR|3VULN|3DUR|1DMG|2CDMG	19CDMG|2ASPD|349VULN|5DMG|6DUST|79aDUR|8RCR|9BPWR
62	32134 31614	10	   	265.55	DCR|3VULN|3DMG|1DUR|1CDMG	156DMG|2DUR|3ERES|456VULN|56BPWR|7LHND|8RCR|9CDMG|aASPD
63	32134 36314	10	   	265.55	DCR|3VULN|3DMG|1DUR|1CDMG	156DMG|2DUR|3ERES|456VULN|56BPWR|7BEXP|8RCR|9CDMG|aASPD
64	32211 43355	8	   	265.51	DCR|3VULN|3DUR|2DMG|1AART	19DMG|235DUR|49BEXP|679VULN|8RCR|9BPWR|aAART
65	32331 11636	9	 * 	265.44	ACR|3VULN|3DMG|3DUR|1AART|1SELL	19aDMG|29aDUR|3LIT|4RCR|5SELL|6ASPD|79aVULN|8AART|9aBPWR
66	31237 14646	4	   	265.41	DCR|3VULN|3DUR|2DMG|1AART	19DMG|2BEXP|379DUR|4MBVNT|5AART|689VULN|9BPWR|aRCR
67	23261 26123	6	   	265.33	DCR|3VULN|2DMG|2CDMG|2AART|2ASPD	19CDMG|23ASPD|469VULN|59DMG|78AART|9BPWR|aRCR
68	23625 35123	5	   	265.33	DCR|3VULN|2DMG|2CDMG|2AART|2ASPD	19CDMG|27ASPD|369VULN|48AART|59DMG|9BPWR|aRCR
69	23631 15123	5	   	265.33	DCR|3VULN|2DMG|2CDMG|2AART|2ASPD	19CDMG|27ASPD|349VULN|59DMG|68AART|9BPWR|aRCR
70	31134 26132	6	   	265.06	DCR|2VULN|3DMG|1TLV|2CDMG|1DUR	159DMG|2BEXP|39ERES|45VULN|59BPWR|6DUR|79CDMG|8RCR|aTLV
71	23263 23636	7	 * 	264.83	DCR|4VULN|1TLV|3ASPD|2CDMG	19CDMG|235ASPD|4589VULN|59BPWR|6RCR|79ERES|aTLV
72	23631 23411	7	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	17CDMG|2ASPD|346VULN|5DMG|8DUR|9TLV|aRCR
73	23631 26311	7	   	264.72	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	18CDMG|2ASPD|346VULN|5DMG|7DUR|9TLV|aRCR
74	32235 65311	4	   	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1DMG|23DUR|4CDMG|567VULN|8ZMB|9TLV|aRCR
75	32134 31612	8	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7LHND|8RCR|aCGEN
76	32134 31615	8	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7LHND|8RCR|aBELT
77	32134 31623	10	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7LHND|8RCR|9ZMB
78	32134 36312	8	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7BEXP|8RCR|aCGEN
79	32134 36315	8	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7BEXP|8RCR|aRCVC
80	32134 36316	8	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7BEXP|8RCR|aLWND
81	32134 36323	10	   	264.64	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BEXP|8RCR|9ZMB
82	32134 31611	8	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7LHND|8RCR|aBBNT
83	32134 31613	8	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3aERES|4569VULN|56BPWR|7LHND|8RCR
84	32134 31616	8	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7LHND|8RCR|aMBVNT
85	32134 31642	10	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7LHND|8RCR|9DUST
86	32134 36311	8	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|4569VULN|56BPWR|7BEXP|8RCR|aBBNT
87	32134 36313	8	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3aERES|4569VULN|56BPWR|7BEXP|8RCR
88	32134 36336	8	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BEXP|8RCR|9BBNT
89	32134 36342	10	   	264.54	DCR|4VULN|3DMG|1DUR	156DMG|2DUR|3ERES|456aVULN|56BPWR|7BEXP|8RCR|9DUST
90	21311 16134	2	 * 	264.46	DCR|3VULN|3DUR|3CDMG|1DMG	169CDMG|2aCGEN|39aVULN|4DMG|5FEWX|79aDUR|8RCR|9aBPWR
91	21611 16134	3	   	264.46	DCR|3VULN|3DUR|3CDMG|1DMG	169CDMG|2aCGEN|39aVULN|4DMG|5FEWX|79aDUR|8RCR|9aBPWR
92	23323 81884	2	   	264.37	DCR|2VULN|2DUR|1TLV|1DMG|2CDMG|1AART	19CDMG|2ASPD|39VULN|4MBVNT|5TLV|6DMG|79DUR|8AART|9BPWR|aRCR
93	32134 36611	6	   	264.30	DCR|4VULN|3DMG|1DUR|1SELL	156DMG|2DUR|3ERES|4568VULN|56BPWR|7SELL|9TBNT|aRCR
94	21311 16134	1	   	264.26	DCR|3VULN|3DUR|3CDMG|1DMG	169CDMG|2aERES|39aVULN|4DMG|5FEWX|79aDUR|8RCR|9aBPWR
95	32211 43342	10	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|235DUR|4BEXP|67aVULN|8RCR|9TLV
96	22233 11535	7	 * 	264.26	DCR|3VULN|3DUR|1TLV|2CDMG	18CDMG|289VULN|3FEWX|4ERES|568DUR|7RCR|8BPWR|aTLV
97	32251 43342	10	   	264.16	DCR|3VULN|3DUR|1TLV|1DMG	1DMG|235DUR|4DUST|67aVULN|8RCR|9TLV
98	21311 45136	1	   	263.99	DCR|2VULN|2DMG|2DUR|1TLV|2CDMG	19CDMG|2ERES|39VULN|47DMG|5FEWX|69DUR|8RCR|9BPWR|aTLV
99	23656 13211	8	   	263.95	DCR|4VULN|2DUR|2CDMG|1AART	1aCDMG|2ASPD|368aVULN|4BELT|5aDUR|7RCR|9AART|aBPWR
100	23356 13211	8	   	263.95	DCR|4VULN|2DUR|2CDMG|1AART	1aCDMG|2ASPD|3aDUR|4BELT|568aVULN|7RCR|9AART|aBPWR
