0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42113 13553	3	 * 	280.80	DCR|5VULN|2DMG|2CDMG|1AART	1RPLT|23469VULN|59CDMG|7RCR|89DMG|9BPWR|aAART
34	42124 13362	3	   	255.69	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1RPLT|238VULN|48LIT|5LWND|6TLV|78DUR|8BPWR|9AART|aRCR
35	42126 13362	3	   	255.69	DCR|3VULN|2DUR|1TLV|2LIT|1AART	1RPLT|238VULN|48LIT|5LHND|6TLV|78DUR|8BPWR|9AART|aRCR
36	42113 16353	4	   	255.65	DCR|3VULN|3DUR|2DMG	1RPLT|239VULN|4ERES|59DMG|69aDUR|7RCR|8BBNT|9BPWR
37	42353 31232	6	   	255.63	DCR|3VULN|2DUR|1TLV|2ASPD	1RPLT|25aVULN|3LWND|4aASPD|6LIT|7RCR|8TLV|9aDUR|aBPWR
38	42521 31212	2	   	255.59	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1RPLT|2aVULN|3AART|4DUR|5aDMG|6LIT|7CGEN|8aTLV|9RCR|aBPWR
39	42122 13542	6	   	255.53	DCR|3VULN|2DUR|1TLV|2ASPD	1RPLT|23aVULN|4TLV|5aASPD|6LIT|7DUST|8RCR|9aDUR|aBPWR
40	42521 35212	2	   	255.49	DCR|2VULN|2DMG|2TLV|1DUR|1AART	1RPLT|2aVULN|3AART|4DUR|5aDMG|6LIT|7ERES|8aTLV|9RCR|aBPWR
41	11311 11615	9	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2DUR|3AART|4TLV|5789VULN|6LIT|aRCR
42	11312 21615	9	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2DUR|3AART|4TLV|5LIT|6789VULN|aRCR
43	11362 21615	9	   	255.41	DCR|4VULN|1TLV|1DUR|1AART	1RCVC|2DUR|3AART|4LIT|5TLV|6789VULN|aRCR
44	42113 13531	3	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2346VULN|5CDMG|7RCR|8DMG|9DMSP|aTLV
45	42163 13531	4	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1RPLT|2346VULN|5CDMG|7RCR|8DMG|9DMSP|aTLV
46	24132 11562	2	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1LHND|2ASPD|3DMG|489VULN|5DUR|6LIT|7TLV|aRCR
47	42323 31366	6	   	253.00	DCR|3VULN|2TLV|1DMG|2LIT|1AART	1RPLT|258VULN|3LWND|48TLV|68LIT|7RCR|8BPWR|9AART|aDMG
48	42321 62242	4	 * 	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|267VULN|3LWND|47TLV|579DUR|7BPWR|8FEWX|aRCR
49	42323 22242	6	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3LWND|47TLV|679DUR|7BPWR|8FEWX|aRCR
50	42623 22142	6	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3LHND|47TLV|679DUR|7BPWR|8LWND|aRCR
51	42623 22242	6	   	252.48	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3LHND|47TLV|679DUR|7BPWR|8FEWX|aRCR
52	42321 62342	4	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|267VULN|3LWND|47TLV|579DUR|7BPWR|8DUST|aRCR
53	42323 22342	6	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3LWND|47TLV|679DUR|7BPWR|8DUST|aRCR
54	42521 62222	4	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|267VULN|3DUST|47TLV|579DUR|7BPWR|8FEWX|aRCR
55	42523 22142	6	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3DUST|47TLV|679DUR|7BPWR|8LWND|aRCR
56	42523 22222	6	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3DUST|47TLV|679DUR|7BPWR|8FEWX|aRCR
57	42523 22342	6	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3DUST|47TLV|679DUR|7BPWR|8LHND|aRCR
58	42523 22422	6	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3DUST|47TLV|678DUR|7BPWR|9LHND|aRCR
59	42523 22432	6	   	252.38	DCR|3VULN|3DUR|2TLV	1RPLT|257VULN|3DUST|47TLV|678DUR|7BPWR|9BEXP|aRCR
60	11553 32632	4	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|27DUR|3MLV|4LEGI|57DMG|67VULN|7BPWR|8TLV|9LIT|aRCR
61	36612 12531	10	   	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1FEWX|29DMG|3LIT|4RPLT|5TLV|69VULN|7ERES|89DUR|9BPWR|aRCR
62	12324 24411	2	   	252.08	DCR|3VULN|2DMG|2DUR|1AART	1RCVC|2AART|378VULN|48DUR|5BBNT|68DMG|8BPWR|9RCR|aTBNT
63	42123 22316	6	   	252.02	DCR|4VULN|2DUR|1TLV	1RPLT|237aVULN|4TLV|57DUST|67DUR|7BPWR|8LHND|9RCR
64	43223 21126	10	 * 	251.70	ACR|5VULN|3DUR|1TLV	1RPLT|2RCR|3579aVULN|4TLV|69aDUR|89aMLV|9aBPWR
65	43223 23426	10	   	251.70	ACR|5VULN|3DUR|1TLV	1RPLT|2RCR|3589aVULN|4TLV|69aDUR|79aCGEN|9aBPWR
66	43223 15326	10	   	251.70	ACR|5VULN|3DUR|1TLV	1RPLT|2RCR|3579aVULN|4TLV|69aCGEN|89aDUR|9aBPWR
67	43223 21226	10	   	251.40	ACR|5VULN|3DUR|1TLV	1RPLT|2RCR|3579aVULN|4TLV|69aDUR|89aERES|9aBPWR
68	42124 12114	4	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUR|67FEWX|7BPWR|8LWND|9RCR|aDMG
69	42124 22214	4	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUR|67LWND|7BPWR|8FEWX|9RCR|aDMG
70	14263 32332	2	   	251.24	DCR|2VULN|2TLV|2DUR|1DMG	1RCVC|27TLV|37DUR|4LHND|5DMG|67VULN|7BPWR|8ASPD|9LIT|aRCR
71	42124 12314	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUR|67FEWX|7BPWR|8DUST|9RCR|aDMG
72	42124 22314	4	   	251.14	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUR|67LWND|7BPWR|8DUST|9RCR|aDMG
73	42123 13236	4	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|23aVULN|4TLV|5DMG|67DUR|8MLV|9RCR
74	42123 22114	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUST|67DUR|7BPWR|8LWND|9RCR|aDMG
75	42123 22214	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUST|67DUR|7BPWR|8FEWX|9RCR|aDMG
76	42123 22314	6	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RPLT|237VULN|4TLV|57DUST|67DUR|7BPWR|8LHND|9RCR|aDMG
77	42121 33542	3	   	250.83	DCR|3VULN|2DMG|2DUR	1RPLT|23aVULN|4LIT|5aDMG|6CGEN|7DUST|8RCR|9aDUR|aBPWR
