0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33233 62334	10	 * 	305.30	DCR|4VULN|3DMG|3DUR	18aDUR|2LHND|348aVULN|58aDMG|6RPLT|7DMSP|8aBPWR|9RCR
30	45213 11353	2	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178VULN|2SELL|3CGEN|478DMG|578DUR|6TBNT|78BPWR|9RPLT|aRCR
31	35222 11353	5	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178DUR|2SELL|3CGEN|478VULN|578DMG|6TBNT|78BPWR|9RPLT|aRCR
32	44232 11353	3	   	282.32	DCR|3VULN|3DMG|3DUR|1SELL	178VULN|278DMG|378DUR|4SELL|5RMIN|6TBNT|78BPWR|9RPLT|aRCR
33	31324 11256	5	   	281.00	DCR|5VULN|3DUR	179DUR|29FEWX|35689VULN|4AART|9BPWR|aRCR
34	52223 11256	5	   	281.00	DCR|5VULN|3DUR	19BEXP|279DUR|35689VULN|4AART|9BPWR|aRCR
35	46632 11322	5	   	280.76	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278CDMG|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aZMB
36	46632 11323	5	   	280.76	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278CDMG|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aBEXP
37	61552 11321	5	   	280.76	DCR|3VULN|3DMG|3CDMG|1TLV	178CDMG|278VULN|3BEXP|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aTLV
38	61632 11322	5	   	280.76	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aZMB
39	61632 11323	5	   	280.76	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aBEXP
40	61632 11325	5	   	280.76	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aRCVC
41	46312 11322	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278CDMG|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aZMB
42	46312 11323	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278CDMG|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aBEXP
43	46312 11325	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278CDMG|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aRCVC
44	46332 11321	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	178VULN|278CDMG|3ERES|4BEXP|578DMG|6TBNT|78BPWR|9RCR|aTLV
45	46332 11325	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278CDMG|3ERES|4BEXP|578DMG|6TBNT|78BPWR|9RCR|aDUR
46	61312 11322	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aZMB
47	61312 11323	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aBEXP
48	61312 11325	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aRCVC
49	61332 11321	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1TLV	178CDMG|278VULN|3ERES|4BEXP|578DMG|6TBNT|78BPWR|9RCR|aTLV
50	61332 11325	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR	178CDMG|278VULN|3ERES|4BEXP|578DMG|6TBNT|78BPWR|9RCR|aDUR
51	61632 11324	5	   	280.66	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	178CDMG|278VULN|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aNUKE
52	46312 11324	5	   	280.56	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	178VULN|278CDMG|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aNUKE
53	61312 11324	5	   	280.56	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	178CDMG|278VULN|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aNUKE
54	62242 11362	5	   	280.56	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	178CDMG|2DUST|378VULN|478DMG|5NUKE|6TBNT|78BPWR|9DUR|aRCR
55	63242 11322	5	   	280.56	DCR|3VULN|3DMG|3CDMG|1DUR|1NUKE	178CDMG|2DUR|378VULN|478DMG|5NUKE|6TBNT|78BPWR|9DUST|aRCR
56	61632 11326	5	   	280.51	DCR|3VULN|3DMG|3CDMG|1DUR|1SELL	178CDMG|278VULN|3DUR|4CGEN|578DMG|6TBNT|78BPWR|9RCR|aSELL
57	46312 11326	5	   	280.41	DCR|3VULN|3DMG|3CDMG|1DUR|1SELL	178VULN|278CDMG|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aSELL
58	61312 11326	5	   	280.41	DCR|3VULN|3DMG|3CDMG|1DUR|1SELL	178CDMG|278VULN|3ERES|4DUR|578DMG|6TBNT|78BPWR|9RCR|aSELL
59	33233 61354	8	   	280.24	DCR|3VULN|3DMG|2DUR|1ASPD	18DUR|2LHND|348VULN|578DMG|6RPLT|8BPWR|9ASPD|aRCR
60	46262 11332	8	   	280.23	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	139VULN|29CDMG|456DUR|79LIT|8RCR|9BPWR|aTLV
61	46262 13232	7	   	280.23	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	139VULN|29CDMG|456DUR|7RCR|89LIT|9BPWR|aTLV
62	61262 11332	8	   	280.23	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	19CDMG|239VULN|456DUR|79LIT|8RCR|9BPWR|aTLV
63	61262 13232	7	   	280.23	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	19CDMG|239VULN|456DUR|7RCR|89LIT|9BPWR|aTLV
64	61262 52232	6	   	280.23	DCR|3VULN|3DUR|2CDMG|1TLV|2LIT	19CDMG|239VULN|457DUR|6RCR|89LIT|9BPWR|aTLV
65	45133 36231	9	   	280.07	DCR|4VULN|2DMG|2CDMG|2LIT|1SELL	146aVULN|2SELL|34CDMG|4aBPWR|5aLIT|7RMIN|8aDMG|9RCR
66	33232 63336	10	   	279.33	DCR|5VULN|2DUR|2ASPD	18DUR|2LHND|3478aVULN|58ASPD|6RPLT|8BPWR|9RCR
67	33232 63336	9	   	279.33	DCR|5VULN|2DUR|2ASPD	18DUR|2LHND|3478aVULN|58ASPD|6RPLT|8BPWR|9RCR
68	34316 22432	3	   	278.24	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	19DUR|29DMG|3BELT|4RPLT|5CDMG|6ASPD|79aVULN|8RCR|9BPWR
69	42223 62334	10	   	277.49	DCR|4VULN|3DMG|1DUR	138aVULN|2DUR|48aLWND|58aDMG|6RPLT|7DMSP|8aBPWR|9RCR
70	32366 21384	6	 * 	276.37	DCR|3VULN|3DUR|3CDMG|2ASPD	124DUR|37aCDMG|57aVULN|6MBVNT|7aBPWR|8aASPD|9RCR
71	33233 62336	9	   	276.22	DCR|4VULN|2DMG|2DUR	18DUR|2LHND|348aVULN|58DMG|6RPLT|7DMSP|8BPWR|9RCR
72	33233 62336	10	   	276.22	DCR|4VULN|2DMG|2DUR	18DUR|2LHND|348aVULN|58DMG|6RPLT|7DMSP|8BPWR|9RCR
