0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32413 61531	7	 * 	271.30	DCR|5VULN|3DUR|1SELL	178ZMB|2BEXP|3789aVULN|4SELL|578DUR|6RCR|78BPWR
16	25224 22421	6	 * 	254.45	DCR|3VULN|3DMG|1TLV	14BEXP|237VULN|589DMG|6RCR|aTLV
17	25226 22116	6	   	254.33	DCR|5VULN|1TLV|1ASPD	14BEXP|2379aVULN|5ASPD|6RCR|8TLV
18	22246 23652	8	   	253.85	DCR|3VULN|2DMG|1DUR|2LIT	147BEXP|2MBVNT|349VULN|49BPWR|59LIT|69DMG|8RCR|aDUR
19	16611 13523	2	 * 	253.49	ACR|4VULN|2DMG|3ASPD|1AART	1RCR|27aASPD|3RPLT|4678VULN|57DMG|7BPWR|9AART
20	22281 88413	10	 * 	253.41	DCR|4VULN|2TLV|1DUR|1AART	1BEXP|2MBVNT|358aVULN|45TLV|5BPWR|6RCR|7AART|9DUR
21	22243 83352	6	 * 	253.39	DCR|3VULN|2DUR|2ASPD|1TLV	149BEXP|2MBVNT|349VULN|49BPWR|5TLV|6RCR|7aDUR|89ASPD
22	13411 25241	9	 * 	252.99	ACR|2VULN|3DMG|3DUR|3LIT|1AART	1RCR|259DUR|39aLIT|4MLV|6aVULN|7AART|89aDMG|9aBPWR
23	13431 25241	9	   	252.99	ACR|2VULN|3DMG|3DUR|3LIT|1AART	1RCR|259DUR|39aLIT|4CGEN|6aVULN|7AART|89aDMG|9aBPWR
24	22248 41467	8	   	252.65	DCR|3VULN|2DMG|1DUR|1CDMG	147BEXP|2MBVNT|347VULN|47BPWR|5RPLT|67DMG|8DUR|9CDMG|aRCR
25	25224 22114	6	   	252.16	DCR|4VULN|1DMG|1TLV	14BEXP|2379VULN|5DMG|6RCR|8TLV|aLIT
26	22244 11644	6	 * 	252.02	DCR|4VULN|2DUR|1CDMG	14BEXP|2MBVNT|3489VULN|4BPWR|56DUR|7CDMG|aRCR
27	22244 61644	5	   	252.02	DCR|4VULN|2DUR|1CDMG	14BEXP|2MBVNT|3489VULN|4BPWR|56DUR|7CDMG|aRCR
28	22274 11644	6	   	251.92	DCR|4VULN|2DUR|1CDMG	1BEXP|2MBVNT|3489VULN|56DUR|7CDMG|aRCR
29	22274 61644	5	   	251.92	DCR|4VULN|2DUR|1CDMG	1BEXP|2MBVNT|3489VULN|56DUR|7CDMG|aRCR
30	25224 22423	6	   	251.85	DCR|3VULN|3DMG|1CDMG	14BEXP|237VULN|589DMG|6RCR|aCDMG
31	32413 61511	7	 * 	251.76	DCR|4VULN|3DUR|1SELL	178ZMB|29BEXP|378aVULN|4SELL|578DUR|6RCR|78BPWR
32	32413 61532	7	 * 	251.76	DCR|4VULN|3DUR|1SELL	178ZMB|2BEXP|3789VULN|4SELL|578DUR|6RCR|78BPWR|aRPLT
33	32413 61533	7	 * 	251.66	DCR|4VULN|3DUR|1SELL	178ZMB|2BEXP|3789VULN|4SELL|578DUR|6RCR|78BPWR|aERES
34	23244 22343	8	 * 	251.60	DCR|4VULN|3DUR	19BEXP|2DUST|389aVULN|479DUR|5LEGI|6RCR|9BPWR
35	22246 23651	8	   	251.26	DCR|3VULN|2DMG|2LIT|1CDMG	147BEXP|2MBVNT|349VULN|49BPWR|59LIT|69DMG|8RCR|aCDMG
36	31442 12521	4	   	251.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1ZMB|2LWND|368VULN|4CDMG|5DMG|7DUR|9TLV|aRCR
37	32442 12521	4	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1ZMB|2BEXP|368VULN|4CDMG|5DMG|7DUR|9TLV|aRCR
38	33442 12521	4	   	251.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1ZMB|2DUST|368VULN|4CDMG|5DMG|7DUR|9TLV|aRCR
39	63235 12122	10	 * 	250.75	DCR|3VULN|2DUR|1DMG|2LIT	1LEGI|27DUR|357VULN|4RPLT|67LIT|7BPWR|8CGEN|9RCR|aDMG
40	16461 33221	6	   	250.54	ACR|4VULN|3DUR|3ASPD	1RCR|248ASPD|3489VULN|489BPWR|5BEXP|69LWND|789DUR|aMLV
41	16461 33223	6	   	250.54	ACR|4VULN|3DUR|3ASPD	1RCR|248ASPD|3489VULN|489BPWR|5BEXP|69LWND|789DUR|aRMIN
42	16462 23221	6	   	250.24	ACR|4VULN|3DUR|3ASPD	1RCR|249ASPD|349aVULN|49BPWR|578DUR|6RCVC
43	13246 42221	5	   	250.14	ACR|4VULN|3DUR|3ASPD	1RCR|248DUR|379aVULN|569ASPD|9BPWR
44	16643 41351	7	   	250.10	ACR|4VULN|3DUR|3ASPD|1SELL	1RCR|279ASPD|3MBVNT|479aVULN|579DUR|6SELL|79BPWR|8RPLT
45	22248 41436	9	   	250.00	DCR|3VULN|2DMG|1DUR|1ASPD	147BEXP|2MBVNT|347VULN|47BPWR|5RPLT|67DMG|8DUR|9RCR|aASPD
46	22248 41612	10	   	250.00	DCR|3VULN|2DMG|1DUR|1ASPD	147BEXP|2MBVNT|347VULN|47BPWR|5RPLT|67DMG|8ASPD|9DUR|aRCR
47	16611 13215	2	 * 	249.96	ACR|4VULN|3DMG|2ASPD	1RCR|27ASPD|3RPLT|4679VULN|57aDMG|7BPWR|8FEWX
48	22243 88413	10	   	249.70	DCR|4VULN|1TLV|1DUR|1AART	14BEXP|2MBVNT|348aVULN|4BPWR|5TLV|6RCR|7AART|9DUR
49	22273 88413	10	   	249.60	DCR|4VULN|1TLV|1DUR|1AART	1BEXP|2MBVNT|348aVULN|5TLV|6RCR|7AART|9DUR
50	13245 23362	8	   	249.37	ACR|3VULN|3DUR|2DMG|2LIT	1RCR|247DUR|389VULN|59LIT|69DMG|9BPWR|aCGEN
51	13245 23363	8	   	249.27	ACR|3VULN|3DUR|2DMG|2LIT	1RCR|247DUR|389VULN|59LIT|69DMG|9BPWR|aTBNT
52	13315 13121	3	 * 	249.23	ACR|4VULN|3DUR|3TLV|1AART	1RCR|289DUR|3CGEN|489TLV|589aVULN|6AART|7RPLT|89BPWR
53	63242 12152	10	 * 	249.12	DCR|3VULN|3DUR|3LIT	1LEGI|247DUR|379VULN|5RPLT|679LIT|79BPWR|89BEXP|aRCR
54	63242 12252	10	   	249.12	DCR|3VULN|3DUR|3LIT	1LEGI|247DUR|379VULN|5RPLT|679LIT|79BPWR|89LWND|aRCR
55	22252 12261	8	 * 	248.92	DCR|3VULN|3DUR|1DMG	1BEXP|2MBVNT|37aVULN|456DUR|8RCR|9DMG
56	22252 12661	7	   	248.92	DCR|3VULN|3DUR|1DMG	1BEXP|2MBVNT|37aVULN|456DUR|8RCR|9DMG
57	25224 22513	6	 * 	248.81	DCR|4VULN|2ASPD|1DMG	14BEXP|2379VULN|5DMG|6RCR|8aASPD
58	25226 22413	6	   	248.81	DCR|4VULN|2ASPD|1DMG	14BEXP|2379VULN|5aASPD|6RCR|8DMG
59	22243 82753	8	   	248.66	DCR|3VULN|2DMG|1TLV|1AART	149BEXP|2MBVNT|349VULN|49BPWR|5TLV|6RCR|7LWND|89DMG|aAART
60	13421 15152	3	   	248.24	ACR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCR|29DUR|3LIT|4RCVC|59aDMG|6CDMG|7TLV|89VULN|9BPWR
61	13421 15152	2	   	248.24	ACR|2VULN|3DMG|2DUR|1TLV|1CDMG	1RCR|29DUR|3LIT|4RCVC|59aDMG|6CDMG|7TLV|89VULN|9BPWR
62	13242 12522	8	   	248.03	ACR|3VULN|3DUR|1DMG|1TLV|2LIT	1RCR|247DUR|379VULN|5RPLT|67LIT|7BPWR|8TLV|aDMG
63	13243 55112	5	 * 	247.79	ACR|3VULN|3DUR|2TLV|2CDMG|1ASPD	1RCR|247DUR|389VULN|57TLV|67CDMG|7BPWR|aASPD
64	22281 82321	10	 * 	247.57	DCR|4VULN|2TLV|1DMG	1BEXP|2MBVNT|358aVULN|45TLV|5BPWR|6RCR|7LWND|9DMG
65	22281 84321	10	   	247.47	DCR|4VULN|2TLV|1DMG	1BEXP|2MBVNT|358aVULN|45TLV|5BPWR|6RCR|7DUST|9DMG
66	22248 41433	10	   	247.31	DCR|3VULN|2DMG|1DUR	147BEXP|2MBVNT|347VULN|47BPWR|5RPLT|67DMG|8DUR|9RCR|aLIT
67	25221 12426	3	   	247.14	DCR|5VULN|1DMG	17BEXP|2367aVULN|47ERES|5DMSP|7BPWR|8RCR|9DMG
68	25224 22316	6	   	247.14	DCR|5VULN|1DMG	14BEXP|2379aVULN|5DMG|6RCR|8CGEN
69	25222 22416	6	   	247.14	DCR|5VULN|1DMG	14BEXP|2379aVULN|5RMIN|6RCR|8DMG
70	12451 32243	9	   	247.11	ACR|4VULN|2DMG|1DUR|1AART	1RCR|29ERES|379aVULN|4LIT|5DUR|6AART|89DMG|9BPWR
71	25211 22416	6	   	247.04	DCR|5VULN|1DMG|1NUKE	15BEXP|2379aVULN|4NUKE|6RCR|8DMG
72	63233 33313	10	   	247.02	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1LEGI|2DUR|389VULN|4RPLT|5TLV|6AART|7RCR|aDMG
73	22267 84412	6	   	247.01	DCR|3VULN|2DMG|1DUR	1BEXP|2MBVNT|35aVULN|47DMG|6RCR|8DUR|9LIT
74	22247 33285	6	   	247.00	DCR|3VULN|2DUR|1DMG|1ASPD	148BEXP|2MBVNT|348VULN|48BPWR|5ASPD|6LWND|78DUR|9DMG|aRCR
75	22242 73285	4	   	247.00	DCR|3VULN|2DUR|1DMG|1ASPD	148BEXP|2MBVNT|348VULN|48BPWR|5LWND|6ASPD|78DUR|9DMG|aRCR
76	64316 13211	1	 * 	246.80	DCR|3VULN|2DUR|2CDMG|1ASPD	1LEGI|27CDMG|3RCVC|47DUR|567VULN|7BPWR|8BEXP|9ASPD|aRCR
77	13245 25131	7	 * 	246.79	ACR|2VULN|3DUR|2DMG|2ASPD|1AART	1RCR|249DUR|3aVULN|5LIT|6aDMG|7AART|8aASPD|aBPWR
78	25224 22422	6	   	246.51	DCR|3VULN|3DMG	14BEXP|237VULN|589DMG|6RCR|aLIT
79	16462 32123	4	   	246.31	ACR|4VULN|3ASPD|2TLV|1DMG	1RCR|24aASPD|347aVULN|4aBPWR|5DMG|69MLV|8aTLV
80	13231 51421	10	 * 	246.21	ACR|4VULN|2DUR|2TLV|1DMG	1RCR|28DUR|378aVULN|4BEXP|5DUST|68TLV|8BPWR|9DMG
81	13251 51421	10	   	246.21	ACR|4VULN|2DUR|2TLV|1DMG	1RCR|28DUR|378aVULN|4FEWX|5DUST|68TLV|8BPWR|9DMG
82	16462 32313	4	   	245.88	ACR|5VULN|3ASPD|1DMG	1RCR|24aASPD|3479aVULN|4aBPWR|5DMG|6MLV|8aCGEN
83	13261 15151	2	   	245.81	ACR|2VULN|3DUR|2DMG|1TLV|1CDMG	1RCR|239DUR|4LIT|59DMG|6CDMG|7TLV|89VULN|9BPWR|aRCVC
84	13261 15152	2	   	245.81	ACR|2VULN|3DUR|2DMG|1TLV|1CDMG	1RCR|239DUR|4LIT|59DMG|6CDMG|7TLV|89VULN|9BPWR|aFEWX
85	13235 32416	3	 * 	245.68	ACR|5VULN|2DUR|1DMG	1RCR|24DUR|3579aVULN|6MLV|8DMG
86	22243 83648	6	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	14BEXP|2MBVNT|34aVULN|4BPWR|5TLV|6RCR|78DUR|9CDMG
87	22244 11621	6	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	14BEXP|2MBVNT|348VULN|4BPWR|56DUR|7CDMG|9TLV|aRCR
88	22244 61621	5	   	245.63	DCR|3VULN|2DUR|1TLV|1CDMG	14BEXP|2MBVNT|348VULN|4BPWR|56DUR|7CDMG|9TLV|aRCR
89	22281 33278	6	 * 	245.56	DCR|3VULN|2DUR|2TLV|1AART	18BEXP|2MBVNT|358VULN|45TLV|58BPWR|6LWND|78DUR|9AART|aRCR
90	22274 11621	6	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|2MBVNT|348VULN|56DUR|7CDMG|9TLV|aRCR
91	22274 61621	5	   	245.53	DCR|3VULN|2DUR|1TLV|1CDMG	1BEXP|2MBVNT|348VULN|56DUR|7CDMG|9TLV|aRCR
92	13431 15153	3	 * 	245.45	ACR|2VULN|2DMG|2DUR|2CDMG|1TLV|2LIT	1RCR|29DUR|34LIT|59DMG|6aCDMG|7TLV|89VULN|9BPWR
93	13431 15153	2	   	245.45	ACR|2VULN|2DMG|2DUR|2CDMG|1TLV|2LIT	1RCR|29DUR|34LIT|59DMG|6aCDMG|7TLV|89VULN|9BPWR
94	22288 16313	10	   	245.41	DCR|3VULN|3DUR|1TLV	18aBEXP|2MBVNT|38aVULN|4TLV|5ERES|68aDUR|7RCR|8aBPWR|9RPLT
95	22248 41131	9	   	245.39	DCR|4VULN|2DMG	147BEXP|2MBVNT|347aVULN|47BPWR|5RPLT|67DMG|8LWND|9RCR
96	22248 41331	9	   	245.39	DCR|4VULN|2DMG	147BEXP|2MBVNT|347aVULN|47BPWR|5RPLT|67DMG|8LHND|9RCR
97	32413 61523	7	   	245.36	DCR|3VULN|3DUR|1TLV|1SELL	178ZMB|2BEXP|378VULN|4SELL|578DUR|6RCR|78BPWR|9CGEN|aTLV
98	63233 33341	7	   	245.36	DCR|3VULN|2DUR|2TLV|1AART	1LEGI|29DUR|39aVULN|4RPLT|59TLV|6AART|7RCR|8TBNT|9BPWR
99	22248 41218	7	   	245.29	DCR|4VULN|2DMG	147BEXP|2MBVNT|3479VULN|47BPWR|5RPLT|67DMG|8BBNT|aRCR
100	22248 41231	9	   	245.29	DCR|4VULN|2DMG	147BEXP|2MBVNT|347aVULN|47BPWR|5RPLT|67DMG|8LEGI|9RCR
101	22248 41818	7	   	245.29	DCR|4VULN|2DMG	147BEXP|2MBVNT|3479VULN|47BPWR|5RPLT|67DMG|8TBNT|aRCR
102	22252 12261	9	   	245.11	DCR|3VULN|3DUR|1TLV	1BEXP|2MBVNT|37aVULN|456DUR|8RCR|9TLV
103	13243 55113	5	   	245.10	ACR|3VULN|3DUR|2TLV|2CDMG	1RCR|247DUR|389VULN|57TLV|67CDMG|7BPWR|aLIT
104	24245 23331	8	   	244.07	DCR|2VULN|3DUR|1DMG|1CDMG	1BEXP|247DUR|38VULN|5LIT|6DMG|9RCR|aCDMG
105	13242 12633	8	   	244.02	ACR|4VULN|3DUR|2LIT|1AART	1RCR|247DUR|3789VULN|5RPLT|67LIT|7BPWR|aAART
106	22281 83612	6	   	244.00	DCR|3VULN|2DUR|2TLV	1BEXP|2MBVNT|35aVULN|45TLV|5BPWR|6RCR|78DUR|9LIT
107	23256 21352	7	   	244.00	DCR|3VULN|2DUR|1DMG	1BEXP|2DUST|35aVULN|4DMG|6RCR|7LIT|89DUR
108	16611 13521	2	   	243.97	ACR|4VULN|2DMG|2ASPD|1AART	1RCR|27ASPD|3RPLT|4678VULN|57DMG|7BPWR|9AART|aLHND
109	16611 13522	2	   	243.97	ACR|4VULN|2DMG|2ASPD|1AART	1RCR|27ASPD|3RPLT|4678VULN|57DMG|7BPWR|9AART|aLWND
110	21113 61315	7	 * 	243.95	DCR|4VULN|3LIT|1DUR	138BEXP|2RMIN|468LIT|5678VULN|68BPWR|9DUR|aRCR
111	25236 32263	4	   	243.95	DCR|4VULN|1DMG|1DUR	1BEXP|2357VULN|45LHND|5BPWR|6MLV|8DUR|9RCR|aDMG
112	22232 53515	10	   	243.85	DCR|4VULN|2TLV|1DUR	18BEXP|2MBVNT|368aVULN|4FEWX|5DUR|78TLV|8BPWR|9RCR
113	22232 61515	10	   	243.85	DCR|4VULN|2TLV|1DUR	18BEXP|2MBVNT|378aVULN|4FEWX|5DUR|68TLV|8BPWR|9RCR
114	22243 82321	10	   	243.85	DCR|4VULN|1DMG|1TLV	14BEXP|2MBVNT|348aVULN|4BPWR|5TLV|6RCR|7LWND|9DMG
115	22243 82771	10	   	243.85	DCR|4VULN|1DMG|1TLV	14BEXP|2MBVNT|349aVULN|4BPWR|5TLV|6RCR|7LWND|8DMG
116	22246 86411	9	   	243.85	DCR|4VULN|3LIT|1DUR	147BEXP|2MBVNT|3479VULN|47BPWR|567LIT|8DUR|aRCR
117	22271 13515	10	   	243.85	DCR|4VULN|2TLV|1DUR	18BEXP|2MBVNT|348aVULN|5FEWX|6DUR|78TLV|8BPWR|9RCR
118	25224 22113	6	   	243.85	DCR|4VULN|1DMG|1TLV	14BEXP|2379VULN|5DMG|6RCR|8TLV|aMLV
119	25224 22115	6	   	243.85	DCR|4VULN|1DMG|1TLV	14BEXP|2379VULN|5DMG|6RCR|8TLV|aRPLT
120	25224 22133	6	   	243.85	DCR|4VULN|1DMG|1TLV	14BEXP|237aVULN|5DMG|6RCR|8TLV|9LWND
121	25224 22226	6	   	243.85	DCR|4VULN|1DMG|1DUR	14BEXP|237aVULN|5DMG|6RCR|8DUR|9ZMB
122	25224 23153	8	   	243.85	DCR|4VULN|1DMG|1TLV	14BEXP|238aVULN|5DMG|6RCR|7LWND|9TLV
123	25216 32263	3	   	243.85	DCR|4VULN|1DMG|1DUR	15BEXP|2357VULN|4LEGI|5BPWR|6MLV|8DUR|9RCR|aDMG
124	16611 13112	2	   	243.83	ACR|4VULN|2DMG|3ASPD	1RCR|27aASPD|3RPLT|4679VULN|57DMG|7BPWR|8BEXP
125	16611 13212	2	   	243.83	ACR|4VULN|2DMG|3ASPD	1RCR|27aASPD|3RPLT|4679VULN|57DMG|7BPWR|8FEWX
126	16611 13511	2	   	243.83	ACR|4VULN|2DMG|3ASPD	1RCR|279ASPD|3RPLT|4678VULN|57DMG|7BPWR|aFEWX
127	16611 13512	2	   	243.83	ACR|4VULN|2DMG|3ASPD	1RCR|279ASPD|3RPLT|4678VULN|57DMG|7BPWR|aCGEN
128	16611 13513	2	   	243.83	ACR|4VULN|2DMG|3ASPD	1RCR|279ASPD|3RPLT|4678VULN|57DMG|7BPWR|aZMB
129	16643 34713	10	   	243.82	ACR|3VULN|2DMG|2ASPD|1TLV|1DUR|1SELL	1RCR|2aASPD|3MBVNT|49aVULN|5DUR|6TLV|7SELL|8aDMG|aBPWR
130	22247 81218	7	   	243.81	DCR|4VULN|2ASPD|2LIT	148BEXP|2MBVNT|349aVULN|4aBPWR|5aASPD|6RCR|7aLIT
131	22247 81218	8	   	243.81	DCR|4VULN|2ASPD|2LIT	148BEXP|2MBVNT|349aVULN|4aBPWR|5aASPD|6RCR|7aLIT
132	22247 81253	7	   	243.81	DCR|4VULN|2ASPD|2LIT	148BEXP|2MBVNT|349aVULN|49BPWR|59ASPD|6RCR|79LIT
133	22247 81253	8	   	243.81	DCR|4VULN|2ASPD|2LIT	148BEXP|2MBVNT|349aVULN|49BPWR|59ASPD|6RCR|79LIT
134	22224 61515	10	   	243.75	DCR|4VULN|2TLV|1DUR	18BEXP|2MBVNT|378aVULN|4DUST|5DUR|68TLV|8BPWR|9RCR
135	22243 84321	10	   	243.75	DCR|4VULN|1DMG|1TLV	14BEXP|2MBVNT|348aVULN|4BPWR|5TLV|6RCR|7DUST|9DMG
136	22263 11315	10	   	243.75	DCR|4VULN|1DMG|1DUR	1BEXP|2MBVNT|378aVULN|4DMG|5DUR|6FEWX|9RCR
137	22263 51315	10	   	243.75	DCR|4VULN|1DMG|1DUR	1BEXP|2MBVNT|378aVULN|4DMG|5DUR|6LHND|9RCR
138	22263 71315	10	   	243.75	DCR|4VULN|1DMG|1DUR	1BEXP|2MBVNT|378aVULN|4DMG|5DUR|6LWND|9RCR
139	22273 82321	10	   	243.75	DCR|4VULN|1DMG|1TLV	1BEXP|2MBVNT|348aVULN|5TLV|6RCR|7LWND|9DMG
140	22281 72824	5	   	243.75	DCR|4VULN|2TLV|1DUR	1BEXP|2MBVNT|357aVULN|45TLV|5BPWR|6CGEN|8DUR|9RCR
141	22281 82363	10	   	243.75	DCR|4VULN|2TLV|1DUR	1BEXP|2MBVNT|358aVULN|45TLV|5BPWR|6RCR|7LWND|9DUR
142	22281 83444	6	   	243.75	DCR|4VULN|2TLV|1DUR	1BEXP|2MBVNT|359aVULN|45TLV|5BPWR|6RCR|7DUR|8CGEN
143	22281 87144	8	   	243.75	DCR|4VULN|2TLV|1DUR	1BEXP|2MBVNT|359aVULN|45TLV|5BPWR|6RCR|7CGEN|8DUR
144	23263 22321	10	   	243.75	DCR|4VULN|1DMG|1TLV	1BEXP|2DUST|348aVULN|5TLV|6RCR|7LWND|9DMG
145	25224 22111	6	   	243.75	DCR|4VULN|1DMG|1TLV	14BEXP|2379VULN|5DMG|6RCR|8TLV|aLEGI
146	25224 22112	6	   	243.75	DCR|4VULN|1DMG|1TLV	14BEXP|2379VULN|5DMG|6RCR|8TLV|aDUST
147	25224 22213	6	   	243.75	DCR|4VULN|1DMG|1DUR	14BEXP|237aVULN|5DMG|6RCR|8DUR|9TBNT
148	16611 13312	2	   	243.73	ACR|4VULN|2DMG|3ASPD	1RCR|27aASPD|3RPLT|4679VULN|57DMG|7BPWR|8DUST
149	16611 13532	2	   	243.73	ACR|4VULN|2DMG|3ASPD	1RCR|27aASPD|3RPLT|4678VULN|57DMG|7BPWR|9DUST
150	22263 21315	10	   	243.65	DCR|4VULN|1DMG|1DUR	1BEXP|2MBVNT|378aVULN|4DMG|5DUR|6LEGI|9RCR
151	22273 84321	10	   	243.65	DCR|4VULN|1DMG|1TLV	1BEXP|2MBVNT|348aVULN|5TLV|6RCR|7DUST|9DMG
152	22281 84373	10	   	243.65	DCR|4VULN|2TLV|1DUR	1BEXP|2MBVNT|3589VULN|45TLV|5BPWR|6RCR|7DUST|aDUR
153	16611 13623	2	   	243.57	ACR|3VULN|3DMG|2ASPD|1TLV	1RCR|27ASPD|3RPLT|467VULN|579DMG|7BPWR|8MLV|aTLV
154	32463 22116	6	   	243.43	DCR|5VULN|1TLV	15ZMB|24BEXP|3479aVULN|4BPWR|6RCR|8TLV
155	22248 41664	10	   	243.41	DCR|3VULN|2DMG|1ASPD|1AART	147BEXP|2MBVNT|347VULN|47BPWR|5RPLT|67DMG|8ASPD|9AART|aRCR
156	25241 31331	6	   	243.33	DCR|5VULN|1DUR	1BEXP|2357aVULN|4BELT|6MLV|8DUR|9RCR
157	21424 41331	6	   	243.33	DCR|5VULN|1DUR	1BEXP|2RMIN|3567aVULN|4BELT|8DUR|9RCR
158	25222 22116	6	   	243.33	DCR|5VULN|1TLV	14BEXP|2379aVULN|5RMIN|6RCR|8TLV
159	25211 22116	6	   	243.23	DCR|5VULN|1TLV|1NUKE	15BEXP|2379aVULN|4NUKE|6RCR|8TLV
160	25215 22116	6	   	243.23	DCR|5VULN|1TLV|1NUKE	1BEXP|2379aVULN|4NUKE|5DMSP|6RCR|8TLV
161	33462 15312	10	   	243.13	DCR|5VULN|1DUR	1ZMB|246DUST|3489aVULN|4BPWR|5DUR|7RCR
162	25226 22114	6	   	243.10	DCR|4VULN|1TLV|1ASPD	14BEXP|2379VULN|5ASPD|6RCR|8TLV|aLIT
163	22246 26451	10	   	243.09	DCR|3VULN|2TLV|1DMG|1AART	149BEXP|2MBVNT|349VULN|49BPWR|5LIT|6DMG|7AART|89TLV|aRCR
164	22281 82713	10	 * 	242.71	DCR|3VULN|2DMG|2TLV	1aBEXP|2MBVNT|35aVULN|45TLV|5aBPWR|6RCR|7LWND|8aDMG|9RPLT
165	25224 22125	10	   	242.62	DCR|3VULN|2ASPD|1DMG|1TLV	14aBEXP|23aVULN|5DMG|6RCR|7RMIN|8TLV|9aASPD|aBPWR
166	63236 33141	3	   	242.61	DCR|3VULN|3DUR|1CDMG	1LEGI|257DUR|359VULN|4RCVC|5BPWR|6MLV|8RCR|aCDMG
167	22281 83351	6	 * 	242.52	DCR|3VULN|2ASPD|2TLV|1DUR	19BEXP|2MBVNT|359VULN|45TLV|59BPWR|6RCR|7DUR|89ASPD|aFEWX
168	22281 83354	6	   	242.52	DCR|3VULN|2ASPD|2TLV|1DUR	19BEXP|2MBVNT|359VULN|45TLV|59BPWR|6RCR|7DUR|89ASPD|aCGEN
169	13223 11421	10	   	242.49	ACR|4VULN|2DUR|1DMG|1TLV	1RCR|28DUR|378aVULN|4DUST|5TLV|68FEWX|8BPWR|9DMG
170	13223 31421	10	   	242.49	ACR|4VULN|2DUR|1DMG|1TLV	1RCR|28DUR|378aVULN|4DUST|5TLV|68BEXP|8BPWR|9DMG
171	13223 41421	10	   	242.49	ACR|4VULN|2DUR|1DMG|1TLV	1RCR|28DUR|378aVULN|4DUST|5TLV|68LHND|8BPWR|9DMG
172	13223 61421	10	   	242.49	ACR|4VULN|2DUR|1DMG|1TLV	1RCR|28DUR|378aVULN|4DUST|5TLV|68LWND|8BPWR|9DMG
173	22281 83352	6	   	242.42	DCR|3VULN|2ASPD|2TLV|1DUR	19BEXP|2MBVNT|359VULN|45TLV|59BPWR|6RCR|7DUR|89ASPD|aBBNT
174	22281 83353	6	   	242.42	DCR|3VULN|2ASPD|2TLV|1DUR	19BEXP|2MBVNT|359VULN|45TLV|59BPWR|6RCR|7DUR|89ASPD|aERES
