0	Index      	Bounty	 *	Score 	Summary	Detail	
1	61263 36131	1	 * 	294.73	DCR|5VULN|2DMG|1DUR|1CDMG	13DMG|2345aVULN|3BPWR|6CGEN|7RCR|8DUR|9CDMG
15	61263 26222	1	   	281.08	DCR|5VULN|2DMG|1DUR	13DMG|23458VULN|3BPWR|6MLV|7RCR|9FEWX|aDUR
16	61263 36212	1	   	281.08	DCR|5VULN|2DMG|1TLV	13DMG|23458VULN|3BPWR|6CGEN|7RCR|9BEXP|aTLV
17	61263 36222	1	   	281.08	DCR|5VULN|2DMG|1TLV	13DMG|23458VULN|3BPWR|6CGEN|7RCR|9FEWX|aTLV
18	61263 26232	1	   	280.98	DCR|5VULN|2DMG|1DUR	13DMG|23458VULN|3BPWR|6MLV|7RCR|9DUST|aDUR
19	61263 36232	1	   	280.98	DCR|5VULN|2DMG|1TLV	13DMG|23458VULN|3BPWR|6CGEN|7RCR|9DUST|aTLV
20	61263 36213	1	   	278.48	DCR|5VULN|2DMG|1CDMG	13DMG|23458VULN|3BPWR|6CGEN|7RCR|9BEXP|aCDMG
21	61263 36223	1	   	278.48	DCR|5VULN|2DMG|1CDMG	13DMG|23458VULN|3BPWR|6CGEN|7RCR|9FEWX|aCDMG
22	61263 36233	1	   	278.38	DCR|5VULN|2DMG|1CDMG	13DMG|23458VULN|3BPWR|6CGEN|7RCR|9DUST|aCDMG
23	62122 26251	6	   	277.39	DCR|4VULN|3DMG|1DUR	157DMG|27ZMB|3DUR|45MLV|57BPWR|6789VULN|aRCR
24	62122 36251	5	   	277.39	DCR|4VULN|3DMG|1DUR	157DMG|27ZMB|3DUR|45MLV|57BPWR|6789VULN|aRCR
25	62212 26251	6	   	277.39	DCR|4VULN|3DMG|1TLV	157DMG|27ZMB|3TLV|45LHND|57BPWR|6789VULN|aRCR
26	62212 36251	5	   	277.39	DCR|4VULN|3DMG|1TLV	157DMG|27ZMB|3TLV|45LHND|57BPWR|6789VULN|aRCR
27	61233 56221	1	   	277.29	DCR|4VULN|3DMG|1DUR	137DMG|2378VULN|37BPWR|47BEXP|5DMSP|6RCR|9ERES|aDUR
28	61263 26111	1	   	277.19	DCR|4VULN|3DMG|1DUR	139DMG|2345VULN|3BPWR|6MLV|7RCR|8DUR|aRCVC
29	61263 36111	1	   	277.19	DCR|4VULN|3DMG|1DUR	139DMG|2345VULN|3BPWR|6CGEN|7RCR|8DUR|aRCVC
30	61142 31342	9	   	276.26	DCR|4VULN|2DMG|3LIT|1ASPD	17DMG|2LWND|3789VULN|457LIT|6RCR|7BPWR|aASPD
31	64142 31332	7	   	276.26	DCR|4VULN|2DMG|3LIT|1ASPD	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aASPD
32	64142 31332	8	   	276.26	DCR|4VULN|2DMG|3LIT|1ASPD	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aASPD
33	64142 33332	6	   	276.26	DCR|4VULN|2DMG|3LIT|1ASPD	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aASPD
34	61153 26312	6	   	276.22	DCR|4VULN|2DMG|2DUR	17DMG|2LWND|3579VULN|47DUR|6DMSP|7BPWR|8RCR|aLHND
35	61153 26313	6	   	276.12	DCR|4VULN|2DMG|2DUR	17DMG|2LWND|3579VULN|47DUR|6DMSP|7BPWR|8RCR|aBBNT
36	13312 56221	9	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	12CGEN|35DMG|459aVULN|5BPWR|6CDMG|7DUR|8RCR
37	13312 56225	10	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	12CGEN|35DMG|459aVULN|5BPWR|6CDMG|7DUR|8RCR
38	61263 26132	1	   	275.19	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2345VULN|3BPWR|6MLV|7RCR|8DUR|9CDMG|aLWND
39	61142 31223	9	   	275.11	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2LWND|379VULN|457LIT|6RCR|7BPWR|8DUR|aTLV
40	61142 31223	10	   	275.11	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2LWND|379VULN|457LIT|6RCR|7BPWR|8DUR|aTLV
41	61142 31324	10	   	275.11	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2LWND|378VULN|457LIT|6RCR|7BPWR|9TLV|aDUR
42	64142 31223	9	   	275.11	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2FEWX|379VULN|457LIT|6RCR|7BPWR|8DUR|aTLV
43	64142 31223	10	   	275.11	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	17DMG|2FEWX|379VULN|457LIT|6RCR|7BPWR|8DUR|aTLV
44	61263 26131	1	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2345VULN|3BPWR|6MLV|7RCR|8DUR|9CDMG|aERES
45	61263 26313	1	   	275.09	DCR|4VULN|2DMG|1TLV|1CDMG	13DMG|2345VULN|3BPWR|6MLV|7RCR|8BBNT|9CDMG|aTLV
46	61263 36132	1	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	13DMG|2345VULN|3BPWR|6CGEN|7RCR|8DUR|9CDMG|aDUST
47	61142 31143	9	   	274.52	DCR|3VULN|3DMG|3LIT|1TLV	178DMG|2LWND|379VULN|457LIT|6RCR|7BPWR|aTLV
48	61142 31162	9	   	274.52	DCR|3VULN|3DMG|3LIT|1DUR	178DMG|2LWND|37aVULN|457LIT|6RCR|7BPWR|9DUR
49	61142 31232	8	   	274.52	DCR|3VULN|3DMG|3LIT|1DUR	179DMG|2LWND|37aVULN|457LIT|6RCR|7BPWR|8DUR
50	64142 31232	8	   	274.52	DCR|3VULN|3DMG|3LIT|1DUR	179DMG|2FEWX|37aVULN|457LIT|6RCR|7BPWR|8DUR
51	34246 12233	8	   	274.03	DCR|4VULN|2DUR|1TLV|1ASPD	1FEWX|268aVULN|3TLV|4LIT|56DUR|6BPWR|7ASPD|9RCR
52	11263 42512	1	   	273.15	DCR|5VULN|1DMG|1DUR|1AART	13CGEN|23456VULN|3BPWR|7DUR|8RCR|9AART|aDMG
53	21263 42512	1	   	273.15	DCR|5VULN|1DMG|1DUR|1AART	13MLV|23456VULN|3BPWR|7DUR|8RCR|9AART|aDMG
54	61263 53133	1	   	273.04	DCR|5VULN|2DMG	13DMG|2345aVULN|3BPWR|6BBNT|7LIT|8RMIN|9RCR
55	61142 31221	10	   	272.51	DCR|3VULN|2DMG|3LIT|1DUR|1CDMG	17DMG|2LWND|379VULN|457LIT|6RCR|7BPWR|8DUR|aCDMG
56	64142 31221	10	   	272.51	DCR|3VULN|2DMG|3LIT|1DUR|1CDMG	17DMG|2FEWX|379VULN|457LIT|6RCR|7BPWR|8DUR|aCDMG
57	62122 35252	1	   	271.58	DCR|3VULN|2DMG|2TLV|1ASPD|1AART	19DMG|2ASPD|389VULN|4TBNT|5AART|69TLV|7RCR|9BPWR|aLIT
58	62252 23251	7	   	270.70	DCR|3VULN|3DMG|1TLV|1DUR	147DMG|2ZMB|3TLV|5DUR|689VULN|aRCR
59	11263 42522	1	   	270.68	DCR|5VULN|1TLV|1DUR|1ASPD	13CGEN|23456VULN|3BPWR|7DUR|8RCR|9ASPD|aTLV
60	61142 31222	10	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	17DMG|2LWND|379VULN|457LIT|6RCR|7BPWR|8DUR|aASPD
61	64142 31222	10	   	269.87	DCR|3VULN|2DMG|3LIT|1DUR|1ASPD	17DMG|2FEWX|379VULN|457LIT|6RCR|7BPWR|8DUR|aASPD
62	61263 53333	1	   	269.65	DCR|4VULN|2DMG|1DUR	13DMG|2345VULN|3BPWR|6BBNT|7LIT|8ERES|9RCR|aDUR
63	32132 36251	5	 * 	269.41	DCR|4VULN|3ASPD|2DUR	17FEWX|2RCVC|35DUR|457ASPD|57BPWR|6789VULN|aRCR
64	61233 56232	1	   	269.35	DCR|4VULN|3DMG	137DMG|2378VULN|37BPWR|47BEXP|5DMSP|6RCR|9LIT|aTBNT
65	61233 56233	1	   	269.35	DCR|4VULN|3DMG	137DMG|2378VULN|37BPWR|47BEXP|5DMSP|6RCR|9LIT|aBBNT
66	61233 56231	1	   	269.21	DCR|4VULN|3DMG|1SELL	137DMG|2378VULN|37BPWR|47BEXP|5DMSP|6RCR|9LIT|aSELL
67	21263 42522	1	 * 	269.02	DCR|5VULN|2DUR|1ASPD	13MLV|23456VULN|3BPWR|7aDUR|8RCR|9ASPD
68	13312 56223	9	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	12CGEN|35DMG|459VULN|5BPWR|6CDMG|7DUR|8RCR|aTLV
69	61232 24141	1	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|237VULN|3BPWR|4BEXP|5TLV|6DUR|8CDMG|9RCR|aCGEN
70	61232 24142	1	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|237VULN|3BPWR|4BEXP|5TLV|6DUR|8CDMG|9RCR|aLWND
71	61232 24143	1	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|237VULN|3BPWR|4BEXP|5TLV|6DUR|8CDMG|9RCR|aMLV
72	61262 12141	1	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|234VULN|3BPWR|5CDMG|6DUR|7LHND|8TLV|9RCR|aCGEN
73	61262 12142	1	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|234VULN|3BPWR|5CDMG|6DUR|7LHND|8TLV|9RCR|aLWND
74	61262 12143	1	   	268.80	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|234VULN|3BPWR|5CDMG|6DUR|7LHND|8TLV|9RCR|aMLV
75	61214 24174	1	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|237VULN|3BPWR|4TLV|5MBVNT|6DUR|8CDMG|9RCVC|aRCR
76	61214 24184	1	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|237VULN|3BPWR|4TLV|5MBVNT|6DUR|8CDMG|9DMSP|aRCR
77	61262 31252	1	   	268.70	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|234VULN|3BPWR|5CDMG|6ZMB|7RCR|8TBNT|9TLV|aDUR
78	64142 31321	7	   	268.52	DCR|3VULN|2DMG|3LIT|1TLV|1AART	17DMG|2FEWX|378VULN|457LIT|6RCR|7BPWR|9AART|aTLV
79	64142 31321	8	   	268.52	DCR|3VULN|2DMG|3LIT|1TLV|1AART	17DMG|2FEWX|378VULN|457LIT|6RCR|7BPWR|9AART|aTLV
80	64142 33321	6	   	268.52	DCR|3VULN|2DMG|3LIT|1TLV|1AART	17DMG|2FEWX|378VULN|457LIT|6RCR|7BPWR|9AART|aTLV
81	62521 62333	8	 * 	268.52	DCR|3VULN|2DMG|2ASPD|1DUR	18DMG|2ZMB|38aVULN|4MLV|5LIT|6RCR|78ASPD|8BPWR|9DUR
82	11263 42523	1	   	268.08	DCR|5VULN|1DUR|1CDMG|1ASPD	13CGEN|23456VULN|3BPWR|7DUR|8RCR|9ASPD|aCDMG
83	34253 11261	10	 * 	267.29	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR|1AART	19FEWX|259VULN|3TLV|4DUR|69CDMG|7RCR|8AART|9BPWR|aDMG
84	61412 31411	4	   	267.16	DCR|4VULN|1DMG|1TLV|1CDMG|1AART	1DMG|2LWND|3AART|456aVULN|7TLV|8RCR|9CDMG
85	61412 31411	3	   	267.16	DCR|4VULN|1DMG|1TLV|1CDMG|1AART	1DMG|2LWND|3AART|456aVULN|7TLV|8RCR|9CDMG
86	13312 56225	9	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	12CGEN|35DMG|459VULN|5BPWR|6CDMG|7aDUR|8RCR
87	41113 65212	8	   	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	19TLV|2LWND|39aVULN|4ASPD|5DMG|6RPLT|7RCR|89DUR|9BPWR
88	61266 22313	1	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	13DMG|234VULN|3BPWR|5BELT|6TLV|7DUR|8ASPD|9ZMB|aRCR
89	61266 22333	1	   	266.15	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	13DMG|234VULN|3BPWR|5BELT|6TLV|7DUR|8ASPD|9MLV|aRCR
90	61233 56123	1	   	265.76	DCR|3VULN|3DMG|1TLV|1ASPD	137DMG|237VULN|37BPWR|47BEXP|5DMSP|6RCR|8RPLT|9ASPD|aTLV
91	63223 25422	10	 * 	265.35	DCR|4VULN|2DMG|2TLV	18DMG|24CGEN|38TLV|5678VULN|8BPWR|9RCVC|aRCR
92	63223 25432	10	   	265.35	DCR|4VULN|2DMG|2TLV	18DMG|24CGEN|38TLV|5678VULN|8BPWR|9FEWX|aRCR
93	61142 31341	10	   	265.25	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|3789VULN|457LIT|6RCR|7BPWR|aBEXP
94	61142 31342	10	   	265.25	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|3789VULN|457LIT|6RCR|7BPWR|aFEWX
95	61142 31343	10	   	265.25	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|3789VULN|457LIT|6RCR|7BPWR|aBELT
96	41224 64344	1	 * 	265.15	DCR|4VULN|2DMG|3TLV	13aTLV|237aVULN|3aBPWR|4RMIN|5MBVNT|6RCR|8aDMG|9BBNT
97	61142 31343	7	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|378aVULN|457LIT|6RCR|7BPWR|9ERES
98	61142 31343	8	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|378aVULN|457LIT|6RCR|7BPWR|9ERES
99	61142 31343	9	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|3789VULN|457LIT|6RCR|7BPWR|aBBNT
100	61142 31623	9	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|379aVULN|457LIT|6RCR|7BPWR|8ERES
101	61142 33343	6	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2LWND|378aVULN|457LIT|6RCR|7BPWR|9ERES
102	64142 31333	8	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aBBNT
103	64142 31333	7	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aBBNT
104	64142 33333	6	   	265.15	DCR|4VULN|2DMG|3LIT	17DMG|2FEWX|3789VULN|457LIT|6RCR|7BPWR|aBBNT
105	61263 26211	1	   	264.83	DCR|5VULN|2DMG	13DMG|23458VULN|3BPWR|6MLV|7RCR|9BEXP|aCGEN
106	61263 26221	1	   	264.83	DCR|5VULN|2DMG	13DMG|23458VULN|3BPWR|6MLV|7RCR|9FEWX|aCGEN
107	61263 36211	1	   	264.83	DCR|5VULN|2DMG	13DMG|23458VULN|3BPWR|6aCGEN|7RCR|9BEXP
108	61263 36221	1	   	264.83	DCR|5VULN|2DMG	13DMG|23458VULN|3BPWR|6aCGEN|7RCR|9FEWX
109	61263 21215	1	   	264.83	DCR|5VULN|2DMG	13DMG|23458VULN|3BPWR|6MLV|7FEWX|9BEXP|aRCR
110	61263 31215	1	   	264.83	DCR|5VULN|2DMG	13DMG|23458VULN|3BPWR|6CGEN|7FEWX|9BEXP|aRCR
111	61263 61312	1	   	264.83	DCR|5VULN|2DMG	13DMG|23459VULN|3BPWR|6FEWX|7LWND|8BEXP|aRCR
