0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63123 22522	5	 * 	299.34	DCR|4VULN|3DUR|3LIT|2CDMG|1DMG	178DUR|27aLIT|3DMG|4aCDMG|579aVULN|6RCR|7aBPWR
42	52532 61123	6	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1LHND|2458VULN|35DMG|5BPWR|6CGEN|7TLV|9DUR|aRCR
43	62532 11623	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|245aVULN|35DMG|5BPWR|6LWND|7DUST|8RCR|9TLV
44	62532 25332	5	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2457VULN|35DMG|5BPWR|6RCR|8DUST|9TLV|aFEWX
45	62532 33143	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2456VULN|35DMG|5BPWR|7DUST|8MLV|9TLV|aRCR
46	62532 33243	9	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2456VULN|35DMG|5BPWR|7DUST|8CGEN|9TLV|aRCR
47	63123 22521	5	   	275.07	DCR|3VULN|3DUR|1DMG|2LIT|1CDMG	178DUR|27LIT|3DMG|4CDMG|579VULN|6RCR|7BPWR|aASPD
48	62532 25331	5	   	274.99	DCR|4VULN|2DMG|1TLV|1DUR	1DUR|2457VULN|35DMG|5BPWR|6RCR|8DUST|9TLV|aERES
49	21423 23241	1	 * 	274.49	DCR|4VULN|3DMG|1TLV	1RMIN|278DMG|358ERES|458aVULN|58BPWR|6RCR|9TLV
50	63123 22113	5	   	274.49	DCR|4VULN|2DUR|1DMG|2LIT|1CDMG	17DUR|27LIT|3DMG|4CDMG|579aVULN|6RCR|7BPWR|8BBNT
51	62532 23143	5	   	274.20	DCR|4VULN|3DMG|1DUR	1DUR|2459VULN|357DMG|5BPWR|6RCR|8AART|aERES
52	62531 23142	5	   	274.20	DCR|4VULN|3DMG|1DUR	1DUR|249aVULN|357DMG|6RCR|8AART
53	62532 22363	5	   	274.14	DCR|3VULN|2DMG|2DUR|1CDMG	1aDUR|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9CDMG
54	62212 22514	8	 * 	273.94	DCR|2VULN|3DUR|2DMG|2TLV	17aDUR|27VULN|36aFEWX|4ASPD|57TLV|7aBPWR|8RCR|9aDMG
55	62532 22136	5	   	273.23	DCR|4VULN|2DMG|2DUR	1aDUR|245aVULN|35DMG|5aBPWR|6RCR|7AART|8ZMB|9aDUST
56	62125 32326	9	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	17DUR|269VULN|3CDMG|4LWND|56TLV|6BPWR|8DMG|aRCR
57	62125 32336	8	   	272.87	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	17DUR|269VULN|3CDMG|4LWND|56TLV|6BPWR|8DMG|aRCR
58	63123 22155	5	   	272.54	DCR|2VULN|2DMG|2DUR|1TLV|2LIT|1CDMG	17DUR|27LIT|3aDMG|4CDMG|57VULN|6RCR|7BPWR|8BBNT|9TLV
59	62532 21133	5	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|245VULN|35DMG|5BPWR|6RCR|7ASPD|8CGEN|9TLV|aAART
60	62532 22321	5	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9TLV|aFEWX
61	62542 22322	5	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|25aVULN|35DMG|4RCVC|5BPWR|6RCR|7AART|8ASPD|9TLV
62	42532 22341	5	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9DUR|aTLV
63	52532 22341	5	   	272.11	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9DUR|aTLV
64	62153 41322	6	 * 	272.09	DCR|4VULN|2DUR|1TLV|2CDMG	1aDUR|2456VULN|34CDMG|4BPWR|7BELT|8RCR|9TLV
65	21423 21433	1	 * 	272.07	DCR|4VULN|3DMG|3ASPD	1RMIN|29aDMG|358ERES|459aVULN|59aBPWR|6RCR|79aASPD
66	62531 22322	5	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|24aVULN|35DMG|6RCR|7AART|8ASPD|9TLV
67	62532 22311	5	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9MBVNT|aTLV
68	62532 22323	5	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9TLV|aTBNT
69	62532 22325	5	   	272.01	DCR|3VULN|2DMG|1TLV|1DUR	1DUR|245VULN|35DMG|5BPWR|6RCR|7AART|8ASPD|9TLV|aDUST
70	62532 22512	9	   	271.88	DCR|4VULN|2DMG|2DUR	17DUR|2459VULN|35DMG|5BPWR|6RMIN|8ASPD|aRCR
71	62532 31152	8	   	271.88	DCR|4VULN|2DMG|2DUR	19DUR|2456VULN|35DMG|5BPWR|7ASPD|8RMIN|aRCR
72	62532 31252	7	   	271.88	DCR|4VULN|2DMG|2DUR	19DUR|2456VULN|35DMG|5BPWR|7ASPD|8CGEN|aRCR
73	12253 43411	6	   	271.84	DCR|4VULN|2DUR|1TLV|1DMG|1SELL	1SELL|24DUR|3456VULN|4BPWR|7DMG|8TLV|9BBNT|aRCR
74	62531 32431	10	   	271.78	DCR|4VULN|2DMG|2DUR	17DUR|2469VULN|35DMG|8LIT|aRCR
75	62532 25321	5	   	271.78	DCR|4VULN|2DMG|2DUR	19DUR|2457VULN|35DMG|5BPWR|6RCR|8DUST|aLIT
76	62532 23531	5	   	271.73	DCR|3VULN|3DMG|2DUR|1CDMG	1aDUR|245VULN|357DMG|5BPWR|6RCR|8CDMG|9DUST
77	62532 21513	5	   	271.63	DCR|4VULN|2DMG|2DUR|1SELL	1aDUR|2458VULN|35DMG|5BPWR|6RCR|7ASPD|9SELL
78	62532 23224	5	 * 	271.40	DCR|3VULN|3DMG|3DUR	19aDUR|245VULN|357DMG|5BPWR|6RCR|8LWND
79	42532 23324	5	   	271.40	DCR|3VULN|3DMG|3DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|89aDUR
80	55133 31126	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DUR|3CDMG|4DMG|5679VULN|8TLV|aRCR
81	55133 31136	8	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DUR|3CDMG|4DMG|5679VULN|8TLV|aRCR
82	62113 43411	6	   	271.05	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1DUR|2456VULN|3CDMG|7DMG|8TLV|9BBNT|aRCR
83	63123 22116	5	   	271.03	DCR|3VULN|2DMG|2DUR|2LIT|1CDMG	17DUR|27LIT|3aDMG|4CDMG|579VULN|6RCR|7BPWR|8BBNT
84	62153 22411	4	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|245VULN|34CDMG|4BPWR|6DMG|8TLV|9BBNT|aRCR
85	62153 22411	5	   	271.00	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG	17DUR|245VULN|34CDMG|4BPWR|6DMG|8TLV|9BBNT|aRCR
86	42532 31236	5	   	270.94	DCR|4VULN|2DMG|1DUR|1CDMG	1LWND|2459VULN|35DMG|5BPWR|6CDMG|7ASPD|8DUR|aRCR
87	52532 31236	5	   	270.94	DCR|4VULN|2DMG|1DUR|1CDMG	1LHND|2459VULN|35DMG|5BPWR|6CDMG|7ASPD|8DUR|aRCR
88	62532 31511	5	   	270.84	DCR|4VULN|2DMG|1DUR|1CDMG	1DUR|2458VULN|35DMG|5BPWR|6CDMG|7ASPD|9BBNT|aRCR
89	43123 22633	5	   	269.96	DCR|4VULN|1TLV|1DMG|2LIT|1CDMG	17LWND|27LIT|3DMG|4CDMG|5789VULN|6RCR|7BPWR|aTLV
90	62532 23131	5	   	269.86	DCR|3VULN|3DMG|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8AART|9LIT|aASPD
91	62532 23214	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9FEWX|aTLV
92	62532 23232	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9TLV|aCGEN
93	62532 23233	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9TLV|aBEXP
94	62532 23234	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9TLV|aZMB
95	62532 23431	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8CGEN|9TLV|aBELT
96	62532 23432	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8CGEN|9TLV|aZMB
97	62532 23433	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8CGEN|9TLV|aFEWX
98	62532 23632	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LHND|9TLV|aCGEN
99	62532 23633	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LHND|9TLV|aBEXP
100	42532 23314	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9FEWX|aTLV
101	42532 23332	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9TLV|aCGEN
102	42532 23333	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9TLV|aBEXP
103	42532 23334	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9TLV|aZMB
104	52532 23224	5	   	269.79	DCR|3VULN|3DMG|1TLV|1DUR	1LHND|245VULN|357DMG|5BPWR|6RCR|8LWND|9DUR|aTLV
105	62532 23231	5	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9TLV|aERES
106	62532 23235	5	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LWND|9TLV|aBBNT
107	62532 23631	5	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1DUR|245VULN|357DMG|5BPWR|6RCR|8LHND|9TLV|aERES
108	42532 23331	5	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9TLV|aERES
109	42532 23335	5	   	269.69	DCR|3VULN|3DMG|1TLV|1DUR	1LWND|245VULN|357DMG|5BPWR|6RCR|8DUR|9TLV|aBBNT
110	12511 51133	5	   	269.45	DCR|3VULN|3DMG|1TLV|1DUR|1SELL	1SELL|2DUR|356DMG|467VULN|6BPWR|8RCR|9DUST|aTLV
