0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16315 34323	7	 * 	299.02	DCR|4VULN|3DMG|2TLV|1DUR	18TLV|268aVULN|3DUR|4LWND|568DMG|68BPWR|7RCR|9BBNT
17	16335 33433	3	   	280.37	DCR|4VULN|2TLV|2DUR|1DMG	1aTLV|247aVULN|34DUR|4aBPWR|5DMG|6LEGI|8aLWND|9RCR
18	16335 33633	3	   	280.17	DCR|4VULN|2TLV|2DUR|1DMG	1aTLV|247aVULN|34DUR|4aBPWR|5DMG|6LEGI|8aDUST|9RCR
19	16232 52233	8	   	279.23	DCR|4VULN|2TLV|1DMG|1DUR|1CDMG	13TLV|245aVULN|6CDMG|7RCR|8DUR|9DMG
20	16315 34332	7	   	278.07	DCR|3VULN|3DMG|2TLV|1DUR	18TLV|268VULN|3DUR|4LWND|568DMG|68BPWR|7RCR|9RPLT|aLHND
21	16315 34333	7	   	278.07	DCR|3VULN|3DMG|2TLV|1DUR	18TLV|268VULN|3DUR|4LWND|568DMG|68BPWR|7RCR|9RPLT|aRMIN
22	16315 34321	7	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	18TLV|268VULN|3DUR|4LWND|568DMG|68BPWR|7RCR|9BBNT|aTBNT
23	12353 23236	8	   	277.18	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2MBVNT|3AART|47aVULN|5ASPD|6RCR|8DMG|9aDUR|aBPWR
24	12353 23246	9	   	277.18	DCR|3VULN|2TLV|2DUR|1DMG	1aTLV|2MBVNT|3AART|47aVULN|5ASPD|6RCR|8DMG|9aDUR|aBPWR
25	16315 23333	5	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|56DMG|6aBPWR|8aBEXP|9RCR
26	16315 23433	5	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|56DMG|6aBPWR|8aLHND|9RCR
27	16315 33333	6	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|56DMG|6aBPWR|8aBEXP|9RCR
28	16315 33433	6	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|56DMG|6aBPWR|8aLHND|9RCR
29	16333 23433	5	   	277.00	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4BEXP|56DMG|6aBPWR|8aLWND|9RCR
30	16311 51533	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|5FEWX|8aDMG|9RCR|aBPWR
31	16313 31533	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|256VULN|3aDUR|4LWND|7LHND|8aDMG|9RCR|aBPWR
32	16313 31543	9	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|256VULN|3aDUR|4LWND|7LHND|8aDMG|9RCR|aBPWR
33	16313 41533	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|257VULN|3aDUR|4LWND|6FEWX|8aDMG|9RCR|aBPWR
34	16313 51533	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|257VULN|3aDUR|4LWND|6BEXP|8aDMG|9RCR|aBPWR
35	16331 51533	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4BEXP|5FEWX|8aDMG|9RCR|aBPWR
36	16332 51533	8	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4BEXP|5LWND|8aDMG|9RCR|aBPWR
37	16335 36333	3	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|24aVULN|34DUR|4aBPWR|57DMG|6LEGI|8aBEXP|9RCR
38	16343 23333	5	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4DUST|56DMG|6aBPWR|8aBEXP|9RCR
39	16343 23433	5	   	276.90	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4DUST|56DMG|6aBPWR|8aLWND|9RCR
40	16313 35533	8	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|256VULN|3aDUR|4LWND|7DUST|8aDMG|9RCR|aBPWR
41	16315 23633	5	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|56DMG|6aBPWR|8aDUST|9RCR
42	16315 33633	6	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|267VULN|3aDUR|4LWND|56DMG|6aBPWR|8aDUST|9RCR
43	16232 13534	6	   	276.68	DCR|4VULN|2DMG|3TLV	138TLV|2458VULN|68DMG|7AART|8BPWR|9DMSP|aRCR
44	41232 43373	2	 * 	276.16	DCR|3VULN|3DUR|2TLV|3ASPD	18aASPD|28aDUR|3LHND|4MBVNT|56TLV|78aVULN|8aBPWR|9RCR
45	41232 68344	2	   	276.16	DCR|3VULN|3DUR|2TLV|3ASPD	178ASPD|289DUR|3LHND|4MBVNT|59TLV|689VULN|89BPWR|aRCR
46	16313 32524	9	   	275.85	DCR|5VULN|1TLV|1DMG|1DUR	1TLV|2567aVULN|3DUR|4LWND|8DMG|9RCR
47	11313 46232	10	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2aDUR|3AART|4LIT|5BEXP|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
48	11314 46232	10	   	275.75	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1TLV|2aDUR|3AART|4LIT|5FEWX|6aVULN|7RCR|8CDMG|9aDMG|aBPWR
49	16132 33224	9	   	275.33	DCR|4VULN|2DMG|2TLV	17TLV|267aVULN|3ERES|4ASPD|57DMG|7BPWR|8LWND|9RCR
50	12276 24317	3	   	275.23	DCR|4VULN|2DMG|2TLV	13TLV|2MBVNT|4678VULN|56DMG|6BPWR|9RCR|aLIT
51	16236 24317	3	   	275.23	DCR|4VULN|2DMG|2TLV	13TLV|2678VULN|4MBVNT|56DMG|6BPWR|9RCR|aLIT
52	16252 24317	5	   	275.23	DCR|4VULN|2DMG|2TLV	13TLV|2678VULN|4MBVNT|56DMG|6BPWR|9RCR|aLIT
53	16333 23354	5	   	275.19	DCR|4VULN|2DMG|1TLV|1DUR	1TLV|267aVULN|3DUR|48BEXP|56DMG|6BPWR|9RCR
54	16343 23336	5	   	275.09	DCR|4VULN|2DMG|1TLV|1DUR	1TLV|267aVULN|3DUR|4DUST|56DMG|6BPWR|8BEXP|9RCR
55	12353 23574	10	   	273.52	DCR|5VULN|2TLV|2ASPD	1aTLV|2MBVNT|3AART|4789aVULN|5aASPD|6RCR|aBPWR
56	16335 53311	3	   	273.09	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|248VULN|34DUR|4BPWR|5DMG|6LIT|7LHND|9RCR|aCDMG
57	16335 52311	3	   	272.99	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|248VULN|34DUR|4BPWR|5DMG|6LIT|7DUST|9RCR|aCDMG
58	16232 52236	8	   	272.77	DCR|3VULN|2TLV|2DUR|1DMG|1CDMG	13TLV|245VULN|6CDMG|7RCR|8aDUR|9DMG
59	14332 11355	1	 * 	272.36	DCR|4VULN|1TLV|2CDMG|1DUR|2LIT	1TLV|2678VULN|3aCDMG|4DUR|56LIT|6BPWR|9RCR
60	16332 11355	2	   	272.36	DCR|4VULN|1TLV|2CDMG|1DUR|2LIT	1TLV|2678VULN|3aCDMG|4DUR|56LIT|6BPWR|9RCR
61	11342 61321	8	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2DUR|3AART|49aVULN|5ERES|6RCR|7CGEN|89DMG|9BPWR
62	11346 26321	8	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2DUR|3AART|49aVULN|5CGEN|6ERES|7RCR|89DMG|9BPWR
63	11346 62321	8	   	271.88	DCR|3VULN|2DMG|2TLV|1DUR	19TLV|2DUR|3AART|49aVULN|5CGEN|6RCR|7ERES|89DMG|9BPWR
64	16313 32521	9	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2567VULN|3DUR|4LWND|8DMG|9RCR|aCDMG
65	16313 32524	10	   	271.15	DCR|4VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|2567VULN|3DUR|4LWND|8DMG|9RCR|aCDMG
66	32421 63136	7	 * 	271.11	DCR|2VULN|3DUR|2TLV|2CDMG|2LIT	1RMIN|28aDUR|38LIT|4aTLV|5ASPD|68CDMG|7RCR|8aBPWR|9aVULN
67	14332 11356	1	 * 	271.05	DCR|4VULN|1TLV|3LIT|1DUR|1CDMG	1TLV|2678VULN|3CDMG|4DUR|56aLIT|6BPWR|9RCR
68	16332 11356	2	   	271.05	DCR|4VULN|1TLV|3LIT|1DUR|1CDMG	1TLV|2678VULN|3CDMG|4DUR|56aLIT|6BPWR|9RCR
69	16132 33321	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aRPLT
70	16132 33322	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aBEXP
71	16132 33322	9	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aRCVC
72	16132 33323	9	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aBELT
73	16132 33325	9	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aLWND
74	16132 33325	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aCGEN
75	16132 33326	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aLWND
76	16132 33326	9	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR|aMLV
77	16132 33335	10	   	270.53	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3ERES|4ASPD|57DMG|7BPWR|8DUR|9RPLT|aRCR
78	12333 85454	3	   	270.45	DCR|3VULN|3DUR|2TLV	17TLV|2MBVNT|3AART|467VULN|567DUR|67BPWR|8BELT|9ASPD|aRCR
79	16132 13324	9	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|27aVULN|36ERES|4ASPD|57DMG|7BPWR|8DUR|9RCR
80	16132 33323	10	   	270.43	DCR|3VULN|2DMG|2TLV|1DUR	17TLV|267VULN|3aERES|4ASPD|57DMG|7BPWR|8DUR|9RCR
81	16132 12635	10	   	269.93	DCR|3VULN|3DMG|3TLV	189TLV|289VULN|36ERES|4ASPD|589DMG|7RMIN|89BPWR|aRCR
82	12351 24833	8	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	17aTLV|2MBVNT|38AART|47aVULN|5RPLT|67aDUR|7aBPWR|9RCR
83	12381 54833	8	   	269.91	DCR|3VULN|3DUR|3TLV|2AART	17aTLV|2MBVNT|38AART|47aDUR|5RPLT|67aVULN|7aBPWR|9RCR
84	12351 24138	8	   	269.86	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3AART|478aVULN|5RPLT|67DUR|7BPWR|9RCR
85	13537 44411	9	   	269.86	DCR|4VULN|2TLV|2DUR	17TLV|2CGEN|3MBVNT|47DUR|567aVULN|7BPWR|8AART|9RCR
86	12351 24118	10	   	269.86	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3AART|4789VULN|5RPLT|67DUR|7BPWR|aRCR
87	12351 58133	8	   	269.86	DCR|4VULN|2TLV|2DUR	1aTLV|2MBVNT|3AART|468aVULN|5RPLT|7aDUR|9RCR|aBPWR
88	12381 54118	10	   	269.86	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3AART|47DUR|5RPLT|6789VULN|7BPWR|aRCR
89	12381 54138	8	   	269.86	DCR|4VULN|2TLV|2DUR	17TLV|2MBVNT|3AART|47DUR|5RPLT|678aVULN|7BPWR|9RCR
