0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56136 22434	6	 * 	305.46	DCR|4VULN|3DUR|2DMG|1TLV|1SELL	1269VULN|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aTLV
20	56136 22433	6	   	289.11	DCR|4VULN|3DUR|2DMG|1SELL	1269VULN|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aTBNT
21	52362 44821	2	   	288.69	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	125aVULN|25BPWR|3MBVNT|45DMG|6RCR|7TLV|8ASPD|9DUR
22	55212 12336	3	   	287.69	DCR|5VULN|3DUR|1TLV	1579aVULN|2TLV|39LHND|459DUR|59BPWR|6BELT|8RCR
23	52111 51113	9	   	286.37	DCR|5VULN|2DUR|2LIT|1CDMG|1SELL	12489VULN|29BPWR|3SELL|59DUR|6RCR|79LIT|aCDMG
24	56111 51113	9	   	286.37	DCR|5VULN|2DUR|2LIT|1CDMG|1SELL	12489VULN|3SELL|59DUR|6RCR|79LIT|9BPWR|aCDMG
25	52111 51111	9	   	285.95	DCR|5VULN|3DUR|2LIT|1SELL	12489VULN|29BPWR|3SELL|59aDUR|6RCR|79LIT
26	52111 51111	10	   	285.95	DCR|5VULN|3DUR|2LIT|1SELL	12489VULN|29BPWR|3SELL|59aDUR|6RCR|79LIT
27	56111 51111	10	   	285.95	DCR|5VULN|3DUR|2LIT|1SELL	12489VULN|3SELL|59aDUR|6RCR|79LIT|9BPWR
28	56111 51111	9	   	285.95	DCR|5VULN|3DUR|2LIT|1SELL	12489VULN|3SELL|59aDUR|6RCR|79LIT|9BPWR
29	52111 52123	7	   	285.54	DCR|4VULN|2DMG|2DUR|1SELL	124aVULN|2aBPWR|3SELL|5aDUR|6RCR|7AART|8BBNT|9aDMG
30	56111 52123	7	   	285.54	DCR|4VULN|2DMG|2DUR|1SELL	124aVULN|3SELL|5aDUR|6RCR|7AART|8BBNT|9aDMG|aBPWR
31	55212 12334	1	   	285.51	DCR|4VULN|3DUR|2TLV|1CDMG	1579VULN|2LHND|39TLV|459DUR|59BPWR|6BELT|8RCR|aCDMG
32	52541 33231	2	   	284.33	DCR|4VULN|2DMG|2DUR	126aVULN|2aBPWR|3aDUR|4ERES|5LIT|7DLOT|8aDMG|9RCR
33	52111 51115	9	   	283.73	DCR|5VULN|2DUR|2LIT|1ASPD|1SELL	12489VULN|29BPWR|3SELL|59DUR|6RCR|79LIT|aASPD
34	55611 31133	4	   	282.99	DCR|4VULN|2DUR|1DMG|1TLV	1367VULN|2TLV|48DUR|5LIT|9DMG|aRCR
35	54236 22434	6	   	282.86	DCR|3VULN|3DUR|2DMG|1TLV	169VULN|23DLOT|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aTLV
36	51136 22434	6	   	282.82	DCR|3VULN|3DUR|2DMG|1TLV|1SELL	169VULN|2RCVC|3SELL|469DUR|5MBVNT|69BPWR|7RCR|89DMG|aTLV
37	52136 82434	5	   	282.72	DCR|3VULN|3DUR|2DMG|1TLV|1SELL	129VULN|29BPWR|3SELL|469DUR|5MBVNT|7RCR|89DMG|aTLV
38	52161 26332	7	 * 	282.12	DCR|3VULN|3DMG|3DUR|1SELL	129VULN|269BPWR|3SELL|46DUST|569DUR|79aDMG|8RCR
39	55212 12334	3	   	281.80	DCR|4VULN|3DUR|1TLV|1CDMG	1579VULN|2TLV|39LHND|459DUR|59BPWR|6BELT|8RCR|aCDMG
40	52362 43261	2	   	280.98	DCR|5VULN|2DMG|1DUR	1259aVULN|25BPWR|3MBVNT|45DMG|6RCR|7FEWX|8DUR
41	52362 44452	2	   	280.98	DCR|5VULN|2DMG|1TLV	1259aVULN|25BPWR|3MBVNT|45DMG|6RCR|7TLV|8LWND
42	52111 56133	8	   	280.94	DCR|5VULN|2DMG|1DUR|1SELL	1249aVULN|29BPWR|3SELL|5DUR|6RCR|79DMG|89FEWX
43	52111 56233	8	   	280.94	DCR|5VULN|2DMG|1DUR|1SELL	1249aVULN|29BPWR|3SELL|5DUR|6RCR|79DMG|89LWND
44	52111 56233	7	   	280.94	DCR|5VULN|2DMG|1DUR|1SELL	1249aVULN|29BPWR|3SELL|5DUR|6RCR|79DMG|89LHND
45	52362 44824	2	   	280.64	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	125VULN|25BPWR|3MBVNT|45DMG|6RCR|7TLV|8ASPD|9aDUR
46	52368 43211	2	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	128VULN|28BPWR|3MBVNT|48DMG|5LWND|6CDMG|789DUR|aRCR
47	52142 41447	2	   	280.21	DCR|4VULN|2DMG|2TLV|2LIT	125aVULN|25aBPWR|35TLV|4MBVNT|6RCR|7RPLT|8aDMG|9aLIT
48	55212 12332	1	   	280.17	DCR|4VULN|3DUR|2TLV	1579VULN|2LHND|39TLV|459DUR|59BPWR|6BELT|8RCR|aLIT
49	33632 11423	8	   	279.79	DCR|5VULN|2DMG|2LIT	19FEWX|2456aVULN|39LIT|7RCR|89DMG|9BPWR
50	52361 21443	2	   	279.69	DCR|5VULN|2DMG|2LIT	1289aVULN|28BPWR|3MBVNT|48DMG|58LIT|6BELT|7RCR
51	56361 21443	2	   	279.69	DCR|5VULN|2DMG|2LIT	1289aVULN|3MBVNT|48DMG|58LIT|6BELT|7RCR|8BPWR
52	56361 21443	1	   	279.69	DCR|5VULN|2DMG|2LIT	1289aVULN|3MBVNT|48DMG|58LIT|6BELT|7RCR|8BPWR
53	52362 44631	2	   	278.87	DCR|4VULN|2DMG|2AART|1TLV	125aVULN|25BPWR|3MBVNT|45DMG|6RCR|7TLV|89AART
54	52343 26221	4	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	127aVULN|2aBPWR|3RCVC|4aTLV|5DMG|6CGEN|8aDUR|9RCR
55	55223 26221	2	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	137aVULN|2aTLV|4RCVC|5DMG|6CGEN|8aDUR|9RCR|aBPWR
56	55323 26221	2	   	278.60	DCR|4VULN|2DUR|3TLV|1DMG	137aVULN|23aTLV|3aBPWR|4RCVC|5DMG|6CGEN|8aDUR|9RCR
57	52123 26221	2	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	127aVULN|2aBPWR|3aTLV|4RCVC|5DMG|6CGEN|8aDUR|9RCR
58	56123 26221	1	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	127aVULN|3aTLV|4RCVC|5DMG|6CGEN|8aDUR|9RCR|aBPWR
59	56123 26221	2	   	278.60	DCR|4VULN|2DUR|2TLV|1DMG	127aVULN|3aTLV|4RCVC|5DMG|6CGEN|8aDUR|9RCR|aBPWR
60	56512 13331	6	   	278.18	DCR|5VULN|2DUR|1DMG	12489VULN|3RPLT|49BPWR|5DMG|69FEWX|79DUR|aRCR
61	56512 13331	5	   	278.18	DCR|5VULN|2DUR|1DMG	12489VULN|3RPLT|49BPWR|5DMG|69LWND|79DUR|aRCR
62	52136 22443	6	   	277.73	DCR|5VULN|2DUR|1DMG|1SELL	1269aVULN|26BPWR|3SELL|46DUR|5MBVNT|7RCR|8DMG
63	56136 22443	6	   	277.73	DCR|5VULN|2DUR|1DMG|1SELL	1269aVULN|3SELL|46DUR|5MBVNT|6BPWR|7RCR|8DMG
64	52362 44721	2	   	277.69	DCR|4VULN|2DMG|1TLV|1DUR	125aVULN|25BPWR|3MBVNT|45DMG|6RCR|7TLV|8CGEN|9DUR
65	52331 35231	3	   	276.93	DCR|3VULN|2DMG|2TLV|1DUR	12aVULN|2aBPWR|3RCVC|4AART|5aTLV|6LIT|7DUR|8aDMG|9RCR
66	52343 35231	5	   	276.93	DCR|3VULN|2DMG|2TLV|1DUR	12aVULN|2aBPWR|3RCVC|4aTLV|5AART|6LIT|7DUR|8aDMG|9RCR
67	56331 35231	3	   	276.93	DCR|3VULN|2DMG|2TLV|1DUR	12aVULN|3RCVC|4AART|5aTLV|6LIT|7DUR|8aDMG|9RCR|aBPWR
68	52513 16112	9	 * 	276.76	DCR|5VULN|2ASPD|2TLV	12489VULN|249BPWR|3RPLT|5LIT|69ASPD|79TLV|aRCR
69	55212 12332	3	   	276.46	DCR|4VULN|3DUR|1TLV	1579VULN|2TLV|39LHND|459DUR|59BPWR|6BELT|8RCR|aLIT
70	52111 41233	5	   	276.44	DCR|4VULN|2DUR|1TLV|1CDMG|1SELL	1246VULN|26BPWR|3SELL|56DUR|7TLV|8LIT|9CDMG|aRCR
71	56111 41233	5	   	276.44	DCR|4VULN|2DUR|1TLV|1CDMG|1SELL	1246VULN|3SELL|56DUR|6BPWR|7TLV|8LIT|9CDMG|aRCR
72	52361 21441	2	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1289VULN|28BPWR|3MBVNT|48DMG|58LIT|6BELT|7RCR|aDUR
73	56361 21441	1	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1289VULN|3MBVNT|48DMG|58LIT|6BELT|7RCR|8BPWR|aDUR
74	56361 21441	2	   	276.40	DCR|4VULN|2DMG|1DUR|2LIT	1289VULN|3MBVNT|48DMG|58LIT|6BELT|7RCR|8BPWR|aDUR
75	33642 11423	8	   	276.36	DCR|4VULN|2DMG|3LIT|1ASPD	19FEWX|2456VULN|349LIT|49BPWR|7RCR|89DMG|aASPD
76	52323 16421	8	   	276.22	DCR|4VULN|2DMG|2DUR	128aVULN|2aBPWR|3RCVC|4aDUR|5MLV|6CGEN|7aDMG|9RCR
77	52512 31241	2	   	276.22	DCR|4VULN|2DMG|2DUR	128aVULN|28BPWR|35DUR|48FEWX|68DMG|7RPLT|9RCR
78	52552 23121	2	   	276.12	DCR|4VULN|2DMG|2DUR	126aVULN|25BPWR|35DUR|45DMG|7BEXP|8LWND|9RCR
79	52323 23421	8	 * 	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	128aVULN|2aBPWR|3RCVC|4aDUR|5MLV|6TLV|7aASPD|9RCR
80	56323 23421	8	   	276.04	DCR|4VULN|2DUR|2ASPD|1TLV	128aVULN|3RCVC|4aDUR|5MLV|6TLV|7aASPD|9RCR|aBPWR
81	33233 31351	3	   	276.02	DCR|4VULN|2DMG|2DUR	1FEWX|269aVULN|3DUST|47DUR|56DMG|6BPWR|8RCR
82	33533 31351	2	   	276.02	DCR|4VULN|2DMG|2DUR	1FEWX|269aVULN|3DUST|47DUR|56DMG|6BPWR|8RCR
83	36533 31351	1	   	276.02	DCR|4VULN|2DMG|2DUR	1FEWX|269aVULN|3DUST|47DUR|56DMG|6BPWR|8RCR
84	52362 43264	2	   	276.02	DCR|4VULN|2DMG|2DUR	1259VULN|25BPWR|3MBVNT|45DMG|6RCR|7FEWX|8aDUR
85	52121 35333	7	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|29BPWR|3SELL|4LHND|5RCVC|69DUR|79DMG|8RCR
86	52121 35633	8	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|29BPWR|3SELL|4LHND|5RCVC|69DUR|79DMG|8RCR
87	52312 35333	7	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|29BPWR|3RCVC|4LHND|5SELL|69DUR|79DMG|8RCR
88	52312 35633	8	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|29BPWR|3RCVC|4LHND|5SELL|69DUR|79DMG|8RCR
89	56121 35333	7	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|3SELL|4LHND|5RCVC|69DUR|79DMG|8RCR|9BPWR
90	56312 35333	7	   	275.98	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|3RCVC|4LHND|5SELL|69DUR|79DMG|8RCR|9BPWR
91	53233 23346	1	   	275.94	DCR|4VULN|2DUR|2ASPD|1TLV	138aVULN|2aASPD|4RPLT|5ERES|6TLV|7aDUR|9RCR|aBPWR
92	52136 52433	5	   	275.88	DCR|4VULN|2DMG|2DUR|1SELL	129aVULN|29BPWR|3SELL|49DUR|5MBVNT|6RCVC|7RCR|89DMG
93	52136 22423	6	   	275.78	DCR|4VULN|2DMG|2DUR|1SELL	126aVULN|26BPWR|3SELL|46DUR|5MBVNT|7RCR|89DMG
94	52136 22444	6	   	275.78	DCR|4VULN|2DMG|2DUR|1SELL	1269VULN|26BPWR|3SELL|46DUR|5MBVNT|7RCR|8aDMG
95	52162 61332	5	   	275.78	DCR|4VULN|2DMG|2DUR|1SELL	1279VULN|29BPWR|3SELL|4aDUST|59DMG|69DUR|8RCR
96	56136 22423	6	   	275.78	DCR|4VULN|2DMG|2DUR|1SELL	126aVULN|3SELL|46DUR|5MBVNT|6BPWR|7RCR|89DMG
97	56136 22444	6	   	275.78	DCR|4VULN|2DMG|2DUR|1SELL	1269VULN|3SELL|46DUR|5MBVNT|6BPWR|7RCR|8aDMG
98	52131 35241	4	   	275.64	DCR|4VULN|2DMG|2DUR|2SELL	128aVULN|28BPWR|37SELL|48DUR|5LEGI|68DMG|9RCR
99	33645 31113	10	   	275.50	DCR|3VULN|2DUR|2TLV|2LIT|1CDMG|1ASPD	1FEWX|24aVULN|34LIT|4aBPWR|5ASPD|6aDUR|7RCR|8CDMG|9aTLV
