0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21333 25366	6	 * 	273.29	DCR|4VULN|3ASPD|3TLV|2LIT	189TLV|27LIT|3MBVNT|489ASPD|5689VULN|89BPWR|aRCR
24	21321 72836	5	   	260.48	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2LIT|3MBVNT|4AART|59DMG|6BBNT|789VULN|9BPWR|aRCR
25	21324 52836	3	   	260.48	DCR|3VULN|2DMG|2TLV|1AART	19TLV|2LIT|3MBVNT|49DMG|5BBNT|6AART|789VULN|9BPWR|aRCR
26	21321 44768	7	   	260.48	DCR|3VULN|2DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68aVULN|7RCR|8BPWR|9DUST
27	31347 47162	9	   	260.43	DCR|4VULN|2DUR|1CDMG	17ZMB|2LIT|3MBVNT|4678VULN|57DUR|7BPWR|9CDMG|aRCR
28	25143 21212	4	   	258.89	DCR|2VULN|2ASPD|2TLV|1DMG|1DUR|1CDMG|1NUKE|1AART	1aTLV|2CDMG|3aASPD|4NUKE|5DUR|6DMG|7AART|8RCR|9aVULN|aBPWR
29	24231 51223	1	 * 	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1TLV|239DUR|478VULN|5FEWX|6RCR|aCDMG
30	26343 62112	10	   	258.67	DCR|3VULN|2ASPD|1DMG|1TLV|1DUR	1TLV|2aASPD|3FEWX|4DMG|59aVULN|6RCR|7DUR|8aERES|aBPWR
31	21433 23356	7	 * 	258.47	DCR|4VULN|3LIT|3TLV|1ASPD	189TLV|289LIT|37DUST|4ASPD|5689VULN|89BPWR|aRCR
32	22212 54531	1	 * 	258.44	DCR|4VULN|2DUR|2TLV	17TLV|2BEXP|37DUR|4RPLT|579aVULN|6MBVNT|7BPWR|8RCR
33	24212 54531	2	   	258.34	DCR|4VULN|2DUR|2TLV	17TLV|2DUST|37DUR|4RPLT|579aVULN|6MBVNT|7BPWR|8RCR
34	24212 54531	3	   	258.34	DCR|4VULN|2DUR|2TLV	17TLV|2DUST|37DUR|4RPLT|579aVULN|6MBVNT|7BPWR|8RCR
35	21333 21651	6	   	258.01	DCR|3VULN|2DMG|1TLV|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|568VULN|79DMG|aRCR
36	21313 21671	6	   	257.47	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|29LIT|3MBVNT|4MLV|568VULN|79DMG|9BPWR|aRCR
37	21313 28171	8	   	257.47	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|29LIT|3MBVNT|4MLV|568VULN|79DMG|9BPWR|aRCR
38	21313 28671	7	   	257.47	DCR|3VULN|2DMG|2TLV|2LIT	19TLV|29LIT|3MBVNT|4MLV|568VULN|79DMG|9BPWR|aRCR
39	21333 21156	6	 * 	257.22	DCR|2VULN|3DMG|2TLV|2LIT|1ASPD	18TLV|28LIT|3MBVNT|4ASPD|56VULN|789DMG|8BPWR|aRCR
40	24231 51531	1	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1TLV|23DUR|47aVULN|5FEWX|6RCR|8ASPD|9CDMG
41	24232 51531	1	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1TLV|23DUR|47aVULN|5BEXP|6RCR|8ASPD|9CDMG
42	26322 31212	6	   	256.61	DCR|2VULN|2DMG|2ASPD|1TLV|1CDMG|1AART	1TLV|2aASPD|3FEWX|4ZMB|5aDMG|6CDMG|7AART|8RCR|9aVULN|aBPWR
43	25136 12113	10	   	256.39	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|57DUR|6RCR|89aVULN
44	21134 36261	4	   	256.09	DCR|3VULN|3LIT|3TLV|1DMG|1ASPD	179TLV|279LIT|38CGEN|4ASPD|579VULN|6RCR|79BPWR|aDMG
45	21321 44263	10	   	255.33	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|69aVULN|7RCR|8DUR
46	21321 44268	9	   	255.33	DCR|3VULN|1DMG|1TLV|1DUR|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|69aVULN|7RCR|8DUR
47	21333 21132	6	   	255.21	DCR|2VULN|2DMG|2TLV|2LIT|1CDMG|1ASPD	18TLV|28LIT|3MBVNT|4ASPD|56VULN|78DMG|8BPWR|9CDMG|aRCR
48	31343 37165	7	   	255.12	DCR|3VULN|3DUR|2LIT|1ASPD	178ZMB|25LIT|3MBVNT|478VULN|678DUR|78BPWR|9ASPD|aRCR
49	26343 61213	6	   	254.86	DCR|4VULN|1DMG|1TLV|1ASPD	1TLV|2ASPD|39FEWX|4DMG|578aVULN|6RCR
50	21334 33135	2	   	254.78	DCR|3VULN|2ASPD|2TLV|2LIT|1CDMG	18TLV|28LIT|3ZMB|47ASPD|58aVULN|6RCR|8BPWR|9CDMG
51	23334 33135	1	   	254.78	DCR|3VULN|2ASPD|2TLV|2LIT|1CDMG	18TLV|28LIT|3ZMB|47ASPD|58aVULN|6RCR|8BPWR|9CDMG
52	25121 23514	8	 * 	254.76	DCR|4VULN|2CDMG|1TLV|1ASPD	1TLV|29CDMG|3ASPD|478aVULN|5LWND|6RCR
53	25121 23534	9	   	254.76	DCR|4VULN|2CDMG|1TLV|1ASPD	1TLV|29CDMG|3ASPD|478aVULN|5LWND|6RCR
54	25121 23535	10	   	254.76	DCR|4VULN|2CDMG|1TLV|1ASPD	1TLV|29CDMG|3ASPD|478aVULN|5LWND|6RCR
55	26122 14423	3	   	254.66	DCR|4VULN|2ASPD|1TLV|1AART	1TLV|29ASPD|3LHND|4AART|578aVULN|6RCR
56	26122 14423	2	   	254.66	DCR|4VULN|2ASPD|1TLV|1AART	1TLV|29ASPD|3LWND|4AART|578aVULN|6RCR
57	21124 32562	4	   	254.65	DCR|3VULN|3LIT|2TLV|1DMG|1AART	19TLV|279LIT|3CGEN|4DMG|589VULN|6RCR|9BPWR|aAART
58	24231 51213	1	   	254.62	DCR|4VULN|2DUR|1TLV	1TLV|23DUR|478aVULN|59FEWX|6RCR
59	24231 51236	1	   	254.62	DCR|4VULN|2DUR|1TLV	1TLV|23DUR|478aVULN|5FEWX|6RCR|9LHND
60	24232 51221	1	   	254.62	DCR|4VULN|2DUR|1TLV	1TLV|23DUR|478aVULN|5BEXP|6RCR|9RMIN
61	25121 23135	8	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|47aVULN|5LWND|6RCR|8LIT|9DMG
62	25121 23515	9	   	254.17	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478VULN|5LWND|6RCR|9DMG|aLIT
63	35124 34112	7	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1ZMB|2CDMG|3ASPD|467VULN|5LIT|8DMG|9DUR|aRCR
64	21333 21632	6	   	254.07	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2LIT|3MBVNT|4ASPD|568VULN|7DMG|9CDMG|aRCR
65	25124 33132	7	   	254.07	DCR|3VULN|1DMG|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|467VULN|5LIT|8DMG|9MBVNT|aRCR
66	21134 36533	4	   	253.32	DCR|4VULN|2TLV|2LIT|1ASPD|1SELL	17TLV|27LIT|3CGEN|4ASPD|578aVULN|6RCR|7BPWR|9SELL
67	26622 21115	5	   	252.99	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD	1TLV|2ASPD|3aVULN|4aZMB|5CDMG|6aDMG|7DUR|8LHND|9RCR|aBPWR
68	21221 53434	10	   	252.83	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1TLV|2LIT|3FEWX|4AART|5DMG|678VULN|9RCR|aCDMG
69	21321 43213	7	   	252.73	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|67aVULN|8CDMG|9RCR
70	21321 43213	6	   	252.73	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|68aVULN|7CDMG|9RCR
71	21321 43555	10	   	252.73	DCR|3VULN|1DMG|1TLV|1CDMG|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|678VULN|9RCR|aCDMG
72	54231 51221	1	   	252.65	DCR|3VULN|2DUR|1TLV|1ASPD|1AART	1ASPD|23DUR|478VULN|5FEWX|6RCR|9AART|aTLV
73	25136 15131	10	   	252.55	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|5DUR|6RCR|7aDMG|89VULN
74	21233 24313	6	   	252.18	DCR|3VULN|3LIT|2TLV|1DUR|1ASPD	18TLV|278LIT|3FEWX|4ASPD|568VULN|8BPWR|9DUR|aRCR
75	25121 23515	8	 * 	252.18	DCR|3VULN|1DMG|2CDMG|1TLV|1ASPD	1TLV|29CDMG|3ASPD|478VULN|5LWND|6RCR|aDMG
76	25121 23535	9	   	252.18	DCR|3VULN|1DMG|2CDMG|1TLV|1ASPD	1TLV|29CDMG|3ASPD|478VULN|5LWND|6RCR|aDMG
77	26343 61222	6	   	252.18	DCR|3VULN|2TLV|1DMG|1DUR|1ASPD	1aTLV|2ASPD|3FEWX|4DMG|578VULN|6RCR|9DUR
78	51335 31135	2	 * 	252.17	DCR|3VULN|2DMG|2ASPD	15ASPD|2LIT|3ZMB|45DMG|5BPWR|6CGEN|7RCR|89aVULN
79	53335 31135	1	   	252.17	DCR|3VULN|2DMG|2ASPD	15ASPD|2LIT|3ZMB|45DMG|5BPWR|6CGEN|7RCR|89aVULN
80	21152 22331	8	   	252.16	DCR|4VULN|1DMG|1TLV	1TLV|2LIT|3CGEN|4689VULN|5LWND|7RCR|aDMG
81	23552 22331	8	   	252.16	DCR|4VULN|1DMG|1TLV	1TLV|2CGEN|3LIT|4689VULN|5LWND|7RCR|aDMG
82	21433 24313	6	   	252.08	DCR|3VULN|3LIT|2TLV|1DUR|1ASPD	18TLV|278LIT|3DUST|4ASPD|568VULN|8BPWR|9DUR|aRCR
83	21433 53313	7	   	252.08	DCR|3VULN|3LIT|2TLV|1DUR|1ASPD	18TLV|268LIT|37DUST|4ASPD|568VULN|68BPWR|9DUR|aRCR
84	21313 28181	9	   	252.06	DCR|4VULN|1DMG|1TLV	1TLV|2LIT|3MBVNT|4MLV|5689VULN|7DMG|aRCR
85	21552 22331	8	   	252.06	DCR|4VULN|1DMG|1TLV	1TLV|2LIT|3ERES|4689VULN|5LWND|7RCR|aDMG
86	25136 14113	10	   	252.02	DCR|3VULN|2ASPD|1TLV|1DUR|1CDMG|1SELL	1TLV|2CDMG|37ASPD|4SELL|5DUR|6RCR|89aVULN
87	25231 51621	8	 * 	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1TLV|28CDMG|3FEWX|49aVULN|56DUR|7RCR
88	25531 51321	8	   	251.95	DCR|3VULN|2DUR|2CDMG|1TLV	1TLV|28CDMG|3LHND|49aVULN|56DUR|7RCR
89	45231 51221	7	   	251.92	DCR|4VULN|2DUR|1CDMG	1ERES|2CDMG|3FEWX|489aVULN|56DUR|7RCR
90	51343 37141	8	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|25LIT|3MBVNT|478VULN|67DUR|7BPWR|9RCVC|aRCR
91	51343 37342	7	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|25LIT|3MBVNT|47aVULN|67DUR|7BPWR|8LWND|9RCR
92	51343 37742	8	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|25LIT|3MBVNT|47aVULN|67DUR|7BPWR|8FEWX|9RCR
93	51343 37812	7	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|25LIT|3MBVNT|47aVULN|67DUR|7BPWR|8RCR|9BEXP
94	51347 27141	8	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|26LIT|3MBVNT|478VULN|57DUR|7BPWR|9RCVC|aRCR
95	51347 27342	7	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|26LIT|3MBVNT|47aVULN|57DUR|7BPWR|8LWND|9RCR
96	51347 42141	6	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	18ASPD|27LIT|3MBVNT|468VULN|58DUR|8BPWR|9RCVC|aRCR
97	51347 47241	7	   	251.90	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|28LIT|3MBVNT|467VULN|57DUR|7BPWR|9RCVC|aRCR
98	21334 33141	2	 * 	251.87	DCR|2VULN|2DMG|2ASPD|2TLV|2LIT	18TLV|28LIT|3ZMB|47ASPD|58VULN|6RCR|8BPWR|9aDMG
99	23334 33141	1	   	251.87	DCR|2VULN|2DMG|2ASPD|2TLV|2LIT	18TLV|28LIT|3ZMB|47ASPD|58VULN|6RCR|8BPWR|9aDMG
100	51343 37542	7	   	251.80	DCR|3VULN|2DUR|2ASPD|2LIT	17ASPD|25LIT|3MBVNT|47aVULN|67DUR|7BPWR|8LEGI|9RCR
101	51343 37132	8	   	251.66	DCR|3VULN|2DUR|2ASPD|2LIT|1SELL	17ASPD|25LIT|3MBVNT|478VULN|67DUR|7BPWR|9SELL|aRCR
102	51347 27132	8	   	251.66	DCR|3VULN|2DUR|2ASPD|2LIT|1SELL	17ASPD|26LIT|3MBVNT|478VULN|57DUR|7BPWR|9SELL|aRCR
103	51347 42132	6	   	251.66	DCR|3VULN|2DUR|2ASPD|2LIT|1SELL	18ASPD|27LIT|3MBVNT|468VULN|58DUR|8BPWR|9SELL|aRCR
104	51347 47232	7	   	251.66	DCR|3VULN|2DUR|2ASPD|2LIT|1SELL	17ASPD|28LIT|3MBVNT|467VULN|57DUR|7BPWR|9SELL|aRCR
105	51523 21121	2	   	251.42	DCR|3VULN|2DMG|1ASPD|1AART	1ASPD|2LIT|39aVULN|46DMG|5DLOT|7AART|8RCR
106	53523 21121	1	   	251.42	DCR|3VULN|2DMG|1ASPD|1AART	1ASPD|2LIT|39aVULN|46DMG|5DLOT|7AART|8RCR
107	21124 32366	4	 * 	251.32	DCR|2VULN|3DMG|3LIT|2TLV	19TLV|278LIT|3CGEN|49aDMG|59VULN|6RCR|9BPWR
108	21333 21167	6	   	251.22	DCR|2VULN|2DMG|2TLV|2LIT|1ASPD|1AART	18TLV|28LIT|3MBVNT|4ASPD|56VULN|78DMG|8BPWR|9AART|aRCR
109	54233 53121	1	 * 	250.86	DCR|2VULN|3ASPD|2DUR|1TLV|2LIT	158ASPD|23DUR|48VULN|6RCR|78LIT|8BPWR|9ZMB|aTLV
110	21233 21146	6	   	250.77	DCR|2VULN|3DMG|2TLV|1ASPD	18TLV|2LIT|38FEWX|4ASPD|56VULN|789DMG|8BPWR|aRCR
111	21134 33563	4	   	250.65	DCR|3VULN|3ASPD|2TLV|2LIT	19TLV|29LIT|3CGEN|47aASPD|589VULN|6RCR|9BPWR
112	21333 35366	5	   	250.65	DCR|3VULN|3ASPD|3TLV|2LIT	189TLV|27LIT|3MBVNT|489ASPD|589VULN|6RCVC|89BPWR|aRCR
113	21433 21146	6	   	250.57	DCR|2VULN|3DMG|2TLV|1ASPD	18TLV|2LIT|38DUST|4ASPD|56VULN|789DMG|8BPWR|aRCR
114	24333 31146	2	   	250.57	DCR|2VULN|3DMG|2TLV|1ASPD	18TLV|23DUST|48VULN|5ASPD|6LIT|789DMG|8BPWR|aRCR
115	21337 27342	6	   	250.55	DCR|3VULN|3ASPD|3TLV|2LIT	168TLV|25LIT|3MBVNT|458ASPD|58BPWR|78aVULN|9RCR
116	25121 23141	10	   	250.36	DCR|3VULN|1TLV|1DUR|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|47aVULN|5LWND|6RCR|8LIT|9DUR
117	21321 43537	9	   	250.08	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	1TLV|2LIT|3MBVNT|4AART|5DMG|678VULN|9ASPD|aRCR
118	21333 21667	6	   	250.08	DCR|3VULN|1DMG|1TLV|1ASPD|1AART	1TLV|2LIT|3MBVNT|4ASPD|568VULN|7DMG|9AART|aRCR
119	51343 46143	4	   	250.06	DCR|4VULN|1CDMG|1ASPD|1AART	1ASPD|2LIT|3MBVNT|489aVULN|5CDMG|6RCR|7AART
120	21321 34736	5	   	249.92	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78VULN|8BPWR|9LWND|aDUR
121	21321 44736	7	   	249.92	DCR|2VULN|2DMG|2TLV|1DUR|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68VULN|7RCR|8BPWR|9LWND|aDUR
122	21321 34775	5	   	249.82	DCR|2VULN|2DMG|2TLV|1DUR|1NUKE|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|6RCR|78VULN|8BPWR|9NUKE|aDUR
123	21321 44775	7	   	249.82	DCR|2VULN|2DMG|2TLV|1DUR|1NUKE|1AART	18TLV|2LIT|3MBVNT|4AART|58DMG|68VULN|7RCR|8BPWR|9NUKE|aDUR
124	25136 15121	9	 * 	249.55	DCR|2VULN|2DUR|1DMG|1TLV|1CDMG|1ASPD|1SELL	1TLV|2CDMG|3ASPD|4SELL|59DUR|6RCR|7DMG|8aVULN
125	55132 22613	9	   	249.45	DCR|3VULN|3ASPD|2TLV|1CDMG	137ASPD|2CDMG|479VULN|5RMIN|67TLV|7BPWR|8RPLT|aRCR
126	26213 54331	4	   	249.45	DCR|3VULN|3ASPD|2TLV|1CDMG	18TLV|258ASPD|3CGEN|4LWND|6RCR|78aVULN|8BPWR|9CDMG
127	54231 51213	1	   	249.38	DCR|4VULN|2DUR|1ASPD	1ASPD|23DUR|478aVULN|59FEWX|6RCR
128	21321 34713	5	   	249.33	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9BEXP
129	21321 34733	5	   	249.33	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9LWND
130	21321 34753	5	   	249.33	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9FEWX
131	21321 44713	7	   	249.33	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9BEXP
132	21321 44733	7	   	249.33	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9LWND
133	21321 44753	7	   	249.33	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9FEWX
134	21321 34722	5	   	249.23	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9BBNT
135	21321 34742	5	   	249.23	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9TBNT
136	21321 34763	5	   	249.23	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9DUST
137	21321 34776	5	   	249.23	DCR|2VULN|3DMG|2TLV|1NUKE|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|6RCR|78VULN|8BPWR|9NUKE
138	21321 44722	7	   	249.23	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9BBNT
139	21321 44742	7	   	249.23	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9TBNT
140	21321 44763	7	   	249.23	DCR|2VULN|3DMG|2TLV|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9DUST
141	21321 44776	7	   	249.23	DCR|2VULN|3DMG|2TLV|1NUKE|1AART	18TLV|2LIT|3MBVNT|4AART|58aDMG|68VULN|7RCR|8BPWR|9NUKE
142	12621 22124	10	 * 	249.12	DCR|3VULN|3DUR|2CDMG	19LHND|2RMIN|36CDMG|489VULN|579DUR|9BPWR|aRCR
143	22212 54534	1	 * 	249.02	DCR|3VULN|3DUR|2TLV	17TLV|2BEXP|37aDUR|4RPLT|579VULN|6MBVNT|7BPWR|8RCR
144	24213 21425	5	   	249.02	DCR|3VULN|3DUR|2TLV	1aTLV|2DUST|35aDUR|4LWND|6LHND|79aVULN|8RCR|aBPWR
145	24213 31425	6	   	249.02	DCR|3VULN|3DUR|2TLV	1aTLV|2DUST|35aDUR|4LWND|6FEWX|79aVULN|8RCR|aBPWR
146	24212 54534	3	   	248.92	DCR|3VULN|3DUR|2TLV	17TLV|2DUST|37aDUR|4RPLT|579VULN|6MBVNT|7BPWR|8RCR
147	24212 54534	2	   	248.92	DCR|3VULN|3DUR|2TLV	17TLV|2DUST|37aDUR|4RPLT|579VULN|6MBVNT|7BPWR|8RCR
148	26343 21235	6	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2ASPD|3FEWX|4DMG|578VULN|6DUR|9LHND|aRCR
149	26343 31235	5	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2ASPD|3FEWX|4DMG|578VULN|6DUR|9LHND|aRCR
150	22212 64431	1	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2BEXP|3DUR|4RPLT|59aVULN|6DMG|7ASPD|8RCR
151	26343 21225	5	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2ASPD|3FEWX|4DMG|578VULN|6LHND|9DUR|aRCR
152	26343 61221	6	   	248.46	DCR|3VULN|1DMG|1TLV|1DUR|1ASPD	1TLV|2ASPD|3FEWX|4DMG|578VULN|6RCR|9DUR|aLHND
153	25121 23431	7	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479aVULN|5LWND|6RCR|8ZMB
154	25121 23521	8	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9CGEN
155	25121 23521	9	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9BEXP
156	25121 23531	8	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9FEWX
157	25121 23551	9	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9LHND
158	25121 23561	8	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|478aVULN|5LWND|6RCR|9BEXP
159	25121 23631	9	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479aVULN|5LWND|6RCR|8MLV
160	25121 23631	8	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2CDMG|3ASPD|479aVULN|5LWND|6RCR|8MLV
161	26221 53261	7	   	248.44	DCR|4VULN|1TLV|1CDMG|1ASPD	1TLV|2ASPD|3CGEN|468aVULN|5FEWX|7RCR|9CDMG
