0	Index      	 *	Score 	Summary	Detail	
1	35113 41336	 * 	276.65	紫橙2易伤1伤害1攻速1暴击1全技能	1技能点29易伤3伤害4攻速5a核6低血量敌人7暴击8全技能
37	13326 36261	   	252.84	橙橙1易伤1矿等2时间	12时间3掉矿49低血量敌人5随机矿67核8易伤a矿等
38	13335 36221	   	252.84	橙橙1易伤1矿等2时间	12时间3掉矿4随机矿59敌人爆炸67核8易伤a矿等
39	35133 41316	   	252.41	紫橙2伤害1易伤1暴击1全技能	1技能点2易伤39伤害4核弹5a核6低血量敌人7暴击8全技能
40	33264 22236	   	251.63	橙橙1易伤1矿等1暴击	1技能点2额外掉落3雷电4易伤5赏金邻近6a核7暴击8矿等9最后敌人
41	21532 36216	   	249.99	橙3易伤2伤害2时间1攻速	1双倍秒伤28时间3攻速478易伤58伤害6技能8序列升级9基地爆炸a核
42	21532 36236	   	249.99	橙3易伤2伤害2时间1攻速	1双倍秒伤28时间3攻速478易伤58伤害6技能8序列升级9最后敌人a核
43	16121 11334	   	249.25	橙橙1易伤1攻速	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9攻速a核弹
44	13326 36221	   	248.96	橙橙1易伤2时间1攻速	12时间3掉矿4低血量敌人5随机矿67核8易伤9敌人爆炸a攻速
45	13335 36261	   	248.96	橙橙1易伤2时间1攻速	12时间3掉矿4随机矿5敌人爆炸67核8易伤9低血量敌人a攻速
46	13356 36221	   	248.96	橙橙1易伤2时间1攻速	12时间3掉矿4基地爆炸5随机矿67核8易伤9敌人爆炸a攻速
47	13326 36231	   	248.86	橙橙1易伤2时间1攻速	12时间3掉矿4低血量敌人5随机矿67核8易伤9挖尘a攻速
48	13356 36231	   	248.86	橙橙1易伤2时间1攻速	12时间3掉矿4基地爆炸5随机矿67核8易伤9挖尘a攻速
49	15225 11361	   	248.82	橙橙1易伤1伤害	1时间2最后敌人3基地爆炸4敌人爆炸5雷电68核7爆破对壮9易伤a伤害
50	16131 11361	   	248.82	橙橙1易伤1伤害	1时间2雷电3基地爆炸4敌人爆炸5低血量敌人68核7爆破对壮9易伤a伤害
51	53225 11361	   	248.82	橙橙1易伤1伤害	1最后敌人2时间3基地爆炸4敌人爆炸5雷电68核7爆破对壮9易伤a伤害
52	15211 11361	   	248.72	橙橙1易伤1伤害	1时间2最后敌人3基地爆炸4雷电5挖青68核7爆破对壮9易伤a伤害
53	15235 11361	   	248.72	橙橙1易伤1伤害	1时间2最后敌人3基地爆炸4挖尘5雷电68核7爆破对壮9易伤a伤害
54	16121 11321	   	248.72	橙橙1易伤1伤害	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9低血量敌人a伤害
55	21365 11361	   	248.72	橙橙1易伤1伤害	1双倍秒伤2时间3基地爆炸4立即金币5雷电68核7爆破对壮9易伤a伤害
56	53211 11361	   	248.72	橙橙1易伤1伤害	1最后敌人2时间3基地爆炸4雷电5挖青68核7爆破对壮9易伤a伤害
57	53235 11361	   	248.72	橙橙1易伤1伤害	1最后敌人2时间3基地爆炸4挖尘5雷电68核7爆破对壮9易伤a伤害
58	16121 11354	   	248.62	橙橙1易伤1伤害	1时间2雷电3基地爆炸4易伤5挖青68核7电塔对黄9掉矿a伤害
59	62322 36213	   	248.53	橙橙2易伤	1随机矿2金币生成3掉矿4低血量敌人5等级67核8a易伤9赏金塔
60	62322 36223	   	248.53	橙橙2易伤	1随机矿2金币生成3掉矿4低血量敌人5等级67核8a易伤9敌人爆炸
61	62322 36233	   	248.43	橙橙2易伤	1随机矿2金币生成3掉矿4低血量敌人5等级67核8a易伤9挖尘
62	11438 34823	 * 	247.71	橙橙2暴击1矿等2时间1平台	17时间2金币生成37最后敌人4加一57暴击6平台7序列升级8a核9矿等
63	13335 36343	   	247.61	橙橙1伤害1矿等2时间1全技能	12时间3掉矿4随机矿5敌人爆炸67核8伤害9全技能a矿等
64	41312 45435	   	247.55	橙橙1易伤1攻速1暴击	1狙击对毒2攻速3暴击4最后敌人5加一6挖尘7a核8基地爆炸9易伤
65	51154 13333	 * 	246.90	橙3易伤3伤害1平台	1a最后敌人2金币生成38a伤害4赏金塔57a易伤6平台9核a序列升级
66	51614 13333	   	246.90	橙3易伤3伤害1平台	1a最后敌人2金币生成3赏金邻近48a伤害57a易伤6平台9核a序列升级
67	32214 13333	   	246.70	橙3易伤3伤害1平台	1a技能点2赏金塔3低血量敌人48a伤害57a易伤6平台9核a序列升级
68	32414 13333	   	246.70	橙3易伤3伤害1平台	1a技能点2赏金塔3最后敌人48a伤害57a易伤6平台9核a序列升级
69	34154 13333	   	246.70	橙3易伤3伤害1平台	1a技能点2低血量敌人38a伤害4赏金塔57a易伤6平台9核a序列升级
70	34614 13333	   	246.70	橙3易伤3伤害1平台	1a技能点2低血量敌人3赏金邻近48a伤害57a易伤6平台9核a序列升级
