0	Index      	 *	Score 	Summary	Detail	
1	43122 61532	 * 	261.16	DCR|4VULN|3MLV|1AART	1AAC|2AART|389CGEN|4BBNT|589MLV|6RCR|789aVULN|89BPWR
31	43122 61533	   	240.91	DCR|3VULN|3MLV|1AART	1AAC|2AART|389CGEN|4BBNT|589MLV|6RCR|789VULN|89BPWR|aDUST
32	45121 13124	   	240.83	DCR|2VULN|2DMG|2MLV|1RPLT	1AAC|28VULN|38DMG|4LHND|5BEXP|6NUKE|78MLV|8BPWR|9RCR|aRPLT
33	12335 13244	   	240.71	DCR|3VULN|3MLV|1RPLT	189BASHEA|2FEWX|389MLV|4BEXP|5LWND|689VULN|7RCR|89BPWR|aRPLT
34	45113 13124	   	240.63	DCR|2VULN|2DMG|2MLV|1RPLT	1AAC|28VULN|38DMG|45MDPS|6NUKE|78MLV|8BPWR|9RCR|aRPLT
35	41541 31123	   	240.08	DCR|2VULN|2DMG|2DUR|1ASPD|1CDMG	1AAC|28DMG|3ASPD|48DUR|5DUST|6ERES|78VULN|8BPWR|9RCR|aCDMG
36	41523 12252	 * 	239.78	DCR|2VULN|3DMG|2ASPD	1AAC|24aDMG|34ASPD|4aBPWR|5aBEXP|6MDPS|7aVULN|8RCR|9LEGI
37	45113 43122	   	239.58	DCR|2VULN|2MLV|2ASPD|1DMG	1AAC|28VULN|3DMG|45MDPS|68ASPD|78MLV|8BPWR|9RCR|aRCVC
38	45113 43121	   	239.48	DCR|2VULN|2MLV|2ASPD|1DMG	1AAC|28VULN|3DMG|45MDPS|68ASPD|78MLV|8BPWR|9RCR|aLEGI
39	45124 13121	   	239.47	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5DUR|6NUKE|78MLV|8BPWR|9RCR|aDMSP
40	45124 13122	   	239.47	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5DUR|6NUKE|78MLV|8BPWR|9RCR|aBEXP
41	45124 13123	   	239.47	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5DUR|6NUKE|78MLV|8BPWR|9RCR|aLWND
42	62112 33835	   	239.31	DCR|3VULN|1DMG|1ASPD|1CDMG	1CDMG|2AAC|3DUR|468VULN|5MBVNT|7ASPD|9DMG|aRCR
43	66112 34435	   	239.21	DCR|3VULN|1DMG|1ASPD|1CDMG	1CDMG|2ASPD|3DUR|468VULN|5MBVNT|7ERES|9DMG|aRCR
44	63131 43123	   	239.18	DCR|DCR|1DMG|2CDMG|1ASPD	13CDMG|2SPLREG|4LHND|5ASPD|6aRCR|7LIT|8LWND|9DMG
45	63131 43423	   	239.18	DCR|DCR|1DMG|2CDMG|1ASPD	13CDMG|2SPLREG|4LHND|5ASPD|6aRCR|7LIT|8FEWX|9DMG
46	15551 32131	 * 	238.70	ACR|DCR|1VULN|1DMG|1MLV|1AART	1BASHEA|2MLV|3BEXP|4aRCR|5DMG|6MDPS|7RMIN|8AART|9VULN
47	63221 41153	   	238.64	DCR|DCR|1MLV|1ASPD|1CDMG	1CDMG|2SPLREG|3CGEN|4MLV|5ASPD|69RCR|7RCVC|8DMSP|aDUR
48	63221 43523	   	238.54	DCR|DCR|1MLV|1ASPD|1CDMG	1CDMG|2SPLREG|3CGEN|4MLV|5ASPD|6aRCR|7LIT|8NUKE|9DUR
49	63321 41153	   	238.54	DCR|DCR|1MLV|1ASPD|1CDMG	1CDMG|2SPLREG|3ERES|4MLV|5ASPD|69RCR|7RCVC|8DMSP|aDUR
50	61133 12245	   	238.49	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5CGEN|6LHND|7aRCR|8MLV|9FEWX
51	61133 12265	   	238.49	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5CGEN|6LHND|7aRCR|8MLV|9LWND
52	61133 32245	   	238.49	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5CGEN|6BEXP|7aRCR|8MLV|9FEWX
53	61133 32265	   	238.49	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5CGEN|6BEXP|7aRCR|8MLV|9LWND
54	63321 43523	   	238.44	DCR|DCR|1MLV|1ASPD|1CDMG	1CDMG|2SPLREG|3ERES|4MLV|5ASPD|6aRCR|7LIT|8NUKE|9DUR
55	61132 32245	   	238.39	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5LHND|6ERES|7aRCR|8MLV|9FEWX
56	61132 32265	   	238.39	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5LHND|6ERES|7aRCR|8MLV|9LWND
57	61433 22225	   	238.39	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUST|4ASPD|5CGEN|6DUR|7aRCR|8MLV|9LHND
58	61533 22215	   	238.39	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3FEWX|4ASPD|5CGEN|6DUR|7aRCR|8MLV|9DUST
59	61133 12215	   	238.39	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5CGEN|6LHND|7aRCR|8MLV|9DUST
60	61133 32215	   	238.39	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5CGEN|6BEXP|7aRCR|8MLV|9DUST
61	61132 32215	   	238.29	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUR|4ASPD|5LHND|6ERES|7aRCR|8MLV|9DUST
62	61433 22235	   	238.29	DCR|DCR|1MLV|1ASPD|1CDMG|1ZMB	1CDMG|2ZMB|3DUST|4ASPD|5CGEN|6DUR|7aRCR|8MLV|9LEGI
63	62336 42233	   	238.15	DCR|DCR|1DMG|1CDMG|1AART|1RPLT|2ZMB	1CDMG|2AAC|3TBNT|4AART|56ZMB|7DMG|8aRCR|9RPLT
64	33113 43623	   	237.69	ACR|DCR|2VULN|1AART	1FEWX|27LHND|39VULN|4DUR|5aRCR|6AART|8LWND
65	33113 44623	   	237.69	ACR|DCR|2VULN|1AART	1FEWX|2LHND|39VULN|4DUR|5aRCR|6AART|78LWND
66	34113 43623	   	237.69	ACR|DCR|2VULN|1AART	1FEWX|28LWND|39VULN|4DUR|5aRCR|6AART|7LHND
67	41522 33216	   	237.68	DCR|2VULN|2DMG|2ASPD|1CDMG	1AAC|24DMG|34ASPD|4BPWR|5ERES|6RCR|7BEXP|8CDMG|9aVULN
68	33113 41123	   	237.59	ACR|DCR|2VULN|1AART	1FEWX|2LHND|39VULN|4DUR|5aRCR|6AART|7AME|8RMIN
69	33113 44532	   	237.59	ACR|DCR|2VULN|1AART	1FEWX|2LHND|3aVULN|4DUR|59RCR|6AART|7LWND|8ERES
70	33113 45532	   	237.59	ACR|DCR|2VULN|1AART	1FEWX|2LHND|3aVULN|4DUR|59RCR|6AART|7BEXP|8ERES
71	34113 41123	   	237.59	ACR|DCR|2VULN|1AART	1FEWX|2LWND|39VULN|4DUR|5aRCR|6AART|7AME|8RMIN
72	34113 43532	   	237.59	ACR|DCR|2VULN|1AART	1FEWX|2LWND|3aVULN|4DUR|59RCR|6AART|7LHND|8ERES
73	41531 31123	   	237.58	DCR|2VULN|2DMG|2ASPD|1CDMG	1AAC|28DMG|34ASPD|5MDPS|68ERES|78VULN|8BPWR|9RCR|aCDMG
74	12451 51221	   	237.40	ACR|DCR|2DMG|1VULN	1BASHEA|2FEWX|3RMIN|48RCR|59DMG|6ERES|7DUR|aVULN
75	65212 14123	 * 	237.40	DCR|4VULN|1DMG|1CDMG	1CDMG|2LWND|3DMG|478aVULN|5MBVNT|6RCR|9AME
76	45121 23123	   	236.90	DCR|3VULN|2MLV|1DMG|1ZMB	1AAC|28aVULN|3DMG|48LHND|5BEXP|6ZMB|78MLV|8BPWR|9RCR
77	45122 53123	   	236.90	DCR|3VULN|2MLV|1DMG|1ZMB	1AAC|28aVULN|3DMG|48LHND|5ZMB|6BEXP|78MLV|8BPWR|9RCR
78	45141 23123	   	236.90	DCR|3VULN|2MLV|1DMG|1ZMB	1AAC|28aVULN|3DMG|48LWND|5BEXP|6ZMB|78MLV|8BPWR|9RCR
79	63221 41151	   	236.65	DCR|DCR|2CDMG|1MLV|1ASPD	1aCDMG|2SPLREG|3CGEN|4MLV|5ASPD|69RCR|7RCVC|8DMSP
80	63221 42152	   	236.55	DCR|DCR|2CDMG|1MLV|1ASPD	17CDMG|2SPLREG|3CGEN|4MLV|5ASPD|69RCR|8DMSP|aDUST
81	63321 41151	   	236.55	DCR|DCR|2CDMG|1MLV|1ASPD	1aCDMG|2SPLREG|3ERES|4MLV|5ASPD|69RCR|7RCVC|8DMSP
82	63321 42152	   	236.45	DCR|DCR|2CDMG|1MLV|1ASPD	17CDMG|2SPLREG|3ERES|4MLV|5ASPD|69RCR|8DMSP|aDUST
83	41522 33433	 * 	235.48	DCR|2VULN|3ASPD|2DMG	1AAC|24DMG|349ASPD|4BPWR|5ERES|6RCR|7BEXP|8aVULN
84	65262 31123	   	235.44	DCR|2VULN|2MLV|1DMG|1CDMG	1CDMG|27LWND|3DMG|48MLV|5aVULN|6RCR|9DUR
85	65242 13232	   	235.42	DCR|3VULN|1DMG|1CDMG|1RPLT	1CDMG|2LWND|3DMG|4LIT|5RPLT|69aVULN|7DUR|8RCR
86	62364 11231	   	235.07	DCR|4VULN|1MLV|1CDMG	1CDMG|2AAC|3TBNT|4689VULN|5LIT|7RCR|aMLV
87	41511 51123	   	235.04	DCR|3VULN|2DMG|1ASPD	1AAC|28DMG|3ASPD|48ERES|5LWND|6BEXP|78aVULN|8BPWR|9RCR
88	45121 42323	   	234.98	DCR|3VULN|1DMG|1MLV|1ASPD	1AAC|27aVULN|3DMG|4LHND|5BEXP|6ASPD|8MLV|9RCR
89	65212 14132	   	234.88	DCR|3VULN|1DMG|1MLV|1CDMG	1CDMG|2LWND|3DMG|478VULN|5MBVNT|6RCR|9FEWX|aMLV
90	65212 14128	   	234.84	DCR|3VULN|2DMG|1CDMG	1CDMG|2LWND|3aDMG|478VULN|5MBVNT|6RCR|9AME
91	61364 11231	   	234.82	DCR|4VULN|1MLV|1CDMG|1ZMB	1CDMG|2ZMB|3TBNT|4689VULN|5LIT|7RCR|aMLV
92	45136 11211	   	234.74	DCR|3VULN|1DMG|1MLV|1CDMG|1ZMB	1AAC|259VULN|3DMG|4CGEN|6RCR|7ZMB|8CDMG|aMLV
93	66412 11123	 * 	234.68	DCR|3VULN|2CDMG|1MLV|1ASPD	17CDMG|2ASPD|3DUST|48aVULN|5MBVNT|6RCR|9MLV
94	66112 34335	   	234.61	DCR|2VULN|2ASPD|1DMG|2CDMG	18CDMG|28ASPD|3DUR|46VULN|5MBVNT|78ERES|8BPWR|9DMG|aRCR
95	41531 31124	   	233.59	DCR|2VULN|2DMG|2ASPD|1RPLT	1AAC|28DMG|34ASPD|5MDPS|68ERES|78VULN|8BPWR|9RCR|aRPLT
96	41512 11123	   	233.53	DCR|2VULN|2DMG|1ASPD|1CDMG	1AAC|28DMG|3ASPD|48ERES|5BEXP|6DUR|78VULN|8BPWR|9RCR|aCDMG
97	41516 11123	   	233.53	DCR|2VULN|2DMG|1ASPD|1CDMG	1AAC|28DMG|3ASPD|48ERES|5FEWX|6DUR|78VULN|8BPWR|9RCR|aCDMG
98	65262 31113	 * 	233.44	DCR|2VULN|2MLV|1DMG|2CDMG	1aCDMG|27LWND|3DMG|48MLV|59VULN|6RCR
99	41521 62233	   	232.34	DCR|2VULN|2DMG|2ASPD	1AAC|24DMG|34ASPD|4BPWR|5MDPS|6DUR|7aVULN|8RCR|9CGEN
100	53432 41146	 * 	232.09	DCR|DCR|2MLV|1CDMG	1AELOIC|2DMSP|37MLV|4TBNT|5MBVNT|6aRCR|8ERES|9CDMG
101	66112 11143	   	231.60	DCR|3VULN|3CDMG|1ASPD	179CDMG|2ASPD|3DUR|48aVULN|5MBVNT|6RCR
102	12351 16143	 * 	231.35	ACR|3VULN|2MLV|1DMG|1CDMG|1RPLT	19BASHEA|2FEWX|39MLV|4RCR|5DMG|6CDMG|79aVULN|8RPLT|9BPWR
103	45121 13121	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5BEXP|6NUKE|78MLV|8BPWR|9RCR|aDMSP
104	45121 13122	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5aBEXP|6NUKE|78MLV|8BPWR|9RCR
105	45121 13126	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5BEXP|6NUKE|78MLV|8BPWR|9RCR|aLWND
106	45121 34121	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5BEXP|68MLV|7NUKE|8BPWR|9RCR|aDMSP
107	45121 34122	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LHND|5aBEXP|68MLV|7NUKE|8BPWR|9RCR
108	45141 13121	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LWND|5BEXP|6NUKE|78MLV|8BPWR|9RCR|aDMSP
109	45141 13122	   	231.17	DCR|2VULN|2DMG|2MLV	1AAC|28VULN|38DMG|4LWND|5aBEXP|6NUKE|78MLV|8BPWR|9RCR
