0	Index      	 *	Score 	Summary	Detail	
1	14115 81643	 * 	289.25	DCR|DCR|3VULN|1ASPD|1RPLT	1MBVNT|2BBNT|36aVULN|4ASPD|5RPLT|7LIT|89RCR
34	25335 62311	   	259.58	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|58MLV|6BEXP|7FEWX|aCGEN
35	25335 62312	   	259.58	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|58MLV|6BEXP|7FEWX|aLIT
36	25332 42313	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|5BEXP|68MLV|7FEWX|aERES
37	25332 42314	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|5BEXP|68MLV|7FEWX|aLEGI
38	25332 46311	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|5BEXP|68MLV|7DUST|aCGEN
39	25332 46312	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|5BEXP|68MLV|7DUST|aLIT
40	25335 42311	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|58MLV|6DUST|7FEWX|aCGEN
41	25335 42312	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|58MLV|6DUST|7FEWX|aLIT
42	25335 62313	   	259.48	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|58MLV|6BEXP|7FEWX|aERES
43	25332 46313	   	259.38	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|5BEXP|68MLV|7DUST|aERES
44	25335 42313	   	259.38	ACR|DCR|2DMG|2MLV|1VULN	12DMG|39RCR|4VULN|58MLV|6DUST|7FEWX|aERES
