0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11525 31432	7	 * 	287.46	DCR|4VULN|3DUR|3CDMG|1AART	1LEGI|239aVULN|4AART|569DUR|79aCDMG|8RCR|9aBPWR
15	33441 13511	8	 * 	266.77	DCR|3VULN|2DUR|2ASPD|2TLV|1AART	1RCVC|27DUR|359VULN|47ASPD|67TLV|7BPWR|8AART|aRCR
16	33441 13521	9	   	266.77	DCR|3VULN|2DUR|2ASPD|2TLV|1AART	1RCVC|27DUR|359VULN|47ASPD|67TLV|7BPWR|8AART|aRCR
17	33441 13611	7	   	266.77	DCR|3VULN|2DUR|2ASPD|2TLV|1AART	1RCVC|27DUR|359VULN|47ASPD|67TLV|7BPWR|8AART|aRCR
18	11122 41641	2	 * 	266.71	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4FEWX|57DMG|678DUR|7BPWR|9MLV|aRCR
19	11166 32132	9	   	266.71	DCR|3VULN|3DUR|2DMG	1LEGI|249VULN|3ZMB|59DMG|6BELT|7RCR|89aDUR|9BPWR
20	11532 41631	4	   	266.71	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4LHND|57DMG|678DUR|7BPWR|9MLV|aRCR
21	11122 41413	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4FEWX|57DMG|679DUR|7BPWR|8TBNT|aRCR
22	11122 41631	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4FEWX|57DMG|678DUR|7BPWR|9ERES|aRCR
23	11122 41663	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4FEWX|57DMG|678DUR|7BPWR|9BBNT|aRCR
24	11132 41641	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4DUST|57DMG|678DUR|7BPWR|9MLV|aRCR
25	11142 41413	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4BEXP|57DMG|679DUR|7BPWR|8TBNT|aRCR
26	11142 41631	2	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4BEXP|57DMG|678DUR|7BPWR|9ERES|aRCR
27	11356 22512	10	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|26aVULN|3RMIN|456DUR|6aBPWR|7aDMG|8RCR|9aERES
28	11522 41413	3	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4FEWX|57DMG|679DUR|7BPWR|8TBNT|aRCR
29	11522 41631	3	   	266.61	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4FEWX|57DMG|678DUR|7BPWR|9ERES|aRCR
30	11132 41413	2	   	266.51	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4DUST|57DMG|679DUR|7BPWR|8TBNT|aRCR
31	11132 41631	2	   	266.51	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4DUST|57DMG|678DUR|7BPWR|9ERES|aRCR
32	11132 41663	2	   	266.51	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4DUST|57DMG|678DUR|7BPWR|9BBNT|aRCR
33	11532 41413	3	   	266.51	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4DUST|57DMG|679DUR|7BPWR|8TBNT|aRCR
34	11532 41631	3	   	266.51	DCR|3VULN|3DUR|2DMG	1LEGI|237VULN|4DUST|57DMG|678DUR|7BPWR|9ERES|aRCR
35	33441 16311	6	   	265.63	DCR|4VULN|2DUR|1TLV|1ASPD	1RCVC|28DUR|357aVULN|4ASPD|6TLV|9RCR
36	11113 22252	2	   	265.05	DCR|4VULN|2DMG|2CDMG	1LEGI|2389VULN|49CDMG|5BBNT|6TBNT|79DMG|9BPWR|aRCR
37	11513 22252	3	   	265.05	DCR|4VULN|2DMG|2CDMG	1LEGI|2389VULN|49CDMG|5BBNT|6TBNT|79DMG|9BPWR|aRCR
38	11232 62431	9	   	264.90	DCR|3VULN|2DMG|3CDMG|1TLV	1LEGI|25aVULN|39aCDMG|4TLV|6LHND|7aDMG|8RCR|aBPWR
39	11233 52535	3	   	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	1LEGI|24aVULN|34aCDMG|4aBPWR|5BBNT|6DUR|7ZMB|8aDMG|9RCR
40	11233 52535	2	   	264.90	DCR|3VULN|2DMG|3CDMG|1DUR	1LEGI|24aVULN|34aCDMG|4aBPWR|5BBNT|6DUR|7ZMB|8aDMG|9RCR
41	11425 31432	7	   	264.82	DCR|3VULN|3DUR|3CDMG|1AART	1LEGI|29aVULN|3RCVC|4AART|569DUR|79aCDMG|8RCR|9aBPWR
42	11252 52213	10	   	263.72	DCR|4VULN|1DMG|2CDMG|1DUR	1LEGI|2568VULN|34CDMG|7DMG|9RCR|aDUR
43	21121 36416	3	   	262.72	DCR|3VULN|3DMG|2LIT|1AART	18LIT|2AART|3MBVNT|458DMG|678VULN|8BPWR|9BBNT|aRCR
44	21181 36416	4	   	262.72	DCR|3VULN|3DMG|2LIT|1AART	18LIT|2AART|3MBVNT|458DMG|678VULN|8BPWR|9BBNT|aRCR
45	11142 41232	2	   	261.79	DCR|3VULN|2DMG|2DUR	1LEGI|237VULN|4BEXP|57DMG|67DUR|7BPWR|8RPLT|9RCR|aLIT
46	11542 41232	3	   	261.79	DCR|3VULN|2DMG|2DUR	1LEGI|237VULN|4BEXP|57DMG|67DUR|7BPWR|8RPLT|9RCR|aLIT
47	31143 24613	2	   	261.42	DCR|4VULN|3DUR|1AART|1SELL	1RCVC|2SELL|3AART|469aVULN|59aCGEN|7RCR|89aDUR|9aBPWR
48	33563 13632	8	   	261.36	DCR|4VULN|3DUR|1AART	1RCVC|239DUR|4RPLT|569aVULN|7RCR|8AART|9aBPWR
49	11521 33111	6	   	261.18	DCR|4VULN|1DMG|2AART|1TLV	1LEGI|2359VULN|46AART|5BPWR|7TLV|8DMG|aRCR
50	11232 22611	10	 * 	260.79	DCR|5VULN|2TLV|1CDMG	1LEGI|2578aVULN|3CDMG|48TLV|68CGEN|8BPWR|9RCR
51	11232 22653	10	   	260.79	DCR|5VULN|2TLV|1CDMG	1LEGI|25789VULN|3CDMG|48TLV|68CGEN|8BPWR|aRCR
52	22235 63113	3	   	260.69	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	1aLIT|2MLV|38aVULN|4RCVC|5TLV|6RCR|7CDMG|9aDUR|aBPWR
53	11212 52611	10	   	260.59	DCR|5VULN|2TLV|1CDMG	1LEGI|2678aVULN|3CDMG|48ERES|58TLV|8BPWR|9RCR
54	11232 12611	10	   	260.59	DCR|5VULN|2TLV|1CDMG	1LEGI|2578aVULN|3CDMG|48TLV|68ERES|8BPWR|9RCR
55	11513 32111	8	   	260.45	DCR|5VULN|1DMG|1CDMG|1SELL	1LEGI|2356aVULN|4SELL|7DMG|8CDMG|9RCR
56	33131 24211	9	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LWND|567VULN|67BPWR|8FEWX|9DMG|aRCR
57	33131 24251	7	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LWND|567VULN|67BPWR|8DMG|9LHND|aRCR
58	33131 24311	9	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LWND|567VULN|67BPWR|8LHND|9DMG|aRCR
59	33131 24611	9	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LWND|567VULN|67BPWR|8BEXP|9DMG|aRCR
60	33161 24211	9	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LHND|567VULN|67BPWR|8FEWX|9DMG|aRCR
61	33161 24231	8	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LHND|567VULN|67BPWR|8FEWX|9DMG|aRCR
62	33161 24611	9	   	260.33	DCR|3VULN|3DUR|1DMG|1ASPD	1RCVC|267DUR|3ASPD|47LHND|567VULN|67BPWR|8BEXP|9DMG|aRCR
63	31146 63211	2	   	260.21	DCR|3VULN|2DUR|2ASPD|1CDMG|1AART|1SELL	1RCVC|2SELL|3AART|479VULN|57ASPD|67DUR|7BPWR|8CDMG|aRCR
64	43113 24135	1	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	1BEXP|2DUR|378aVULN|4TLV|5MLV|6RCR|9DMG
65	11356 22532	8	   	260.03	DCR|3VULN|3DUR|1DMG|1ASPD	1LEGI|26aVULN|3RMIN|456DUR|6BPWR|7DMG|8RCR|9ASPD
66	33441 53211	8	 * 	259.79	DCR|4VULN|2DUR|2ASPD	1RCVC|27DUR|358aVULN|47ASPD|67CGEN|7BPWR|9RCR
67	33542 52213	10	   	259.11	DCR|3VULN|2DUR|1DMG|1CDMG|1AART	1RCVC|23DUR|468VULN|5CDMG|7DMG|9RCR|aAART
68	11232 36451	9	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	1LEGI|25aVULN|3aCDMG|4TLV|69DMG|7aLHND|8RCR|aBPWR
69	11232 42411	9	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	1LEGI|25aVULN|3aCDMG|4TLV|69FEWX|7aDMG|8RCR|aBPWR
70	11232 42461	8	   	258.86	DCR|3VULN|2DMG|2CDMG|1TLV	1LEGI|25aVULN|3aCDMG|4TLV|69FEWX|7aDMG|8RCR|aBPWR
71	11113 52535	2	   	258.76	DCR|3VULN|2DMG|2CDMG|1DUR	1LEGI|23aVULN|4aCDMG|5BBNT|6DUR|7ZMB|8aDMG|9RCR|aBPWR
72	11525 31431	7	   	258.68	DCR|3VULN|3DUR|2CDMG|1AART	1LEGI|239VULN|4AART|569DUR|79CDMG|8RCR|9BPWR|aLWND
73	11525 31433	7	   	258.68	DCR|3VULN|3DUR|2CDMG|1AART	1LEGI|239VULN|4AART|569DUR|79CDMG|8RCR|9BPWR|aDMSP
74	11232 33451	9	   	258.66	DCR|3VULN|2DMG|2CDMG|1TLV	1LEGI|25aVULN|3aCDMG|4TLV|69DMG|7aDUST|8RCR|aBPWR
75	11441 13511	8	 * 	258.48	DCR|4VULN|2ASPD|2TLV|1AART	1LEGI|2579VULN|3RCVC|47ASPD|67TLV|7BPWR|8AART|aRCR
76	11441 13521	9	   	258.48	DCR|4VULN|2ASPD|2TLV|1AART	1LEGI|2579VULN|3RCVC|47ASPD|67TLV|7BPWR|8AART|aRCR
77	11233 55225	2	   	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|248aVULN|34CDMG|4aBPWR|5BBNT|6aDUR|7aLHND|9RCR
78	11233 55225	3	   	258.44	DCR|4VULN|2DUR|2CDMG	1LEGI|248aVULN|34CDMG|4aBPWR|5BBNT|6aDUR|7aLHND|9RCR
79	33212 36311	2	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|28DUR|3DMG|457aVULN|6RMIN|9RCR
80	36212 36311	1	   	258.44	DCR|4VULN|2DUR|1DMG	1RCVC|28DUR|3DMG|457aVULN|6RMIN|9RCR
81	11521 26111	7	 * 	258.38	DCR|4VULN|2ASPD|1DMG|1AART	1LEGI|2359VULN|4AART|5BPWR|67ASPD|8DMG|aRCR
82	33212 26311	2	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|28DUR|3DMG|457aVULN|6ERES|9RCR
83	36212 26311	1	   	258.34	DCR|4VULN|2DUR|1DMG	1RCVC|28DUR|3DMG|457aVULN|6ERES|9RCR
84	11233 42325	2	   	258.24	DCR|4VULN|2DUR|2CDMG	1LEGI|246aVULN|34CDMG|4aBPWR|5BBNT|7aDUR|8aDUST|9RCR
85	11233 42325	3	   	258.24	DCR|4VULN|2DUR|2CDMG	1LEGI|246aVULN|34CDMG|4aBPWR|5BBNT|7aDUR|8aDUST|9RCR
86	11233 51225	2	   	258.24	DCR|4VULN|2DUR|2CDMG	1LEGI|248aVULN|34CDMG|4aBPWR|5BBNT|6aDUR|7aDUST|9RCR
87	11233 51225	3	   	258.24	DCR|4VULN|2DUR|2CDMG	1LEGI|248aVULN|34CDMG|4aBPWR|5BBNT|6aDUR|7aDUST|9RCR
88	11361 61121	9	 * 	258.19	DCR|4VULN|2DUR|2TLV|1SELL	1LEGI|245aVULN|3RMIN|6RCR|7aTLV|8aDUR|9SELL|aBPWR
89	33413 36231	8	   	258.19	DCR|4VULN|2DUR|1DMG|1SELL	1RCVC|28DUR|3569VULN|4SELL|7RCR|aDMG
90	33413 36251	9	   	258.19	DCR|4VULN|2DUR|1DMG|1SELL	1RCVC|28DUR|3569VULN|4SELL|7RCR|aDMG
91	23133 13311	9	 * 	258.17	DCR|3VULN|3DMG|3LIT	138LIT|2DUST|4RPLT|589DMG|68aVULN|7RCR|8BPWR
92	23133 13315	9	   	258.17	DCR|3VULN|3DMG|3LIT	138LIT|2aDUST|4RPLT|589DMG|68aVULN|7RCR|8aBPWR
93	23133 13331	8	   	258.17	DCR|3VULN|3DMG|3LIT	138LIT|2DUST|4RPLT|589DMG|68aVULN|7RCR|8BPWR
94	23133 13335	8	   	258.17	DCR|3VULN|3DMG|3LIT	138LIT|2aDUST|4RPLT|589DMG|68aVULN|7RCR|8aBPWR
95	11536 36131	9	 * 	258.11	DCR|5VULN|2DUR	1LEGI|2359aVULN|459LHND|59BPWR|6RCVC|7RCR|89DUR
96	11513 36251	10	   	257.57	DCR|5VULN|2DUR|1SELL	1LEGI|2356aVULN|4SELL|7RCR|89DUR
97	11232 22611	9	   	257.50	DCR|4VULN|2TLV|1DUR|1CDMG	1LEGI|2578VULN|3CDMG|48TLV|68CGEN|8BPWR|9RCR|aDUR
98	33422 52216	10	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1RCVC|2DUR|368aVULN|4DMSP|5CDMG|7DMG|9RCR
