0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33121 31514	4	 * 	315.73	DCR|5VULN|2DMG|2DUR|2CDMG	1356aVULN|29DMG|4aCDMG|7RCR|8aDUR|aBPWR
14	33113 52344	6	 * 	296.10	DCR|4VULN|2DUR|2ASPD|1DMG|1TLV	138aVULN|2DMG|4aASPD|5LHND|6TLV|7RCR|9aDUR|aBPWR
15	32553 17143	6	   	295.80	DCR|5VULN|3DUR|1TLV	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8TLV|9LIT
16	32553 17143	5	   	295.80	DCR|5VULN|3DUR|1TLV	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8TLV|9LIT
17	33331 12642	8	 * 	295.48	DCR|3VULN|3DMG|3CDMG|2ASPD	18aVULN|248DMG|3CGEN|5aASPD|6RCR|78aCDMG|8aBPWR|9AART
18	32553 12226	10	   	295.07	DCR|4VULN|3DUR|1DMG|1CDMG	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8CDMG|9DMG|aRCR
19	32553 12334	10	   	295.07	DCR|4VULN|3DUR|1DMG|1CDMG	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9CDMG|aDMG
20	35324 31214	4	 * 	294.03	DCR|5VULN|3DMG|1CDMG	1236aVULN|4CDMG|59aDMG|7RCR|8aDUST|aBPWR
21	32353 72337	6	 * 	292.62	DCR|3VULN|2DMG|3ASPD|2DUR	14aVULN|2MBVNT|34aASPD|4aBPWR|5LIT|6RCR|78DUR|9aDMG
22	32553 12352	8	   	292.43	DCR|4VULN|3DUR|1DMG|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9DMG|aASPD
23	32147 23385	3	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	158aVULN|2MBVNT|3RMIN|4TLV|6aDUR|7aDMG|9RCR|aBPWR
24	33331 11144	9	 * 	291.98	DCR|4VULN|3DMG|3ASPD	179aVULN|248DMG|39aCGEN|59aASPD|6RCR|9aBPWR
25	33163 32637	5	   	291.83	DCR|4VULN|3DUR|3LIT|1DMG	139aVULN|2DMG|4MBVNT|59aLIT|6RCR|79aDUR|8RMIN|9aBPWR
26	33121 31512	4	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1356VULN|29DMG|4CDMG|7RCR|8DUR|aTLV
27	35324 31512	4	   	291.34	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	1236VULN|4CDMG|59DMG|7RCR|8DUR|aTLV
28	32553 17332	6	   	291.30	DCR|5VULN|3DUR|1DMG	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9MLV
29	32553 17332	5	   	291.30	DCR|5VULN|3DUR|1DMG	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9MLV
30	32553 12251	9	   	291.26	DCR|4VULN|3DUR|1TLV|1CDMG	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8CDMG|9TLV|aRCR
31	32123 75337	7	 * 	290.87	DCR|3VULN|3DMG|3DUR	19aVULN|2MBVNT|34RMIN|5LIT|6RCR|79aDMG|89aDUR|9aBPWR
32	32574 33464	2	   	290.67	DCR|4VULN|3DMG|2TLV	1478VULN|2MBVNT|347DMG|47BPWR|57TLV|6AART|9BELT|aRCR
33	32541 38164	6	   	290.02	DCR|3VULN|3DUR|2DMG|1CDMG	18aVULN|2MBVNT|368DUR|48DMG|5AART|7RCR|8BPWR|9CDMG
34	33121 25344	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	135aVULN|2aDMG|4CDMG|6MLV|7RCR|8RPLT|9aDUR|aBPWR
35	33121 25414	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	135aVULN|2aDMG|4CDMG|6MLV|7RCR|8aDUR|9RPLT|aBPWR
36	33121 25442	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1359VULN|29DMG|4CDMG|6MLV|7RCR|89DUR|9BPWR|aBEXP
37	33121 25443	4	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1359VULN|29DMG|4CDMG|6MLV|7RCR|89DUR|9BPWR|aFEWX
38	33121 25441	4	   	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1359VULN|29DMG|4CDMG|6MLV|7RCR|89DUR|9BPWR|aTBNT
39	33132 62344	3	   	289.60	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	138aVULN|2DMG|4aTLV|5LHND|6ASPD|7RCR|9aDUR|aBPWR
40	31424 24122	2	   	289.45	DCR|4VULN|3DUR|2DMG	1789VULN|246DUR|38DMG|58LHND|8BPWR|aRCR
41	31431 24122	5	   	289.45	DCR|4VULN|3DUR|2DMG	1789VULN|236DUR|48DMG|58LWND|8BPWR|aRCR
42	31434 24122	4	   	289.45	DCR|4VULN|3DUR|2DMG	1789VULN|236DUR|48DMG|58LHND|8BPWR|aRCR
43	33524 24122	2	   	289.45	DCR|4VULN|3DUR|2DMG	1789VULN|28DMG|346DUR|58LHND|8BPWR|aRCR
44	53111 24122	5	   	289.45	DCR|4VULN|3DUR|2DMG	18LHND|28DMG|3789VULN|456DUR|8BPWR|aRCR
45	32553 11254	7	   	289.25	DCR|4VULN|3DUR|2DMG	1456VULN|2MBVNT|345DUR|45BPWR|7DLOT|8RCR|9aDMG
46	32553 11354	8	   	289.25	DCR|4VULN|3DUR|2DMG	1456VULN|2MBVNT|345DUR|45BPWR|7DLOT|8RCR|9aDMG
47	32334 31514	1	   	289.20	DCR|3VULN|3DMG|2DUR|2CDMG	16aVULN|24CDMG|3RCVC|59aDMG|7RCR|8aDUR|aBPWR
48	32553 12342	8	   	288.61	DCR|4VULN|3DUR|1TLV|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9TLV|aASPD
49	32553 17242	6	   	288.61	DCR|4VULN|3DUR|1TLV|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8AART|9TLV|aASPD
50	32553 17242	5	   	288.61	DCR|4VULN|3DUR|1TLV|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8AART|9TLV|aASPD
51	32443 75337	7	 * 	288.36	DCR|3VULN|3DUR|3ASPD|1DMG	19aVULN|2MBVNT|3RCVC|49aASPD|5LIT|6RCR|7DMG|89aDUR|9aBPWR
52	32353 75332	7	   	288.26	DCR|3VULN|3DUR|3ASPD|1DMG	149VULN|2MBVNT|349ASPD|49BPWR|5LIT|6RCR|7DMG|89aDUR
53	32553 17321	6	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV|aFEWX
54	32553 17321	5	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV|aFEWX
55	32553 17324	6	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV|aCGEN
56	32553 17324	5	   	288.01	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV|aCGEN
57	32553 17323	6	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV|aDUST
58	32553 17323	5	   	287.91	DCR|4VULN|3DUR|1DMG|1TLV	1456VULN|2MBVNT|345DUR|45BPWR|7RCR|8DMG|9TLV|aDUST
59	32553 17132	5	   	287.49	DCR|5VULN|3DUR|1TLV	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8TLV|9ZMB
60	32553 17132	6	   	287.49	DCR|5VULN|3DUR|1TLV	1456aVULN|2MBVNT|345DUR|45BPWR|7RCR|8TLV|9ZMB
61	32553 11122	10	   	287.39	DCR|5VULN|3DUR|1TLV	14568VULN|2MBVNT|345DUR|45BPWR|7DLOT|9TLV|aRCR
62	32553 11614	7	   	287.39	DCR|5VULN|3DUR|1TLV	14568VULN|2MBVNT|345DUR|458BPWR|7DLOT|9TLV|aRCR
63	32642 43684	8	   	286.67	DCR|3VULN|3DUR|2DMG|2CDMG	179VULN|2MBVNT|34CDMG|569DUR|89DMG|9BPWR|aRCR
64	32553 21824	7	   	286.30	DCR|5VULN|3DUR|2LIT	14589VULN|2MBVNT|345DUR|458BPWR|68LIT|78BEXP|aRCR
65	32553 13734	5	   	286.10	DCR|5VULN|3DUR|2LIT	1456aVULN|2MBVNT|345DUR|45aBPWR|7TBNT|8RCR|9aLIT
66	32553 13734	6	   	286.10	DCR|5VULN|3DUR|2LIT	1456aVULN|2MBVNT|345DUR|45aBPWR|7TBNT|8RCR|9aLIT
67	33121 31511	4	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	1356VULN|29DMG|4CDMG|7RCR|8DUR|aASPD
68	35324 31511	4	   	286.09	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	1236VULN|4CDMG|59DMG|7RCR|8DUR|aASPD
69	15443 12221	9	   	286.01	DCR|4VULN|3DUR|1CDMG|1ASPD	1DUST|2456VULN|345DUR|45BPWR|7AART|8CDMG|9ASPD|aRCR
70	32553 12316	8	   	286.01	DCR|4VULN|3DUR|1CDMG|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9CDMG|aASPD
71	32553 12336	9	   	286.01	DCR|4VULN|3DUR|1CDMG|1ASPD	1456VULN|2MBVNT|345DUR|45BPWR|7AART|8RCR|9CDMG|aASPD
