0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16652 23321	8	 * 	296.53	DCR|3VULN|3DUR|2DMG|3LIT	159LIT|2BELT|3aDMG|4AART|69aDUR|79aVULN|8RCR|9aBPWR
20	32431 15216	7	   	276.22	DCR|4VULN|2DMG|2DUR	18BEXP|29DUR|38DMG|4568VULN|7RCR|8BPWR|aRMIN
21	33431 15215	7	   	276.22	DCR|4VULN|2DMG|2DUR	18BEXP|2LHND|38DMG|4568VULN|7RCR|8BPWR|9aDUR
22	32431 15211	7	   	276.12	DCR|4VULN|2DMG|2DUR	18BEXP|29DUR|38DMG|4568VULN|7RCR|8BPWR|aERES
23	32431 15214	7	   	276.12	DCR|4VULN|2DMG|2DUR	18BEXP|29DUR|38DMG|4568VULN|7RCR|8BPWR|aMBVNT
24	32431 15235	7	   	276.12	DCR|4VULN|2DMG|2DUR	18BEXP|2aDUR|38DMG|4568VULN|7RCR|8BPWR|9LEGI
25	32433 15241	7	   	276.12	DCR|4VULN|2DMG|2DUR	18BEXP|25DUR|38DMG|4689VULN|7RCR|8BPWR|aERES
26	32431 15143	8	   	276.02	DCR|4VULN|2DMG|2DUR	1BEXP|28DUR|3aDMG|4569VULN|7RCR
27	42336 31163	3	   	275.47	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2457VULN|3CDMG|6DMG|8AART|9RCR|aLIT
28	32431 15225	10	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1BEXP|2DUR|3aDMG|4569VULN|7RCR|8CDMG
29	32621 23266	2	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1BEXP|24DUR|3457VULN|4BPWR|6DMG|8RMIN|9TLV|aRCR
30	32621 23266	1	   	274.79	DCR|4VULN|2DUR|1DMG|1TLV	1BEXP|24DUR|3457VULN|4BPWR|6DMG|8RMIN|9TLV|aRCR
31	32431 15226	10	   	273.75	DCR|4VULN|1DMG|1DUR|1TLV|1CDMG	1BEXP|2DUR|3DMG|4569VULN|7RCR|8CDMG|aTLV
32	31431 15212	7	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	18BEXP|2LWND|38DMG|4568VULN|7RCR|8BPWR|9DUR|aASPD
33	32431 15222	7	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	18BEXP|2DUR|38DMG|4568VULN|7RCR|8BPWR|9FEWX|aASPD
34	33431 15212	7	   	272.64	DCR|4VULN|2DMG|1DUR|1ASPD	18BEXP|2LHND|38DMG|4568VULN|7RCR|8BPWR|9DUR|aASPD
35	32431 15232	7	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	18BEXP|2DUR|38DMG|4568VULN|7RCR|8BPWR|9LEGI|aASPD
36	32431 15253	7	   	272.54	DCR|4VULN|2DMG|1DUR|1ASPD	18BEXP|2DUR|38DMG|4568VULN|7RCR|8BPWR|9ERES|aASPD
37	22421 24324	10	 * 	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1ZMB|289VULN|3TLV|4DMG|58CDMG|6LHND|78DUR|8BPWR|aRCR
38	22421 24326	9	   	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1ZMB|289VULN|3TLV|4DMG|58CDMG|6LHND|78DUR|8BPWR|aRCR
39	22421 24336	8	   	272.21	DCR|3VULN|2DUR|1DMG|2CDMG|1TLV	1ZMB|289VULN|3TLV|4DMG|58CDMG|6LHND|78DUR|8BPWR|aRCR
40	32431 15223	9	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1BEXP|2aDUR|3DMG|4569VULN|7RCR|8CDMG
41	32431 15261	7	   	271.30	DCR|4VULN|2DMG|1DUR	18BEXP|2DUR|38DMG|4568VULN|7RCR|8BPWR|9AART|aLWND
42	32431 15262	7	   	271.20	DCR|4VULN|2DMG|1DUR	18BEXP|2DUR|38DMG|4568VULN|7RCR|8BPWR|9AART|aTBNT
43	34432 13134	9	   	270.21	DCR|3VULN|2DUR|1DMG|1CDMG|1ASPD	1BEXP|2AART|359VULN|45DUR|5BPWR|6CDMG|7DMG|8ASPD|aRCR
44	42344 31333	3	 * 	270.21	DCR|3VULN|2DUR|2TLV|1CDMG|1ASPD	19TLV|269VULN|3CDMG|4LWND|59DUR|7RCR|8AART|9BPWR|aASPD
45	32621 21266	2	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1BEXP|24DUR|345VULN|4BPWR|67DMG|8RMIN|9TLV|aRCR
46	32621 21266	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1BEXP|24DUR|345VULN|4BPWR|67DMG|8RMIN|9TLV|aRCR
47	32431 15142	8	   	269.44	DCR|4VULN|2DUR|1DMG|1ASPD	1BEXP|28DUR|3DMG|4569VULN|7RCR|aASPD
48	32433 15223	7	   	269.24	DCR|3VULN|3DMG|2DUR	18BEXP|25DUR|38aDMG|468VULN|7RCR|8BPWR|9FEWX
49	32433 15233	7	   	269.14	DCR|3VULN|3DMG|2DUR	18BEXP|25DUR|38aDMG|468VULN|7RCR|8BPWR|9LEGI
50	32431 15413	7	   	269.04	DCR|3VULN|3DMG|2DUR	1BEXP|29DUR|38aDMG|456VULN|7RCR
51	32621 14412	1	   	268.43	DCR|3VULN|3DUR|1DMG|1ASPD	1BEXP|246DUR|345VULN|4BPWR|7LIT|8RCR|9DMG|aASPD
52	32621 14412	2	   	268.43	DCR|3VULN|3DUR|1DMG|1ASPD	1BEXP|246DUR|345VULN|4BPWR|7LIT|8RCR|9DMG|aASPD
53	11262 51321	3	 * 	268.13	DCR|3VULN|3DMG|3LIT	129LIT|3aBEXP|49aVULN|5BELT|69aDMG|7RCR|8AART|9aBPWR
54	11662 51321	1	   	268.13	DCR|3VULN|3DMG|3LIT	139LIT|2aBEXP|49aVULN|5BELT|69aDMG|7RCR|8AART|9aBPWR
55	32431 15163	8	   	268.10	DCR|4VULN|2DUR|1DMG	1BEXP|28DUR|3DMG|456aVULN|7RCR|9AART
56	32431 15423	9	   	268.10	DCR|4VULN|2DUR|1DMG	1BEXP|29DUR|3DMG|456aVULN|7RCR|8AART
57	32431 15423	10	   	268.10	DCR|4VULN|2DUR|1DMG	1BEXP|29DUR|3DMG|456aVULN|7RCR|8AART
58	32621 34224	1	   	267.95	DCR|4VULN|2DUR|1DMG|1SELL	1BEXP|24DUR|3457VULN|4BPWR|6SELL|8AART|9DMG|aRCR
59	32621 34224	2	   	267.95	DCR|4VULN|2DUR|1DMG|1SELL	1BEXP|24DUR|3457VULN|4BPWR|6SELL|8AART|9DMG|aRCR
60	31431 15323	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1aBEXP|2LWND|3aDMG|456VULN|7RCR|8CDMG|9aDUR|aBPWR
61	33431 15323	7	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	1aBEXP|2LHND|3aDMG|456VULN|7RCR|8CDMG|9aDUR|aBPWR
62	42336 31162	3	   	267.16	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2457VULN|3CDMG|6DMG|8AART|9RCR|aMLV
63	13613 25533	1	 * 	267.13	DCR|3VULN|2DMG|2CDMG|2LIT	1aLIT|2TBNT|378VULN|4AART|5aDMG|6aCDMG|9RCR|aBPWR
64	42336 31161	3	   	267.06	DCR|4VULN|1DMG|1TLV|1CDMG	1TLV|2457VULN|3CDMG|6DMG|8AART|9RCR|aERES
65	32433 15225	10	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1BEXP|25DUR|3aDMG|469VULN|7RCR|8CDMG
66	41631 23216	4	 * 	266.96	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	18TLV|2ASPD|358VULN|49DUR|6DMG|78LHND|8BPWR|aRCR
67	32433 15212	7	   	266.81	DCR|3VULN|3DUR|2DMG	18BEXP|259DUR|38DMG|468VULN|7RCR|8BPWR|aFEWX
68	32433 15213	7	   	266.81	DCR|3VULN|3DUR|2DMG	18BEXP|259DUR|38DMG|468VULN|7RCR|8BPWR|aLHND
69	32433 15215	7	   	266.71	DCR|3VULN|3DUR|2DMG	18BEXP|259DUR|38DMG|468VULN|7RCR|8BPWR|aLEGI
70	32433 15235	7	   	266.71	DCR|3VULN|3DUR|2DMG	18BEXP|25aDUR|38DMG|468VULN|7RCR|8BPWR|9LEGI
71	42322 11162	6	   	266.54	DCR|5VULN|1TLV|1CDMG	1TLV|2567aVULN|3CDMG|4ERES|8AART|9RCR
