0	Index      	Bounty	 *	Score 	Summary	Detail	
1	56132 32113	9	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	1RPLT|238DUR|48DMG|578VULN|6MBVNT|8BPWR|9CDMG|aRCR
21	15313 13333	10	   	260.13	DCR|3VULN|3DUR|2TLV|1ASPD	19FEWX|249DUR|357VULN|6ASPD|89TLV|9BPWR|aRCR
22	56132 12361	10	 * 	259.86	DCR|2VULN|3DUR|2DMG|2CDMG	1RPLT|23aDUR|4aDMG|57VULN|6FEWX|8RCR|9aCDMG|aBPWR
23	15112 61213	6	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|2DUR|3CDMG|4TLV|59aVULN|6LIT|7RCR|8DMG
24	31532 31165	7	   	259.21	DCR|3VULN|2DUR|2TLV|1CDMG|1AART	1RCVC|26aVULN|3aTLV|4LWND|5CDMG|7aDUR|8AART|9RCR|aBPWR
25	31361 41335	7	   	258.96	DCR|3VULN|2DMG|2CDMG|1DUR	1RCVC|29aVULN|3LHND|49CDMG|5DUR|6LWND|7RCR|89DMG|9BPWR
26	11234 21165	1	   	258.64	DCR|4VULN|2DUR|1DMG	17FEWX|2789VULN|3CGEN|4DMG|57DUR|6RPLT|7BPWR|aRCR
27	15313 23452	6	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|24DUR|359aVULN|6DMSP|7RCR|8DMG
28	15313 53252	6	 * 	257.91	DCR|5VULN|2DUR	1FEWX|24DUR|3589aVULN|6CGEN|7RCR
29	15324 33252	6	   	257.91	DCR|5VULN|2DUR	1FEWX|25DUR|3689aVULN|4CGEN|7RCR
30	46151 31332	2	   	257.86	DCR|3VULN|3DUR|2LIT|1CDMG	19aCGEN|2aLIT|389DUR|4CDMG|5LWND|69aVULN|7RCR|9aBPWR
31	46151 31332	3	   	257.86	DCR|3VULN|3DUR|2LIT|1CDMG	19aCGEN|2aLIT|389DUR|4CDMG|5LWND|69aVULN|7RCR|9aBPWR
32	56132 12123	10	   	257.53	DCR|3VULN|3DUR|1DMG	1RPLT|238DUR|4DMG|578VULN|68FEWX|8BPWR|9LIT|aRCR
33	15313 13335	8	   	256.64	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1FEWX|24DUR|357VULN|6ASPD|8TLV|9CDMG|aRCR
34	56131 33513	2	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|29DUR|3RMIN|49VULN|5CDMG|6RCR|7DUST|89DMG|9BPWR|aTLV
35	55111 33513	1	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RPLT|29VULN|3RMIN|49DUR|5CDMG|6RCR|7DUST|89DMG|9BPWR|aTLV
36	31114 33542	4	   	254.82	DCR|4VULN|2DUR|1TLV	1RCVC|268aVULN|38MLV|48DUR|5RMIN|7RCR|8BPWR|9TLV
37	31124 33542	3	   	254.82	DCR|4VULN|2DUR|1TLV	1RCVC|268aVULN|38MLV|48DUR|5RMIN|7RCR|8BPWR|9TLV
38	52233 24226	4	   	254.51	DCR|3VULN|3DMG|1DUR|1AART|1SELL	1RPLT|289CGEN|3AART|4DUR|589VULN|689DMG|7SELL|89BPWR|aRCR
39	15132 61613	6	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|2DUR|3CDMG|4DMG|59aVULN|6LIT|7RCR|8ASPD
40	15132 63613	7	   	254.17	DCR|3VULN|1DMG|1DUR|1CDMG|1ASPD	1FEWX|2DUR|3CDMG|4DMG|59aVULN|6LIT|7RCR|8ASPD
41	31434 22141	2	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1RCVC|246VULN|3BBNT|56DUR|6BPWR|7TLV|8LIT|9RCR|aCDMG
42	32235 22141	1	   	253.94	DCR|3VULN|2DUR|1TLV|1CDMG	1RCVC|2TBNT|36DUR|456VULN|6BPWR|7TLV|8LIT|9RCR|aCDMG
43	31512 11423	10	   	253.84	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1CDMG	1RCVC|2aVULN|3TLV|4aDUR|5CDMG|6RMIN|7DMG|8aLIT|9RCR|aBPWR
44	53111 33346	8	   	253.61	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1RPLT|2SELL|38LIT|4DUR|589VULN|68DMG|7RMIN|8BPWR|aRCR
45	32166 33431	3	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|2DMSP|39DUR|4LWND|569VULN|7RCR|89DMG|9BPWR|aLHND
46	34236 33431	3	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|34LWND|569VULN|7RCR|89DMG|9BPWR|aLHND
47	34236 33431	2	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|34LWND|569VULN|7RCR|89DMG|9BPWR|aLHND
48	15311 13511	6	   	253.58	DCR|3VULN|2DMG|2DUR	19FEWX|24DUR|39aVULN|5LHND|6LWND|7RCR|89DMG|9BPWR
49	32134 23432	6	   	253.58	DCR|3VULN|2DMG|2DUR	14RCVC|2DMSP|39DUR|5LWND|69aVULN|7RCR|89DMG|9BPWR
50	32534 23432	6	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|23DMSP|49DUR|5LWND|69aVULN|7RCR|89DMG|9BPWR
51	36134 23432	6	   	253.58	DCR|3VULN|2DMG|2DUR	124RCVC|39DUR|5LWND|69aVULN|7RCR|89DMG|9BPWR
52	52335 33127	9	   	253.58	DCR|3VULN|2DMG|2DUR	1RPLT|2aCGEN|35DUR|45aVULN|5aBPWR|6MBVNT|7RCR|8BELT|9aDMG
53	15321 21165	5	   	253.58	DCR|3VULN|2DMG|2DUR	17FEWX|27DUR|389VULN|4CGEN|57DMG|6RPLT|7BPWR|aRCR
54	31233 43432	2	   	253.58	DCR|3VULN|2DMG|2DUR	15RCVC|29aVULN|34LWND|69DUR|7RCR|89DMG|9BPWR
55	31233 43432	3	   	253.58	DCR|3VULN|2DMG|2DUR	15RCVC|29aVULN|34LWND|69DUR|7RCR|89DMG|9BPWR
56	31236 43431	3	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|259VULN|34LWND|69DUR|7RCR|89DMG|9BPWR|aLHND
57	31236 43431	2	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|259VULN|34LWND|69DUR|7RCR|89DMG|9BPWR|aLHND
58	31421 13511	6	   	253.58	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3FEWX|49DUR|5LHND|6LWND|7RCR|89DMG|9BPWR
59	31434 22143	2	   	253.51	DCR|3VULN|3DUR|1TLV	1RCVC|246VULN|3BBNT|56aDUR|6BPWR|7TLV|8LIT|9RCR
60	32235 22143	1	   	253.51	DCR|3VULN|3DUR|1TLV	1RCVC|2TBNT|36aDUR|456VULN|6BPWR|7TLV|8LIT|9RCR
61	53111 36472	5	   	253.51	DCR|3VULN|2DMG|1DUR|2LIT|1SELL	1RPLT|2SELL|39LIT|4DUR|569VULN|7MBVNT|89DMG|9BPWR|aRCR
62	32136 23432	6	   	253.48	DCR|3VULN|2DMG|2DUR	14RCVC|2DMSP|39DUR|5LEGI|69aVULN|7RCR|89DMG|9BPWR
63	32166 33433	3	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|2DMSP|39DUR|4LWND|569VULN|7RCR|89DMG|9BPWR|aTBNT
64	32536 23432	6	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|23DMSP|49DUR|5LEGI|69aVULN|7RCR|89DMG|9BPWR
65	34161 14411	2	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5FEWX|6LHND|79aVULN|8RCR|9BPWR
66	34167 14411	2	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5BEXP|6LHND|79aVULN|8RCR|9BPWR
67	34167 44411	2	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5BEXP|6FEWX|79aVULN|8RCR|9BPWR
68	34236 33433	2	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|34LWND|569VULN|7RCR|89DMG|9BPWR|aTBNT
69	34236 33433	3	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|34LWND|569VULN|7RCR|89DMG|9BPWR|aTBNT
70	36136 23432	6	   	253.48	DCR|3VULN|2DMG|2DUR	124RCVC|39DUR|5LEGI|69aVULN|7RCR|89DMG|9BPWR
71	15311 13511	5	   	253.48	DCR|3VULN|2DMG|2DUR	19FEWX|24DUR|39aVULN|5LHND|6DUST|7RCR|89DMG|9BPWR
72	15313 13511	4	   	253.48	DCR|3VULN|2DMG|2DUR	19FEWX|24DUR|39aVULN|5BEXP|6DUST|7RCR|89DMG|9BPWR
73	15314 13511	5	   	253.48	DCR|3VULN|2DMG|2DUR	19FEWX|24DUR|39aVULN|5LWND|6DUST|7RCR|89DMG|9BPWR
74	15314 23511	6	   	253.48	DCR|3VULN|2DMG|2DUR	19FEWX|24DUR|39aVULN|5LWND|6DUST|7RCR|89DMG|9BPWR
75	31253 13511	2	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3LWND|49DUR|5BEXP|6DUST|7RCR|89DMG|9BPWR
76	31253 13511	3	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3LWND|49DUR|5BEXP|6DUST|7RCR|89DMG|9BPWR
77	31353 13511	3	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3LHND|49DUR|5BEXP|6DUST|7RCR|89DMG|9BPWR
78	31421 13511	5	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3FEWX|49DUR|5LHND|6DUST|7RCR|89DMG|9BPWR
79	31423 13511	4	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3FEWX|49DUR|5BEXP|6DUST|7RCR|89DMG|9BPWR
80	31424 13511	5	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3FEWX|49DUR|5LWND|6DUST|7RCR|89DMG|9BPWR
81	31424 23511	6	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|29aVULN|3FEWX|49DUR|5LWND|6DUST|7RCR|89DMG|9BPWR
82	32166 23432	6	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|26DMSP|39DUR|4DUST|59aVULN|7RCR|89DMG|9BPWR
83	56521 32112	10	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|28DUR|3RCVC|4DUST|578VULN|68DMG|8BPWR|9CGEN|aRCR
84	56521 32132	10	   	253.48	DCR|3VULN|2DMG|2DUR	1RPLT|28DUR|3RCVC|4DUST|578VULN|68DMG|8BPWR|9RMIN|aRCR
85	31236 43433	3	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|259VULN|34LWND|69DUR|7RCR|89DMG|9BPWR|aTBNT
86	31236 43433	2	   	253.48	DCR|3VULN|2DMG|2DUR	1RCVC|259VULN|34LWND|69DUR|7RCR|89DMG|9BPWR|aTBNT
87	52112 64734	3	   	253.43	DCR|4VULN|2DUR|2LIT	1RPLT|29CGEN|36LIT|4MBVNT|5679VULN|69BPWR|89DUR|aRCR
88	52212 64734	2	   	253.43	DCR|4VULN|2DUR|2LIT	1RPLT|29CGEN|36LIT|4MBVNT|5679VULN|69BPWR|89DUR|aRCR
89	52335 32534	7	   	253.43	DCR|4VULN|2DUR|2LIT	1RPLT|29CGEN|35DUR|4579VULN|59BPWR|6MBVNT|89LIT|aRCR
90	52335 34534	6	   	253.43	DCR|4VULN|2DUR|2LIT	1RPLT|29CGEN|35DUR|4579VULN|59BPWR|6MBVNT|89LIT|aRCR
91	34161 34411	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5FEWX|6DUST|79aVULN|8RCR|9BPWR
92	34162 84411	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5LHND|6DUST|79aVULN|8RCR|9BPWR
93	34163 38411	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5LWND|6DUST|79aVULN|8RCR|9BPWR
94	34165 14411	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5DUST|6LHND|79aVULN|8RCR|9BPWR
95	34165 44411	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5DUST|6FEWX|79aVULN|8RCR|9BPWR
96	34167 34411	2	   	253.38	DCR|3VULN|2DMG|2DUR	1RCVC|29DUR|39DMG|4MBVNT|5BEXP|6DUST|79aVULN|8RCR|9BPWR
97	56521 32122	10	   	253.38	DCR|3VULN|2DMG|2DUR	1RPLT|28DUR|3RCVC|4DUST|578VULN|68DMG|8BPWR|9ERES|aRCR
98	56333 12432	10	 * 	252.15	DCR|3VULN|2DUR|2CDMG|1TLV	1RPLT|29DUR|3MLV|479VULN|5TLV|6ZMB|89CDMG|9BPWR|aRCR
99	52335 33226	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|2CGEN|35DUR|45aVULN|5BPWR|6MBVNT|7RCR|8DMG|9TLV
100	52335 33246	8	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|2CGEN|35DUR|45aVULN|5BPWR|6MBVNT|7RCR|8DMG|9TLV
101	56132 12342	9	   	252.05	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|23DUR|4DMG|579VULN|6FEWX|8RCR|aTLV
102	31114 33553	4	   	252.00	DCR|4VULN|3DUR	1RCVC|2689VULN|389MLV|489DUR|5RMIN|7RCR|89BPWR|aLHND
103	31124 33553	3	   	252.00	DCR|4VULN|3DUR	1RCVC|2689VULN|389MLV|489DUR|5RMIN|7RCR|89BPWR|aLHND
104	56121 32342	9	   	251.95	DCR|3VULN|2DUR|1DMG|1TLV	1RPLT|23DUR|4DUST|579VULN|6DMG|8RCR|aTLV
105	31114 33144	4	   	251.90	DCR|4VULN|3DUR	1RCVC|269aVULN|39aMLV|49aDUR|5RMIN|7RCR|8BBNT|9aBPWR
106	31114 33344	4	   	251.90	DCR|4VULN|3DUR	1RCVC|269aVULN|39aMLV|49aDUR|5RMIN|7RCR|8TBNT|9aBPWR
107	31114 33552	4	   	251.90	DCR|4VULN|3DUR	1RCVC|2689VULN|389MLV|489DUR|5RMIN|7RCR|89BPWR|aDLOT
108	31124 33144	3	   	251.90	DCR|4VULN|3DUR	1RCVC|269aVULN|39aMLV|49aDUR|5RMIN|7RCR|8BBNT|9aBPWR
109	31124 33344	3	   	251.90	DCR|4VULN|3DUR	1RCVC|269aVULN|39aMLV|49aDUR|5RMIN|7RCR|8TBNT|9aBPWR
110	31124 33552	3	   	251.90	DCR|4VULN|3DUR	1RCVC|2689VULN|389MLV|489DUR|5RMIN|7RCR|89BPWR|aDLOT
111	51122 46331	9	   	251.90	DCR|4VULN|3DUR	1RPLT|28aLWND|38aDUR|4DUST|5FEWX|6RCR|789aVULN|8aBPWR
112	16313 42281	6	   	251.80	DCR|4VULN|3DUR	19aFEWX|2DUST|389aVULN|49aDUR|5RPLT|6RCR|7MBVNT|9aBPWR
113	16313 43141	9	   	251.80	DCR|4VULN|3DUR	19aFEWX|2DUST|389aVULN|49aDUR|5RPLT|6RCR|7MBVNT|9aBPWR
114	16313 43181	8	   	251.80	DCR|4VULN|3DUR	19aFEWX|2DUST|389aVULN|49aDUR|5RPLT|6RCR|7MBVNT|9aBPWR
115	16313 43281	7	   	251.80	DCR|4VULN|3DUR	19aFEWX|2DUST|389aVULN|49aDUR|5RPLT|6RCR|7MBVNT|9aBPWR
116	16313 43331	9	   	251.80	DCR|4VULN|3DUR	18aFEWX|2DUST|389aVULN|48aDUR|5RPLT|6RCR|7MBVNT|8aBPWR
117	16313 43345	9	   	251.80	DCR|4VULN|3DUR	189FEWX|2DUST|389aVULN|489DUR|5RPLT|6RCR|7MBVNT|89BPWR
118	15112 31132	7	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|2DUR|3CDMG|4TLV|589VULN|6CGEN|7RCR|aDMG
119	15112 34342	9	   	251.11	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1FEWX|2DUR|3CDMG|4TLV|578VULN|6CGEN|9RCR|aDMG
120	53112 16234	10	   	250.95	DCR|2VULN|2DMG|2DUR|2LIT|1AART|1SELL	1RPLT|2SELL|3aLIT|48DUR|5aDMG|6RCR|7AART|9aVULN|aBPWR
121	46215 33222	10	   	250.92	DCR|3VULN|2DMG|2CDMG	1aCGEN|2LIT|3aDMG|4ERES|589VULN|6RCR|7aCDMG|aBPWR
122	56122 43131	7	   	250.80	DCR|2VULN|3DUR|2DMG|1ASPD	1RPLT|23aDUR|4DUST|5aDMG|6LWND|7RCR|8ASPD|9aVULN|aBPWR
123	15211 36362	10	   	250.48	DCR|2VULN|3DUR|1DMG|2TLV	1FEWX|279DUR|3ERES|4LIT|59VULN|6DMG|89TLV|9BPWR|aRCR
