0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36323 43362	7	 * 	274.54	DCR|2VULN|3DMG|2DUR|1TLV|2LIT	1LEGI|28aDMG|3aLIT|4TLV|59DUR|6aVULN|7RCR|aBPWR
27	36323 42152	9	   	259.96	DCR|2VULN|3DMG|1TLV|1DUR|2LIT	1LEGI|28aDMG|3aLIT|4TLV|5DUR|6aVULN|7RCVC|9RCR|aBPWR
28	11455 32231	5	 * 	259.75	DCR|3VULN|2DUR|2CDMG|1DMG|2LIT	12LIT|356VULN|45DUR|5BPWR|7DMG|89CDMG|aRCR
29	44612 12121	3	   	259.63	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4ASPD|5LIT|6CDMG|8RMIN|aRCR
30	11455 31131	9	   	259.58	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	12LIT|357VULN|45DUR|5BPWR|6DMSP|8TLV|9CDMG|aRCR
31	44612 12321	3	   	259.53	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4ASPD|5LIT|6CDMG|8ERES|aRCR
32	36323 32521	7	 * 	259.44	DCR|3DMG|3DUR|1VULN|2TLV	1LEGI|28aDMG|3LIT|48TLV|578DUR|6RCR|8BPWR|9VULN
33	13235 62335	5	 * 	259.12	DCR|3VULN|3TLV|2DUR|3LIT	145LIT|27aTLV|3RPLT|67aVULN|7aBPWR|8aDUR|9RCR
34	21615 31241	3	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9CDMG|aTLV
35	21615 31241	4	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|257VULN|3DUR|4DMG|6RCR|8ASPD|9CDMG|aTLV
36	24315 31241	2	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9CDMG|aTLV
37	26315 31241	1	   	258.41	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DUR|357VULN|4DMG|6RCR|8ASPD|9CDMG|aTLV
38	44143 11213	8	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|27aVULN|3CDMG|4ASPD|5DUST|6RCR|8DMG|9DUR
39	44143 11233	9	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|27aVULN|3CDMG|4ASPD|5DUST|6RCR|8DMG|9DUR
40	44143 11313	9	   	258.31	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|27aVULN|3CDMG|4ASPD|5DUST|6RCR|8DUR|9DMG
41	24311 21553	10	 * 	257.93	DCR|2VULN|2TLV|2DUR|1DMG|1CDMG|1AART	1LHND|2aDUR|3FEWX|4DMG|5aTLV|6CDMG|7aVULN|8AART|9RCR|aBPWR
42	11522 55112	3	 * 	257.75	DCR|3VULN|2DMG|1TLV|3LIT	127LIT|37DMG|4RCVC|567VULN|7BPWR|8TLV|9ERES|aRCR
43	21611 25313	10	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LHND|2aVULN|38DUR|49DMG|5TLV|6CDMG|7RCR
44	61611 25313	10	   	257.58	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1LWND|2aVULN|38DUR|49DMG|5TLV|6CDMG|7RCR
45	21311 61213	10	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|289aVULN|3FEWX|4DMG|5TLV|6RCR|7DUR
46	61311 61213	10	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1LWND|289aVULN|3FEWX|4DMG|5TLV|6RCR|7DUR
47	36323 33463	7	   	257.44	DCR|3DUR|1VULN|2DMG|2TLV|1CDMG	1LEGI|27DMG|3LIT|47TLV|57aDUR|6RCR|7BPWR|8CDMG|9VULN
48	21211 61213	10	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1LHND|289aVULN|3DUST|4DMG|5TLV|6RCR|7DUR
49	61211 61213	10	   	257.40	DCR|4VULN|1TLV|1DMG|1DUR	1LWND|289aVULN|3DUST|4DMG|5TLV|6RCR|7DUR
50	21523 31165	5	 * 	256.80	DCR|4VULN|3DMG	1aLHND|279aVULN|3ASPD|4CGEN|58aDMG|6RCR|aBPWR
51	44612 32231	5	 * 	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	13TLV|236VULN|3BPWR|4CGEN|5LIT|7DMG|89CDMG|aRCR
52	44612 32231	4	   	256.65	DCR|3VULN|2TLV|1DMG|2CDMG	13TLV|236VULN|3BPWR|4CGEN|5LIT|7DMG|89CDMG|aRCR
53	44363 32122	10	   	256.61	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG	1TLV|2aVULN|3LIT|4ASPD|57DUR|6RCR|8DMG|9CDMG
54	44622 32231	4	   	256.55	DCR|3VULN|2TLV|1DMG|2CDMG	13TLV|236VULN|3BPWR|4ERES|5LIT|7DMG|89CDMG|aRCR
55	44622 32231	5	   	256.55	DCR|3VULN|2TLV|1DMG|2CDMG	13TLV|236VULN|3BPWR|4ERES|5LIT|7DMG|89CDMG|aRCR
56	13213 44326	2	   	254.53	DCR|2VULN|3DUR|1TLV|1DMG|2LIT	15LIT|2TLV|3LWND|456DUR|5BPWR|79VULN|8DMG|aRCR
57	11455 12121	5	   	254.43	DCR|4VULN|2DUR|2LIT|1CDMG	12LIT|3579VULN|45DUR|5BPWR|6CDMG|8RMIN|aRCR
58	11455 12321	5	   	254.33	DCR|4VULN|2DUR|2LIT|1CDMG	12LIT|3579VULN|45DUR|5BPWR|6CDMG|8ERES|aRCR
59	44631 33211	4	 * 	254.19	DCR|3VULN|3TLV|1DMG|1DUR|1AART	136TLV|239VULN|3BPWR|4AART|5DUR|7RCR|8LWND|aDMG
60	31341 12672	8	 * 	254.18	DCR|3VULN|2DMG|2TLV	1LEGI|2aTLV|3LIT|45aVULN|6aDMG|7RCVC|8MBVNT|9RCR|aBPWR
61	44631 33311	4	   	254.09	DCR|3VULN|3TLV|1DMG|1DUR|1AART	136TLV|239VULN|3BPWR|4AART|5DUR|7RCR|8DUST|aDMG
62	21311 61223	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|28aVULN|3FEWX|49DMG|5TLV|6RCR|7DUR
63	61311 61223	10	   	254.04	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|28aVULN|3FEWX|49DMG|5TLV|6RCR|7DUR
64	13521 11162	10	   	254.01	DCR|3VULN|3TLV|2DUR|2LIT	19LIT|239TLV|4CGEN|56DUR|79aVULN|8RCR|9BPWR
65	13521 11166	9	   	254.01	DCR|3VULN|3TLV|2DUR|2LIT	19LIT|239TLV|4CGEN|56DUR|79aVULN|8RCR|9BPWR
66	15313 32451	9	   	254.01	DCR|3VULN|2TLV|2DUR|2LIT	18LIT|2LEGI|3RPLT|47aVULN|58DUR|68TLV|8BPWR|9RCR
67	21211 61223	10	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1LHND|28aVULN|3DUST|49DMG|5TLV|6RCR|7DUR
68	61211 61223	10	   	253.94	DCR|3VULN|2DMG|1TLV|1DUR	1LWND|28aVULN|3DUST|49DMG|5TLV|6RCR|7DUR
69	11455 32221	6	   	253.44	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	12LIT|359VULN|45DUR|5BPWR|6DMSP|7DMG|8CDMG|aRCR
70	11411 22621	7	   	253.34	DCR|3VULN|2DUR|1DMG|2LIT|1CDMG	12LIT|359VULN|4CDMG|6DMG|78DUR|aRCR
71	21611 25325	8	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|2aVULN|389DUR|4DMG|5TLV|6CDMG|7RCR
72	21615 13325	7	   	253.22	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1LHND|2aVULN|369DUR|4DMG|5CDMG|7RCR|8TLV
73	44343 11122	9	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|24aVULN|3LIT|5DUR|6DMG|7BELT|8ASPD|9RCR
74	45341 11122	9	   	253.07	DCR|3VULN|1TLV|1DMG|1DUR	1TLV|2DUR|3LIT|45aVULN|6DMG|7BELT|8ASPD|9RCR
75	31341 12462	6	   	252.84	DCR|3VULN|2TLV|1DMG|2ASPD	1LEGI|2aTLV|3LIT|45aVULN|6DMG|7ZMB|8aASPD|9RCR|aBPWR
76	45333 25231	8	   	252.30	DCR|2VULN|3DUR|2TLV|2LIT|1AART	19TLV|29aDUR|36LIT|4CGEN|5AART|79VULN|8RCR|9BPWR
77	31341 24342	6	   	252.20	DCR|4VULN|1TLV|1DUR|2LIT	1LEGI|2TLV|36LIT|458aVULN|7RCR|9DUR
78	13244 31421	9	   	251.64	DCR|3VULN|2TLV|1DMG|2LIT	18LIT|28TLV|3RPLT|4ASPD|5DMG|6RCR|78aVULN|8BPWR|9LHND
79	13244 31421	8	   	251.64	DCR|3VULN|2TLV|1DMG|2LIT	18LIT|28TLV|3aRPLT|4ASPD|5DMG|6RCR|789VULN|8BPWR
80	13244 31431	9	   	251.54	DCR|3VULN|2TLV|1DMG|2LIT	18LIT|28TLV|3RPLT|4ASPD|5DMG|6RCR|78aVULN|8BPWR|9MBVNT
81	44342 12121	4	   	251.45	DCR|4VULN|1TLV|1CDMG	1TLV|2479VULN|3LIT|5ASPD|6CDMG|8RMIN|aRCR
82	21612 31241	5	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	15LHND|27VULN|3DUR|45DMG|5BPWR|6RCR|8ASPD|9CDMG|aTLV
83	44113 23214	4	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2aVULN|3CDMG|4LIT|5TBNT|6aCGEN|7DUR|8aDMG|9RCR|aBPWR
84	44313 23214	4	   	251.40	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1TLV|2aVULN|3LIT|4CDMG|5TBNT|6aCGEN|7DUR|8aDMG|9RCR|aBPWR
85	23146 21262	8	   	251.40	DCR|2VULN|2DMG|2TLV|1CDMG|1SELL	1LHND|2aTLV|3CDMG|4ASPD|5SELL|6aVULN|7LIT|8aDMG|9RCR|aBPWR
86	44342 12321	4	   	251.35	DCR|4VULN|1TLV|1CDMG	1TLV|2479VULN|3LIT|5ASPD|6CDMG|8ERES|aRCR
87	44612 12121	4	   	251.33	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4CGEN|5LIT|6CDMG|8RMIN|aRCR
88	44612 12121	5	   	251.33	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4CGEN|5LIT|6CDMG|8RMIN|aRCR
89	44632 12121	3	   	251.33	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4ZMB|5LIT|6CDMG|8RMIN|aRCR
90	21311 61513	10	 * 	251.24	DCR|3VULN|2DUR|1TLV|1DMG	18LHND|29aVULN|38FEWX|4DMG|5TLV|6RCR|78DUR|8BPWR
91	61311 61513	10	   	251.24	DCR|3VULN|2DUR|1TLV|1DMG	18LWND|29aVULN|38FEWX|4DMG|5TLV|6RCR|78DUR|8BPWR
92	23116 51621	4	   	251.23	DCR|4VULN|2TLV|1CDMG	1LHND|27TLV|3CDMG|4LIT|5689VULN|aRCR
93	44622 12121	4	   	251.23	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4ERES|5LIT|6CDMG|8RMIN|aRCR
94	44622 12121	5	   	251.23	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4ERES|5LIT|6CDMG|8RMIN|aRCR
95	44632 12321	3	   	251.23	DCR|4VULN|2TLV|1CDMG	13TLV|2379VULN|3BPWR|4ZMB|5LIT|6CDMG|8ERES|aRCR
96	44111 21621	6	   	251.23	DCR|4VULN|2TLV|1CDMG	17TLV|2689VULN|3CDMG|4LIT|5BEXP|aRCR
97	44112 21621	6	   	251.23	DCR|4VULN|2TLV|1CDMG	17TLV|2689VULN|3CDMG|4LIT|5FEWX|aRCR
98	44311 21621	6	   	251.23	DCR|4VULN|2TLV|1CDMG	17TLV|2689VULN|3LIT|4CDMG|5BEXP|aRCR
99	44312 21621	6	   	251.23	DCR|4VULN|2TLV|1CDMG	17TLV|2689VULN|3LIT|4CDMG|5FEWX|aRCR
100	44142 31122	4	   	251.18	DCR|2VULN|2DMG|2TLV|2ASPD|1CDMG	18TLV|28VULN|3CDMG|46ASPD|5BELT|78DMG|8BPWR|9RCR|aRPLT
101	44142 31123	4	   	251.18	DCR|2VULN|2DMG|2TLV|2ASPD|1CDMG	18TLV|28VULN|3CDMG|46ASPD|5BELT|78DMG|8BPWR|9RCR|aRMIN
102	31116 51621	4	   	251.13	DCR|4VULN|2TLV|1CDMG	1LEGI|27TLV|3CDMG|4LIT|5689VULN|aRCR
103	31316 51621	4	   	251.13	DCR|4VULN|2TLV|1CDMG	1LEGI|27TLV|3LIT|4CDMG|5689VULN|aRCR
104	21211 61513	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	18LHND|29aVULN|38DUST|4DMG|5TLV|6RCR|78DUR|8BPWR
105	21311 61215	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|289VULN|3FEWX|4DMG|5TLV|6RCR|7aDUR
106	21311 61216	9	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|289VULN|3FEWX|4DMG|5TLV|6RCR|7aDUR
107	61211 61513	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	18LWND|29aVULN|38DUST|4DMG|5TLV|6RCR|78DUR|8BPWR
108	61311 61215	10	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|289VULN|3FEWX|4DMG|5TLV|6RCR|7aDUR
109	61311 61216	9	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|289VULN|3FEWX|4DMG|5TLV|6RCR|7aDUR
110	13363 32523	7	   	250.95	DCR|2VULN|3DUR|2TLV|2LIT	18LIT|28TLV|3ASPD|4LHND|578DUR|6RCR|8BPWR|9aVULN
111	21211 61215	10	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|289VULN|3DUST|4DMG|5TLV|6RCR|7aDUR
112	21211 61215	9	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|289VULN|3DUST|4DMG|5TLV|6RCR|7aDUR
113	61211 61215	9	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|289VULN|3DUST|4DMG|5TLV|6RCR|7aDUR
114	61211 61215	10	   	250.94	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|289VULN|3DUST|4DMG|5TLV|6RCR|7aDUR
115	36323 33462	7	 * 	250.52	DCR|1VULN|2DMG|2TLV|2DUR|2CDMG	1LEGI|27DMG|3LIT|47TLV|57DUR|6RCR|7BPWR|8aCDMG|9VULN
116	13343 14612	6	 * 	250.39	DCR|2VULN|1TLV|3ASPD|1DMG|1DUR|2LIT	1aLIT|2TLV|39aASPD|4RMIN|5DUR|6DMG|7RCR|8aVULN|aBPWR
117	13563 32221	3	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	1LIT|23TLV|469VULN|5CGEN|7DMG|8CDMG|aRCR
118	13564 22221	3	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	1LIT|23TLV|459VULN|6RMIN|7DMG|8CDMG|aRCR
119	13566 12121	3	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	1LIT|23TLV|479VULN|5DMG|6CDMG|8RMIN|aRCR
120	43632 32221	5	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	13TLV|2MLV|469VULN|5LIT|7DMG|8CDMG|aRCR
121	43632 32221	4	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	13TLV|2MLV|469VULN|5LIT|7DMG|8CDMG|aRCR
122	43632 41331	9	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	13TLV|2MLV|467VULN|5LIT|8DMG|9CDMG|aRCR
123	43632 42221	6	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	13TLV|2MLV|469VULN|5LIT|7DMG|8CDMG|aRCR
124	13564 32221	3	   	250.14	DCR|3VULN|2TLV|1DMG|1CDMG	1LIT|23TLV|459VULN|6ERES|7DMG|8CDMG|aRCR
125	13566 12321	3	   	250.14	DCR|3VULN|2TLV|1DMG|1CDMG	1LIT|23TLV|479VULN|5DMG|6CDMG|8ERES|aRCR
126	21615 31363	4	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|257VULN|3DUR|4DMG|6RCR|8FEWX|9TLV|aCDMG
127	21615 31363	3	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|257VULN|3DUR|4DMG|6RCR|8FEWX|9TLV|aCDMG
128	24315 31363	2	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DUR|357VULN|4DMG|6RCR|8FEWX|9TLV|aCDMG
129	26315 31363	1	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|2DUR|357VULN|4DMG|6RCR|8FEWX|9TLV|aCDMG
130	21311 61213	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|289VULN|3FEWX|4DMG|5TLV|6RCR|7DUR|aCDMG
131	21611 21165	8	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|27aVULN|3DUR|4DMG|5TLV|6CDMG|8FEWX|9RCR
132	61311 61213	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|289VULN|3FEWX|4DMG|5TLV|6RCR|7DUR|aCDMG
133	21311 21265	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|27aVULN|3FEWX|4DMG|5TLV|6CDMG|8DUR|9RCR
134	21311 25345	9	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|29aVULN|3FEWX|4DMG|5TLV|6CDMG|7RCR|8DUR
135	61311 21265	7	   	250.10	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|27aVULN|3FEWX|4DMG|5TLV|6CDMG|8DUR|9RCR
136	21211 21265	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|27aVULN|3DUST|4DMG|5TLV|6CDMG|8DUR|9RCR
137	21211 25345	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|29aVULN|3DUST|4DMG|5TLV|6CDMG|7RCR|8DUR
138	21211 61213	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LHND|289VULN|3DUST|4DMG|5TLV|6RCR|7DUR|aCDMG
139	61211 21265	7	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|27aVULN|3DUST|4DMG|5TLV|6CDMG|8DUR|9RCR
140	61211 61213	9	   	250.00	DCR|3VULN|1TLV|1DMG|1DUR|1CDMG	1LWND|289VULN|3DUST|4DMG|5TLV|6RCR|7DUR|aCDMG
141	11435 41131	9	   	249.80	DCR|4VULN|1TLV|2LIT|1CDMG	12LIT|3567VULN|45BEXP|5BPWR|8TLV|9CDMG|aRCR
142	21611 21552	9	   	249.66	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1LHND|27VULN|3aDUR|4DMG|5TLV|6CDMG|8AART|9RCR
143	21611 25512	8	   	249.66	DCR|2VULN|2DUR|1TLV|1DMG|1CDMG|1AART	1LHND|29VULN|3aDUR|4DMG|5TLV|6CDMG|7RCR|8AART
144	11163 65132	2	 * 	249.53	DCR|4VULN|2TLV|3LIT	127LIT|3579CGEN|4679VULN|79BPWR|89TLV|aRCR
145	11622 65132	4	   	249.53	DCR|4VULN|2TLV|3LIT	127LIT|3RCVC|479CGEN|5679VULN|79BPWR|89TLV|aRCR
146	12163 65132	1	   	249.53	DCR|4VULN|2TLV|3LIT	127LIT|3579CGEN|4679VULN|79BPWR|89TLV|aRCR
147	44111 23121	8	   	249.46	DCR|4VULN|1TLV|2CDMG	1TLV|2679VULN|38CDMG|4LIT|5BEXP|aRCR
148	44111 23631	7	   	249.46	DCR|4VULN|1TLV|2CDMG	1TLV|2678VULN|39CDMG|4LIT|5BEXP|aRCR
149	44113 23121	8	   	249.46	DCR|4VULN|1TLV|2CDMG	1TLV|2679VULN|38CDMG|4LIT|5LWND|aRCR
150	44311 23121	8	   	249.46	DCR|4VULN|1TLV|2CDMG	1TLV|2679VULN|3LIT|48CDMG|5BEXP|aRCR
151	44311 23631	7	   	249.46	DCR|4VULN|1TLV|2CDMG	1TLV|2678VULN|3LIT|49CDMG|5BEXP|aRCR
152	44313 23121	8	   	249.46	DCR|4VULN|1TLV|2CDMG	1TLV|2679VULN|3LIT|48CDMG|5LWND|aRCR
153	21311 64513	10	   	249.43	DCR|4VULN|2TLV|1DMG	18LHND|289aVULN|3FEWX|4DMG|58TLV|6RCR|7LEGI|8BPWR
154	13214 11462	3	 * 	249.38	DCR|2VULN|2TLV|2DUR|2CDMG|2LIT	1aLIT|2aTLV|3RPLT|45VULN|68CDMG|7aDUR|9RCR|aBPWR
155	13521 11165	9	 * 	249.38	DCR|2VULN|3TLV|2DUR|1DMG|2LIT	19LIT|239TLV|4CGEN|56DUR|79VULN|8RCR|9BPWR|aDMG
156	15313 32453	10	   	249.38	DCR|2VULN|2TLV|2DUR|1DMG|2LIT	18LIT|2LEGI|3RPLT|47VULN|58DUR|68TLV|8BPWR|9RCR|aDMG
157	44116 23121	8	   	249.36	DCR|4VULN|1TLV|2CDMG	1TLV|2679VULN|38CDMG|4LIT|5DUST|aRCR
158	44316 23121	8	   	249.36	DCR|4VULN|1TLV|2CDMG	1TLV|2679VULN|3LIT|48CDMG|5DUST|aRCR
159	11164 43132	2	   	249.33	DCR|4VULN|2TLV|3LIT	126LIT|39CGEN|4579VULN|89TLV|9BPWR|aRCR
160	11164 43132	3	   	249.33	DCR|4VULN|2TLV|3LIT	126LIT|39MLV|4579VULN|89TLV|9BPWR|aRCR
161	12164 43132	1	   	249.33	DCR|4VULN|2TLV|3LIT	126LIT|39CGEN|4579VULN|89TLV|9BPWR|aRCR
162	21211 64513	10	   	249.33	DCR|4VULN|2TLV|1DMG	18LHND|289aVULN|3DUST|4DMG|58TLV|6RCR|7LEGI|8BPWR
163	13541 11163	10	   	249.28	DCR|2VULN|3TLV|2DUR|1DMG|2LIT	19LIT|239TLV|4ERES|56DUR|79VULN|8RCR|9BPWR|aDMG
164	21511 13535	9	   	249.09	DCR|4VULN|2DMG|2ASPD	14aLHND|256aVULN|36ASPD|6aBPWR|7MLV|8RCR|9aDMG
165	21523 31265	5	   	248.99	DCR|4VULN|2DMG|2ASPD	1aLHND|279aVULN|38ASPD|4CGEN|5aDMG|6RCR|aBPWR
166	21615 31161	4	   	248.89	DCR|4VULN|2DMG|1DUR	1LHND|2579VULN|3DUR|48DMG|6RCR|aMLV
167	21615 31161	3	   	248.89	DCR|4VULN|2DMG|1DUR	1LHND|2579VULN|3DUR|48DMG|6RCR|aMLV
168	24315 31161	2	   	248.89	DCR|4VULN|2DMG|1DUR	1LHND|2DUR|3579VULN|48DMG|6RCR|aMLV
169	26315 31161	1	   	248.89	DCR|4VULN|2DMG|1DUR	1LHND|2DUR|3579VULN|48DMG|6RCR|aMLV
170	21511 15631	9	   	248.89	DCR|4VULN|2DMG|2ASPD	14LHND|256aVULN|36ASPD|6BPWR|79DMG|8RCR
