0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32114 22435	2	 * 	289.26	DCR|4VULN|3DUR|2ASPD|1TLV	1RMIN|237aVULN|4TLV|59aDUR|6RCR|8aASPD|aBPWR
34	32631 21115	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|28aVULN|3aDMG|4LIT|5BBNT|6LHND|7aDUR|9RCR|aBPWR
35	32631 31115	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|28aVULN|3aDMG|4LIT|5BBNT|6BEXP|7aDUR|9RCR|aBPWR
36	32631 51115	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|28aVULN|3aDMG|4LIT|5BBNT|6FEWX|7aDUR|9RCR|aBPWR
37	32631 61115	3	   	261.79	DCR|3VULN|2DMG|2DUR	1RMIN|28aVULN|3aDMG|4LIT|5BBNT|6LWND|7aDUR|9RCR|aBPWR
38	21626 21115	3	   	261.79	DCR|3VULN|2DMG|2DUR	18aVULN|2ZMB|3aDMG|4TBNT|5LHND|6LIT|7aDUR|9RCR|aBPWR
39	21631 21115	3	   	261.79	DCR|3VULN|2DMG|2DUR	18aVULN|2ZMB|3aDMG|4LIT|5BBNT|6LHND|7aDUR|9RCR|aBPWR
40	21631 31115	3	   	261.79	DCR|3VULN|2DMG|2DUR	18aVULN|2ZMB|3aDMG|4LIT|5BBNT|6BEXP|7aDUR|9RCR|aBPWR
41	21631 51115	3	   	261.79	DCR|3VULN|2DMG|2DUR	18aVULN|2ZMB|3aDMG|4LIT|5BBNT|6FEWX|7aDUR|9RCR|aBPWR
42	21631 61115	3	   	261.79	DCR|3VULN|2DMG|2DUR	18aVULN|2ZMB|3aDMG|4LIT|5BBNT|6LWND|7aDUR|9RCR|aBPWR
43	21613 11255	5	   	260.04	DCR|3VULN|2DMG|2TLV|2AART	167VULN|2ZMB|37DMG|47TLV|58AART|7BPWR|9ERES|aRCR
44	62132 11255	5	   	260.04	DCR|3VULN|2DMG|2TLV|2AART	17TLV|28AART|3ZMB|467VULN|57DMG|7BPWR|9ERES|aRCR
45	62133 11432	1	   	260.00	DCR|4VULN|1DMG|1DUR|1TLV	1TLV|2358VULN|4DUR|6LHND|7DUST|9RCR|aDMG
46	21132 34251	1	   	259.91	DCR|4VULN|3DUR	179aVULN|2LHND|358DUR|4LIT|6RCR
47	32132 52432	5	 * 	259.89	DCR|3VULN|3DUR|3ASPD	13RMIN|27aVULN|49aDUR|58aASPD|6RCR|aBPWR
48	32152 52432	4	   	259.89	DCR|3VULN|3DUR|3ASPD	13RMIN|27aVULN|48aASPD|59aDUR|6RCR|aBPWR
49	32432 52432	5	   	259.89	DCR|3VULN|3DUR|3ASPD	1RMIN|27aVULN|3DMSP|49aDUR|58aASPD|6RCR|aBPWR
50	24114 22115	1	   	259.58	DCR|5VULN|1TLV|1DUR	1379aVULN|2RMIN|4TLV|5DUR|6RCR|8RPLT
51	32114 22115	2	   	259.58	DCR|5VULN|1TLV|1DUR	1RMIN|2379aVULN|4TLV|5DUR|6RCR|8RPLT
52	62324 12632	1	   	259.58	DCR|5VULN|1TLV|1DUR	1TLV|2568aVULN|35CGEN|4TBNT|5BPWR|7DUR|9RCR
53	23114 22462	1	   	259.48	DCR|5VULN|1TLV|1DUR	1389aVULN|2CGEN|4TLV|5DUR|6RCR|7BBNT
54	23114 23462	1	   	259.48	DCR|5VULN|1TLV|1DUR	1389aVULN|2CGEN|4TLV|5DUR|6RCR|7TBNT
55	23423 12632	1	   	259.48	DCR|5VULN|1TLV|1DUR	1568aVULN|2CGEN|3BBNT|4TLV|7DUR|9RCR
56	62323 12632	1	   	259.48	DCR|5VULN|1TLV|1DUR	1TLV|2568aVULN|3CGEN|4TBNT|7DUR|9RCR
57	24233 12415	10	   	259.35	DCR|4VULN|1TLV|1DUR|1ASPD	1458VULN|2BEXP|3LIT|6TLV|7ASPD|9DUR|aRCR
