0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63333 12622	10	 * 	281.95	DCR|3VULN|3DUR|2DMG|3CDMG|1NUKE	128CDMG|38aDUR|4CGEN|5aDMG|68aVULN|7RCR|8aBPWR|9NUKE
31	63623 11442	6	   	258.64	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4ERES|58DMG|678aVULN|8BPWR|9RCR
32	63621 61442	6	   	258.64	DCR|4VULN|2DMG|3CDMG	128CDMG|3MBVNT|4ERES|578aVULN|68DMG|8BPWR|9RCR
33	61631 12126	8	   	257.50	DCR|4VULN|1TLV|2CDMG|2ASPD	1aCDMG|2aCGEN|3468VULN|5TLV|7aASPD|9RCR|aBPWR
34	61631 52132	9	   	257.50	DCR|4VULN|1TLV|2CDMG|2ASPD	18CDMG|2CGEN|3489VULN|5TLV|6LWND|78ASPD|8BPWR|aRCR
35	21151 13145	5	   	257.40	DCR|4VULN|1TLV|2CDMG|1DUR	1DUST|267aVULN|3LWND|4DUR|56CDMG|6BPWR|8TLV|9RCR
36	21151 33145	7	   	257.40	DCR|4VULN|1TLV|2CDMG|1DUR	17DUST|267aVULN|3LWND|4DUR|57CDMG|7BPWR|8TLV|9RCR
37	16142 12131	2	   	257.39	DCR|4VULN|2DMG|1DUR	18FEWX|2ZMB|389aVULN|4DUR|5LIT|68DMG|7RCR|8BPWR
38	16442 12131	3	   	257.39	DCR|4VULN|2DMG|1DUR	18FEWX|2ZMB|389aVULN|4DUR|5LIT|68DMG|7RCR|8BPWR
39	63332 12622	10	   	257.36	DCR|2VULN|3DUR|2DMG|3CDMG	128CDMG|38aDUR|4aCGEN|5ZMB|68VULN|7RCR|8aBPWR|9aDMG
40	11545 12131	3	   	257.29	DCR|4VULN|2DMG|1DUR|1NUKE	18FEWX|289aVULN|3DUR|4LIT|58DMG|6NUKE|7RCR|8BPWR
41	52425 23321	8	   	257.29	DCR|4VULN|2DMG|1DUR	18ERES|24LHND|348aVULN|48BPWR|5LIT|6DUR|78DMG|9RCR
42	25131 44322	10	 * 	257.26	DCR|2VULN|3DUR|2DMG|1TLV	1DUST|28aDUR|3LWND|4TLV|5aVULN|6LHND|7RCR|9aDMG|aBPWR
43	26142 12131	2	   	257.19	DCR|4VULN|2DMG|1DUR	18DUST|2ZMB|389aVULN|4DUR|5LIT|68DMG|7RCR|8BPWR
44	26442 12131	3	   	257.19	DCR|4VULN|2DMG|1DUR	18DUST|2ZMB|389aVULN|4DUR|5LIT|68DMG|7RCR|8BPWR
45	52415 23321	8	   	257.19	DCR|4VULN|2DMG|1DUR	18ERES|2LHND|348aVULN|5LIT|6DUR|78DMG|8BPWR|9RCR
46	21545 12131	3	   	257.09	DCR|4VULN|2DMG|1DUR|1NUKE	18DUST|289aVULN|3DUR|4LIT|58DMG|6NUKE|7RCR|8BPWR
47	42133 15335	2	 * 	257.00	DCR|4VULN|3DMG	17aCGEN|2LHND|379aVULN|4BEXP|5LIT|67aDMG|7aBPWR|8RCR
48	65141 13144	4	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	16CDMG|2DUST|3DUR|4MBVNT|567VULN|6BPWR|8TLV|9RCR|aDMG
49	65143 13144	5	   	256.32	DCR|3VULN|1TLV|1DMG|2CDMG|1DUR	16CDMG|2DUST|3DUR|4MBVNT|567VULN|6BPWR|8TLV|9RCR|aDMG
50	11323 52611	8	   	256.25	DCR|4VULN|2DMG|1CDMG|1AART	18FEWX|248aVULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9AART
51	11313 52611	8	   	256.15	DCR|4VULN|2DMG|1CDMG|1AART	18FEWX|248aVULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9AART
52	21323 52611	8	   	256.05	DCR|4VULN|2DMG|1CDMG|1AART	18DUST|248aVULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9AART
53	21313 52611	8	   	255.95	DCR|4VULN|2DMG|1CDMG|1AART	18DUST|248aVULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9AART
54	63121 14316	7	 * 	255.47	DCR|4VULN|2TLV|3CDMG	127CDMG|3RMIN|4679VULN|57TLV|7BPWR|8LHND|aRCR
55	63121 15442	7	   	255.37	DCR|4VULN|2TLV|3CDMG	128CDMG|3RMIN|468aVULN|58TLV|7MBVNT|8BPWR|9RCR
56	63681 21442	6	   	255.37	DCR|4VULN|2TLV|3CDMG	128CDMG|3MBVNT|4RMIN|578aVULN|68TLV|8BPWR|9RCR
57	63681 21442	5	   	255.37	DCR|4VULN|2TLV|3CDMG	128CDMG|3MBVNT|4RMIN|578aVULN|68TLV|8BPWR|9RCR
58	61631 11532	6	 * 	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1CDMG|2CGEN|3467VULN|5TLV|8RCVC|9DMG|aRCR
59	26423 32316	10	   	254.90	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|24ZMB|3467VULN|4BPWR|5CDMG|8TLV|9RCR|aDMG
60	11323 52633	10	   	254.89	DCR|4VULN|2DMG|1CDMG	18FEWX|248aVULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9ASPD
61	26413 32316	10	   	254.80	DCR|4VULN|1TLV|1DMG|1CDMG	1DUST|2ZMB|3467VULN|5CDMG|8TLV|9RCR|aDMG
62	11313 52633	10	   	254.79	DCR|4VULN|2DMG|1CDMG	18FEWX|248aVULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9ASPD
63	21323 52633	10	   	254.69	DCR|4VULN|2DMG|1CDMG	18DUST|248aVULN|34CGEN|48BPWR|5CDMG|68DMG|7RCR|9ASPD
64	21313 52633	10	   	254.59	DCR|4VULN|2DMG|1CDMG	18DUST|248aVULN|3CGEN|5CDMG|68DMG|7RCR|8BPWR|9ASPD
65	63352 21111	2	   	254.19	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	12CDMG|35aVULN|45TLV|5BPWR|6RCR|7MLV|8DUR|9AART
66	63352 23351	2	   	254.19	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	12CDMG|358VULN|45TLV|5BPWR|6RCR|7ZMB|9AART|aDUR
67	63352 25211	2	   	254.19	DCR|3VULN|2TLV|2CDMG|1DUR|1AART	12CDMG|35aVULN|45TLV|5BPWR|6RCR|7DUR|8ZMB|9AART
68	63631 61441	6	   	253.94	DCR|3VULN|2DMG|3CDMG|1DUR	128CDMG|3MBVNT|4CGEN|578VULN|68DMG|8BPWR|9RCR|aDUR
69	63633 11441	6	   	253.94	DCR|3VULN|2DMG|3CDMG|1DUR	128CDMG|3MBVNT|4CGEN|58DMG|678VULN|8BPWR|9RCR|aDUR
70	63623 11441	6	   	253.84	DCR|3VULN|2DMG|3CDMG|1DUR	128CDMG|3MBVNT|4ERES|58DMG|678VULN|8BPWR|9RCR|aDUR
71	63621 61441	6	   	253.84	DCR|3VULN|2DMG|3CDMG|1DUR	128CDMG|3MBVNT|4ERES|578VULN|68DMG|8BPWR|9RCR|aDUR
72	26423 32316	9	 * 	253.18	DCR|5VULN|1TLV|1CDMG	1DUST|24ZMB|3467aVULN|4BPWR|5CDMG|8TLV|9RCR
73	26413 32316	9	   	253.08	DCR|5VULN|1TLV|1CDMG	1DUST|2ZMB|3467aVULN|5CDMG|8TLV|9RCR
74	11323 24165	7	 * 	253.00	DCR|3VULN|2TLV|2DUR|1CDMG	17FEWX|247VULN|34CGEN|47BPWR|5CDMG|67TLV|8aDUR|9RCR
75	11543 11215	7	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1FEWX|259VULN|3aDUR|4CDMG|6TLV|7ASPD|8RCR
76	11313 24165	7	   	252.90	DCR|3VULN|2TLV|2DUR|1CDMG	17FEWX|247VULN|3CGEN|5CDMG|67TLV|7BPWR|8aDUR|9RCR
77	16112 12133	4	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	18FEWX|2ZMB|38DUR|49VULN|5LIT|68DMG|7RCR|8BPWR|aTLV
78	45112 15333	4	   	252.44	DCR|2VULN|2DMG|2DUR|1TLV	17CGEN|2BEXP|37DUR|49VULN|5LIT|67DMG|7BPWR|8RCR|aTLV
79	13551 42232	9	 * 	252.38	DCR|3VULN|3DUR|2TLV	12FEWX|26BPWR|356DUR|46TLV|7RCR|89aVULN
80	13551 42233	10	   	252.38	DCR|3VULN|3DUR|2TLV	12FEWX|26BPWR|356DUR|46TLV|7RCR|89aVULN
81	21522 12133	4	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	18DUST|29VULN|38DUR|4ZMB|5LIT|68DMG|7RCR|8BPWR|aTLV
82	26112 12133	4	   	252.24	DCR|2VULN|2DMG|2DUR|1TLV	18DUST|2ZMB|38DUR|49VULN|5LIT|68DMG|7RCR|8BPWR|aTLV
83	23551 42232	9	   	252.18	DCR|3VULN|3DUR|2TLV	12DUST|26BPWR|356DUR|46TLV|7RCR|89aVULN
84	23551 42233	10	   	252.18	DCR|3VULN|3DUR|2TLV	12DUST|26BPWR|356DUR|46TLV|7RCR|89aVULN
85	16142 12135	2	   	252.00	DCR|3VULN|3DMG|1DUR	18FEWX|2ZMB|389VULN|4DUR|5LIT|68aDMG|7RCR|8BPWR
