0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16433 34372	9	 * 	304.52	DCR|3VULN|3DMG|3LIT|1TLV|1DUR|1CDMG	1MBVNT|29aLIT|3TLV|49aVULN|5DUR|6RCR|7CDMG|89aDMG|9aBPWR
14	61222 51233	3	 * 	290.87	DCR|3VULN|3DMG|3DUR	17aDUR|2DUST|37aDMG|4LIT|5LWND|67aVULN|7aBPWR|8RPLT|9RCR
15	61232 51233	4	   	290.87	DCR|3VULN|3DMG|3DUR	17aDUR|2DUST|37aDMG|4LIT|5LWND|67aVULN|7aBPWR|8RPLT|9RCR
16	45231 41121	3	   	290.50	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	14aVULN|2LWND|3aDMG|5TLV|6ASPD|7AART|8RCR|9aDUR|aBPWR
17	41231 41121	3	   	290.40	DCR|3VULN|2DMG|2DUR|1TLV|1ASPD	14aVULN|2DUST|3aDMG|5TLV|6ASPD|7AART|8RCR|9aDUR|aBPWR
18	12244 71474	7	 * 	289.31	DCR|4VULN|3DMG|3TLV	1MBVNT|279TLV|379DMG|4CGEN|5LIT|6789VULN|79BPWR|aRCR
19	16533 34372	9	   	288.27	DCR|3VULN|3DMG|3LIT|1DUR|1CDMG	1MBVNT|29aLIT|3MLV|49aVULN|5DUR|6RCR|7CDMG|89aDMG|9aBPWR
20	12265 38114	10	   	288.02	DCR|3VULN|3DMG|3TLV|1DUR|1CDMG|1SELL	1MBVNT|29aTLV|39aDMG|4DUR|5CDMG|6RCR|7SELL|89aVULN|9aBPWR
21	41234 34131	3	   	287.17	DCR|3VULN|2DMG|2DUR|2AART|1TLV	149VULN|2DUST|39DMG|59DUR|67AART|8RCR|9BPWR|aTLV
22	61622 34131	5	   	287.17	DCR|3VULN|2DMG|2DUR|2AART|1TLV	19DUR|2DUST|349VULN|59DMG|67AART|8RCR|9BPWR|aTLV
23	65622 21133	6	   	285.89	DCR|4VULN|2DMG|2DUR	19DUR|2LWND|3469VULN|59DMG|7AART|8RCR|9BPWR|aDMSP
24	42334 26131	2	 * 	285.80	DCR|4VULN|2DUR|2ASPD|1TLV	1479VULN|24FEWX|3AART|49BPWR|59ASPD|69DUR|8RCR|aTLV
25	43335 41131	1	   	285.80	DCR|4VULN|2DUR|2ASPD|1TLV	1359VULN|23DUR|39BPWR|49LWND|69ASPD|7AART|8RCR|aTLV
26	41234 33136	3	   	285.79	DCR|4VULN|2DMG|2DUR	149aVULN|2DUST|39DMG|59DUR|6AART|7DMSP|8RCR|9BPWR
27	61622 33136	5	   	285.79	DCR|4VULN|2DMG|2DUR	19DUR|2DUST|349aVULN|59DMG|6AART|7DMSP|8RCR|9BPWR
28	62622 26133	7	   	285.79	DCR|4VULN|2DMG|2DUR	19DUR|2FEWX|3469VULN|59DMG|7AART|8RCR|9BPWR|aLEGI
29	42314 26131	2	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1479VULN|2FEWX|3AART|59ASPD|69DUR|8RCR|9BPWR|aTLV
30	42623 26131	5	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	1379VULN|2FEWX|4AART|59ASPD|69DUR|8RCR|9BPWR|aTLV
31	62623 26131	7	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	19DUR|2FEWX|3469VULN|59ASPD|7AART|8RCR|9BPWR|aTLV
32	65623 21131	6	   	285.70	DCR|4VULN|2DUR|2ASPD|1TLV	19DUR|2LWND|3469VULN|59ASPD|7AART|8RCR|9BPWR|aTLV
33	41234 36133	3	   	285.69	DCR|4VULN|2DMG|2DUR	1479VULN|2DUST|39DMG|59DUR|6AART|8RCR|9BPWR|aLEGI
34	41211 26136	7	   	285.69	DCR|4VULN|2DMG|2DUR	169aVULN|24DUST|39DMG|59DUR|7AART|8RCR|9BPWR
35	41211 36136	5	   	285.69	DCR|4VULN|2DMG|2DUR	179aVULN|24DUST|39DMG|59DUR|6AART|8RCR|9BPWR
36	61231 36136	3	   	285.69	DCR|4VULN|2DMG|2DUR	19DUR|25DUST|39DMG|479aVULN|6AART|8RCR|9BPWR
37	61622 26133	7	   	285.69	DCR|4VULN|2DMG|2DUR	19DUR|2DUST|3469VULN|59DMG|7AART|8RCR|9BPWR|aLEGI
38	61622 36133	5	   	285.69	DCR|4VULN|2DMG|2DUR	19DUR|2DUST|3479VULN|59DMG|6AART|8RCR|9BPWR|aLEGI
39	61623 26131	7	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	19DUR|2DUST|3469VULN|59ASPD|7AART|8RCR|9BPWR|aTLV
40	61623 36131	5	   	285.60	DCR|4VULN|2DUR|2ASPD|1TLV	19DUR|2DUST|3479VULN|59ASPD|6AART|8RCR|9BPWR|aTLV
41	61236 36131	3	   	284.14	DCR|3VULN|3DUR|2DMG|2AART	159DUR|2DUST|39DMG|479VULN|6aAART|8RCR|9BPWR
42	16433 34322	9	   	283.66	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1MBVNT|2aLIT|3TLV|49aVULN|5DUR|6RCR|7CDMG|8aDMG|aBPWR
43	13632 78414	10	 * 	282.67	DCR|4VULN|3DUR|1DMG|1ASPD	1MBVNT|29aERES|379aVULN|4ASPD|5DMG|6RCR|89aDUR|9aBPWR
44	12833 34322	9	   	280.82	DCR|3VULN|2DMG|2TLV|1DUR|1CDMG	1MBVNT|2aTLV|3LIT|49aVULN|5DUR|6RCR|7CDMG|8aDMG|aBPWR
45	44251 11131	4	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|2RCVC|4LWND|59DMG|69DUR|7AART|8RCR|9BPWR|aTLV
46	45231 61121	3	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV	14aVULN|2LWND|3aDMG|5TLV|6ZMB|7AART|8RCR|9aDUR|aBPWR
47	45251 21131	6	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|2LWND|39DMG|4DMSP|59DUR|7AART|8RCR|9BPWR|aTLV
48	45352 21131	6	   	279.49	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|23LWND|49DUR|59DMG|7AART|8RCR|9BPWR|aTLV
49	41231 61121	3	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	14aVULN|2DUST|3aDMG|5TLV|6ZMB|7AART|8RCR|9aDUR|aBPWR
50	41234 33131	3	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	149VULN|2DUST|39DMG|59DUR|6AART|7DMSP|8RCR|9BPWR|aTLV
51	61622 33131	5	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|2DUST|349VULN|59DMG|6AART|7DMSP|8RCR|9BPWR|aTLV
52	41652 33131	5	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	139VULN|2DUST|49DUR|59DMG|6AART|7DMSP|8RCR|9BPWR|aTLV
53	41211 26131	7	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	169VULN|24DUST|39DMG|59DUR|7AART|8RCR|9BPWR|aTLV
54	41211 36131	5	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|24DUST|39DMG|59DUR|6AART|8RCR|9BPWR|aTLV
55	41214 36131	4	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	179VULN|24DUST|39DMG|59DUR|6AART|8RCR|9BPWR|aTLV
56	61215 26131	7	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|24DUST|39DMG|569VULN|7AART|8RCR|9BPWR|aTLV
57	61215 36131	5	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|24DUST|39DMG|579VULN|6AART|8RCR|9BPWR|aTLV
58	61231 36131	3	   	279.29	DCR|3VULN|2DMG|2DUR|1TLV	19DUR|25DUST|39DMG|479VULN|6AART|8RCR|9BPWR|aTLV
59	42251 41121	3	   	279.24	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	1aVULN|2FEWX|34aDMG|5TLV|6ASPD|7AART|8RCR|9aDUR|aBPWR
60	41234 34132	3	   	279.22	DCR|3VULN|2DMG|2DUR|2AART	149VULN|2DUST|39DMG|59DUR|67AART|8RCR|9BPWR|aLIT
61	61622 34132	5	   	279.22	DCR|3VULN|2DMG|2DUR|2AART	19DUR|2DUST|349VULN|59DMG|67AART|8RCR|9BPWR|aLIT
62	41251 41121	3	   	279.14	DCR|2VULN|3DMG|2DUR|1TLV|1ASPD	1aVULN|2DUST|34aDMG|5TLV|6ASPD|7AART|8RCR|9aDUR|aBPWR
63	41265 21233	7	 * 	278.90	DCR|3VULN|3DMG|3ASPD	19aVULN|2DUST|39aDMG|4LHND|5AART|6FEWX|79aASPD|8RCR|9aBPWR
64	13637 21814	10	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1MBVNT|29aERES|369aVULN|4ASPD|5TLV|79aDUR|8RCR|9aBPWR
65	41254 33132	3	   	278.80	DCR|3VULN|3DMG|2DUR	19aVULN|2DUST|349DMG|59DUR|6AART|7DMSP|8RCR|9BPWR
66	12266 74211	4	   	278.40	DCR|4VULN|2DUR|2TLV|1DMG	1MBVNT|2aTLV|3DMG|4aDUR|568aVULN|7RCR|9BBNT|aBPWR
67	42334 26132	2	   	277.85	DCR|4VULN|2DUR|2ASPD	1479VULN|24FEWX|3AART|49BPWR|59ASPD|69DUR|8RCR|aLIT
68	43335 41132	1	   	277.85	DCR|4VULN|2DUR|2ASPD	1359VULN|23DUR|39BPWR|49LWND|69ASPD|7AART|8RCR|aLIT
69	42314 26132	2	   	277.75	DCR|4VULN|2DUR|2ASPD	1479VULN|2FEWX|3AART|59ASPD|69DUR|8RCR|9BPWR|aLIT
70	42623 26132	5	   	277.75	DCR|4VULN|2DUR|2ASPD	1379VULN|2FEWX|4AART|59ASPD|69DUR|8RCR|9BPWR|aLIT
71	62623 26132	7	   	277.75	DCR|4VULN|2DUR|2ASPD	19DUR|2FEWX|3469VULN|59ASPD|7AART|8RCR|9BPWR|aLIT
72	65623 21132	6	   	277.75	DCR|4VULN|2DUR|2ASPD	19DUR|2LWND|3469VULN|59ASPD|7AART|8RCR|9BPWR|aLIT
73	61623 26132	7	   	277.65	DCR|4VULN|2DUR|2ASPD	19DUR|2DUST|3469VULN|59ASPD|7AART|8RCR|9BPWR|aLIT
74	61623 36132	5	   	277.65	DCR|4VULN|2DUR|2ASPD	19DUR|2DUST|3479VULN|59ASPD|6AART|8RCR|9BPWR|aLIT
75	12262 75113	7	   	277.59	DCR|4VULN|2DMG|1TLV|1DUR	1MBVNT|2TLV|35DMG|4DUR|6789VULN|aRCR
76	32125 41121	2	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4FEWX|6DMG|7AART|8RCR|9aDUR|aBPWR
77	32135 41121	2	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4LWND|6DMG|7AART|8RCR|9aDUR|aBPWR
78	32212 21121	6	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|36aVULN|4FEWX|5DMG|7AART|8RCR|9aDUR|aBPWR
79	32212 24121	7	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|36aVULN|4FEWX|5DMG|7AART|8RCR|9aDUR|aBPWR
80	32215 41121	4	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4FEWX|6DMG|7AART|8RCR|9aDUR|aBPWR
81	32225 41121	3	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4FEWX|6DMG|7AART|8RCR|9aDUR|aBPWR
82	32235 41121	3	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4LWND|6DMG|7AART|8RCR|9aDUR|aBPWR
83	32242 21121	6	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|36aVULN|4LHND|5DMG|7AART|8RCR|9aDUR|aBPWR
84	32242 24121	7	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|36aVULN|4LHND|5DMG|7AART|8RCR|9aDUR|aBPWR
85	32212 65521	5	   	276.62	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|38aVULN|4FEWX|5DMG|6RCR|7AART|9aDUR|aBPWR
86	32155 41121	2	   	276.52	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4DUST|6DMG|7AART|8RCR|9aDUR|aBPWR
87	32255 41121	3	   	276.52	DCR|3VULN|2DUR|2TLV|1DMG|1ASPD	1aTLV|2ASPD|35aVULN|4DUST|6DMG|7AART|8RCR|9aDUR|aBPWR
88	13833 34372	9	   	276.41	DCR|3VULN|3DMG|1DUR|1CDMG	1MBVNT|29aERES|3LIT|49aVULN|5DUR|6RCR|7CDMG|89aDMG|9aBPWR
89	61236 36133	3	   	276.37	DCR|3VULN|3DUR|2DMG	159DUR|2DUST|39DMG|479VULN|6AART|8RCR|9BPWR|aBEXP
90	62622 36131	7	   	276.37	DCR|3VULN|3DUR|2DMG	179DUR|2FEWX|349VULN|59DMG|6DLOT|8RCR|9BPWR|aAART
91	61622 36131	7	   	276.27	DCR|3VULN|3DUR|2DMG	179DUR|2DUST|349VULN|59DMG|6DLOT|8RCR|9BPWR|aAART
92	14262 22343	8	   	276.26	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR|1NUKE	1MBVNT|27ASPD|3NUKE|4DUR|57DMG|67aVULN|7BPWR|8RCR|9TLV
93	62622 33136	6	   	276.12	DCR|4VULN|2DMG|2DUR	19DUR|2FEWX|349aVULN|59DMG|6DLOT|7DMSP|8RCR|9BPWR
94	61622 33136	6	   	276.02	DCR|4VULN|2DMG|2DUR	19DUR|2DUST|349aVULN|59DMG|6DLOT|7DMSP|8RCR|9BPWR
95	42323 53261	1	   	276.02	DCR|4VULN|2DMG|2DUR	148aVULN|2TBNT|3ERES|5aDUR|6aDMG|7RCR|9RMIN|aBPWR
96	62622 62113	10	   	276.02	DCR|4VULN|2DMG|2DUR	17DUR|2FEWX|3478VULN|57DMG|6MBVNT|7BPWR|9ERES|aRCR
97	61622 62113	10	   	275.92	DCR|4VULN|2DMG|2DUR	17DUR|2DUST|3478VULN|57DMG|6MBVNT|7BPWR|9ERES|aRCR
98	12276 21814	10	   	275.42	DCR|2VULN|3DMG|3DUR|3TLV	1MBVNT|29aTLV|39aDMG|4ERES|56VULN|79aDUR|8RCR|9aBPWR
99	12241 54814	10	   	274.62	DCR|3VULN|3DMG|3TLV|1DUR	1MBVNT|29aTLV|39aDMG|47CGEN|5DUR|69aVULN|8RCR|9aBPWR
