0	Index      	Bounty	 *	Score 	Summary	Detail	
1	22521 22345	1	 * 	285.82	DCR|3VULN|3DMG|2TLV|1DUR|1ASPD	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aASPD
15	22521 22346	1	   	274.82	DCR|3VULN|3DMG|2TLV|1DUR	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aBEXP
16	22521 22341	1	   	274.72	DCR|3VULN|3DMG|2TLV|1DUR	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aDUST
17	22521 22344	1	   	274.72	DCR|3VULN|3DMG|2TLV|1DUR	178LWND|289DMG|3DUR|49TLV|589VULN|6RCR|89BPWR|aMBVNT
18	21214 32342	7	   	271.10	DCR|3VULN|3DMG|1TLV|1DUR	128LWND|289BPWR|389VULN|4TLV|59BEXP|6RCR|789DMG|aDUR
19	61211 32341	7	   	270.80	DCR|3VULN|3DMG|1TLV|1DUR	128DUST|289BPWR|389VULN|4TLV|59BEXP|6RCR|789DMG|aDUR
20	22521 24353	1	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	18LWND|28DMG|37aDUR|4TLV|58VULN|6RCR|8BPWR|9CDMG
21	51214 32353	7	   	269.80	DCR|2VULN|3DUR|2DMG|1TLV|1CDMG	1RCVC|28aDUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|9CDMG
22	41262 13511	9	 * 	269.79	DCR|3VULN|3DUR|2TLV|1ASPD|1AART	1RMIN|289DUR|3ASPD|48aVULN|5AART|6RCR|78TLV|8BPWR
23	22521 24336	1	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	18LWND|28DMG|37DUR|4TLV|58aVULN|6RCR|8BPWR|9DUST
24	51214 32326	7	   	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1RCVC|28DUR|38aVULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|9DUST
25	12616 16323	10	   	269.63	DCR|3VULN|2DMG|2DUR|1TLV	124ERES|248BPWR|348VULN|58DMG|6RCR|78DUR|9BELT|aTLV
26	55225 31322	6	   	268.41	DCR|4VULN|1DMG|1TLV|1DUR	1RCVC|2345VULN|5BPWR|6RCR|7LIT|8TLV|9DMG|aDUR
27	51213 32415	6	   	268.27	DCR|4VULN|2DUR|1TLV|1CDMG	1RCVC|27DUR|358aVULN|4TLV|6CDMG|9RCR
28	12616 16321	9	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	124ERES|248BPWR|348VULN|58DMG|6RCR|78DUR|9BELT|aCDMG
29	45335 21333	3	 * 	266.76	DCR|4VULN|3DUR|2LIT	1RMIN|2BELT|357DUR|4578VULN|57BPWR|67LIT|9CGEN|aRCR
30	22521 24313	1	   	265.81	DCR|2VULN|3DUR|2DMG|1TLV|1AART	18LWND|28DMG|379DUR|4TLV|58VULN|6RCR|8BPWR|aAART
31	41262 13531	8	   	264.87	DCR|3VULN|2DUR|2TLV|1ASPD|1AART	1RMIN|28DUR|3ASPD|489VULN|5AART|6RCR|78TLV|8BPWR|aLIT
32	55225 11122	6	 * 	264.63	DCR|5VULN|2DMG	1RCVC|23459VULN|5BPWR|6aDMG|7RCR|8TBNT
33	55225 31122	7	   	264.63	DCR|5VULN|2DMG	1RCVC|23459VULN|5BPWR|6RCR|7aDMG|8TBNT
34	55225 12312	6	 * 	263.82	DCR|4VULN|1DMG|2CDMG|1DUR	1RCVC|2345VULN|5BPWR|6DMG|7aCDMG|8DUR|9RCR
35	22521 22352	1	   	263.56	DCR|3VULN|2DMG|1TLV|1DUR	178LWND|28DMG|3DUR|4TLV|58aVULN|6RCR|8BPWR|9LIT
36	55225 11231	6	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6DMG|7RCR|8DUR|aRMIN
37	55225 31131	8	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6RCR|7DMG|8DUR|aRMIN
38	55225 31231	7	   	263.39	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6RCR|7DMG|8DUR|aRMIN
39	55225 11131	6	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|2345aVULN|5BPWR|6DMG|7RCR|8TBNT|9DUR
40	55225 11232	6	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6DMG|7RCR|8DUR|aERES
41	55225 11233	6	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6DMG|7RCR|8DUR|aTBNT
42	55225 31131	7	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|2345aVULN|5BPWR|6RCR|7DMG|8TBNT|9DUR
43	55225 31132	8	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6RCR|7DMG|8DUR|aERES
44	55225 31133	8	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6RCR|7DMG|8DUR|aTBNT
45	55225 31232	7	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6RCR|7DMG|8DUR|aERES
46	55225 31233	7	   	263.29	DCR|5VULN|1DMG|1DUR	1RCVC|23459VULN|5BPWR|6RCR|7DMG|8DUR|aTBNT
47	12616 14233	8	   	263.19	DCR|5VULN|1DMG|1DUR	124ERES|24BPWR|3478aVULN|5DMG|6RCR|9DUR
48	31212 35342	7	   	263.16	DCR|3VULN|3DMG|1TLV	128FEWX|289BPWR|389VULN|4TLV|59LWND|6RCR|789DMG|aLIT
49	31223 35342	7	   	262.96	DCR|3VULN|3DMG|1DUR	128FEWX|289BPWR|389VULN|4DUR|59ERES|6RCR|789DMG|aLIT
50	61212 32342	7	   	262.86	DCR|3VULN|3DMG|1TLV	128DUST|289BPWR|389VULN|4TLV|59LWND|6RCR|789DMG|aLIT
51	51222 24431	4	   	262.67	DCR|3VULN|3DUR|1DMG|1CDMG	1RCVC|246DUR|368VULN|5BBNT|6BPWR|7DMG|9CDMG|aRCR
52	61224 32342	7	   	262.66	DCR|3VULN|3DMG|1DUR	128DUST|289BPWR|389VULN|4DUR|59ERES|6RCR|789DMG|aLIT
53	12616 16311	8	   	261.69	DCR|3VULN|2DMG|2DUR	124ERES|248BPWR|348VULN|58DMG|6RCR|78DUR|9LIT|aBELT
54	12616 16322	8	   	261.69	DCR|3VULN|2DMG|2DUR	124ERES|248BPWR|348VULN|58DMG|6RCR|78DUR|9CGEN|aLIT
55	55225 11222	6	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2345VULN|5BPWR|69DMG|7RCR|8DUR|aZMB
56	55225 11223	6	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2345VULN|5BPWR|69DMG|7RCR|8DUR|aRPLT
57	55225 31122	8	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8DUR|aZMB
58	55225 31123	8	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8DUR|aRPLT
59	55225 31221	8	   	261.44	DCR|4VULN|2DMG|1TLV	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8FEWX|aTLV
60	55225 31222	7	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8DUR|aZMB
61	55225 31223	7	   	261.44	DCR|4VULN|2DMG|1DUR	1RCVC|2345VULN|5BPWR|6RCR|79DMG|8DUR|aRPLT
62	12616 14333	7	   	261.24	DCR|4VULN|2DMG|1DUR	124ERES|24BPWR|347aVULN|58DMG|6RCR|9DUR
63	12616 14333	6	   	261.24	DCR|4VULN|2DMG|1DUR	124ERES|24BPWR|347aVULN|58DMG|6RCR|9DUR
64	31232 35346	7	   	261.14	DCR|4VULN|3DMG	128FEWX|289BPWR|389aVULN|4ERES|59LWND|6RCR|789DMG
65	26214 12121	7	   	260.86	DCR|2VULN|2DUR|1DMG|1TLV|2LIT|1ASPD|1AART	1LWND|2AART|3aDUR|4DMG|5TLV|6RCR|7aLIT|8ASPD|9aVULN|aBPWR
66	61231 32346	7	   	260.84	DCR|4VULN|3DMG	128DUST|289BPWR|389aVULN|4ERES|59BEXP|6RCR|789DMG
67	61232 32346	7	   	260.84	DCR|4VULN|3DMG	128DUST|289BPWR|389aVULN|4ERES|59LWND|6RCR|789DMG
68	43131 52353	3	 * 	260.45	DCR|3VULN|2DUR|2CDMG|1TLV	1RMIN|2aCDMG|34aVULN|5LIT|6TLV|7aDUR|8BELT|9RCR|aBPWR
69	55225 11211	6	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	19RCVC|2345VULN|5BPWR|6DMG|7RCR|8DUR|aTLV
70	55225 31111	8	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	19RCVC|2345VULN|5BPWR|6RCR|7DMG|8DUR|aTLV
71	55225 31211	7	   	260.10	DCR|4VULN|1DMG|1TLV|1DUR	19RCVC|2345VULN|5BPWR|6RCR|7DMG|8DUR|aTLV
72	12616 14231	8	   	259.90	DCR|4VULN|1DMG|1TLV|1DUR	124ERES|24BPWR|3478VULN|5DMG|6RCR|9DUR|aTLV
73	55224 11321	10	   	259.46	DCR|3VULN|2DMG|1DUR|1ASPD|1AART	1RCVC|234VULN|5ASPD|67DMG|8DUR|9AART|aRCR
74	55225 31311	9	   	258.71	DCR|4VULN|1DMG|1DUR|2LIT	1RCVC|2345VULN|5BPWR|6RCR|7DMG|8aLIT|9DUR
75	55242 22222	7	   	258.64	DCR|4VULN|2DUR|1DMG	1RCVC|2378VULN|4DMG|57MLV|67DUR|7BPWR|9BEXP|aRCR
76	22521 22316	1	 * 	258.58	DCR|2VULN|3DMG|2DUR|1TLV	178LWND|28aDMG|39DUR|4TLV|58VULN|6RCR|8BPWR
77	22521 24326	1	   	258.58	DCR|2VULN|3DMG|2DUR|1TLV	189LWND|28aDMG|37DUR|4TLV|58VULN|6RCR|8BPWR
78	55225 32322	8	   	258.05	DCR|5VULN|1DMG|1ASPD	1RCVC|2345aVULN|5BPWR|6RCR|7DUST|8ASPD|9DMG
79	51213 15325	5	   	258.04	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	1RCVC|29DUR|359VULN|4TLV|6FEWX|79LIT|8RCR|9BPWR|aASPD
80	51213 25325	6	   	258.04	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	1RCVC|29DUR|359VULN|4TLV|6LWND|79LIT|8RCR|9BPWR|aASPD
81	26411 26121	6	 * 	258.02	DCR|2VULN|2DUR|2TLV|1DMG|1ASPD|1AART	1LWND|2AART|3aTLV|4DMG|5LIT|6aDUR|7RCR|8ASPD|9aVULN|aBPWR
82	51213 15325	6	   	257.94	DCR|3VULN|2DUR|1TLV|2LIT|1ASPD	1RCVC|29DUR|359VULN|4TLV|6DUST|79LIT|8RCR|9BPWR|aASPD
83	55225 12311	6	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1RCVC|2345VULN|5BPWR|6DMG|7CDMG|8DUR|9RCR|aLWND
84	55225 12313	6	   	257.50	DCR|4VULN|1DMG|1DUR|1CDMG	1RCVC|2345VULN|5BPWR|6DMG|7CDMG|8DUR|9RCR|aFEWX
85	55222 23422	6	 * 	256.70	DCR|5VULN|2ASPD	1RCVC|23479VULN|5BELT|67ASPD|7BPWR|8LIT|aRCR
86	22521 24352	1	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18LWND|28DMG|37DUR|4TLV|58VULN|6RCR|8BPWR|9CDMG|aFEWX
87	51214 32352	7	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|28DUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|9CDMG|aFEWX
88	55224 11112	6	   	256.57	DCR|4VULN|1DMG|1ASPD|1AART	1RCVC|2349VULN|5ASPD|6DMG|7LIT|8RCR|aAART
89	55224 12112	7	   	256.57	DCR|4VULN|1DMG|1ASPD|1AART	1RCVC|2349VULN|5ASPD|6DMG|7LIT|8RCR|aAART
90	41262 13532	8	   	256.56	DCR|3VULN|2DUR|2TLV|1ASPD|1AART	1RMIN|28DUR|3ASPD|489VULN|5AART|6RCR|78TLV|8BPWR|aRCVC
91	41262 13533	8	   	256.56	DCR|3VULN|2DUR|2TLV|1ASPD|1AART	1RMIN|28DUR|3ASPD|489VULN|5AART|6RCR|78TLV|8BPWR|aMLV
92	41262 13512	9	   	256.53	DCR|2VULN|3DUR|2TLV|1CDMG|1ASPD|1AART	1RMIN|289DUR|3ASPD|48VULN|5AART|6RCR|78TLV|8BPWR|aCDMG
93	22521 24351	1	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	18LWND|28DMG|37DUR|4TLV|58VULN|6RCR|8BPWR|9CDMG|aERES
94	51214 32351	7	   	256.47	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	1RCVC|28DUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|9CDMG|aERES
95	22521 24311	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	18LWND|28DMG|379DUR|4TLV|58VULN|6RCR|8BPWR|aBELT
96	22521 24312	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	18LWND|28DMG|379DUR|4TLV|58VULN|6RCR|8BPWR|aFEWX
97	22521 24315	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	18LWND|28DMG|379DUR|4TLV|58VULN|6RCR|8BPWR|aLHND
98	22521 22313	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	178LWND|28DMG|39aDUR|4TLV|58VULN|6RCR|8BPWR
99	22521 24323	1	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	189LWND|28DMG|37aDUR|4TLV|58VULN|6RCR|8BPWR
100	51214 32331	7	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1aRCVC|289DUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR
101	51214 32335	7	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|289DUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|aLHND
102	51214 32336	7	   	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|289DUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|aBELT
103	22521 24331	1	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	18LWND|28DMG|37aDUR|4TLV|58VULN|6RCR|8BPWR|9DUST
104	51214 32321	7	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|28aDUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|9DUST
105	51214 32332	7	   	256.05	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|289DUR|38VULN|4TLV|5BEXP|6RCR|78DMG|8BPWR|aERES
