0	Index      	Bounty	 *	Score 	Summary	Detail	
1	14323 35361	9	 * 	290.77	DCR|4VULN|3DMG|2TLV|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8aTLV|9AART
20	22225 45333	8	   	272.09	DCR|4VULN|2DUR|1DMG|1CDMG	1FEWX|289aVULN|34DUR|5CDMG|6RCR|7DMG
21	14323 35221	10	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1RCVC|25DMG|357aVULN|4BELT|5BPWR|6RCR|8AART|9DUR
22	14323 35222	9	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1RCVC|25DMG|357aVULN|4BELT|5BPWR|6RCR|8AART|9DUR
23	14323 35252	8	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1RCVC|25DMG|357aVULN|4BELT|5BPWR|6RCR|8AART|9DUR
24	54323 35221	10	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1DMSP|25DMG|357aVULN|4BELT|5BPWR|6RCR|8AART|9DUR
25	54323 35222	9	   	271.20	DCR|4VULN|2DMG|1DUR|1AART	1DMSP|25DMG|357aVULN|4BELT|5BPWR|6RCR|8AART|9DUR
26	14323 35221	8	   	270.81	DCR|4VULN|3DMG|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aMLV
27	14323 35231	9	   	270.81	DCR|4VULN|3DMG|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aCGEN
28	14323 35261	8	   	270.81	DCR|4VULN|3DMG|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aCGEN
29	54323 35221	8	   	270.81	DCR|4VULN|3DMG|1AART	1DMSP|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aMLV
30	54323 35231	9	   	270.81	DCR|4VULN|3DMG|1AART	1DMSP|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aCGEN
31	14323 35211	9	   	270.61	DCR|4VULN|3DMG|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aERES
32	14323 35231	8	   	270.61	DCR|4VULN|3DMG|1AART	1RCVC|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aERES
33	54323 35211	9	   	270.61	DCR|4VULN|3DMG|1AART	1DMSP|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aERES
34	54323 35231	8	   	270.61	DCR|4VULN|3DMG|1AART	1DMSP|25aDMG|357aVULN|4BELT|5aBPWR|6RCR|8AART|9aERES
35	14232 53216	6	   	270.10	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1RCVC|2aDMG|3TLV|46aVULN|5FEWX|7RCR|8DUR|9aLIT|aBPWR
36	22225 45213	9	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19FEWX|29aVULN|34DUR|5CDMG|6RCR|79DMG|8RCVC|9BPWR
37	22225 45311	9	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19FEWX|289VULN|34DUR|5CDMG|6RCR|79DMG|9BPWR|aLHND
38	22225 45312	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19FEWX|289VULN|34DUR|5CDMG|6RCR|79DMG|9BPWR|aRCVC
39	22225 45313	10	   	267.23	DCR|3VULN|2DMG|2DUR|1CDMG	19FEWX|289VULN|34DUR|5CDMG|6RCR|79DMG|9BPWR|aCGEN
40	22225 45312	9	   	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	19FEWX|289VULN|34DUR|5CDMG|6RCR|79DMG|9BPWR|aMBVNT
41	22225 45313	8	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28aVULN|34DUR|5CDMG|6RCR|79DMG
42	22225 45333	9	   	267.03	DCR|3VULN|2DMG|2DUR|1CDMG	1FEWX|28aVULN|34DUR|5CDMG|6RCR|79DMG
43	22121 26642	3	 * 	266.86	DCR|3VULN|2DUR|1DMG|2TLV|1ASPD	1FEWX|29aVULN|3ASPD|4ERES|5aTLV|6DMG|7aDUR|8RCR|aBPWR
44	42253 21511	2	   	264.94	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1LIT|24DUR|348VULN|4BPWR|5DUST|6CDMG|7TLV|9RCR|aASPD
45	14323 35331	8	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1RCVC|25DMG|357VULN|4BELT|5BPWR|6RCR|8TLV|9DUR|aAART
46	54323 35331	8	   	264.81	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1DMSP|25DMG|357VULN|4BELT|5BPWR|6RCR|8TLV|9DUR|aAART
47	14213 13126	5	   	264.67	DCR|3VULN|2DMG|2TLV|1CDMG	1RCVC|28DMG|38TLV|4CDMG|5BEXP|68aVULN|7RCR|8BPWR|9LIT
48	54213 13126	5	   	264.67	DCR|3VULN|2DMG|2TLV|1CDMG	1DMSP|28DMG|38TLV|4CDMG|5BEXP|68aVULN|7RCR|8BPWR|9LIT
49	14215 13126	5	   	264.57	DCR|3VULN|2DMG|2TLV|1CDMG	1RCVC|28DMG|38TLV|4CDMG|5DUST|68aVULN|7RCR|8BPWR|9LIT
50	22156 12413	2	   	263.98	DCR|3VULN|3DUR|1DMG|2LIT	1FEWX|248VULN|34LIT|4BPWR|569DUR|7DMG|aRCR
51	14323 35316	7	   	263.55	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1RCVC|25DMG|357VULN|4BELT|5BPWR|6RCR|8CDMG|9ASPD|aDUR
52	14323 35333	8	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	1RCVC|25DMG|357VULN|4BELT|5BPWR|6RCR|8TLV|9DUR|aLIT
53	54323 35333	8	   	263.46	DCR|3VULN|2DMG|1TLV|1DUR	1DMSP|25DMG|357VULN|4BELT|5BPWR|6RCR|8TLV|9DUR|aLIT
54	42135 13225	1	   	263.36	DCR|3VULN|2DMG|1TLV|1DUR	1LIT|26DMG|3CGEN|458VULN|7TLV|9RCR|aDUR
55	14323 35243	7	   	262.86	DCR|3VULN|3DMG|1DUR	1RCVC|25aDMG|357VULN|4BELT|5BPWR|6RCR|8LIT|9DUR
56	14323 35361	10	   	262.21	DCR|3VULN|2DMG|1TLV|1CDMG|1AART	1RCVC|25DMG|357VULN|4BELT|5BPWR|6RCR|8TLV|9AART|aCDMG
57	14323 35314	9	   	261.54	DCR|4VULN|2DMG|1TLV	1RCVC|25DMG|357aVULN|4BELT|5BPWR|6RCR|8TLV|9RPLT
58	21531 43114	5	   	261.40	DCR|4VULN|2DMG|1TLV|1SELL	158FEWX|2TLV|3SELL|489aVULN|68DMG|7RCR|8BPWR
59	14213 13141	4	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aLHND
60	14213 13142	4	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aLWND
61	14213 13144	4	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1aRCVC|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR
62	14213 13144	5	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4CDMG|5BEXP|68VULN|7RCR|8BPWR|aDUR
63	14213 13145	4	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aCGEN
64	14225 13141	5	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4DUR|5CDMG|68VULN|7RCR|8BPWR|aLHND
65	14225 13142	5	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4DUR|5CDMG|68VULN|7RCR|8BPWR|aLWND
66	54213 13141	4	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1DMSP|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aLHND
67	54213 13142	4	   	261.36	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1DMSP|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aLWND
68	14213 13143	4	   	261.26	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aBBNT
69	14213 13146	4	   	261.26	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aDUST
70	14225 13143	5	   	261.26	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1RCVC|289DMG|38TLV|4DUR|5CDMG|68VULN|7RCR|8BPWR|aBBNT
71	54213 13143	4	   	261.26	DCR|2VULN|3DMG|2TLV|1DUR|1CDMG	1DMSP|289DMG|38TLV|4CDMG|5DUR|68VULN|7RCR|8BPWR|aBBNT
72	14323 35522	8	   	261.14	DCR|4VULN|3DMG	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89MLV|aLWND
73	14323 35523	8	   	261.14	DCR|4VULN|3DMG	1aRCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89MLV
74	14323 35622	7	   	261.14	DCR|4VULN|3DMG	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89MLV|aLWND
75	14323 35623	7	   	261.14	DCR|4VULN|3DMG	1aRCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89MLV
76	14323 35521	8	   	261.04	DCR|4VULN|3DMG	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89MLV|aTBNT
77	14323 35621	7	   	261.04	DCR|4VULN|3DMG	1RCVC|259DMG|3579VULN|4BELT|59BPWR|6RCR|89MLV|aTBNT
78	14113 13126	4	   	260.96	DCR|3VULN|2DMG|1DUR|1CDMG	1RCVC|28DMG|38CGEN|4CDMG|5DUR|68aVULN|7RCR|8BPWR|9LIT
79	14125 13126	5	   	260.96	DCR|3VULN|2DMG|1DUR|1CDMG	1RCVC|28DMG|38CGEN|4DUR|5CDMG|68aVULN|7RCR|8BPWR|9LIT
80	54113 13126	4	   	260.96	DCR|3VULN|2DMG|1DUR|1CDMG	1DMSP|28DMG|38CGEN|4CDMG|5DUR|68aVULN|7RCR|8BPWR|9LIT
81	14323 35242	7	   	260.86	DCR|3VULN|2DMG|1DUR|1CDMG	1RCVC|25DMG|357VULN|4BELT|5BPWR|6RCR|8LIT|9DUR|aCDMG
