0	Index      	 *	Score 	Summary	Detail	
1	35364 31235	 * 	234.06	ACR|4VULN|3DMG|3CDMG	147DUST|2MBVNT|3RCR|579aVULN|679DMG|79aBPWR|89aCDMG
44	31532 31541	   	211.65	ACR|2VULN|1BASARM|2DMG|1BEXP	157DUST|2FEWX|37VULN|4RCR|67DMG|7BPWR|8LWND|9BASARM|aBEXP
45	35364 31231	   	211.38	ACR|3VULN|3DMG|2CDMG	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89CDMG|aLWND
46	35364 31233	   	211.38	ACR|3VULN|3DMG|2CDMG	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89CDMG|aRPLT
47	35364 31236	   	211.38	ACR|3VULN|3DMG|2CDMG	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89CDMG|aLIT
48	35364 31237	   	211.38	ACR|3VULN|3DMG|2CDMG	147DUST|2MBVNT|3RCR|579VULN|679DMG|79BPWR|89CDMG|aDUR
49	13515 11523	 * 	210.86	ACR|3VULN|3BEXP|2DMG	1MDPS|2RCR|38aVULN|4AAC|5FEWX|689BEXP|78DMG|8BPWR
50	13512 14235	   	210.60	ACR|1BASARM|2DMG|1VULN|1BEXP	1MDPS|2RCR|3VULN|4AAC|5DUST|6BEXP|7RCVC|89DMG|aBASARM
51	13126 21513	   	210.59	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38DUR|48VULN|59BEXP|6ERES|78DMG|8BPWR|aASPD
52	13532 11516	   	210.59	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78DMG|8BPWR|9FEWX|aASPD
53	13536 21513	   	210.59	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|48LWND|59BEXP|6ERES|78DMG|8BPWR|aASPD
54	13512 11541	   	210.49	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|78DMG|8BPWR|9BELT|aASPD
55	13514 11522	   	210.49	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4AAC|5LWND|68BEXP|78DMG|8BPWR|9ERES|aASPD
56	13532 11522	   	210.49	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78DMG|8BPWR|9ERES|aASPD
57	13532 11562	   	210.49	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78DMG|8BPWR|9AME|aASPD
58	13512 11522	   	210.39	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|78DMG|8BPWR|9ERES|aASPD
59	13512 11552	   	210.39	ACR|2VULN|2DMG|2BEXP|1ASPD	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|78DMG|8BPWR|9TLV|aASPD
60	31532 31543	 * 	209.45	ACR|3VULN|1BASARM|2DMG	157DUST|2FEWX|37aVULN|4RCR|67DMG|7BPWR|8LWND|9BASARM
61	13221 12414	 * 	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MDPS|2RCR|3CDMG|4LHND|5DMSP|6BEXP|7aASPD|8BELT|9BASARM
62	13231 12414	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MDPS|2RCR|3CDMG|4LWND|5DMSP|6BEXP|7aASPD|8BELT|9BASARM
63	13233 12414	   	209.19	ACR|1BASARM|2ASPD|1BEXP|1CDMG	1MDPS|2RCR|3CDMG|45LWND|6BEXP|7aASPD|8BELT|9BASARM
64	51531 31342	   	209.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AAC	17BEXP|25FEWX|37VULN|4RCR|67DMG|7BPWR|8CGEN|9AAC|aASPD
65	51533 31342	   	209.10	ACR|2VULN|2DMG|2BEXP|1ASPD|1AAC	17BEXP|2FEWX|37VULN|4RCR|5DMSP|67DMG|7BPWR|8CGEN|9AAC|aASPD
66	13122 11635	   	209.09	ACR|1BASARM|2DMG|1VULN|1BEXP	1MDPS|2RCR|38DUR|4VULN|5AAC|6BEXP|79DMG|aBASARM
67	13315 35235	   	209.09	ACR|1BASARM|2DMG|1VULN|1BEXP	13MDPS|2RCR|45LHND|68DMG|7BEXP|9VULN|aBASARM
68	13514 11135	   	209.09	ACR|1BASARM|2DMG|1VULN|1BEXP	1MDPS|2RCR|3VULN|4AAC|58LWND|6BEXP|79DMG|aBASARM
69	13532 11135	   	209.09	ACR|1BASARM|2DMG|1VULN|1BEXP	1MDPS|2RCR|3VULN|48LWND|5AAC|6BEXP|79DMG|aBASARM
70	13512 15235	   	208.99	ACR|1BASARM|2DMG|1VULN|1BEXP	1MDPS|2RCR|3VULN|4AAC|5DUST|6BEXP|7DMSP|89DMG|aBASARM
71	35338 33247	   	208.48	ACR|1BASARM|2VULN|1BEXP|1AART|1CDMG	1DUST|2MBVNT|3RCR|4MDPS|5BEXP|6CDMG|79VULN|8BASARM|aAART
72	13122 31565	   	208.10	ACR|2VULN|1BASARM|2DMG	1MDPS|2RCR|38DUR|49VULN|5AAC|68FEWX|78DMG|8BPWR|aBASARM
73	13523 62253	   	207.91	ACR|3VULN|2ASPD|1DMG|1BEXP	1MDPS|2RCR|36aVULN|4AEFBLL|5aTLV|7BEXP|8DMG|9aASPD|aBPWR
74	13323 62253	   	207.91	ACR|3VULN|2ASPD|1DMG|1BEXP	13MDPS|2RCR|46aVULN|5aTLV|7BEXP|8DMG|9aASPD|aBPWR
75	13324 62253	   	207.91	ACR|3VULN|2ASPD|1DMG|1BEXP	13MDPS|2RCR|46aVULN|5aERES|7BEXP|8DMG|9aASPD|aBPWR
76	13122 31335	   	207.90	ACR|2VULN|1BASARM|2DMG	1MDPS|2RCR|3DUR|48VULN|5AAC|6FEWX|79DMG|aBASARM
77	13166 12235	   	207.85	ACR|2VULN|1BASARM|2DMG|1SELL	1MDPS|2RCR|36DUR|4RPLT|56VULN|6BPWR|79DMG|8SELL|aBASARM
78	13561 12235	   	207.85	ACR|2VULN|1BASARM|2DMG|1SELL	1MDPS|2RCR|36VULN|4RPLT|56LWND|6BPWR|79DMG|8SELL|aBASARM
79	13562 12235	   	207.85	ACR|2VULN|1BASARM|2DMG|1SELL	1MDPS|2RCR|36VULN|4RPLT|56DUR|6BPWR|79DMG|8SELL|aBASARM
80	11343 12212	 * 	207.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1MDPS|25aBEXP|3BELT|4RCR|6LWND|7CDMG|8DMG|9BASARM
81	11343 62212	   	207.71	ACR|1BASARM|3BEXP|1DMG|1CDMG	1MDPS|25aBEXP|3BELT|4RCR|6LHND|7CDMG|8DMG|9BASARM
82	11346 12212	   	207.61	ACR|1BASARM|3BEXP|1DMG|1CDMG	1MDPS|26aBEXP|3BELT|4RCR|5LEGI|7CDMG|8DMG|9BASARM
83	13251 22112	 * 	206.72	ACR|2VULN|2DMG|1ASPD|2CDMG	1MDPS|2RCR|3aCDMG|4AME|5RMIN|6aVULN|7ASPD|8LIT|9aDMG|aBPWR
84	13211 21356	   	206.62	ACR|2VULN|2DMG|1ASPD|2CDMG	1MDPS|2RCR|39CDMG|4DUST|5LEGI|6RPLT|79DMG|89VULN|9BPWR|aASPD
85	13532 11514	   	206.52	ACR|2VULN|2DMG|2BEXP|1AART	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78DMG|8BPWR|9FEWX|aAART
86	31532 31232	   	206.48	ACR|3VULN|3DMG|2CDMG	157DUST|29FEWX|37aVULN|4RCR|679DMG|79BPWR|89CDMG
87	13221 12412	   	206.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MDPS|2RCR|3CDMG|4LHND|5DMSP|6aBEXP|7ASPD|8BELT|9BASARM
88	13231 12412	   	206.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MDPS|2RCR|3CDMG|4LWND|5DMSP|6aBEXP|7ASPD|8BELT|9BASARM
89	13233 12412	   	206.44	ACR|1BASARM|2BEXP|1ASPD|1CDMG	1MDPS|2RCR|3CDMG|45LWND|6aBEXP|7ASPD|8BELT|9BASARM
90	13514 11531	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5LWND|68BEXP|789DMG|8BPWR|aFEWX
91	13514 11532	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5LWND|68BEXP|789DMG|8BPWR|aLIT
92	13514 11533	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5aLWND|68BEXP|789DMG|8BPWR
93	13532 11531	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|789DMG|8BPWR|aFEWX
94	13532 11532	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|789DMG|8BPWR|aLIT
95	13532 11533	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4aLWND|5AAC|68BEXP|789DMG|8BPWR
96	13532 11536	   	206.18	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|789DMG|8BPWR|aLHND
97	13512 11531	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|789DMG|8BPWR|aFEWX
98	13512 11532	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|789DMG|8BPWR|aLIT
99	13512 11533	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|789DMG|8BPWR|aLWND
100	13514 11523	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5LWND|68BEXP|78aDMG|8BPWR|9ERES
101	13532 11523	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78aDMG|8BPWR|9ERES
102	13532 11534	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|789DMG|8BPWR|aMBVNT
103	13532 11535	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|789DMG|8BPWR|aDUST
104	13532 11563	   	206.08	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78aDMG|8BPWR|9AME
105	13512 11523	   	205.98	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|78aDMG|8BPWR|9ERES
106	13512 11534	   	205.98	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|789DMG|8BPWR|aMBVNT
107	13512 11535	   	205.98	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5aDUST|68BEXP|789DMG|8BPWR
108	13512 11553	   	205.98	ACR|3DMG|2VULN|2BEXP	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|78aDMG|8BPWR|9TLV
109	13126 61152	   	205.47	ACR|2DMG|1VULN|2BEXP|1ASPD|1AAC	1MDPS|2RCR|39DUR|4VULN|59BEXP|6FEWX|7ASPD|89DMG|9BPWR|aAAC
110	13532 11255	   	205.03	ACR|1BASARM|1VULN|2BEXP|1DMG	1MDPS|2RCR|3VULN|49LWND|5AAC|68BEXP|7DMG|aBASARM
111	13541 35212	 * 	205.03	ACR|1BASARM|1VULN|2BEXP|1ASPD	1MDPS|2RCR|3VULN|4LIT|5ERES|69BEXP|7BASARM|8BELT|aASPD
112	23326 33434	   	204.95	ACR|1BASARM|2DMG|1VULN|1BEXP	1RMIN|2LIT|3RCR|47DMG|5VULN|6NUKE|8BEXP|9RCVC|aBASARM
113	35338 33248	   	204.86	ACR|1BASARM|2VULN|2BEXP|1CDMG	1DUST|2MBVNT|3RCR|4MDPS|5aBEXP|6CDMG|79VULN|8BASARM
114	13212 13214	 * 	204.23	ACR|1BASARM|1ASPD|1DMG|2CDMG	1MDPS|2RCR|37CDMG|4DUST|5FEWX|6BELT|8DMG|9BASARM|aASPD
115	13226 13214	   	204.23	ACR|1BASARM|1ASPD|1DMG|2CDMG	1MDPS|2RCR|37CDMG|4LHND|5DUST|6BELT|8DMG|9BASARM|aASPD
116	13236 13214	   	204.23	ACR|1BASARM|1ASPD|1DMG|2CDMG	1MDPS|2RCR|37CDMG|4LWND|5DUST|6BELT|8DMG|9BASARM|aASPD
117	13514 11511	   	204.18	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|2RCR|38VULN|4AAC|5LWND|68BEXP|78DMG|8BPWR|9FEWX|aCDMG
118	13532 11511	   	204.18	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78DMG|8BPWR|9FEWX|aCDMG
119	13211 13214	   	204.13	ACR|1BASARM|1ASPD|1DMG|2CDMG	1MDPS|2RCR|37CDMG|4DUST|5LEGI|6BELT|8DMG|9BASARM|aASPD
120	23326 33424	   	204.09	ACR|1BASARM|2DMG|1VULN|1BEXP	1RMIN|2LIT|3RCR|47DMG|5VULN|6NUKE|8BEXP|9AEMAG|aBASARM
121	13512 11511	   	204.08	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|2RCR|38VULN|4AAC|5DUST|68BEXP|78DMG|8BPWR|9FEWX|aCDMG
122	13532 11524	   	204.08	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|2RCR|38VULN|4LWND|5AAC|68BEXP|78DMG|8BPWR|9ERES|aCDMG
123	13541 32612	   	204.08	ACR|2VULN|2DMG|2BEXP|1CDMG	1MDPS|2RCR|3aVULN|4LIT|5aERES|67BEXP|8CDMG|9aDMG|aBPWR
