0	Index      	 *	Score 	Summary	Detail	
1	22361 31622	 * 	215.01	3ASPD|3DMG|1BASARM|3BEXP|1VULN	19aBEXP|2LHND|37BELT|49aDMG|5BASARM|6VULN|89aASPD|9aBPWR
20	15243 23223	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ZMB|2LHND|3ERES|4RCR|5ASPD|6BEXP|7DLOT|8RPLT|9BASARM|aDMG
21	16143 23223	   	187.92	ACR|1BASARM|1ASPD|1DMG|1BEXP	1ZMB|2ERES|3LHND|4RCR|5ASPD|6BEXP|7DLOT|8RPLT|9BASARM|aDMG
22	12441 11413	 * 	186.96	ACR|2ASPD|2BEXP|1VULN|1DMG	1ZMB|26BEXP|3DMG|4RCR|5MDPS|7CGEN|8VULN|9aASPD
23	12243 22144	   	186.86	ACR|2ASPD|2BEXP|1VULN|1DMG	1ZMB|26BEXP|3ERES|4RCR|59ASPD|7LEGI|8VULN|aDMG
24	12243 33343	   	186.86	ACR|2ASPD|2BEXP|1VULN|1DMG	1ZMB|29BEXP|3ERES|4RCR|58ASPD|6AME|7VULN|aDMG
25	24243 33343	   	186.86	ACR|2ASPD|2BEXP|1VULN|1DMG	19BEXP|2ZMB|3ERES|4RCR|58ASPD|6AME|7VULN|aDMG
26	22361 31652	   	186.62	3DMG|1BASARM|2ASPD|2BEXP|1VULN	1aBEXP|2LHND|37BELT|49aDMG|5BASARM|6VULN|8aASPD|aBPWR
27	22512 11332	 * 	185.86	DCR|1BASARM|2DMG|1ASPD|1BEXP|1AART	1BEXP|2LHND|36DMG|4AART|5BASARM|7RCVC|8AAC|9ASPD|aRCR
28	12243 61111	   	185.85	ACR|2DMG|2BEXP|1ASPD|1AART	19ZMB|29BEXP|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aFEWX
29	12243 61112	   	185.85	ACR|2DMG|2BEXP|1ASPD|1AART	19ZMB|29BEXP|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aCGEN
30	12243 61115	   	185.85	ACR|2DMG|2BEXP|1ASPD|1AART	19ZMB|29BEXP|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aLHND
31	24243 61111	   	185.85	ACR|2DMG|2BEXP|1ASPD|1AART	19BEXP|29ZMB|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aFEWX
32	24243 61112	   	185.85	ACR|2DMG|2BEXP|1ASPD|1AART	19BEXP|29ZMB|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aCGEN
33	12243 61113	   	185.75	ACR|2DMG|2BEXP|1ASPD|1AART	19ZMB|29BEXP|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aAEFBLL
34	24243 61113	   	185.75	ACR|2DMG|2BEXP|1ASPD|1AART	19BEXP|29ZMB|3ERES|4RCR|5ASPD|6AART|7BELT|89DMG|9BPWR|aAEFBLL
35	12243 23413	   	185.74	ACR|3BEXP|1ASPD|1DMG|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9DMG|aCGEN
36	12243 23414	   	185.74	ACR|3BEXP|1ASPD|1DMG|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9DMG|aMLV
37	12243 23416	   	185.74	ACR|3BEXP|1ASPD|1DMG|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9DMG|aLHND
38	12243 23451	   	185.74	ACR|3BEXP|1ASPD|1DMG|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9RMIN|aDMG
39	24243 23413	   	185.74	ACR|3BEXP|1ASPD|1DMG|1BASICY	167BEXP|2ZMB|3ERES|4RCR|5ASPD|8BASICY|9DMG|aCGEN
40	12243 42236	   	185.65	ACR|2VULN|2ASPD|1DMG|1BEXP	1ZMB|2BEXP|3aERES|4RCR|5aASPD|6FEWX|7aVULN|8LSRREG|9DMG|aBPWR
41	12243 23412	   	185.64	ACR|3BEXP|1ASPD|1DMG|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9DMG|aMDPS
42	12243 23415	   	185.64	ACR|3BEXP|1ASPD|1DMG|1BASICY	1ZMB|267BEXP|3ERES|4RCR|5ASPD|8BASICY|9DMG|aAEMAG
43	24243 23412	   	185.64	ACR|3BEXP|1ASPD|1DMG|1BASICY	167BEXP|2ZMB|3ERES|4RCR|5ASPD|8BASICY|9DMG|aMDPS
44	12243 34134	 * 	185.55	ACR|2VULN|2DMG|1ASPD|1BEXP	1ZMB|2BEXP|3ERES|4RCR|5ASPD|6AME|7aDMG|89VULN
45	12442 32134	   	185.55	ACR|2VULN|2DMG|1ASPD|1BEXP	1ZMB|2BEXP|3aDMG|4RCR|5ERES|6AME|7ASPD|89VULN
46	12243 12236	   	185.55	ACR|2VULN|2ASPD|1DMG|1BEXP	1ZMB|2BEXP|3aERES|4RCR|5aASPD|6DUST|7aVULN|8LSRREG|9DMG|aBPWR
47	24243 12236	   	185.55	ACR|2VULN|2ASPD|1DMG|1BEXP	1BEXP|2ZMB|3aERES|4RCR|5aASPD|6DUST|7aVULN|8LSRREG|9DMG|aBPWR
48	11243 61225	 * 	185.54	ACR|1BASARM|2ASPD|1AART	1ZMB|2LWND|3ERES|4RCR|5aASPD|6AART|7FEWX|8RPLT|9BASARM
49	12443 13334	   	185.54	ACR|1BASARM|2DMG|1BEXP	1ZMB|2BEXP|38DMG|4RCR|5LWND|6FEWX|7BELT|9TLV|aBASARM
50	11243 23225	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1ZMB|2LWND|3ERES|4RCR|5aASPD|6BEXP|7DLOT|8RPLT|9BASARM
51	15243 23225	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1ZMB|2LHND|3ERES|4RCR|5aASPD|6BEXP|7DLOT|8RPLT|9BASARM
52	15442 23223	   	185.44	ACR|1BASARM|2DMG|1BEXP	1ZMB|2LHND|3aDMG|4RCR|5ERES|6BEXP|7DLOT|8RPLT|9BASARM
53	16143 23225	   	185.44	ACR|1BASARM|2ASPD|1BEXP	1ZMB|2ERES|3LHND|4RCR|5aASPD|6BEXP|7DLOT|8RPLT|9BASARM
54	36511 53323	 * 	185.41	ACR|3ASPD|2DMG|1CDMG	1CDMG|2MDPS|37aASPD|4CGEN|5RCR|69DMG|8RMIN
55	36511 53231	 * 	185.35	ACR|3ASPD|1VULN|1DMG|1CDMG	1CDMG|2MDPS|37aASPD|4CGEN|5RCR|6DMG|8LWND|9VULN
56	36521 53231	   	185.35	ACR|3ASPD|1VULN|1DMG|1CDMG	1CDMG|2MDPS|37aASPD|4RMIN|5RCR|6DMG|8LWND|9VULN
57	36531 53323	   	185.31	ACR|3ASPD|2DMG|1CDMG	1CDMG|2MDPS|37aASPD|4TLV|5RCR|69DMG|8RMIN
58	36531 53231	   	185.25	ACR|3ASPD|1VULN|1DMG|1CDMG	1CDMG|2MDPS|37aASPD|4TLV|5RCR|6DMG|8LWND|9VULN
59	21633 23213	 * 	185.12	DCR|3ASPD|3BEXP|2DMG	178BEXP|2DUR|3RCVC|458ASPD|68DMG|8BPWR|9LHND|aRCR
60	21633 23243	   	185.12	DCR|3ASPD|3BEXP|2DMG	178BEXP|2DUR|3RCVC|458ASPD|68DMG|8BPWR|9FEWX|aRCR
61	21633 23255	   	185.12	DCR|3ASPD|3BEXP|2DMG	178BEXP|2DUR|3RCVC|458ASPD|68DMG|8BPWR|9BELT|aRCR
