0	Index      	 *	Score 	Summary	Detail	
1	15263 13113	 * 	222.32	ACR|3VULN|2ASPD|2BEXP|2AART	1RPLT|28BEXP|378VULN|4aAART|5RCR|68ASPD|8BPWR|9DUST
34	15263 43133	   	204.85	ACR|3VULN|2DMG|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9CGEN|aAME
35	15263 13111	   	204.75	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DUST|aMDPS
36	15263 13114	   	204.75	ACR|3VULN|2ASPD|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68ASPD|8BPWR|9DUST|aAME
37	15263 43111	   	204.75	ACR|3VULN|2DMG|2BEXP|1AART	1RPLT|28BEXP|378VULN|4AART|5RCR|68DMG|8BPWR|9DUST|aMDPS
38	14551 12131	 * 	201.48	ACR|3VULN|3ASPD|2CDMG	1RPLT|2MDPS|37CDMG|478ASPD|5RCR|67aVULN|7BPWR|9CGEN
39	61331 63122	 * 	198.79	ACR|1BASARM|2DMG|2BEXP	1LIT|26MLV|3RCVC|49DMG|5RCR|7aBEXP|8BASARM
40	15263 41223	 * 	197.12	ACR|2ASPD|1VULN|2AART|1DMG|1BEXP	1RPLT|2BEXP|3VULN|4aAART|5RCR|6DMG|7ERES|89ASPD
41	66631 33122	   	195.28	ACR|1BASARM|2DMG|2BEXP	12LIT|2BPWR|36ERES|49DMG|5RCR|7aBEXP|8BASARM
42	42231 33122	   	195.18	ACR|1BASARM|2DMG|2BEXP	16ERES|2LIT|3AEMAG|49DMG|5RCR|7aBEXP|8BASARM
43	15263 41233	 * 	194.89	ACR|2VULN|2AART|1ASPD|1DMG|1BEXP	1RPLT|2BEXP|39VULN|4aAART|5RCR|6DMG|7ERES|8ASPD
44	52231 23123	 * 	193.99	ACR|1BASARM|2DMG|1VULN|1BEXP	16AME|2LIT|3AEFBLL|49DMG|5RCR|7BEXP|8BASARM|aVULN
45	14625 32211	 * 	192.75	ACR|1BASARM|2AART|1DMG|1CDMG	1RPLT|2MDPS|3LWND|4RCR|57AART|6CDMG|8AAC|9DMG|aBASARM
46	15263 13214	   	192.64	ACR|2VULN|2ASPD|1CDMG|1BEXP|1AART	1RPLT|2BEXP|37VULN|4AART|5RCR|6aASPD|8LIT|9CDMG
47	15263 12512	   	192.51	ACR|2VULN|2ASPD|2AART|1BEXP	1RPLT|2BEXP|3aVULN|48AART|5RCR|69ASPD|7BELT
48	15263 16133	   	192.51	ACR|2VULN|2ASPD|2AART|1BEXP	1RPLT|2BEXP|39VULN|4aAART|5RCR|68ASPD|7FEWX
49	15263 51223	   	192.51	ACR|2VULN|2ASPD|2AART|1BEXP	1RPLT|2BEXP|36VULN|4aAART|5RCR|7FEWX|89ASPD
50	15263 61223	   	192.51	ACR|2VULN|2ASPD|2AART|1BEXP	1RPLT|2BEXP|37VULN|4aAART|5RCR|6FEWX|89ASPD
51	15263 13323	   	192.41	ACR|2VULN|2ASPD|2AART|1BEXP	1RPLT|2BEXP|37VULN|4aAART|5RCR|69ASPD|8DUST
