0	Index      	 *	Score 	Summary	Detail	
1	53133 62211	 * 	254.85	ACR|3DMG|2VULN|3BEXP|2ASPD	19aDMG|24aBEXP|3RCR|5LSRREG|68ASPD|7aVULN|aBPWR
20	53126 14122	   	230.67	ACR|1BASARM|2DMG|1ASPD|2CDMG|1BEXP	17DMG|2BEXP|3RCR|47CDMG|5AAC|67CGEN|7BPWR|8DUST|9ASPD|aBASARM
21	53123 23231	 * 	230.61	ACR|3DMG|2ASPD|2BEXP|2CDMG	16aDMG|2aBEXP|3RCR|49CDMG|56LHND|6aBPWR|7RMIN|8aASPD
22	63123 23131	   	230.61	ACR|3ASPD|2DMG|2BEXP|2CDMG	16aASPD|2aBEXP|3RCR|49CDMG|56LHND|6aBPWR|7RMIN|8aDMG
23	53122 23231	   	230.41	ACR|3DMG|2ASPD|2BEXP|2CDMG	16aDMG|2aBEXP|3RCR|49CDMG|56DUST|6aBPWR|7RMIN|8aASPD
24	53126 33221	   	230.41	ACR|3ASPD|2DMG|2BEXP|2CDMG	1aDMG|2aBEXP|3RCR|46CDMG|5AAC|7DUR|89aASPD|aBPWR
25	63122 23131	   	230.41	ACR|3ASPD|2DMG|2BEXP|2CDMG	16aASPD|2aBEXP|3RCR|49CDMG|56DUST|6aBPWR|7RMIN|8aDMG
26	63126 33121	   	230.41	ACR|3ASPD|2DMG|2BEXP|2CDMG	19aASPD|2aBEXP|3RCR|46CDMG|5AAC|7DUR|8aDMG|aBPWR
27	53126 43221	   	230.31	ACR|3ASPD|2DMG|2BEXP|2CDMG	1aDMG|27BEXP|3RCR|4aCDMG|5AAC|6LEGI|89aASPD|aBPWR
28	63121 32436	   	230.31	ACR|3DMG|2ASPD|2BEXP|2CDMG	19ASPD|29BEXP|3RCR|46CDMG|5ERES|7DLOT|89aDMG|9BPWR
29	63126 43121	   	230.31	ACR|3ASPD|2DMG|2BEXP|2CDMG	19aASPD|27BEXP|3RCR|4aCDMG|5AAC|6LEGI|8aDMG|aBPWR
30	53126 63322	 * 	227.92	ACR|1BASARM|2BEXP|1ASPD|1DMG|2CDMG	1DMG|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DUR|8MLV|9ASPD|aBASARM
31	53126 62322	 * 	227.82	ACR|1BASARM|2BEXP|1DMG|1BASICY|2CDMG	1DMG|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DLOT|8BASARM|9MLV|aBASICY
32	53126 63212	   	227.82	ACR|1BASARM|2BEXP|1ASPD|1DMG|2CDMG	1DMG|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DUR|8ASPD|9ERES|aBASARM
33	63126 62322	 * 	227.82	ACR|1BASARM|2BEXP|1ASPD|1BASICY|2CDMG	1ASPD|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DLOT|8BASARM|9MLV|aBASICY
34	63126 63112	   	227.82	ACR|1BASARM|2BEXP|1ASPD|1DMG|2CDMG	1ASPD|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DUR|8DMG|9ERES|aBASARM
35	53126 62332	   	227.72	ACR|1BASARM|2BEXP|1DMG|2CDMG|1BASICY	1DMG|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DLOT|8BASARM|9ERES|aBASICY
36	63126 62332	   	227.72	ACR|1BASARM|2BEXP|1ASPD|2CDMG|1BASICY	1ASPD|26BEXP|3RCR|46CDMG|5AAC|6BPWR|7DLOT|8BASARM|9ERES|aBASICY
37	53135 13253	   	227.58	ACR|1BASARM|2DMG|2BEXP|1ASPD	18DMG|24BEXP|3RCR|5BELT|6RCVC|7LHND|9BASARM|aASPD
38	53134 33231	   	226.12	ACR|3BEXP|2ASPD|2DMG|2CDMG	1aDMG|24aBEXP|3RCR|59CDMG|6FEWX|7RMIN|8aASPD|aBPWR
39	63134 33131	   	226.12	ACR|3BEXP|2ASPD|2DMG|2CDMG	1aASPD|24aBEXP|3RCR|59CDMG|6FEWX|7RMIN|8aDMG|aBPWR
40	53133 62213	   	225.77	ACR|2ASPD|2DMG|2BEXP|1VULN|1CDMG	19DMG|24BEXP|3RCR|5LSRREG|68ASPD|7VULN|aCDMG
41	63131 13251	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5RMIN|68DMG|7BELT|9BASARM|aLHND
42	63131 13252	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5RMIN|68DMG|7BELT|9BASARM|aDUR
43	63131 13254	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5aRMIN|68DMG|7BELT|9BASARM
44	63131 13255	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5RMIN|68DMG|7BELT|9BASARM|aMLV
45	63131 13256	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5RMIN|68DMG|7BELT|9BASARM|aFEWX
46	63135 21251	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5BELT|6ZMB|78DMG|9BASARM|aLHND
47	63135 21252	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|24BEXP|3RCR|5BELT|6ZMB|78DMG|9BASARM|aDUR
48	63151 13253	   	225.55	ACR|1BASARM|2DMG|2BEXP|1ASPD	1ASPD|2aBEXP|3RCR|4DMSP|5RMIN|68DMG|7BELT|9BASARM
49	53131 51317	 * 	225.45	ACR|1BASARM|2ASPD|2BEXP|1DMG	1DMG|24BEXP|3RCR|5RMIN|6RPLT|7BASARM|8MBVNT|9aASPD
50	53133 62214	   	225.42	ACR|2VULN|2ASPD|2DMG|2BEXP	19DMG|24BEXP|3RCR|5LSRREG|68ASPD|7aVULN
51	14632 16221	   	224.94	ACR|3ASPD|3DMG|2BEXP	1RMIN|2RCVC|35aDMG|4RCR|5aBPWR|6RPLT|7aBEXP|89aASPD
