0	Index      	 *	Score 	Summary	Detail	
1	31536 15312	 * 	213.02	ACR|3DMG|2BEXP|2VULN|1ASPD	1BELT|258LHND|3RCR|45aDMG|58BPWR|68BEXP|78VULN|9ASPD
60	35542 31333	   	186.41	ACR|1BASARM|2VULN|1BEXP|1CDMG	1BELT|2DUST|3RCR|45VULN|6MDPS|7CDMG|8DUR|9BASARM|aBEXP
61	31542 16312	 * 	186.37	ACR|2ASPD|2DMG|2VULN	1BELT|28LHND|3RCR|45VULN|68LWND|78ASPD|8BPWR|9aDMG
62	36532 26312	   	186.37	ACR|2ASPD|2DMG|2VULN	1BELT|28FEWX|3RCR|4LWND|58VULN|6RCVC|78ASPD|8BPWR|9aDMG
63	31536 14112	   	186.33	ACR|3DMG|1ASPD|1BEXP|1AAC	1BELT|25LHND|3RCR|45aDMG|5BPWR|6BEXP|7AAC|8RMIN|9ASPD
64	31536 14312	   	186.33	ACR|3DMG|1ASPD|1BEXP|1AAC	1BELT|25LHND|3RCR|45aDMG|5BPWR|6BEXP|7AAC|8CGEN|9ASPD
65	12156 23362	   	186.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1LWND|2MDPS|38BEXP|47LIT|5RCR|6DMG|9AAC|aBASARM
66	31536 15331	   	185.61	ACR|2DMG|2BEXP|2VULN|1AAC	1BELT|258LHND|3RCR|45DMG|58BPWR|68BEXP|78VULN|9LWND|aAAC
67	31553 52331	   	185.61	ACR|2DMG|2BEXP|1ASPD|1AAC	1BELT|29LHND|3RCR|4MLV|59BEXP|6ASPD|7LWND|89DMG|9BPWR|aAAC
68	31553 63331	   	185.61	ACR|2DMG|2BEXP|1ASPD|1AAC	1BELT|29LHND|3RCR|4MLV|59BEXP|6LWND|7ASPD|89DMG|9BPWR|aAAC
69	31514 13161	 * 	185.51	ACR|1BASARM|2AART|1ASPD	1BELT|2LHND|3RCR|4DUR|59AART|6ZMB|7ASPD|8RCVC|aBASARM
70	31533 31622	 * 	185.51	ACR|2DMG|2BEXP|2CDMG|1AAC	1BELT|2aLHND|3RCR|48DMG|5aBEXP|6aCDMG|7AAC|9RCVC|aBPWR
71	31534 13233	   	185.51	ACR|2DMG|2BEXP|1BASICY|1AAC	1BELT|29LHND|3RCR|49DMG|5ERES|6LWND|79BEXP|8AAC|9BPWR|aBASICY
72	31534 13236	   	185.51	ACR|2DMG|2BEXP|1ASPD|1AAC	1BELT|29LHND|3RCR|49DMG|5ERES|6LWND|79BEXP|8AAC|9BPWR|aASPD
73	31533 22212	   	185.41	ACR|2DMG|2BEXP|1ASPD|1AAC	1BELT|2LHND|3RCR|4aDMG|59BEXP|6ASPD|7LWND|8AAC
74	31533 22216	 * 	185.41	ACR|2ASPD|2BEXP|1DMG|1AAC	1BELT|2LHND|3RCR|4DMG|59BEXP|6aASPD|7LWND|8AAC
75	31536 15231	   	184.96	ACR|3DMG|1ASPD|1BEXP|1VULN	1BELT|259LHND|3RCR|459DMG|59BPWR|6BEXP|7VULN|89DUST|aASPD
76	31536 13531	   	184.96	ACR|3DMG|1ASPD|1BEXP|1VULN	1BELT|25LHND|3RCR|458DMG|5BPWR|6BEXP|7DUR|9VULN|aASPD
77	31545 32233	 * 	184.53	ACR|3BEXP|2VULN|1DMG|1CDMG	1BELT|29LHND|3RCR|49VULN|5FEWX|6DMG|789BEXP|9BPWR|aCDMG
78	31562 36312	   	184.43	ACR|3DMG|2VULN|1ASPD	1BELT|28LHND|3RCR|4FEWX|58VULN|68aDMG|7DMSP|8BPWR|9ASPD
79	36522 36312	   	184.43	ACR|3DMG|2VULN|1ASPD	1BELT|28FEWX|3RCR|4LHND|58VULN|68aDMG|7DMSP|8BPWR|9ASPD
80	36532 36312	   	184.43	ACR|3DMG|2VULN|1ASPD	1BELT|28FEWX|3RCR|4LWND|58VULN|68aDMG|7DMSP|8BPWR|9ASPD
81	31556 31333	   	184.34	ACR|2ASPD|2BEXP|1AART|1CDMG	1BELT|2LHND|3RCR|4MLV|5AART|6CDMG|79BEXP|8aASPD
82	31533 33552	   	184.33	ACR|3BEXP|1ASPD|1DMG|1CDMG	1BELT|2LHND|3RCR|4DMG|589BEXP|6CDMG|7DUST|aASPD
83	31536 14111	   	184.32	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1BELT|25LHND|3RCR|45DMG|5BPWR|6BEXP|7AAC|8RMIN|9ASPD|aCDMG
84	31536 14311	   	184.32	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1BELT|25LHND|3RCR|45DMG|5BPWR|6BEXP|7AAC|8CGEN|9ASPD|aCDMG
85	31536 11211	   	184.26	ACR|3DMG|3BEXP	1BELT|258LHND|3RCR|458DMG|58BPWR|689BEXP|7DMSP|aFEWX
86	31536 11212	   	184.26	ACR|3DMG|3BEXP	1BELT|258LHND|3RCR|458DMG|58BPWR|689BEXP|7DMSP|aCGEN
87	31536 11213	   	184.26	ACR|3DMG|3BEXP	1BELT|258LHND|3RCR|458DMG|58BPWR|689BEXP|7DMSP|aRPLT
88	31536 11261	   	184.26	ACR|3DMG|3BEXP	1BELT|258aLHND|3RCR|458DMG|58aBPWR|68aBEXP|7DMSP|9DLOT
89	31515 23361	   	184.22	ACR|2ASPD|1BASICY|1BEXP|1CDMG|1AAC	1BELT|2LHND|3RCR|4DUR|5AAC|6aASPD|7BASICY|8BEXP|9CDMG
90	31533 31616	   	184.22	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1BELT|2LHND|3RCR|48DMG|5BEXP|6CDMG|7AAC|9RPLT|aASPD
91	31536 11214	   	184.16	ACR|3DMG|3BEXP	1BELT|258LHND|3RCR|458DMG|58BPWR|689BEXP|7DMSP|aTLV
92	31536 11215	   	184.16	ACR|3DMG|3BEXP	1BELT|258LHND|3RCR|458DMG|58BPWR|689BEXP|7DMSP|aAME
93	31536 11216	   	184.16	ACR|3DMG|3BEXP	1BELT|258LHND|3RCR|458DMG|58BPWR|689BEXP|7DMSP|aDUST
94	31522 14212	 * 	183.98	ACR|1BASARM|2BEXP|2AAC	1BELT|248LHND|3RCR|57AAC|68BEXP|8BPWR|9LSRICY|aBASARM
