0	Index      	 *	Score 	Summary	Detail	
1	31514 43322	 * 	223.92	ACR|1BASARM|3BEXP|1ASPD|1DMG	14DUST|2RCR|3VENFST|5ASPD|678BEXP|9BASARM|aDMG
39	31433 65223	   	208.24	ACR|1BASARM|2BEXP|1AART|1CDMG|1AAC	16DUST|2RCR|3AART|4MLV|58BEXP|7BASARM|9AAC|aCDMG
40	51333 53432	 * 	207.77	ACR|3BEXP|3VULN|1ASPD|1DMG	1aLHND|2RCR|38aVULN|4DMG|5MDPS|6ASPD|79aBEXP|aBPWR
41	31636 26231	 * 	207.35	ACR|3DMG|2ASPD|1CDMG	13aDUST|2RCR|47aDMG|5VULN|6CDMG|8RCVC|9aASPD|aBPWR
42	61414 12233	   	206.71	ACR|2ASPD|2DMG|1CDMG|1AART|1AAC	1DUR|2RCR|3AART|4FLTFST|59ASPD|67DMG|8CDMG|aAAC
43	51632 21323	   	206.54	ACR|1BASARM|2BEXP|1DMG|1CDMG	15LHND|2RCR|3aBEXP|4DMG|6CDMG|7RPLT|8VENTOX|9BASARM
44	21563 14321	   	206.34	ACR|1BASARM|2BEXP|1DMG|1CDMG	1FEWX|2RCR|3VENFST|4NUKE|5CDMG|68BEXP|7RPLT|9BASARM|aDMG
45	21522 25221	   	206.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1FEWX|2RCR|3VENFST|4BEXP|5DMSP|6AAC|7ASPD|8DUR|9BASARM|aDMG
46	21525 25221	   	206.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	15FEWX|2RCR|3VENFST|4BEXP|6AAC|7ASPD|8DUR|9BASARM|aDMG
47	61522 25321	   	206.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DUR|2RCR|3VENFST|4BEXP|5DMSP|6AAC|7ASPD|8FEWX|9BASARM|aDMG
48	21522 25421	   	206.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1FEWX|2RCR|3VENFST|4BEXP|5DMSP|6AAC|7ASPD|8DUST|9BASARM|aDMG
49	51313 31222	   	206.13	ACR|1BASARM|2VULN|1DMG|1AART|1AAC	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7BASARM|8AAC|aAART
50	51313 51222	   	206.13	ACR|1BASARM|2VULN|1ASPD|1AART|1AAC	1LHND|2RCR|39VULN|4ERES|5MDPS|6ASPD|7BASARM|8AAC|aAART
51	51333 21222	   	206.13	ACR|1BASARM|2VULN|1DMG|1AART|1AAC	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7BASARM|8AAC|aAART
52	61433 25222	   	206.05	ACR|1BASARM|3BEXP|1AART|1AAC	16DUR|2RCR|3AART|4MLV|58aBEXP|7BASARM|9AAC
53	31443 25222	   	205.95	ACR|1BASARM|3BEXP|1AART|1AAC	1DUST|2RCR|3AART|48aBEXP|5RCVC|6CGEN|7BASARM|9AAC
54	31433 65222	   	205.85	ACR|1BASARM|3BEXP|1AART|1AAC	16DUST|2RCR|3AART|4MLV|58aBEXP|7BASARM|9AAC
55	51636 32112	   	205.36	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG	1LHND|2RCR|3BEXP|4DMG|5FEWX|6CDMG|7MLV|8AART|9DUR|aBASARM
56	51431 11142	   	205.36	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AART	1LHND|2RCR|3DUR|4DMG|5CGEN|6FEWX|7CDMG|8AART|9BEXP|aBASARM
57	61414 12231	   	205.34	ACR|2ASPD|2DMG|1CDMG|1AART	1DUR|2RCR|3AART|4FLTFST|59ASPD|67DMG|8CDMG|aVULN
58	21441 34221	   	205.26	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1FEWX|2RCR|3AART|4BEXP|5LIT|6ASPD|7MSLFST|8RPLT|9CDMG|aBASARM
59	21461 13221	   	205.26	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1FEWX|2RCR|3AART|4DMG|5RPLT|6LIT|7SNITOX|8BEXP|9CDMG|aBASARM
60	51636 21112	   	205.26	ACR|1BASARM|1DMG|1BEXP|1AART|1CDMG	1LHND|2RCR|3BEXP|4DMG|5FEWX|6AME|7CDMG|8AART|9DUR|aBASARM
61	31441 34221	   	205.16	ACR|1BASARM|1ASPD|1BEXP|1AART|1CDMG	1DUST|2RCR|3AART|4BEXP|5LIT|6ASPD|7MSLFST|8RPLT|9CDMG|aBASARM
62	51333 51235	   	204.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4DMG|5MDPS|6ASPD|7MLV|8BELT|9BEXP|aBASARM
63	51632 15222	   	204.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	15LHND|2RCR|3BEXP|4DMG|6SPLARM|7ASPD|8DUR|9BASARM|aVULN
64	21126 26211	 * 	204.96	ACR|1BASARM|1DMG|2CDMG|1AART	15FEWX|2RCR|3RMIN|4VULN|69CDMG|7DMG|8BASARM|aAART
65	21136 26211	   	204.96	ACR|1BASARM|1DMG|2CDMG|1AART	1FEWX|2RCR|3RMIN|4RCVC|5VULN|69CDMG|7DMG|8BASARM|aAART
66	21146 26211	   	204.96	ACR|1BASARM|1DMG|2CDMG|1AART	1FEWX|2RCR|34RMIN|5VULN|69CDMG|7DMG|8BASARM|aAART
67	21325 32214	   	204.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	1FEWX|2RCR|3VULN|4LHND|5LIT|6DMG|7SNIFST|8BEXP|9BASARM|aASPD
68	21335 32214	   	204.96	ACR|1BASARM|1ASPD|1DMG|1BEXP	1FEWX|2RCR|3VULN|4LWND|5LIT|6DMG|7SNIFST|8BEXP|9BASARM|aASPD
69	21346 26211	   	204.96	ACR|1BASARM|1DMG|2CDMG|1AART	15FEWX|2RCR|3VULN|4ZMB|69CDMG|7DMG|8BASARM|aAART
70	31422 32562	   	204.96	ACR|1BASARM|1DMG|1AART|1BEXP|1CDMG	1DUST|2RCR|3AART|4MDPS|56ERES|7CDMG|8BEXP|9DMG|aBASARM
71	21416 13235	   	204.86	ACR|1BASARM|1ASPD|1DMG|1AART	1FEWX|2RCR|3AART|4FLTFST|5CGEN|6DMG|7SPLREG|8VULN|9ASPD|aBASARM
72	31136 26211	   	204.86	ACR|1BASARM|1DMG|2CDMG|1AART	1DUST|2RCR|3RMIN|4RCVC|5VULN|69CDMG|7DMG|8BASARM|aAART
73	31146 26211	   	204.86	ACR|1BASARM|1DMG|2CDMG|1AART	1DUST|2RCR|34RMIN|5VULN|69CDMG|7DMG|8BASARM|aAART
74	31321 54314	   	204.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3VULN|4LHND|5BEXP|6LIT|7LSRICY|8DMG|9BASARM|aASPD
75	31331 54314	   	204.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1DUST|2RCR|3VULN|4LWND|5BEXP|6LIT|7LSRICY|8DMG|9BASARM|aASPD
76	51313 31314	   	204.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|9DUR|aBEXP
77	51313 31344	   	204.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|9ZMB|aBEXP
78	51313 31352	   	204.86	ACR|1BASARM|1ASPD|1DMG|1AART	19LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aAART
79	51313 31622	   	204.86	ACR|1BASARM|1ASPD|1DMG|1AART	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8AART|9CGEN|aASPD
80	51333 21314	   	204.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|9DUR|aBEXP
81	51333 21344	   	204.86	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|9ZMB|aBEXP
82	51333 21352	   	204.86	ACR|1BASARM|1ASPD|1DMG|1AART	19LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|aAART
83	51333 21622	   	204.86	ACR|1BASARM|1ASPD|1DMG|1AART	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8AART|9CGEN|aASPD
84	31631 44211	   	204.76	ACR|1BASARM|1DMG|2CDMG|1AART	13DUST|2RCR|4DMG|59CDMG|6ZMB|7VULN|8BASARM|aAART
85	51313 31334	   	204.76	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|9AME|aBEXP
86	51333 21334	   	204.76	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LHND|2RCR|3VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|9TLV|aBEXP
87	51233 12425	   	204.33	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|3LWND|4DMG|5MDPS|68VULN|7ASPD|9LIT|aBASARM
88	51313 31316	   	204.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|3aVULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|9DUR
89	51313 31321	   	204.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aMLV
90	51313 31324	   	204.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aLWND
91	51313 51421	   	204.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4ERES|5MDPS|6ASPD|7BASARM|8DMG|aMLV
92	51333 21321	   	204.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|aMLV
93	51333 21324	   	204.23	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|aLWND
94	51313 31323	   	204.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aTLV
95	51313 31325	   	204.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4aERES|5MDPS|6DMG|7BASARM|8ASPD
96	51313 31326	   	204.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4ERES|5MDPS|6DMG|7BASARM|8ASPD|aAEFBLL
97	51313 51423	   	204.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4ERES|5MDPS|6ASPD|7BASARM|8DMG|aTLV
98	51333 21323	   	204.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|aTLV
99	51333 21325	   	204.13	ACR|1BASARM|2VULN|1ASPD|1DMG	1LHND|2RCR|39VULN|4DMG|5MDPS|6AME|7BASARM|8ASPD|aERES
100	21461 35232	 * 	204.06	ACR|1BASARM|2AART|1DMG|1BEXP	1FEWX|2RCR|39AART|4DMG|5RPLT|6DUR|7BEXP|8TLV|aBASARM
101	21463 53232	   	204.06	ACR|1BASARM|2AART|1DMG|1BEXP	1FEWX|2RCR|39AART|4DMG|5BEXP|6RPLT|7DUR|8TLV|aBASARM
102	21331 36253	 * 	204.06	ACR|1BASARM|3BEXP|2VULN	1FEWX|2RCR|39VULN|4LWND|578BEXP|6DUR|aBASARM
103	61331 26253	   	204.06	ACR|1BASARM|3BEXP|2VULN	1DUR|2RCR|39VULN|4LWND|578BEXP|6FEWX|aBASARM
104	21152 35623	   	204.06	ACR|2DMG|2BEXP|1ASPD|1AART|1AAC	1FEWX|2RCR|3RMIN|4AAC|57BEXP|69DMG|8ASPD|aAART
105	21414 52221	 * 	203.96	ACR|1BASARM|3CDMG|1ASPD|1AART	1FEWX|2RCR|3AART|4FLTFST|5ASPD|689CDMG|7LIT|aBASARM
106	31414 52221	   	203.86	ACR|1BASARM|3CDMG|1ASPD|1AART	1DUST|2RCR|3AART|4FLTFST|5ASPD|689CDMG|7LIT|aBASARM
107	31421 46232	   	203.86	ACR|1BASARM|2AART|1ASPD|1CDMG	1DUST|2RCR|39AART|4MDPS|5TLV|6CDMG|7ASPD|8FEWX|aBASARM
108	21562 43321	   	203.86	ACR|1BASARM|3BEXP|1ASPD	1FEWX|2RCR|3VENFST|4NUKE|5AEFBLL|678BEXP|9BASARM|aASPD
109	31562 43321	   	203.76	ACR|1BASARM|3BEXP|1ASPD	1DUST|2RCR|3VENFST|4NUKE|5AEFBLL|678BEXP|9BASARM|aASPD
110	51313 31461	 * 	203.32	ACR|2BASARM|2DMG	1LHND|2RCR|3VULN|4ERES|5MDPS|68DMG|7aBASARM|9CGEN
111	51313 51361	 * 	203.32	ACR|2BASARM|2ASPD	1LHND|2RCR|3VULN|4ERES|5MDPS|68ASPD|7aBASARM|9CGEN
112	51333 21461	   	203.32	ACR|2BASARM|2DMG	1LHND|2RCR|3VULN|48DMG|5MDPS|6AME|7aBASARM|9CGEN
113	31631 62111	 * 	202.78	ACR|3DMG|2VULN|1ASPD|1CDMG	13aDUST|2RCR|46aDMG|5CDMG|7ASPD|8aVULN|9RCVC|aBPWR
114	31631 62141	   	202.78	ACR|3DMG|2VULN|1ASPD|1CDMG	13aDUST|2RCR|46aDMG|5CDMG|7ASPD|8aVULN|9DMSP|aBPWR
115	51313 31414	   	202.38	ACR|1BASARM|2DMG|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|68DMG|7BASARM|9FEWX|aBEXP
116	51313 31423	   	202.38	ACR|1BASARM|2DMG|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|68DMG|7BASARM|9LIT|aBEXP
117	51313 51314	   	202.38	ACR|1BASARM|2ASPD|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|68ASPD|7BASARM|9FEWX|aBEXP
118	51313 51323	   	202.38	ACR|1BASARM|2ASPD|1BEXP	1LHND|2RCR|3VULN|4ERES|5MDPS|68ASPD|7BASARM|9LIT|aBEXP
119	51313 51622	   	202.38	ACR|1BASARM|2ASPD|1AART	1LHND|2RCR|3VULN|4ERES|5MDPS|6aASPD|7BASARM|8AART|9CGEN
120	51333 21414	   	202.38	ACR|1BASARM|2DMG|1BEXP	1LHND|2RCR|3VULN|48DMG|5MDPS|6AME|7BASARM|9FEWX|aBEXP
121	51333 21423	   	202.38	ACR|1BASARM|2DMG|1BEXP	1LHND|2RCR|3VULN|48DMG|5MDPS|6AME|7BASARM|9LIT|aBEXP
122	31416 23216	   	202.28	ACR|1BASARM|3AART|1BEXP	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9VULN|aBEXP
123	51333 53252	   	202.17	ACR|2DMG|2BEXP|2VULN|1ASPD	1aLHND|2RCR|3aVULN|49DMG|5MDPS|6ASPD|7aBEXP|8RCVC|aBPWR
124	31632 31431	   	202.14	ACR|1BASARM|2DMG|1AART|1SELL	13DUST|2RCR|46DMG|5MLV|7AART|8SELL|9VULN|aBASARM
125	31634 31431	   	202.04	ACR|1BASARM|2DMG|1AART|1SELL	13DUST|2RCR|46DMG|5TLV|7AART|8SELL|9VULN|aBASARM
126	21353 22633	 * 	201.95	ACR|2ASPD|2VULN|1DMG|1BASICY|1AAC	14FEWX|2RCR|37VULN|5BASICY|6AAC|8aASPD|9DMG
127	51323 22633	   	201.95	ACR|2ASPD|2VULN|1DMG|1BASICY|1AAC	14LHND|2RCR|37VULN|5BASICY|6AAC|8aASPD|9DMG
128	21311 35633	 * 	201.86	ACR|1BASARM|2DMG|2VULN	1FEWX|2RCR|39VULN|4ERES|5CGEN|6LWND|7aDMG|8BASARM
129	31416 23231	   	201.76	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9ASPD|aLIT
130	31416 23234	   	201.76	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9ASPD|aLWND
131	31416 23236	   	201.76	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4FLTFST|5aCGEN|8BASARM|9ASPD
132	31456 23231	   	201.76	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4VENFST|5CGEN|8BASARM|9ASPD|aLIT
133	31311 35633	   	201.76	ACR|1BASARM|2DMG|2VULN	1DUST|2RCR|39VULN|4ERES|5CGEN|6LWND|7aDMG|8BASARM
134	31416 23232	   	201.66	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4FLTFST|5CGEN|8BASARM|9ASPD|aERES
135	31456 23232	   	201.66	ACR|1BASARM|3AART|1ASPD	1DUST|2RCR|367AART|4VENFST|5CGEN|8BASARM|9ASPD|aERES
136	61414 13233	 * 	201.57	ACR|2ASPD|2AART|1DMG|1CDMG|1AAC	1DUR|2RCR|37AART|4FLTFST|59ASPD|6DMG|8CDMG|aAAC
137	21152 45321	   	201.20	ACR|1BASARM|2BEXP|1DMG|1AAC	1FEWX|2RCR|3RMIN|4AAC|57BEXP|6DUR|8VENTOX|9BASARM|aDMG
138	54613 31222	   	201.13	ACR|1BASARM|2VULN|1DMG|1AART|1AAC	1LHND|29VULN|3RCR|4ERES|5MDPS|6DMG|7BASARM|8AAC|aAART
139	54633 21222	   	201.13	ACR|1BASARM|2VULN|1DMG|1AART|1AAC	1LHND|29VULN|3RCR|4DMG|5MDPS|6AME|7BASARM|8AAC|aAART
140	21152 35116	   	201.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1FEWX|2RCR|3RMIN|4AAC|57BEXP|6DMG|8RPLT|9MULARM|aBASARM
141	31152 45321	   	201.10	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2RCR|3RMIN|4AAC|57BEXP|6DUR|8VENTOX|9BASARM|aDMG
142	21522 25423	   	201.00	ACR|1BASARM|2BEXP|1ASPD|1AAC	1FEWX|2RCR|3VENFST|4aBEXP|5DMSP|6AAC|7ASPD|8DUST|9BASARM
143	31152 35116	   	201.00	ACR|1BASARM|2BEXP|1DMG|1AAC	1DUST|2RCR|3RMIN|4AAC|57BEXP|6DMG|8RPLT|9MULARM|aBASARM
144	31461 13521	   	200.51	ACR|3DMG|2ASPD|1AART	1aDUST|2RCR|3AART|49aDMG|5RPLT|6LIT|7CGEN|8aASPD|aBPWR
145	51333 53153	   	200.21	ACR|3BEXP|2DMG|1ASPD	1LHND|2RCR|3VULN|49DMG|5MDPS|6ASPD|78aBEXP
146	61414 13231	   	200.21	ACR|2ASPD|2AART|1DMG|1CDMG	1DUR|2RCR|37AART|4FLTFST|59ASPD|6DMG|8CDMG|aVULN
147	31631 62632	 * 	200.21	ACR|3ASPD|2DMG|1CDMG	13DUST|2RCR|46DMG|5CDMG|79aASPD|8ERES
148	61433 25321	   	200.13	ACR|1BASARM|2BEXP|1AART|1CDMG	16DUR|2RCR|3AART|4MLV|59BEXP|7BASARM|8FEWX|aCDMG
149	31443 25321	   	200.03	ACR|1BASARM|2BEXP|1AART|1CDMG	1DUST|2RCR|3AART|49BEXP|5RCVC|6CGEN|7BASARM|8FEWX|aCDMG
150	61431 26221	   	200.03	ACR|1BASARM|2BEXP|1AART|1CDMG	16DUR|2RCR|3AART|4MLV|5MBVNT|7BASARM|89BEXP|aCDMG
151	61433 25231	   	200.03	ACR|1BASARM|2BEXP|1CDMG|1AART	16DUR|2RCR|3AART|4MLV|58BEXP|7BASARM|9DUST|aCDMG
152	21152 52153	   	200.01	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	18FEWX|2RCR|3RMIN|4AAC|5BEXP|6LIT|7DMG|9AART|aBASARM
153	21152 52313	   	200.01	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1FEWX|2RCR|3RMIN|4AAC|5BEXP|6LIT|7DMG|8AART|9RCVC|aBASARM
154	21152 52323	   	200.01	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1FEWX|2RCR|39RMIN|4AAC|5BEXP|6LIT|7DMG|8AART|aBASARM
155	21152 52363	   	200.01	ACR|1BASARM|1DMG|1BEXP|1AART|1AAC	1FEWX|2RCR|3RMIN|4AAC|5BEXP|69LIT|7DMG|8AART|aBASARM
156	21424 12262	   	199.93	ACR|1BASARM|2BEXP|1AART|1CDMG	1FEWX|2RCR|3AART|4MDPS|58BEXP|6ERES|7CDMG|9RMIN|aBASARM
157	31433 65321	   	199.93	ACR|1BASARM|2BEXP|1AART|1CDMG	16DUST|2RCR|3AART|4MLV|59BEXP|7BASARM|8FEWX|aCDMG
158	21152 32616	   	199.91	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1FEWX|2RCR|3RMIN|4AAC|5BEXP|6DMG|7DUR|8CDMG|9MULARM|aBASARM
