0	Index      	 *	Score 	Summary	Detail	
1	13361 12131	 * 	201.03	ACR|1BASARM|2DMG|1CDMG|1AART|1VULN	1MLV|2AART|37DMG|4TLV|5RCR|6DUST|8CDMG|9BASARM|aVULN
18	13361 12213	   	181.37	ACR|3DMG|1BASICY|1BEXP|1AART	1MLV|2AART|378DMG|4TLV|5RCR|6DUST|9BEXP|aBASICY
19	13361 12353	   	181.37	ACR|3DMG|1BASICY|1BEXP|1AART	1MLV|2AART|379DMG|4TLV|5RCR|6DUST|8BEXP|aBASICY
20	13361 42261	 * 	181.37	ACR|3DMG|1ASPD|1AART|1BEXP	1MLV|2AART|389DMG|4TLV|5RCR|6AME|7ASPD|aBEXP
21	13361 42351	   	181.37	ACR|3DMG|1ASPD|1AART|1BEXP	1MLV|2AART|39aDMG|4TLV|5RCR|6AME|7ASPD|8BEXP
22	13361 42311	 * 	180.55	ACR|2DMG|2BEXP|1ASPD|1AART	1MLV|2AART|3aDMG|4TLV|5RCR|6AME|7ASPD|89BEXP
23	24215 23216	   	176.48	ACR|1BASARM|2BEXP|1AART	1LWND|2AART|3MLV|4RCR|5LHND|67BEXP|8ZMB|9FEWX|aBASARM
24	24216 23216	   	176.48	ACR|1BASARM|2BEXP|1AART	1LWND|2AART|3MLV|4RCR|5DUR|67BEXP|8ZMB|9FEWX|aBASARM
25	13261 16135	   	176.41	ACR|1BASARM|1ASPD|1CDMG|1AART	1MLV|2AART|3ASPD|4TLV|5RCR|67DUST|8CDMG|9BASARM|aFEWX
26	13261 16136	   	176.41	ACR|1BASARM|1ASPD|1CDMG|1AART	1MLV|2AART|3ASPD|4TLV|5RCR|67DUST|8CDMG|9BASARM|aRMIN
27	13361 16135	   	176.41	ACR|1BASARM|1DMG|1CDMG|1AART	1MLV|2AART|3DMG|4TLV|5RCR|67DUST|8CDMG|9BASARM|aFEWX
28	13361 16136	   	176.41	ACR|1BASARM|1DMG|1CDMG|1AART	1MLV|2AART|3DMG|4TLV|5RCR|67DUST|8CDMG|9BASARM|aRMIN
29	13613 66131	   	176.36	ACR|1BASARM|1ASPD|1AART|1AAC	1MLV|2AART|3LHND|4RCR|5CGEN|6RPLT|7ASPD|8AAC|9BASARM|aLWND
30	24213 66131	   	176.36	ACR|1BASARM|1ASPD|1AART|1AAC	1aLWND|2AART|3MLV|4RCR|5CGEN|6RPLT|7ASPD|8AAC|9BASARM
31	24213 66132	   	176.36	ACR|1BASARM|1ASPD|1AART|1AAC	1LWND|2AART|3MLV|4RCR|5CGEN|6RPLT|7ASPD|8AAC|9BASARM|aLIT
32	13261 16133	   	176.31	ACR|1BASARM|1ASPD|1CDMG|1AART	1MLV|2AART|3ASPD|4TLV|5RCR|67aDUST|8CDMG|9BASARM
33	13261 16134	   	176.31	ACR|1BASARM|1ASPD|1CDMG|1AART	1MLV|2AART|3ASPD|4TLV|5RCR|67DUST|8CDMG|9BASARM|aERES
34	13361 16133	   	176.31	ACR|1BASARM|1DMG|1CDMG|1AART	1MLV|2AART|3DMG|4TLV|5RCR|67aDUST|8CDMG|9BASARM
35	13361 16134	   	176.31	ACR|1BASARM|1DMG|1CDMG|1AART	1MLV|2AART|3DMG|4TLV|5RCR|67DUST|8CDMG|9BASARM|aERES
36	13613 66133	   	176.26	ACR|1BASARM|1ASPD|1AART|1AAC	1MLV|2AART|3LHND|4RCR|5CGEN|6RPLT|7ASPD|8AAC|9BASARM|aDUST
37	24213 66133	   	176.26	ACR|1BASARM|1ASPD|1AART|1AAC	1LWND|2AART|3MLV|4RCR|5CGEN|6RPLT|7ASPD|8AAC|9BASARM|aAEMAG
38	13361 22311	 * 	176.24	ACR|3DMG|2BEXP|1AART	1MLV|2AART|37aDMG|4TLV|5RCR|6FEWX|89BEXP
39	13361 32311	   	176.24	ACR|3DMG|2BEXP|1AART	1MLV|2AART|37aDMG|4TLV|5RCR|6LHND|89BEXP
40	13361 12216	   	176.14	ACR|3DMG|2BEXP|1AART	1MLV|2AART|378DMG|4TLV|5RCR|6DUST|9aBEXP
41	13361 12311	   	176.14	ACR|3DMG|2BEXP|1AART	1MLV|2AART|37aDMG|4TLV|5RCR|6DUST|89BEXP
42	13361 12356	   	176.14	ACR|3DMG|2BEXP|1AART	1MLV|2AART|379DMG|4TLV|5RCR|6DUST|8aBEXP
43	13614 22362	   	175.10	ACR|2BEXP|1ASPD|1DMG|1AART|1VULN	1MLV|2AART|3LHND|4RCR|5VULN|6aBEXP|7LWND|8ASPD|9DMG
44	11652 25133	   	175.00	ACR|1BASARM|1DMG|1CDMG|1VULN	12MLV|2BPWR|3RMIN|4RCR|5RCVC|6ZMB|7DMG|8CDMG|9VULN|aBASARM
45	13361 42211	   	174.66	ACR|3DMG|1ASPD|1AART|1VULN	1MLV|2AART|38aDMG|4TLV|5RCR|6AME|7ASPD|9VULN
46	13361 22561	 * 	173.86	ACR|3DMG|2AART|1BEXP	1MLV|28AART|379DMG|4TLV|5RCR|6FEWX|aBEXP
47	13613 12651	   	172.82	ACR|3DMG|1ASPD|1AART	1MLV|2AART|3LHND|4RCR|5CGEN|6AME|79aDMG|8ASPD
48	24213 12651	   	172.82	ACR|3DMG|1ASPD|1AART	1LWND|2AART|3MLV|4RCR|5CGEN|6AME|79aDMG|8ASPD
49	13612 12651	   	172.72	ACR|3DMG|1ASPD|1AART	1MLV|2AART|3LHND|4RCR|5ERES|6AME|79aDMG|8ASPD
50	24212 12651	   	172.72	ACR|3DMG|1ASPD|1AART	1LWND|2AART|3MLV|4RCR|5ERES|6AME|79aDMG|8ASPD
51	13361 42253	 * 	172.13	ACR|2DMG|1ASPD|1BASICY|1AART	1MLV|2AART|38DMG|4TLV|5RCR|6AME|7ASPD|9CGEN|aBASICY
52	13361 22316	 * 	171.86	ACR|3BEXP|2DMG|1AART	1MLV|2AART|37DMG|4TLV|5RCR|6FEWX|89aBEXP
53	13361 42214	 * 	171.46	ACR|2DMG|2AART|1ASPD|1VULN	1MLV|2aAART|38DMG|4TLV|5RCR|6AME|7ASPD|9VULN
54	13361 42511	   	171.46	ACR|2DMG|2AART|1ASPD|1VULN	1MLV|28AART|3aDMG|4TLV|5RCR|6AME|7ASPD|9VULN
55	13361 25611	   	171.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1MLV|2AART|3DMG|4TLV|5RCR|6FEWX|7AAC|8ASPD|9aBEXP
56	13361 35611	   	171.37	ACR|2BEXP|1ASPD|1DMG|1AART|1AAC	1MLV|2AART|3DMG|4TLV|5RCR|6LHND|7AAC|8ASPD|9aBEXP
57	11651 22215	   	171.14	ACR|1BASARM|2BEXP|1AAC	12MLV|2BPWR|38RMIN|4RCR|5BELT|67BEXP|9AAC|aBASARM
58	13614 21116	 * 	171.13	ACR|4VULN|2BEXP|1AART	18MLV|2AART|3LHND|4RCR|589aVULN|68BEXP|7RPLT|8BPWR
59	24214 21116	   	171.13	ACR|4VULN|2BEXP|1AART	18LWND|2AART|3MLV|4RCR|589aVULN|68BEXP|7RPLT|8BPWR
