0	Index      	 *	Score 	Summary	Detail	
1	51323 53243	 * 	220.92	ACR|1BASARM|2BEXP|1ASPD|1DMG|1AAC|1SELL	1SELL|2RCR|39BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|aASPD
68	44132 31113	 * 	199.36	ACR|2DMG|3VULN|1ASPD|1BEXP	18CGEN|2RCR|368VULN|4MLV|5LIT|78DMG|8BPWR|9BEXP|aASPD
69	44283 32432	 * 	198.68	ACR|2BASARM|3BEXP	149CGEN|2RCR|3MBVNT|5AEMAG|69BASARM|789BEXP|9BPWR|aLHND
70	44283 32433	   	198.68	ACR|2BASARM|3BEXP	149CGEN|2RCR|3MBVNT|5AEMAG|69BASARM|789BEXP|9BPWR|aDUR
71	44283 32434	   	198.68	ACR|2BASARM|3BEXP	149CGEN|2RCR|3MBVNT|5AEMAG|69BASARM|789BEXP|9BPWR|aRMIN
72	44283 32431	   	198.58	ACR|2BASARM|3BEXP	149CGEN|2RCR|3MBVNT|5AEMAG|69BASARM|789BEXP|9BPWR|aAME
73	51132 32562	   	198.40	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1SELL|2RCR|3RCVC|4BEXP|5VULN|6DMG|7LIT|8LWND|9BASARM|aAART
74	51132 34252	   	198.40	ACR|1BASARM|1DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|39RCVC|4BEXP|5VULN|6DMG|7CDMG|8RPLT|aBASARM
75	51141 22125	   	198.40	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1SELL|2RCR|3RCVC|4AART|5BEXP|6VULN|7LIT|8ZMB|9BASARM|aDMG
76	51312 32562	   	198.40	ACR|1BASARM|1DMG|1AART|1BEXP|1SELL	1SELL|2RCR|3BEXP|4RCVC|5VULN|6DMG|7LIT|8LWND|9BASARM|aAART
77	51312 34252	   	198.40	ACR|1BASARM|1DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|49RCVC|5VULN|6DMG|7CDMG|8RPLT|aBASARM
78	44623 33223	   	198.02	ACR|1BASARM|1ASPD|1DMG|1AART	13CGEN|2RCR|4FEWX|5AEMAG|6BASARM|7ASPD|8DUR|9DMG|aAART
79	44623 33311	   	198.02	ACR|1BASARM|1ASPD|1DMG|1CDMG	13CGEN|2RCR|4FEWX|5AEMAG|6BASARM|7ASPD|8RMIN|9DMG|aCDMG
80	22113 55263	 * 	197.96	ACR|3ASPD|2DMG|3CDMG	18DMG|28aCDMG|3AEMAG|4RCVC|5RCR|6LIT|789ASPD|8BPWR
81	44283 33411	   	197.92	ACR|1BASARM|1ASPD|1DMG|1CDMG	14CGEN|2RCR|3MBVNT|5AEMAG|6BASARM|7ASPD|8ZMB|9DMG|aCDMG
82	44212 32841	   	197.92	ACR|1BASARM|1ASPD|1DMG|1AART	1CGEN|2RCR|3MBVNT|4DUR|5MSLTOX|6LWND|7AART|8DMG|9ASPD|aBASARM
83	23131 26244	 * 	197.91	DCR|3ASPD|3DMG|3VULN|1AAC	189DMG|2MBVNT|3ERES|489VULN|5RMIN|6AAC|789ASPD|89BPWR|aRCR
84	23137 66244	   	197.81	DCR|3ASPD|3DMG|3VULN|1AAC	189DMG|2MBVNT|3ERES|489VULN|5AAC|6NUKE|789ASPD|89BPWR|aRCR
85	51262 22432	   	197.78	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1SELL|2RCR|36CGEN|4ERES|5ASPD|7LHND|8DMG|9BEXP|aBASARM
86	44311 21623	 * 	197.72	ACR|1BASARM|2VULN|2CDMG|1BEXP	1CGEN|2RCR|3SPLREG|47CDMG|5aVULN|6MBVNT|8BASARM|9BEXP
87	51262 23432	   	197.68	ACR|1BASARM|1ASPD|1DMG|1BEXP|1SELL	1SELL|2RCR|36CGEN|4ERES|5ASPD|7DUST|8DMG|9BEXP|aBASARM
88	51361 35132	   	197.61	ACR|3DMG|2BEXP|2CDMG|1SELL	1SELL|2RCR|3aBEXP|4LHND|56aDMG|7ZMB|8CGEN|9aCDMG|aBPWR
89	54122 34222	   	197.14	ACR|1BASARM|2DMG|1CDMG|1SELL	1SELL|2AEMAG|3RCR|4LEGI|5VULN|69DMG|7CDMG|8RPLT|aBASARM
90	54162 33322	   	197.04	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2AEMAG|3RCR|4DUST|5VULN|69DMG|7NUKE|8BEXP|aBASARM
91	23828 83244	   	196.33	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DMG|2MBVNT|3LHND|4RCR|5BELT|6BASARM|7MLV|8AAC|9BEXP|aASPD
92	23828 82244	   	196.23	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AAC	1DMG|2MBVNT|3LHND|4RCR|5BELT|6BASARM|7TLV|8AAC|9BEXP|aASPD
93	51361 26213	   	196.23	ACR|3ASPD|1DMG|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|4LHND|5DMG|6MDPS|7CDMG|89aASPD
94	51361 34321	 * 	196.23	ACR|3DMG|1ASPD|1BEXP|1CDMG|1SELL	1SELL|2RCR|3BEXP|4LHND|569DMG|7CDMG|8SPLARM|aASPD
95	22113 42462	 * 	196.10	ACR|3DMG|1BASARM|1CDMG	179DMG|2CDMG|38AEMAG|4RCVC|5RCR|6RMIN|aBASARM
96	23444 42323	   	195.75	ACR|3DMG|1BASARM|1BEXP|1SELL	149DMG|2MBVNT|3DUST|5RCR|6ERES|7SELL|8BEXP|aBASARM
97	51361 22224	 * 	195.51	ACR|2DMG|2BEXP|2VULN|1CDMG|1SELL	1SELL|2RCR|39BEXP|4LHND|59DMG|6MDPS|79VULN|8DMSP|9BPWR|aCDMG
98	51332 61622	 * 	195.50	ACR|3BEXP|2VULN|1ASPD|1DMG|1SELL	1SELL|2RCR|357BEXP|4CGEN|68VULN|9DMG|aASPD
99	51361 26233	 * 	195.41	ACR|2ASPD|2BEXP|1DMG|1CDMG|1SELL	1SELL|2RCR|39BEXP|4LHND|5DMG|6MDPS|7CDMG|8aASPD
100	51361 33421	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LHND|56DMG|7NUKE|8DUR|9BASARM|aFEWX
101	51361 33423	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LHND|56DMG|7NUKE|8DUR|9BASARM|aCGEN
102	51212 31662	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3CGEN|4LWND|5BEXP|68DMG|7ERES|9ZMB|aBASARM
103	51251 31622	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3CGEN|4RMIN|5ERES|6FEWX|7BEXP|89DMG|aBASARM
104	51251 33322	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3CGEN|4RMIN|5ERES|6FEWX|79DMG|8BEXP|aBASARM
105	51253 31622	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3CGEN|4RMIN|5LWND|6ERES|7BEXP|89DMG|aBASARM
106	51256 33322	   	195.30	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3CGEN|4RMIN|5FEWX|6ERES|79DMG|8BEXP|aBASARM
107	51332 11232	   	195.22	ACR|3BEXP|2DMG|1CDMG|1AAC|1SELL	1SELL|2RCR|35aBEXP|4aCGEN|6CDMG|7AAC|8FEWX|9aDMG|aBPWR
108	51322 15325	   	195.20	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LIT|5aDMG|6MLV|7DLOT|8ERES|9BASARM
109	51361 33152	   	195.20	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LHND|56DMG|7NUKE|8CGEN|9ERES|aBASARM
110	51361 33162	   	195.20	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LHND|56DMG|7NUKE|8CGEN|9TLV|aBASARM
111	23884 22524	   	195.12	ACR|1BASARM|2DMG|1ASPD|1AAC|1SELL	14DMG|2MBVNT|34LHND|4BPWR|5RCR|6AAC|7SELL|8DUR|9BASARM|aASPD
112	51353 33422	   	195.10	ACR|1BASARM|2DMG|1BEXP|1SELL	1SELL|2RCR|3BEXP|4ERES|5DUST|69DMG|7NUKE|8CGEN|aBASARM
113	23824 42441	 * 	194.23	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6ERES|7BASICY|8DUR|9ASPD|aBASARM
114	23824 42741	   	194.23	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6ERES|7BASICY|8LWND|9ASPD|aBASARM
115	23824 12241	   	194.13	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6TLV|7BASICY|8ASPD|9DUST|aBASARM
116	23824 12271	   	194.13	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6TLV|7BASICY|8ASPD|9LEGI|aBASARM
117	23824 42141	   	194.13	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6ERES|7BASICY|8DUST|9ASPD|aBASARM
118	23824 42241	   	194.13	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6ERES|7BASICY|8ASPD|9DUST|aBASARM
119	23824 42271	   	194.13	ACR|1BASARM|1ASPD|1DMG|1BASICY	1DMG|2MBVNT|3LHND|4RCR|5DLOT|6ERES|7BASICY|8ASPD|9LEGI|aBASARM
120	44132 31114	 * 	194.13	ACR|2DMG|3VULN|2BEXP	18CGEN|2RCR|368VULN|4MLV|5LIT|78DMG|8BPWR|9aBEXP
121	22113 21622	   	194.02	ACR|3DMG|3BEXP|2CDMG	189DMG|29CDMG|38AEMAG|4RCVC|5RCR|689BEXP|7MDPS|89BPWR|aBELT
122	22113 21625	   	194.02	ACR|3DMG|3BEXP|2CDMG	189DMG|29CDMG|38AEMAG|4RCVC|5RCR|689BEXP|7MDPS|89BPWR|aMLV
123	22113 21626	   	194.02	ACR|3DMG|3BEXP|2CDMG	189DMG|29CDMG|38AEMAG|4RCVC|5RCR|689BEXP|7MDPS|89BPWR|aCGEN
124	22113 21621	   	193.92	ACR|3DMG|3BEXP|2CDMG	189DMG|29CDMG|38AEMAG|4RCVC|5RCR|689BEXP|7MDPS|89BPWR|aDLOT
125	51323 53252	 * 	193.86	ACR|1BASARM|1DMG|2AAC|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6aAAC|7DMG|8BASARM|9BELT
126	51361 64221	   	193.79	ACR|2DMG|3VULN|2BEXP|1SELL	1SELL|2RCR|39BEXP|4LHND|59DMG|6MBVNT|789VULN|9BPWR|aLIT
127	51361 64223	   	193.79	ACR|2DMG|3VULN|2BEXP|1SELL	1SELL|2RCR|39BEXP|4LHND|59DMG|6MBVNT|789VULN|9BPWR|aLWND
128	51323 53226	 * 	193.76	ACR|1BASARM|1DMG|2AAC|1BEXP|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6aAAC|7DMG|8BASARM|9NUKE
129	51361 64224	   	193.69	ACR|2DMG|3VULN|2BEXP|1SELL	1SELL|2RCR|39BEXP|4LHND|59DMG|6MBVNT|789VULN|9BPWR|aMDPS
130	51132 42125	 * 	193.54	ACR|2ASPD|3VULN|2BEXP|2SELL	16SELL|2RCR|3RCVC|49BEXP|59aVULN|7MDPS|89ASPD|9BPWR
131	51312 42125	 * 	193.54	ACR|2ASPD|3VULN|2BEXP|2SELL	16SELL|2RCR|39BEXP|4RCVC|59aVULN|7MDPS|89ASPD|9BPWR
132	22644 13221	   	193.32	DCR|3ASPD|3DMG|1CDMG|1AART|1AAC	179DMG|2CDMG|3AAC|489ASPD|59CGEN|6AART|9BPWR|aRCR
133	51322 32216	 * 	193.22	ACR|3BEXP|2DMG|1ASPD|1SELL	1SELL|2RCR|37aBEXP|4LIT|5aDMG|6AIRARM|8ASPD|9aLHND|aBPWR
134	51322 32236	 * 	193.22	ACR|3BEXP|2DMG|1ASPD|1SELL	1SELL|2RCR|37aBEXP|4LIT|5aDMG|6AIRARM|8ASPD|9aLWND|aBPWR
135	51322 32266	 * 	193.22	ACR|3BEXP|2DMG|1ASPD|1SELL	1SELL|2RCR|37aBEXP|4LIT|5aDMG|6AIRARM|8ASPD|9aDUR|aBPWR
136	51322 32354	 * 	193.12	ACR|3BEXP|2ASPD|1DMG|1SELL	1SELL|2RCR|37aBEXP|4aLIT|5DMG|68AIRARM|9aASPD|aBPWR
137	51352 12232	   	193.12	ACR|3BEXP|2DMG|2CDMG|1SELL	1SELL|2RCR|35aBEXP|4ERES|6aCDMG|7CGEN|8FEWX|9aDMG|aBPWR
138	22643 13251	   	193.12	DCR|3ASPD|3DMG|1AART|1CDMG|1AAC	179DMG|2CDMG|3AAC|489ASPD|59ERES|6AART|9BPWR|aRCR
139	51351 62222	   	193.08	ACR|1BASARM|2BEXP|1AART|1SELL	1SELL|2RCR|36BEXP|4ERES|5aMLV|7VULN|8AART|9BASARM
140	51351 62223	   	193.08	ACR|1BASARM|2BEXP|1AART|1SELL	1SELL|2RCR|36BEXP|4ERES|5MLV|7VULN|8AART|9BASARM|aDUR
141	51322 32246	 * 	193.02	ACR|3BEXP|2ASPD|1DMG|1SELL	1SELL|2RCR|37aBEXP|4LIT|5DMG|6AIRARM|89ASPD
142	51361 33352	 * 	193.02	ACR|3BEXP|2DMG|1ASPD|1SELL	1SELL|2RCR|389BEXP|4LHND|56DMG|7NUKE|aASPD
143	51262 11232	   	193.01	ACR|2ASPD|2DMG|1CDMG|1AAC|1SELL	1SELL|2RCR|3aCGEN|4ERES|5aASPD|6CDMG|7AAC|8FEWX|9aDMG|aBPWR
144	51323 53216	   	192.96	ACR|1BASARM|1DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN|aFEWX
145	51353 33632	   	192.92	ACR|3BEXP|2DMG|2CDMG|1SELL	1SELL|2RCR|38aBEXP|4aERES|58DUST|68DMG|7NUKE|8aBPWR|9aCDMG
146	51323 53211	   	192.86	ACR|1BASARM|1DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN|aMDPS
147	51323 53212	   	192.86	ACR|1BASARM|1DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN|aMBVNT
148	51323 53215	   	192.86	ACR|1BASARM|1DMG|1BEXP|1AAC|1SELL	1SELL|2RCR|3BEXP|4LIT|5DUST|6AAC|7DMG|8BASARM|9VULN|aERES
149	44283 32412	   	192.69	ACR|1BASARM|2BEXP|1DMG	14CGEN|2RCR|3MBVNT|5AEMAG|6BASARM|78BEXP|9DMG|aDUR
