0	Index      	 *	Score 	Summary	Detail	
1	55332 63113	 * 	222.70	ACR|3BEXP|2ASPD|3VULN|1AART|1CDMG	169VULN|2CDMG|39ASPD|4RCR|579BEXP|8BELT|9BPWR|aAART
30	32436 11333	   	206.46	ACR|3ASPD|3DMG|1CDMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aERES
31	35136 11324	   	206.46	ACR|3ASPD|3DMG|1BEXP	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aBEXP
32	35136 11333	   	206.46	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aERES
33	35636 11333	   	206.46	ACR|3ASPD|3DMG|1CDMG	178ASPD|2RCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9CDMG|aERES
34	32436 51313	   	206.26	ACR|3ASPD|3DMG|1BEXP	178ASPD|23DUR|4RCR|578DMG|678ERES|78BPWR|9FEWX|aBEXP
35	32436 51332	   	206.26	ACR|3ASPD|3DMG|1BEXP	178ASPD|239DUR|4RCR|578DMG|678ERES|78BPWR|aBEXP
36	35136 51313	   	206.26	ACR|3ASPD|3DMG|1BEXP	178ASPD|2RCVC|3DUR|4RCR|578DMG|678ERES|78BPWR|9FEWX|aBEXP
37	51336 14123	   	206.09	ACR|2DMG|3VULN|2BEXP|1CDMG|1AAC	13aVULN|2AAC|4RCR|5aDMG|67CGEN|8CDMG|9aBEXP|aBPWR
38	51336 33123	   	206.09	ACR|2DMG|3VULN|2BEXP|1CDMG|1AAC	13aVULN|2AAC|4RCR|5aDMG|6DMSP|7CGEN|8CDMG|9aBEXP|aBPWR
39	51336 21122	   	205.99	ACR|2DMG|3VULN|2BEXP|1CDMG|1AAC	137VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|9aBEXP
40	55334 22131	 * 	205.96	ACR|3ASPD|3CDMG|1DMG|1BEXP	1VULN|256CDMG|356ASPD|4RCR|56BPWR|7ERES|8BEXP|9LWND|aDMG
41	55334 23112	   	205.96	ACR|3ASPD|3CDMG|1DMG|1BEXP	1VULN|256CDMG|356ASPD|4RCR|56BPWR|7DMSP|8BEXP|9DUST|aDMG
42	55333 33163	 * 	205.82	ACR|4VULN|2BEXP|2CDMG|1ASPD|1AAC	189aVULN|2aCDMG|3ASPD|4RCR|5AAC|6CGEN|7aBEXP|aBPWR
43	64116 12221	   	205.82	ACR|2ASPD|2BEXP|2VULN|1DMG|1AART	1aBEXP|2LSRREG|3RMIN|4RCR|5aVULN|6LHND|7AART|8DMG|9aASPD|aBPWR
44	55333 23163	   	205.72	ACR|4VULN|2BEXP|1ASPD|2CDMG|1AAC	189aVULN|2aCDMG|3ASPD|4RCR|5AAC|6AME|7aBEXP|aBPWR
45	55332 63331	   	205.62	ACR|2ASPD|2BEXP|2VULN|1DMG|1CDMG	16VULN|2CDMG|38ASPD|4RCR|57BEXP|9DMG|aNUKE
46	64311 33214	 * 	205.61	ACR|1BASARM|2ASPD|1BASICY|1BEXP	1BEXP|2LSRREG|35ASPD|4RCR|6LWND|7RCVC|8BASICY|9LHND|aBASARM
47	64311 33234	   	205.61	ACR|1BASARM|2ASPD|1BASICY|1BEXP	1BEXP|2LSRREG|35ASPD|4RCR|6LWND|7RCVC|8BASICY|9DUR|aBASARM
48	55332 63333	   	205.47	ACR|2ASPD|2BEXP|2VULN|1DMG|1CDMG|1SELL	16VULN|2CDMG|38ASPD|4RCR|57BEXP|9DMG|aSELL
49	32432 32363	 * 	205.44	ACR|3ASPD|2DMG|2BEXP	16aASPD|235DUR|4RCR|7ERES|8aBEXP|9aDMG|aBPWR
50	55334 23323	 * 	205.34	ACR|3ASPD|3CDMG|2VULN|1DMG	19VULN|256CDMG|356ASPD|4RCR|569BPWR|7DMSP|89ERES|aDMG
51	51332 21164	 * 	202.86	ACR|4VULN|2ASPD|2CDMG|2AAC	137aVULN|26AAC|4RCR|57DUR|7aBPWR|8aCDMG|9aASPD
52	64313 33214	 * 	202.86	ACR|1BASARM|2BEXP|1ASPD|1BASICY	15BEXP|2LSRREG|3ASPD|4RCR|6LWND|7RCVC|8BASICY|9LHND|aBASARM
53	64313 33234	   	202.86	ACR|1BASARM|2BEXP|1ASPD|1BASICY	15BEXP|2LSRREG|3ASPD|4RCR|6LWND|7RCVC|8BASICY|9DUR|aBASARM
54	64111 31248	 * 	202.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	19BEXP|2LSRREG|3RMIN|4RCR|5ASPD|6DMG|7MBVNT|8LWND|aBASARM
55	64312 33214	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1BASICY	16BEXP|2LSRREG|3ASPD|4RCR|5DUST|7RCVC|8BASICY|9LHND|aBASARM
56	64312 33234	   	202.76	ACR|1BASARM|2BEXP|1ASPD|1BASICY	16BEXP|2LSRREG|3ASPD|4RCR|5DUST|7RCVC|8BASICY|9DUR|aBASARM
57	32433 41125	 * 	201.99	ACR|1BASARM|2ASPD|2AAC|1BEXP	17ASPD|237DUR|4RCR|57MLV|6aAAC|7BPWR|8BEXP|9BASARM
58	64111 43231	   	201.57	ACR|1BASARM|1ASPD|1DMG|1AART|1BEXP	1BEXP|2LSRREG|3RMIN|4RCR|5ASPD|6SPLREG|7FEWX|8BASARM|9AART|aDMG
59	63316 32611	 * 	201.37	3BASARM|3ASPD|2BEXP|1DMG|1AART|1AAC	18BEXP|2AART|3AAC|468BASARM|568ASPD|68BPWR|7RCVC|9FEWX|aDMG
60	63316 35111	   	201.37	3BASARM|3ASPD|2BEXP|1DMG|1AART|1AAC	17BEXP|2AART|3AAC|467BASARM|567ASPD|67BPWR|8RCVC|9FEWX|aDMG
61	63316 35311	   	201.37	3BASARM|3ASPD|2BEXP|1DMG|1AART|1AAC	17BEXP|2AART|3AAC|467BASARM|567ASPD|67BPWR|8DMSP|9FEWX|aDMG
62	35136 11361	   	201.22	ACR|3ASPD|3DMG|1AAC	178ASPD|2RCVC|39DUR|4RCR|578DMG|678CGEN|78BPWR|aAAC
63	55333 42313	   	199.71	ACR|2DMG|1ASPD|1AART|1BEXP|1CDMG|1AAC	1VULN|2CDMG|3ASPD|4RCR|5AAC|6aDMG|7ERES|8AART|9BEXP
64	51336 22125	   	199.19	ACR|2DMG|2VULN|1ASPD|1BEXP|1CDMG|1AAC	13VULN|2AAC|4RCR|57DMG|6RMIN|8CDMG|9BEXP|aASPD
65	51336 22162	   	199.19	ACR|2DMG|2VULN|1ASPD|1CDMG|1AART|1AAC	13VULN|2AAC|4RCR|57DMG|6RMIN|8CDMG|9ASPD|aAART
66	55333 42332	   	199.09	ACR|2DMG|2VULN|1ASPD|1AART|1CDMG|1AAC	1aVULN|2CDMG|3ASPD|4RCR|5AAC|69DMG|7ERES|8AART
67	55334 23121	   	199.02	ACR|3ASPD|3CDMG|2VULN|1BEXP	19VULN|256CDMG|356ASPD|4RCR|56BPWR|7DMSP|8BEXP|aLWND
68	55334 23122	   	199.02	ACR|3ASPD|3CDMG|2VULN|1BEXP	19VULN|256CDMG|356ASPD|4RCR|56BPWR|7DMSP|8BEXP|aRCVC
69	55334 23133	   	199.02	ACR|3ASPD|3CDMG|2VULN|1BEXP	1aVULN|256CDMG|356ASPD|4RCR|56BPWR|7DMSP|8BEXP|9LIT
70	51336 21115	   	198.99	ACR|2DMG|3VULN|2AAC|1BEXP|1CDMG	137VULN|29AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|aBEXP
71	55334 22132	   	198.92	ACR|3ASPD|3CDMG|2VULN|1BEXP	1aVULN|256CDMG|356ASPD|4RCR|56BPWR|7ERES|8BEXP|9LWND
72	55334 23123	   	198.92	ACR|3ASPD|3CDMG|2VULN|1BEXP	19VULN|256CDMG|356ASPD|4RCR|56BPWR|7DMSP|8BEXP|aMDPS
73	51336 21135	   	197.56	ACR|2DMG|3VULN|1ASPD|1CDMG|1AAC	137VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|9LWND|aASPD
74	51336 13324	   	197.46	ACR|2DMG|3VULN|1ASPD|1AART|1AAC	13aVULN|2AAC|4RCR|59DMG|6CGEN|7AART|8ASPD
75	51336 21161	   	197.46	ACR|2DMG|3VULN|1ASPD|1CDMG|1AAC	137VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|9ASPD|aNUKE
76	51336 21163	   	197.32	ACR|2DMG|3VULN|1ASPD|1CDMG|1AAC|1SELL	137VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8CDMG|9ASPD|aSELL
77	55334 22221	 * 	197.10	ACR|3ASPD|3VULN|3CDMG	19aVULN|256CDMG|356ASPD|4RCR|569BPWR|79ERES|89AEMAG
78	32436 11112	   	197.01	ACR|2ASPD|2DMG|1CDMG|1AART|1AAC	17ASPD|23DUR|4RCR|57DMG|67CGEN|7BPWR|8CDMG|9AAC|aAART
79	35136 11112	   	197.01	ACR|2ASPD|2DMG|1CDMG|1AART|1AAC	17ASPD|2RCVC|3DUR|4RCR|57DMG|67CGEN|7BPWR|8CDMG|9AAC|aAART
80	35636 11112	   	197.01	ACR|2ASPD|2DMG|1CDMG|1AART|1AAC	17ASPD|2RCVC|3LWND|4RCR|57DMG|67CGEN|7BPWR|8CDMG|9AAC|aAART
81	36532 31134	 * 	196.92	ACR|3ASPD|2DMG|2CDMG	17aASPD|23AEFBLL|4RCR|57DUR|6RCVC|7aBPWR|8aCDMG|9aDMG
82	36533 21134	   	196.92	ACR|3ASPD|2DMG|2CDMG	17aASPD|23AEFBLL|4RCR|5RCVC|67DUR|7aBPWR|8aCDMG|9aDMG
83	32436 51112	   	196.81	ACR|2ASPD|2DMG|1AART|1CDMG|1AAC	17ASPD|23DUR|4RCR|57DMG|67ERES|7BPWR|8CDMG|9AAC|aAART
84	35136 51112	   	196.81	ACR|2ASPD|2DMG|1AART|1CDMG|1AAC	17ASPD|2RCVC|3DUR|4RCR|57DMG|67ERES|7BPWR|8CDMG|9AAC|aAART
85	64111 23214	   	196.33	ACR|1BASARM|1ASPD|1BASICY|1BEXP|1AAC	1BEXP|2LSRREG|3RMIN|4RCR|5ASPD|6AAC|7RCVC|8BASICY|9LHND|aBASARM
86	64111 23234	   	196.33	ACR|1BASARM|1ASPD|1BASICY|1BEXP|1AAC	1BEXP|2LSRREG|3RMIN|4RCR|5ASPD|6AAC|7RCVC|8BASICY|9DUR|aBASARM
87	36133 41322	 * 	196.15	ACR|3ASPD|1BASARM|1AAC	178ASPD|2AEFBLL|378DUR|4RCR|578MLV|6AAC|78BPWR|9AME|aBASARM
88	55334 33231	   	195.57	ACR|2ASPD|3VULN|1DMG|2CDMG	168VULN|25CDMG|35ASPD|4RCR|5BPWR|7CGEN|9LWND|aDMG
89	55333 43111	   	195.25	ACR|2VULN|1ASPD|1DMG|1BEXP|1AART|1CDMG|1AAC	18VULN|2CDMG|3ASPD|4RCR|5AAC|6DMG|7BEXP|9LIT|aAART
90	55333 42312	   	195.15	ACR|2VULN|1ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1aVULN|2CDMG|3ASPD|4RCR|5AAC|6DMG|7ERES|8AART|9BEXP
91	32436 11142	 * 	195.12	ACR|2ASPD|2DMG|1BASICY|1CDMG	17ASPD|23DUR|4RCR|57DMG|679CGEN|7BPWR|8CDMG|aBASICY
92	35136 11142	   	195.12	ACR|2ASPD|2DMG|1BASICY|1CDMG	17ASPD|2RCVC|3DUR|4RCR|57DMG|679CGEN|7BPWR|8CDMG|aBASICY
93	51332 31164	   	195.02	ACR|4VULN|2ASPD|2CDMG|1AAC	137aVULN|2AAC|4RCR|57DUR|6DMSP|7aBPWR|8aCDMG|9aASPD
94	51333 31164	   	195.02	ACR|4VULN|2ASPD|2CDMG|1AAC	137aVULN|2AAC|4RCR|5RCVC|67DUR|7aBPWR|8aCDMG|9aASPD
95	51336 21241	 * 	194.92	ACR|4VULN|2DMG|1ASPD|1AAC	1379VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8FEWX|aASPD
96	51336 21341	   	194.92	ACR|4VULN|2DMG|1ASPD|1AAC	1379VULN|2AAC|4RCR|57DMG|6RMIN|7BPWR|8LWND|aASPD
97	55332 63221	 * 	194.44	ACR|2BEXP|2CDMG|1DMG|1ASPD|2VULN	16VULN|29CDMG|3ASPD|4RCR|57BEXP|8CGEN|aDMG
98	32436 21214	   	194.43	ACR|1BASARM|1ASPD|1DMG|1BASICY	1ASPD|23DUR|4RCR|5DMG|6RMIN|7FLTFST|8BASICY|9LHND|aBASARM
99	35136 21214	   	194.43	ACR|1BASARM|1ASPD|1DMG|1BASICY	1ASPD|2RCVC|3DUR|4RCR|5DMG|6RMIN|7FLTFST|8BASICY|9LHND|aBASARM
100	36136 21214	   	194.33	ACR|1BASARM|1ASPD|1DMG|1BASICY	1ASPD|2AEFBLL|3DUR|4RCR|5DMG|6RMIN|7FLTFST|8BASICY|9LHND|aBASARM
101	32433 41121	   	194.15	ACR|1BASARM|2ASPD|1BEXP|1AAC	17ASPD|237DUR|4RCR|57aMLV|6AAC|7BPWR|8BEXP|9BASARM
102	32433 41124	   	194.15	ACR|1BASARM|2ASPD|1BEXP|1AAC	17ASPD|237DUR|4RCR|57MLV|6AAC|7BPWR|8BEXP|9BASARM|aFEWX
103	32433 41123	   	194.05	ACR|1BASARM|2ASPD|1BEXP|1AAC	17ASPD|237DUR|4RCR|57MLV|6AAC|7BPWR|8BEXP|9BASARM|aERES
104	55332 63312	   	193.96	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	16VULN|2CDMG|38ASPD|4RCR|57BEXP|9AAC|aZMB
105	55332 63313	   	193.96	ACR|2ASPD|2BEXP|2VULN|1CDMG|1AAC	16VULN|2CDMG|38ASPD|4RCR|57BEXP|9AAC|aCGEN
106	51336 22122	   	193.96	ACR|2DMG|2BEXP|2VULN|1CDMG|1AAC	13VULN|2AAC|4RCR|57DMG|6RMIN|8CDMG|9aBEXP
107	55332 62312	   	193.55	ACR|3VULN|2BEXP|1ASPD|1AART|1CDMG	16aVULN|2CDMG|3ASPD|4RCR|59BEXP|7ERES|8AART
108	55334 22222	   	193.48	ACR|3ASPD|3CDMG|2VULN|1AAC	19VULN|256CDMG|356ASPD|4RCR|569BPWR|79ERES|89AEMAG|aAAC
109	55334 21322	   	193.43	ACR|3ASPD|3CDMG|2VULN|1AAC|1SELL	19VULN|256CDMG|356ASPD|4RCR|56BPWR|7SELL|8RCVC|aAAC
110	51336 21141	 * 	193.15	ACR|3DMG|3VULN|1CDMG|1AAC	137VULN|2AAC|4RCR|57aDMG|6RMIN|7BPWR|8CDMG|9CGEN
111	35633 51133	   	193.08	ACR|3ASPD|2VULN|1DMG|1CDMG	17aASPD|25RCVC|37LWND|4RCR|67VULN|7BPWR|8CDMG|9DMG
112	36633 51133	   	192.98	ACR|3ASPD|2VULN|1DMG|1CDMG	17aASPD|2AEFBLL|37LWND|4RCR|5RCVC|67VULN|7BPWR|8CDMG|9DMG
113	32436 11311	   	192.91	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aLHND
114	32436 11352	   	192.91	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9FEWX|aLWND
115	32436 11362	   	192.91	ACR|3ASPD|3DMG	178ASPD|239DUR|4RCR|578DMG|678CGEN|78BPWR|aZMB
116	35136 11311	   	192.91	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aLHND
117	35136 11352	   	192.91	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9FEWX|aLWND
118	35136 11362	   	192.91	ACR|3ASPD|3DMG	178ASPD|2RCVC|39DUR|4RCR|578DMG|678CGEN|78BPWR|aFEWX
119	35636 11311	   	192.91	ACR|3ASPD|3DMG	178ASPD|2RCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aLHND
120	32436 11313	   	192.81	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aERES
121	32436 11314	   	192.81	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aAME
122	32436 11321	   	192.81	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aLWND
123	32436 11325	   	192.81	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aZMB
124	32436 11351	   	192.81	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9FEWX|aERES
125	32436 11353	   	192.81	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9FEWX|aAEFBLL
126	32436 11361	   	192.81	ACR|3ASPD|3DMG	178ASPD|239DUR|4RCR|578DMG|678CGEN|78BPWR|aAIRARM
127	32436 11363	   	192.81	ACR|3ASPD|3DMG	178ASPD|239DUR|4RCR|578DMG|678CGEN|78BPWR|aSNITOX
128	35136 11313	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aERES
129	35136 11314	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aAME
130	35136 11321	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aLWND
131	35136 11325	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aZMB
132	35136 11351	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9FEWX|aERES
133	35136 11353	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9FEWX|aAEFBLL
134	35136 11363	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|39DUR|4RCR|578DMG|678CGEN|78BPWR|aAEFBLL
135	35636 11313	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9RPLT|aERES
136	35636 11321	   	192.81	ACR|3ASPD|3DMG	178ASPD|2RCVC|3aLWND|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX
137	32436 11322	   	192.71	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aMDPS
138	32436 11323	   	192.71	ACR|3ASPD|3DMG	178ASPD|23DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aAEFBLL
139	35136 11322	   	192.71	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aMDPS
140	35136 11323	   	192.71	ACR|3ASPD|3DMG	178ASPD|2RCVC|3DUR|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aAEFBLL
141	35636 11322	   	192.71	ACR|3ASPD|3DMG	178ASPD|2RCVC|3LWND|4RCR|578DMG|678CGEN|78BPWR|9MSLTOX|aDUST
