0	Index      	 *	Score 	Summary	Detail	
1	22312 15521	 * 	285.24	橙橙2易伤1等级1导弹对毒1时间	1a易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级
18	22312 15121	   	267.43	橙橙3易伤1导弹对毒	189易伤24敌人爆炸3导弹对毒5毒液对毒67核a狙击对毒
19	22312 15123	   	267.43	橙橙3易伤1导弹对毒	189易伤24敌人爆炸3导弹对毒5毒液对毒67核a挖青
20	22312 15124	   	267.43	橙橙3易伤1导弹对毒	189易伤24敌人爆炸3导弹对毒5毒液对毒67核a赏金塔
21	22312 15126	   	267.43	橙橙3易伤1导弹对毒	189易伤24敌人爆炸3导弹对毒5毒液对毒67核a暴雪减费
22	25362 15121	   	267.43	橙橙3易伤1导弹对毒	189易伤24基地爆炸3导弹对毒5毒液对毒67核a狙击对毒
23	25362 15123	   	267.43	橙橙3易伤1导弹对毒	189易伤24基地爆炸3导弹对毒5毒液对毒67核a挖青
24	26622 15322	   	266.58	橙橙3易伤1矿等	19a易伤2矿等3防空对头目4掉矿5多重对愈67核8随机技能
25	22312 15531	   	265.98	橙橙2易伤1导弹对毒1时间	1a易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9攻速
26	23415 12235	 * 	265.58	橙橙2易伤2等级	13易伤2平台45等级6a核7暴雪减费8最后敌人9双倍矿
27	22312 15143	 * 	265.45	橙橙2易伤1伤害1导弹对毒	18易伤249敌人爆炸3导弹对毒5毒液对毒67核a伤害
28	36122 15162	   	264.73	橙橙3易伤1时间	1a技能点2随机矿3a机枪对头目4时间5寒冰对冰67核89a易伤a序列升级
29	22266 23315	 * 	262.75	橙橙1易伤1等级1伤害1暴击	1易伤2敌人爆炸3低血量敌人4随机矿5伤害6等级7a核8加农对壮9暴击
30	36122 15163	   	262.65	橙橙2易伤1伤害1时间	1技能点2随机矿3机枪对头目4时间5寒冰对冰67核89易伤a伤害
31	23543 12846	   	262.65	橙橙1易伤1等级1伤害1全技能	1易伤2平台3加一4挖尘5敌人爆炸6伤害7等级8全技能9a核
32	22312 14351	 * 	259.97	橙橙2易伤2导弹对毒	1a易伤24敌人爆炸3a导弹对毒5毒液对毒69核7雷电8a挖尘a序列升级
33	22312 15561	   	259.04	橙橙2易伤1导弹对毒1时间	19易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间a策反
34	22312 15144	   	259.04	橙橙2易伤1导弹对毒1全技能	18易伤249敌人爆炸3导弹对毒5毒液对毒67核a全技能
35	22312 15154	   	259.04	橙橙2易伤1导弹对毒1时间	18易伤24敌人爆炸3导弹对毒5毒液对毒67核9最后敌人a时间
36	22312 15511	   	259.04	橙橙2易伤1导弹对毒1时间	1a易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9金币生成
37	22312 15523	   	259.04	橙橙1易伤1等级1导弹对毒1时间	1易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级a立即金币
38	22312 15526	   	259.04	橙橙1易伤1等级1导弹对毒1时间	1易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级a雷电
39	22312 15562	   	258.94	橙橙2易伤1导弹对毒1时间	19易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间a激光对愈
40	22312 15563	   	258.94	橙橙2易伤1导弹对毒1时间	19易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间a掉矿
41	22312 15522	   	258.94	橙橙1易伤1等级1导弹对毒1时间	1易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级a雷电减费
42	22312 15524	   	258.94	橙橙1易伤1等级1导弹对毒1时间1挖怪	1易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级a挖怪
43	22312 15525	   	258.94	橙橙1易伤1等级1导弹对毒1时间	1易伤24敌人爆炸3导弹对毒5毒液对毒67核8时间9等级a掉矿
44	26325 51343	   	258.29	橙橙2易伤1矿等1时间	15易伤2矿等3雷电4随机矿6金币生成7加一89核a时间
45	31222 15126	   	258.09	橙橙1易伤1等级1矿等1时间	1技能点2爆破对冰3掉矿4时间5毒液对毒67核8易伤9等级a矿等
46	32122 15126	   	258.09	橙橙1易伤1等级1矿等1时间	1技能点2掉矿3电塔对黄4时间5毒液对毒67核8易伤9等级a矿等
47	32512 15126	   	258.09	橙橙1易伤1等级1矿等1时间	1技能点2掉矿3时间4机枪对头目5毒液对毒67核8易伤9等级a矿等
48	62523 51312	 * 	257.91	紫橙3易伤1伤害1时间	1a核2伤害3攻速468易伤5赏金邻近7雷电9时间
49	31322 15662	   	256.24	橙橙1易伤1等级1时间1全技能	1技能点2爆破对冰3金币生成4时间5毒液对毒67核8全技能9易伤a等级
50	31222 15662	   	256.14	橙橙1易伤1等级1时间1全技能	1技能点2爆破对冰3掉矿4时间5毒液对毒67核8全技能9易伤a等级
51	32122 15662	   	256.14	橙橙1易伤1等级1时间1全技能	1技能点2掉矿3电塔对黄4时间5毒液对毒67核8全技能9易伤a等级
52	23537 22135	   	255.62	橙橙2等级1易伤1导弹对毒	1易伤2平台3加一4随机技能58等级6导弹对毒7额外掉落9a核
53	23412 16235	   	255.34	橙橙2易伤1等级	13易伤2平台4等级57立即金币6a核8最后敌人9双倍矿
