0	Index      	 *	Score 	Summary	Detail	
1	12245 12611	 * 	284.04	橙橙2伤害1易伤1矿等	1随机矿2矿等3技能47伤害5赏金塔6易伤8a核9时间
18	43321 31621	   	261.39	橙橙1易伤1矿等1攻速1全技能	1等级2立即金币3额外掉落4全技能5雷电6矿等7攻速8a核9易伤
19	63321 31621	   	261.39	橙橙1易伤1矿等1攻速1全技能	1金币生成2立即金币3额外掉落4全技能5雷电6矿等7攻速8a核9易伤
20	12523 42134	 * 	260.99	橙2易伤3伤害3矿等	17随机矿269矿等389伤害4赏金邻近59易伤9序列升级a核
21	51431 31133	   	260.25	橙3易伤3伤害1暴击1全技能	179伤害2电塔对黄3全技能4双倍秒伤579挖尘679易伤79序列升级8核a暴击
22	12223 11531	   	258.15	橙橙1易伤1伤害1矿等	1随机矿2矿等3技能4赏金邻近5易伤67基地爆炸8a核9伤害
23	12223 13531	   	258.15	橙橙1易伤1伤害1矿等	1随机矿2矿等3技能4赏金邻近5易伤6基地爆炸7立即金币8a核9伤害
24	12224 61531	   	258.15	橙橙1易伤1伤害1矿等	1随机矿2矿等3技能4赏金邻近57基地爆炸6易伤8a核9伤害
25	12224 63531	   	258.15	橙橙1易伤1伤害1矿等	1随机矿2矿等3技能4赏金邻近5基地爆炸6易伤7立即金币8a核9伤害
26	12315 31531	   	258.15	橙橙1易伤1伤害1矿等	1随机矿2矿等37基地爆炸4易伤5赏金塔6技能8a核9伤害
27	12315 33531	   	258.15	橙橙1易伤1伤害1矿等	1随机矿2矿等3基地爆炸4易伤5赏金塔6技能7立即金币8a核9伤害
28	12223 25531	   	258.05	橙橙1易伤1伤害1矿等	16随机矿2矿等3技能4赏金邻近5易伤7挖尘8a核9伤害
29	12245 11511	   	258.05	橙橙1易伤1伤害1矿等	1随机矿2矿等3技能4伤害5赏金塔6易伤7等级8a核9掉矿
30	25623 22531	   	258.05	橙橙1易伤1伤害1矿等	1敌人爆炸2双倍秒伤3技能4低血量敌人5易伤6随机矿7矿等8a核9伤害
31	21443 23412	   	257.99	橙橙2易伤1平台	1敌人爆炸2额外掉落36易伤4导弹对绿5平台7挖尘8a核9双倍秒伤
32	52233 34511	   	257.60	橙橙1易伤1伤害1矿等1策反	1伤害2赏金塔34挖尘5易伤6矿等7策反8a核9掉矿
33	51431 31135	   	254.91	橙3易伤3伤害1全技能	179伤害2电塔对黄3全技能4双倍秒伤579挖尘679易伤79序列升级8核a时间
34	51235 13123	 * 	254.29	橙3易伤2伤害2矿等1卖塔	1a伤害25a电塔对黄3卖塔457易伤5a序列升级6低血量敌人8a矿等9核
35	51235 23123	 * 	254.29	橙3易伤2伤害2矿等1卖塔	1a伤害25a电塔对黄3卖塔457易伤5a序列升级6基地爆炸8a矿等9核
36	51235 62123	 * 	254.29	橙3易伤2伤害2矿等1卖塔	1a伤害25a电塔对黄3卖塔456易伤5a序列升级7基地爆炸8a矿等9核
37	13525 11531	   	254.26	橙橙1易伤1伤害1攻速	1随机矿24基地爆炸3攻速5赏金塔6易伤7等级8a核9伤害
38	13535 11531	   	254.26	橙橙1易伤1伤害1攻速	1随机矿2基地爆炸3攻速4双倍矿5赏金塔6易伤7等级8a核9伤害
39	51235 43123	 * 	254.19	橙3易伤2伤害2矿等1卖塔	1a伤害25a电塔对黄3卖塔457易伤5a序列升级6挖尘8a矿等9核
40	13525 12511	   	254.16	橙橙1易伤1伤害1攻速	1随机矿24基地爆炸3攻速5赏金塔6易伤7伤害8a核9掉矿
41	13535 12511	   	254.16	橙橙1易伤1伤害1攻速	1随机矿2基地爆炸3攻速4双倍矿5赏金塔6易伤7伤害8a核9掉矿
42	43235 11531	   	254.16	橙橙1易伤1伤害1攻速	1等级2立即金币3攻速4敌人爆炸5赏金塔6易伤7技能点8a核9伤害
43	43235 12511	   	254.16	橙橙1易伤1伤害1攻速	1等级2立即金币3攻速4敌人爆炸5赏金塔6易伤7伤害8a核9掉矿
44	43225 11531	   	254.06	橙橙1易伤1伤害1攻速	1等级2立即金币3攻速4挖尘5赏金塔6易伤7技能点8a核9伤害
45	43225 12511	   	254.06	橙橙1易伤1伤害1攻速	1等级2立即金币3攻速4挖尘5赏金塔6易伤7伤害8a核9掉矿
