0	Index      	 *	Score 	Summary	Detail	
1	42341 13222	 * 	210.91	DCR|3VULN|2DMG|1MDPS|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aMDPS
15	64313 15222	   	204.21	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	168VULN|2MDPS|3DUR|4CDMG|5LWND|7RCR|9DMG|aASPD
16	13143 26233	 * 	204.10	DCR|3VULN|1MDPS|2CDMG|1DMG|1NUKE	18CDMG|2LIT|3NUKE|478VULN|58ERES|6RCR|8BPWR|9DMG|aMDPS
17	21431 23541	 * 	204.02	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG|1ZMB	1MLV|2TLV|34ASPD|5DMG|6CDMG|7VULN|8RCR|9AART|aZMB
18	22115 22641	 * 	203.28	DCR|3DMG|3ASPD|3CDMG	1MLV|289CDMG|3LHND|4BEXP|589DMG|6LWND|789ASPD|89BPWR|aRCR
19	22125 22641	   	203.28	DCR|3DMG|3ASPD|3CDMG	1MLV|289CDMG|3LHND|4FEWX|589DMG|6LWND|789ASPD|89BPWR|aRCR
20	13143 26231	 * 	202.86	DCR|3VULN|2DMG|2CDMG|1NUKE	18CDMG|2LIT|3NUKE|478VULN|58ERES|6RCR|8BPWR|9aDMG
21	13522 53221	 * 	202.85	ACR|3VULN|3DMG|2CDMG|1ZMB	18CDMG|2LIT|3RCR|478VULN|58aDMG|6RMIN|8BPWR|9ZMB
22	11632 52212	 * 	202.61	DCR|3ASPD|1VULN|1AART|1DMG|1CDMG|1AAC	1CDMG|2AAC|3RCVC|457ASPD|6DMG|8VULN|9AART|aRCR
23	42354 23233	 * 	202.56	DCR|4VULN|2ASPD|3DUR	123DUR|28BPWR|48ASPD|5689VULN|78FEWX|aRCR
24	11332 52212	 * 	202.51	DCR|3ASPD|2AAC|1VULN|1AART|1DMG|1CDMG	1CDMG|23AAC|457ASPD|6DMG|8VULN|9AART|aRCR
25	26144 32222	 * 	202.13	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	18MLV|2LIT|38DMG|4CDMG|5CGEN|6RCR|78ASPD|8BPWR|9ZMB|aVULN
26	41342 33323	 * 	201.83	DCR|3VULN|2DMG|1AART|2DUR|1AAC	17DUR|2FEWX|37DMG|4AART|567VULN|7BPWR|8AAC|9LWND|aRCR
27	41342 33333	   	201.83	DCR|3VULN|2DMG|1AART|2DUR|1AAC	17DUR|2FEWX|37DMG|4AART|567VULN|7BPWR|8AAC|9BEXP|aRCR
28	61343 33323	   	201.83	DCR|3VULN|2DMG|1AART|2DUR|1AAC	167VULN|2FEWX|37DMG|4AART|57DUR|7BPWR|8AAC|9LWND|aRCR
29	61343 33333	   	201.83	DCR|3VULN|2DMG|1AART|2DUR|1AAC	167VULN|2FEWX|37DMG|4AART|57DUR|7BPWR|8AAC|9BEXP|aRCR
30	41342 33313	   	201.73	DCR|3VULN|2DMG|1AART|2DUR|1AAC	17DUR|2FEWX|37DMG|4AART|567VULN|7BPWR|8AAC|9LEGI|aRCR
31	61343 33313	   	201.73	DCR|3VULN|2DMG|1AART|2DUR|1AAC	167VULN|2FEWX|37DMG|4AART|57DUR|7BPWR|8AAC|9LEGI|aRCR
32	34313 15226	 * 	200.00	DCR|4VULN|1MDPS|1DMG|1CDMG|1DUR	1BEXP|2MDPS|3DUR|4CDMG|568aVULN|7RCR|9DMG
33	25411 25312	   	199.50	DCR|3DMG|2VULN|1ASPD|1ZMB	1MLV|2ZMB|3ASPD|4DMSP|589DMG|67VULN|aRCR
34	63134 25312	   	199.30	DCR|3DMG|2VULN|1ASPD|1ZMB	17VULN|26TLV|3ASPD|489DMG|5ZMB|aRCR
35	13522 53231	   	199.29	ACR|3VULN|3DMG|2CDMG|1AAC	18CDMG|2LIT|3RCR|478VULN|589DMG|6RMIN|8BPWR|aAAC
36	41442 33323	 * 	198.47	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	17DUR|2FEWX|37ASPD|4AART|567VULN|7BPWR|8AAC|9LWND|aRCR
37	41442 33333	   	198.47	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	17DUR|2FEWX|37ASPD|4AART|567VULN|7BPWR|8AAC|9BEXP|aRCR
38	61443 33323	   	198.47	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	167VULN|2FEWX|37ASPD|4AART|57DUR|7BPWR|8AAC|9LWND|aRCR
39	61443 33333	   	198.47	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	167VULN|2FEWX|37ASPD|4AART|57DUR|7BPWR|8AAC|9BEXP|aRCR
40	41442 33313	   	198.37	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	17DUR|2FEWX|37ASPD|4AART|567VULN|7BPWR|8AAC|9LEGI|aRCR
41	61443 33313	   	198.37	DCR|3VULN|2ASPD|1AART|2DUR|1AAC	167VULN|2FEWX|37ASPD|4AART|57DUR|7BPWR|8AAC|9LEGI|aRCR
42	61311 43235	 * 	198.01	DCR|4VULN|1ASPD|1DMG|1DUR	1569VULN|2FEWX|3DMG|45BEXP|5BPWR|7ASPD|8DUR|aRCR
43	22324 22165	 * 	197.62	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1MLV|2CDMG|3AAC|4ASPD|57aVULN|6BELT|8RCR|9AART
44	63131 15241	   	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2DUR|1AAC	1aVULN|2aTLV|3ASPD|4DMG|5AAC|6aDUR|7BELT|8RCR|9AART|aBPWR
45	41321 25353	   	196.88	DCR|2VULN|2DMG|1AART|2DUR|1AAC	1aDUR|2FEWX|3aDMG|4LWND|5MULARM|6aVULN|7RCR|8AAC|9AART|aBPWR
46	13524 31532	 * 	195.93	ACR|4VULN|3CDMG|1ASPD|2DUR	179CDMG|27LIT|3RCR|4679VULN|5RPLT|79BPWR|89DUR|aASPD
47	64113 15222	   	195.91	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	168VULN|2MDPS|3LHND|4CDMG|5LWND|7RCR|9DMG|aASPD
48	61611 32316	 * 	195.86	DCR|2VULN|2DMG|1ASPD|1CDMG	15VULN|28FEWX|3LHND|45DMG|5BPWR|6BEXP|7RCR|9CDMG|aASPD
49	13632 25353	 * 	195.68	DCR|2VULN|2DMG|1AART|1CDMG	1CDMG|2aLIT|3CGEN|4FEWX|5AART|6aDMG|7MLV|8aVULN|9RCR|aBPWR
50	22443 11263	 * 	195.39	DCR|3VULN|1AART|2CDMG|1DUR	16MLV|2aCDMG|3DUR|458VULN|7RCR|9AART
51	22443 11343	   	195.39	DCR|3VULN|1AART|2CDMG|1DUR	16MLV|2aCDMG|3DUR|459VULN|7RCR|8AART
52	13143 26331	   	195.33	DCR|3VULN|2DMG|1NUKE|1CDMG	1CDMG|2LIT|3NUKE|478VULN|5ERES|6RCR|9aDMG
53	52333 42342	 * 	194.93	DCR|2DMG|1VULN|1AART|2CDMG|1DUR	1RMIN|29AME|3DUR|49DMG|5DUST|6VULN|7RCR|89CDMG|9BPWR|aAART
54	34313 15262	   	194.48	DCR|3VULN|1MDPS|1ASPD|1CDMG|1ZMB|1DUR	1BEXP|2MDPS|3DUR|4CDMG|568VULN|7RCR|9ZMB|aASPD
55	42342 22523	 * 	194.36	DCR|3VULN|1ASPD|1DMG|3DUR	123DUR|2BPWR|46aVULN|5CGEN|7DMG|8ASPD|9RCR
56	42324 22523	   	194.26	DCR|3VULN|1ASPD|1DMG|3DUR	123DUR|2BPWR|4ERES|56aVULN|7DMG|8ASPD|9RCR
57	13522 53224	 * 	194.25	ACR|3VULN|2DMG|3CDMG|1ZMB	18aCDMG|2LIT|3RCR|478VULN|58DMG|6RMIN|8BPWR|9ZMB
58	26144 32221	   	194.01	DCR|3DMG|2ASPD|1CDMG|1ZMB	18MLV|2LIT|38aDMG|4CDMG|5CGEN|6RCR|78ASPD|8BPWR|9ZMB
59	61611 32153	   	193.84	DCR|3DMG|2VULN|1ZMB|1DUR	15VULN|2FEWX|3LHND|459DMG|5BPWR|6BEXP|7RCR|8DUR|aZMB
60	16233 23514	 * 	193.70	DCR|2AART|2ASPD|1VULN|1CDMG	1CDMG|2DUST|3FEWX|4BEXP|5VULN|6RCR|78ASPD|9aAART
61	21431 23522	   	193.69	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1MLV|2TLV|34ASPD|5DMG|6CDMG|7VULN|8RCR|9AME|aAART
62	21431 23543	   	193.69	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1MLV|2TLV|34ASPD|5DMG|6CDMG|7VULN|8RCR|9AART|aLHND
63	21431 23542	   	193.59	DCR|2ASPD|1AART|1VULN|1DMG|1CDMG	1MLV|2TLV|34ASPD|5DMG|6CDMG|7VULN|8RCR|9AART|aERES
64	51411 33631	   	193.16	DCR|3DMG|2VULN|1ASPD	1RMIN|257DMG|3ASPD|4DMSP|6BEXP|8RCR|9aVULN
65	42352 51123	 * 	192.83	DCR|2VULN|2ASPD|3DUR|1CDMG|1AAC	123DUR|2BPWR|47ASPD|5CDMG|6RCR|8AAC|9aVULN
66	13522 53232	   	192.52	ACR|3VULN|3DMG|2CDMG	18CDMG|2LIT|3RCR|478VULN|589DMG|6RMIN|8BPWR|aLHND
67	13522 53234	   	192.52	ACR|3VULN|3DMG|2CDMG	18CDMG|2LIT|3RCR|478VULN|589DMG|6RMIN|8BPWR|aRCVC
68	13522 53235	   	192.52	ACR|3VULN|3DMG|2CDMG	18CDMG|2LIT|3RCR|478VULN|589DMG|6RMIN|8BPWR|aMLV
69	13522 53236	   	192.52	ACR|3VULN|3DMG|2CDMG	18CDMG|2LIT|3RCR|478VULN|589DMG|6aRMIN|8BPWR
70	42334 22631	   	192.48	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	123DUR|2BPWR|4ZMB|56VULN|7AART|8RCR|9DMG|aDUST
71	42334 22632	   	192.48	DCR|2VULN|1AART|1DMG|3DUR|1ZMB	123DUR|2BPWR|4ZMB|56VULN|7AART|8RCR|9DMG|aERES
72	13522 53211	   	192.42	ACR|3VULN|3DMG|2CDMG	18CDMG|2LIT|3RCR|478VULN|58aDMG|6RMIN|8BPWR|9ERES
73	13522 53233	   	192.42	ACR|3VULN|3DMG|2CDMG	18CDMG|2LIT|3RCR|478VULN|589DMG|6RMIN|8BPWR|aERES
74	42352 41141	 * 	192.23	DCR|2ASPD|1VULN|1AART|3DUR|1CDMG	123DUR|2BPWR|46ASPD|5CDMG|7MBVNT|8RCR|9AART|aVULN
75	16251 26222	   	192.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUST|3FEWX|48VULN|5DUR|6RCR|7BEXP|9DMG|aAART
76	42341 13221	   	192.08	DCR|3VULN|2DMG|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aLHND
77	42341 13224	   	192.08	DCR|3VULN|2DMG|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aMLV
78	42341 13226	   	192.08	DCR|3VULN|2DMG|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aLWND
79	36342 33315	 * 	192.02	DCR|2VULN|2AART|1DMG|1DUR	1BEXP|2CGEN|3LWND|4aAART|59VULN|6RCR|7DMG|8DUR
80	42341 13223	   	191.98	DCR|3VULN|2DMG|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aERES
81	42341 13225	   	191.98	DCR|3VULN|2DMG|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9RCR|aLEGI
82	61131 24613	   	191.95	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	18VULN|2FEWX|3SELL|4LWND|5DUR|6RCR|7ASPD|9AART|aCDMG
83	63243 35211	   	191.92	DCR|2VULN|2AART|1DMG|1DUR	19VULN|2TLV|37FEWX|48AART|5DUR|6RCR|aDMG
84	14162 51222	 * 	191.91	DCR|2VULN|2ASPD|1AART|1CDMG	1CDMG|2TLV|3LHND|45ASPD|68VULN|7ERES|9RCR|aAART
85	62121 24613	   	191.85	DCR|2VULN|1AART|1ASPD|1CDMG|1DUR|1SELL	18VULN|2LWND|3SELL|4DUST|5DUR|6RCR|7ASPD|9AART|aCDMG
86	12222 25162	   	191.81	DCR|3VULN|1MDPS|1ASPD|1DMG|1CDMG	1CDMG|2BASARM|3DMG|45aVULN|6MDPS|7ASPD|8AELBLL|9RCR
87	22632 56322	   	191.79	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1MLV|2CDMG|3RCVC|45ASPD|6DMG|7VULN|8BEXP|9RCR|aAART
88	12265 34734	   	191.70	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1CDMG|2BASARM|3DMG|4ZMB|5MULARM|6MBVNT|7RCR|8ASPD|9AART|aVULN
89	26144 32232	 * 	191.70	DCR|2DMG|2ASPD|1VULN|1NUKE|1CDMG	18MLV|2LIT|38DMG|4CDMG|5CGEN|6RCR|78ASPD|8BPWR|9NUKE|aVULN
90	21431 23422	   	191.69	DCR|2ASPD|1VULN|1AART|1DMG|1CDMG	1MLV|2TLV|34ASPD|5DMG|6CDMG|7VULN|8RMIN|9RCR|aAART
91	22531 33314	 * 	191.63	DCR|3VULN|2AART|1MDPS|1CDMG	1MLV|2CDMG|3MDPS|478VULN|5BEXP|6aAART|9RCR
92	34313 15322	   	191.62	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	1BEXP|2MDPS|38DUR|4CDMG|56VULN|7RCR|9DMG|aASPD
93	64313 15322	   	191.62	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	16VULN|2MDPS|38DUR|4CDMG|5LWND|7RCR|9DMG|aASPD
94	34311 45222	   	191.62	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|2DUR	1BEXP|2MDPS|35DUR|4CDMG|68VULN|7RCR|9DMG|aASPD
95	23363 42342	 * 	191.56	DCR|2ASPD|1VULN|1AART|2CDMG|1DUR	19MLV|2RMIN|3DUR|49ASPD|5DUST|6VULN|7RCR|89CDMG|9BPWR|aAART
96	14531 33314	   	191.53	DCR|3VULN|2AART|1MDPS|1CDMG	1CDMG|2TLV|3MDPS|478VULN|5BEXP|6aAART|9RCR
97	22413 32642	 * 	191.41	DCR|2VULN|2ASPD|2CDMG|2DUR	1MLV|29CDMG|3aDUR|4BEXP|59VULN|6ERES|79ASPD|8RCR|9BPWR
98	23664 13321	   	191.26	DCR|3DMG|2VULN|1ASPD	13MLV|2RMIN|46VULN|568DMG|6BPWR|7ASPD|9RCR|aBEXP
99	23664 13323	   	191.16	DCR|3DMG|2VULN|1ASPD	13MLV|2RMIN|46VULN|568DMG|6BPWR|7ASPD|9RCR|aBASARM
100	42133 42314	 * 	191.03	DCR|2AART|1VULN|1DMG|1CDMG|2DUR	12DUR|2BPWR|3BEXP|4DMG|5DUST|6VULN|7RCR|8CDMG|9aAART
101	23663 12153	   	191.03	DCR|3VULN|2DMG|2DUR|1AAC	136MLV|2RMIN|46aVULN|5AAC|6aBPWR|7RCR|8aDUR|9aDMG
102	11241 53233	   	191.02	DCR|3VULN|2CDMG|1DMG|2DUR|1AAC	18CDMG|2AAC|3LIT|478VULN|58DUR|6RMIN|8BPWR|9DMG|aRCR
103	13141 53233	   	191.02	DCR|3VULN|2CDMG|1DMG|1NUKE|2DUR	18CDMG|2LIT|3NUKE|478VULN|58DUR|6RMIN|8BPWR|9DMG|aRCR
104	14413 62122	   	191.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1CDMG|2TLV|38DUR|4BEXP|5VULN|6DMG|7ASPD|9RCR|aAART
105	42165 33322	   	191.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	12DUR|2BPWR|3BEXP|4ASPD|5ERES|6VULN|7DMG|8CDMG|9RCR|aAART
106	62341 42322	 * 	190.65	DCR|3VULN|1DMG|3DUR|1CDMG	156VULN|2LWND|3DMG|45aDUR|5BPWR|7BEXP|8CDMG|9RCR
107	13522 53225	   	190.41	ACR|3VULN|2DMG|2CDMG|2ZMB	18CDMG|2LIT|3RCR|478VULN|58DMG|6RMIN|8BPWR|9aZMB
108	22443 11336	   	190.19	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	16MLV|2CDMG|3DUR|45VULN|7RCR|8AART|9AME|aDMG
109	16231 45222	   	190.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2DUST|3FEWX|4BEXP|5DUR|68VULN|7RCR|9DMG|aAART
110	42341 13213	   	190.08	DCR|3VULN|2DMG|3DUR	123DUR|28BPWR|458VULN|68FEWX|78DMG|9DMSP|aRCR
111	61343 23131	   	190.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	17VULN|278FEWX|3DMG|4AART|5DUR|67DUST|7BPWR|9RCR|aASPD
112	61324 27234	   	189.94	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	17VULN|2FEWX|3DMG|4LWND|5ZMB|6MBVNT|8AART|9ASPD|aRCR
113	12214 12335	   	189.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1CDMG|2BASARM|3DMG|4CGEN|567VULN|8ASPD|9LWND|aRCR
114	12221 12335	   	189.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1CDMG|2BASARM|3DMG|467VULN|5CGEN|8ASPD|9LWND|aRCR
115	22324 22236	   	189.91	DCR|3VULN|1ASPD|1DMG|1CDMG|1AAC	1MLV|2CDMG|3AAC|4ASPD|578VULN|6BELT|9DMG|aRCR
116	52331 35241	   	189.63	DCR|2VULN|2DMG|1AART|1AAC|1DUR	1RMIN|2aAME|3DUR|4aDMG|5AAC|6aVULN|7BELT|8RCR|9AART|aBPWR
117	22251 21433	 * 	189.53	DCR|2VULN|2DMG|1MDPS|2CDMG|1DUR	1MLV|2aCDMG|3LIT|4MDPS|5LHND|6aDMG|7DUR|8RCR|9aVULN|aBPWR
118	64322 32623	 * 	189.53	DCR|2VULN|2DMG|1MDPS|1AART|1DUR	1aVULN|2MDPS|3DUR|4aBEXP|5ERES|6LWND|7aDMG|8RCR|9AART|aBPWR
119	61311 42221	   	189.43	DCR|4VULN|2DMG	1568VULN|28FEWX|38DMG|457BEXP|58BPWR|9RCR|aLHND
120	61311 42224	   	189.43	DCR|4VULN|2DMG	1568VULN|28FEWX|38DMG|457BEXP|58BPWR|9RCR|aMLV
121	61311 42226	   	189.43	DCR|4VULN|2DMG	1568VULN|28FEWX|38DMG|457BEXP|58BPWR|9RCR|aLWND
122	62311 42221	   	189.43	DCR|4VULN|2DMG	1568VULN|28LWND|38DMG|457BEXP|58BPWR|9RCR|aLHND
123	62311 42224	   	189.43	DCR|4VULN|2DMG	1568VULN|28LWND|38DMG|457BEXP|58BPWR|9RCR|aMLV
124	62311 42225	   	189.43	DCR|4VULN|2DMG	1568VULN|28LWND|38DMG|457BEXP|58BPWR|9RCR|aDMSP
125	62311 42226	   	189.43	DCR|4VULN|2DMG	1568VULN|28LWND|38DMG|457BEXP|58BPWR|9RCR|aRMIN
126	34313 15326	   	189.39	DCR|3VULN|1MDPS|1DMG|1CDMG|2DUR	1BEXP|2MDPS|38DUR|4CDMG|56aVULN|7RCR|9DMG
127	13542 34441	   	189.39	ACR|2VULN|2DMG|1AART|2CDMG|1AAC|1MSE	18CDMG|2LIT|3RCR|48DMG|5AART|68VULN|7MBVNT|8BPWR|9AAC|aMSE
128	13542 34443	   	189.39	ACR|2VULN|2DMG|1AART|2CDMG|1AAC	18CDMG|2LIT|3RCR|48DMG|5AART|68VULN|7MBVNT|8BPWR|9AAC|aDUST
129	13542 34444	   	189.39	ACR|2VULN|2DMG|1AART|2CDMG|1AAC	18CDMG|2LIT|3RCR|48DMG|5AART|68VULN|7MBVNT|8BPWR|9AAC|aTLV
130	61311 42223	   	189.33	DCR|4VULN|2DMG	1568VULN|28FEWX|38DMG|457BEXP|58BPWR|9RCR|aERES
131	61311 42225	   	189.33	DCR|4VULN|2DMG	1568VULN|28FEWX|38DMG|457BEXP|58BPWR|9RCR|aLEGI
132	62311 42223	   	189.33	DCR|4VULN|2DMG	1568VULN|28LWND|38DMG|457BEXP|58BPWR|9RCR|aERES
133	12224 36431	 * 	189.22	DCR|2VULN|1AART|2CDMG|1DMG	1aCDMG|2BASARM|3DMG|49VULN|5LWND|6FEWX|7RCR|8AART
134	63242 52311	 * 	189.13	DCR|4VULN|2AART	1579VULN|2TLV|3FEWX|48AART|6CANSTR|aRCR
135	11443 25222	   	189.11	DCR|3VULN|1AART|1CDMG|2DUR|1AAC	1CDMG|2AAC|37DUR|458VULN|6LWND|9RCR|aAART
136	51411 33633	 * 	189.03	DCR|3DMG|1VULN|1ASPD|1CDMG	1RMIN|257DMG|3ASPD|4DMSP|6BEXP|8RCR|9VULN|aCDMG
137	42342 22623	   	189.02	DCR|2VULN|1AART|1DMG|3DUR|1AAC	123DUR|2BPWR|46VULN|5CGEN|7DMG|8RCR|9AART|aAAC
138	42324 22623	   	188.92	DCR|2VULN|1AART|1DMG|3DUR|1AAC	123DUR|2BPWR|4ERES|56VULN|7DMG|8RCR|9AART|aAAC
139	13143 26215	 * 	188.89	DCR|3VULN|2CDMG|1AART|1NUKE	18CDMG|2LIT|3NUKE|478VULN|589ERES|6RCR|8BPWR|aAART
140	63131 25312	   	188.86	DCR|3DMG|2VULN|1ASPD|1AAC	17VULN|26TLV|3ASPD|489DMG|5AAC|aRCR
141	42354 23221	   	188.71	DCR|3VULN|2ASPD|3DUR	123DUR|28BPWR|48ASPD|568VULN|78FEWX|9RCR|aLHND
142	42354 23223	   	188.61	DCR|3VULN|2ASPD|3DUR	123DUR|28BPWR|48ASPD|568VULN|78FEWX|9RCR|aERES
143	42354 22113	 * 	188.58	DCR|2VULN|1AART|1ASPD|3DUR|1ZMB	123DUR|2BPWR|4ASPD|56VULN|7AART|8ZMB|9RMIN|aRCR
144	41133 36113	   	188.50	DCR|2DMG|1VULN|1AART|1CDMG|2DUR|1SELL	16DUR|2FEWX|3SELL|4LWND|56DMG|6BPWR|7AART|8VULN|9RCR|aCDMG
145	12264 11125	   	188.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2BASARM|3DMG|4ZMB|569VULN|7CGEN|8DUR|aRCR
146	11241 43333	   	188.48	DCR|3VULN|1DMG|1CDMG|1AAC|1ZMB|1DUR	1CDMG|2AAC|3LIT|478VULN|5DUR|6ZMB|9DMG|aRCR
147	12214 33125	   	188.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2BASARM|3DMG|4CGEN|579VULN|6ZMB|8DUR|aRCR
148	12221 33125	   	188.48	DCR|3VULN|1DMG|1CDMG|1ZMB|1DUR	1CDMG|2BASARM|3DMG|479VULN|5CGEN|6ZMB|8DUR|aRCR
149	13141 43333	   	188.48	DCR|3VULN|1DMG|1NUKE|1CDMG|1ZMB|1DUR	1CDMG|2LIT|3NUKE|478VULN|5DUR|6ZMB|9DMG|aRCR
150	42341 32123	   	188.48	DCR|2VULN|1AART|1ASPD|3DUR|1ZMB	123DUR|2BPWR|45VULN|6TLV|7AART|8ZMB|9ASPD|aRCR
151	42334 22523	   	188.48	DCR|2VULN|1AART|1ASPD|3DUR|1AAC|1ZMB	123DUR|2BPWR|4ZMB|56VULN|7AART|8AAC|9ASPD|aRCR
152	64311 26222	   	188.38	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	18VULN|2MDPS|3DUR|4CDMG|5RCVC|6RCR|7BEXP|9DMG|aASPD
153	21414 32242	   	188.38	DCR|2VULN|1AART|1ASPD|1DMG|1AAC	1MLV|2TLV|3ASPD|4AART|5AELBLL|68VULN|7DMG|9RCR|aAAC
154	14462 23232	   	188.28	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2TLV|3DUR|4ASPD|5MDPS|6RCR|7DMG|8CGEN|9aVULN
155	14561 23232	   	188.28	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2TLV|3MDPS|4DMG|5DUR|6RCR|7ASPD|8CGEN|9aVULN
156	14563 23332	   	188.28	DCR|2VULN|1MDPS|1ASPD|1DMG|1CDMG|1DUR	1CDMG|2TLV|3MDPS|4DMG|5aVULN|6RCR|7ASPD|8DUR|9CGEN
157	66134 13223	 * 	188.26	DCR|1VULN|1AART|1ASPD|1DMG|3DUR|1ZMB	1VULN|2AME|3ASPD|4DMG|5ZMB|678DUR|9AART|aRCR
158	12222 25163	 * 	188.19	DCR|2VULN|1MDPS|2ASPD|1DMG|1CDMG	1CDMG|2BASARM|3DMG|45VULN|6MDPS|7aASPD|8AELBLL|9RCR
159	46134 33223	   	188.16	DCR|1VULN|1AART|1ASPD|1DMG|3DUR|1ZMB	178DUR|2TLV|3ASPD|4DMG|5ZMB|6VULN|9AART|aRCR
160	63134 13223	   	188.16	DCR|1VULN|1AART|1ASPD|1DMG|3DUR|1ZMB	1VULN|2TLV|3ASPD|4DMG|5ZMB|678DUR|9AART|aRCR
161	12342 21661	   	188.09	DCR|2VULN|1AART|1DMG|1CDMG|1DUR	1CDMG|2BASARM|3DUR|4MLV|5aVULN|6LHND|7DMG|8RCR|9AART
162	41323 43253	   	188.01	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1DUR|2FEWX|3DMG|45LWND|69VULN|7ASPD|8AART|aRCR
