0	Index      	 *	Score 	Summary	Detail	
1	42211 53353	 * 	232.43	DCR|3ASPD|2VULN|2DMG|1AART	19DMG|28VULN|3AART|49aASPD|5BELT|6RCR|79DUST|9BPWR
32	42252 11431	   	221.31	DCR|4VULN|2DMG|1AART|1DUR	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aDUR
33	42242 21631	   	221.21	DCR|4VULN|2DMG|1AART|1DUR	18DMG|2567VULN|3AART|4CGEN|9RCR|aDUR
34	42242 25131	   	221.21	DCR|4VULN|2DMG|1AART|1DUR	17DMG|2568VULN|3AART|4CGEN|9RCR|aDUR
35	42242 31131	   	221.21	DCR|4VULN|2DMG|1AART|1DUR	16DMG|2578VULN|3AART|4CGEN|9RCR|aDUR
36	42222 11431	   	221.11	DCR|4VULN|2DMG|1AART|1DUR	17DMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR|aDUR
37	62163 25332	   	220.45	DCR|2VULN|2DMG|2ASPD|1AART	16VULN|23ASPD|4RMIN|5AART|7aDMG|8CGEN|9RCR
38	62163 25232	   	220.35	DCR|2VULN|2DMG|2ASPD|1AART	16VULN|23ASPD|4RMIN|5AART|7aDMG|8TLV|9RCR
39	42265 32331	 * 	220.18	DCR|3VULN|2AART|2DMG	15DMG|267VULN|38AART|4RCVC|9RCR|aRMIN
40	42234 47126	 * 	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9AME|aASPD
41	42234 47136	   	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9CGEN|aASPD
42	42234 47161	   	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9LWND|aASPD
43	42234 47181	   	219.93	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9FEWX|aASPD
44	42242 21111	 * 	219.91	DCR|5VULN|1AART|1DMG|1ZMB	1DMG|25678VULN|3AART|4CGEN|9RCR|aZMB
45	42252 21111	   	219.91	DCR|5VULN|1AART|1DMG|1ZMB	1DMG|25678VULN|3AART|4AME|9RCR|aZMB
46	66223 21111	   	219.91	DCR|5VULN|1AART|1ASPD|1ZMB	12678VULN|3ASPD|4CGEN|5AART|9RCR|aZMB
47	66233 21111	   	219.91	DCR|5VULN|1AART|1ASPD|1ZMB	12678VULN|3ASPD|4AME|5AART|9RCR|aZMB
48	42234 41517	   	219.83	DCR|2VULN|2AART|1ASPD|1DMG|1CDMG|1AAC	1DMG|28VULN|3aAART|4MBVNT|5CDMG|6RCR|7AAC|9ASPD
49	42234 45317	 * 	219.83	DCR|2VULN|2AART|1ASPD|1DMG|1NUKE|1CDMG	1DMG|27VULN|3aAART|4MBVNT|5CDMG|6RCR|8NUKE|9ASPD
50	42234 47141	   	219.83	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aERES
51	42234 47142	   	219.83	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aLWND
52	42234 47143	   	219.83	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aDUST
53	42234 47144	   	219.83	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG|1MSE	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aMSE
54	42234 47145	   	219.83	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aRCVC
55	42234 47146	   	219.83	DCR|2VULN|2AART|1ASPD|1DMG|1NUKE|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aASPD
56	42234 47147	   	219.83	DCR|2VULN|2AART|1DMG|1NUKE|1CDMG	1DMG|28VULN|37AART|4MBVNT|5CDMG|6RCR|9NUKE|aBEXP
57	42234 47315	   	219.83	DCR|2VULN|2AART|1ASPD|1DMG|1NUKE|1CDMG	1DMG|2aVULN|37AART|4MBVNT|5CDMG|6RCR|8NUKE|9ASPD
58	42222 21111	   	219.81	DCR|5VULN|1AART|1DMG|1ZMB	1DMG|25678VULN|3AART|4ERES|9RCR|aZMB
59	42234 48117	   	219.70	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aDUR
60	42242 31135	   	219.68	DCR|4VULN|2DMG|1AART|1AAC	16DMG|2578VULN|3AART|4CGEN|9RCR|aAAC
61	42211 53333	   	219.65	DCR|3VULN|2ASPD|1AART|1DMG	1DMG|289VULN|3AART|4aASPD|5BELT|6RCR|7DUST
62	42234 45471	   	219.59	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG|1DUR	1DMG|27VULN|3AART|4MBVNT|59CDMG|6RCR|8DUR|aASPD
63	42211 53352	   	219.41	DCR|2VULN|2DMG|2ASPD|1AART	19DMG|28VULN|3AART|49ASPD|5BELT|6RCR|79aDUST|9BPWR
64	42142 51323	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	1DMG|25VULN|34ASPD|6ZMB|7RCR|8DUR|9CGEN|aAART
65	62242 51323	   	218.56	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB|1DUR	15VULN|24ASPD|3DMG|6ZMB|7RCR|8DUR|9CGEN|aAART
66	42213 11226	 * 	218.12	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	17DMG|27VULN|3AART|4ASPD|5AME|67ERES|7BPWR|8CGEN|9RCR|aMDPS
67	42234 41511	   	217.97	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1AAC	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7AAC|9aASPD
68	42234 45311	 * 	217.97	DCR|2VULN|2ASPD|1AART|1DMG|1NUKE|1CDMG	1DMG|27VULN|3AART|4MBVNT|5CDMG|6RCR|8NUKE|9aASPD
69	66233 11431	   	217.94	DCR|4VULN|2ASPD|1AART|1DUR	1278VULN|37ASPD|47AME|5AART|6MBVNT|7BPWR|9RCR|aDUR
70	12143 21131	   	217.84	DCR|4VULN|2ASPD|1AART|1DUR	1CGEN|2678VULN|34ASPD|5AART|9RCR|aDUR
71	62123 21131	   	217.84	DCR|4VULN|2ASPD|1AART|1DUR	1678VULN|23ASPD|4CGEN|5AART|9RCR|aDUR
72	42234 45152	 * 	217.70	DCR|3VULN|2AART|1DMG|1CDMG	1DMG|278VULN|3aAART|4MBVNT|5CDMG|6RCR|9LIT
73	42234 47154	   	217.70	DCR|3VULN|2AART|1DMG|1CDMG	1DMG|28aVULN|37AART|4MBVNT|5CDMG|6RCR|9LIT
74	12143 25432	   	217.67	DCR|2VULN|2DMG|2ASPD|1AART	1CGEN|26VULN|34ASPD|5AART|7aDMG|8RMIN|9RCR
75	62123 25432	   	217.67	DCR|2VULN|2DMG|2ASPD|1AART	16VULN|23ASPD|4CGEN|5AART|7aDMG|8RMIN|9RCR
76	62133 25432	   	217.67	DCR|2VULN|2DMG|2ASPD|1AART	16VULN|23ASPD|4AME|5AART|7aDMG|8RMIN|9RCR
77	42234 45154	 * 	217.47	DCR|4VULN|1AART|1DMG|1CDMG	1DMG|278aVULN|3AART|4MBVNT|5CDMG|6RCR|9LIT
78	42252 11433	   	217.17	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aRMIN
79	42234 41117	 * 	217.03	DCR|2AART|2DMG|1VULN|1ASPD|1CDMG|1AAC	18DMG|2VULN|3aAART|4MBVNT|5CDMG|6RCR|7AAC|9ASPD
80	42222 11433	   	216.97	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR|aRMIN
81	31263 34243	 * 	216.84	DCR|3VULN|3ASPD|1CDMG|2DUR	19DUR|2AELBLL|39aASPD|4CDMG|5AME|689VULN|7RCR|9BPWR
82	66263 21112	   	216.52	DCR|5VULN|1AART|1ASPD	12678VULN|3ASPD|4RMIN|5AART|9RCR|aLIT
83	66263 21113	   	216.42	DCR|5VULN|1AART|1ASPD|1MSE	12678VULN|3ASPD|4RMIN|5AART|9RCR|aMSE
84	12143 21135	   	216.31	DCR|4VULN|2ASPD|1AART|1AAC	1CGEN|2678VULN|34ASPD|5AART|9RCR|aAAC
85	62123 21135	   	216.31	DCR|4VULN|2ASPD|1AART|1AAC	1678VULN|23ASPD|4CGEN|5AART|9RCR|aAAC
86	42265 32332	   	216.02	DCR|3VULN|2AART|2DMG	15DMG|267VULN|38AART|4RCVC|9RCR|aMLV
87	42265 32333	   	215.92	DCR|3VULN|2AART|2DMG|1MSE	15DMG|267VULN|38AART|4RCVC|9RCR|aMSE
88	42234 48311	 * 	215.45	DCR|2ASPD|1VULN|1AART|2CDMG|1DMG|1ZMB	1DMG|2VULN|3AART|4MBVNT|58CDMG|6RCR|7ZMB|9aASPD
89	66233 13432	   	215.28	DCR|4VULN|1AART|1ASPD|1DMG	1278VULN|3ASPD|4AME|5AART|6MBVNT|9RCR|aDMG
90	42234 42571	 * 	215.28	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1DMG|2VULN|38AART|4MBVNT|59CDMG|6RCR|7DUR|aASPD
91	42234 47471	   	215.28	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG|1DUR	1DMG|2VULN|37AART|4MBVNT|59CDMG|6RCR|8DUR|aASPD
92	42234 41111	   	215.18	DCR|2DMG|2ASPD|1VULN|1AART|1CDMG|1AAC	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7AAC|9aASPD
93	43222 31463	   	214.81	DCR|3VULN|3DMG|1AART	17aDMG|2LHND|3AART|467ERES|57aVULN|7aBPWR|8RCR|9aBEXP
94	42234 48118	   	214.73	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1AAC|1ZMB	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aAAC
95	43222 31443	   	214.61	DCR|3VULN|3DMG|1AART	179DMG|2LHND|3AART|467ERES|57aVULN|7BPWR|8RCR
96	42234 48116	   	214.61	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|2ZMB	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7aZMB|9ASPD
97	42234 48512	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aRPLT
98	42234 48513	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aCGEN
99	42234 48514	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aAME
100	42234 48531	   	214.19	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9CGEN|aASPD
101	42234 41516	   	214.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1AAC|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7AAC|9ASPD|aZMB
102	42234 45316	   	214.09	DCR|2VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG|1ZMB	1DMG|27VULN|3AART|4MBVNT|5CDMG|6RCR|8NUKE|9ASPD|aZMB
103	42234 48521	   	214.09	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB	1DMG|28VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ERES|aASPD
104	42221 64311	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1DMG|27VULN|3AART|4ERES|5FEWX|6CDMG|8RCR|9aASPD
105	43222 64311	   	214.07	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG	1DMG|2LHND|3AART|4ERES|57VULN|6CDMG|8RCR|9aASPD
106	42246 21231	   	213.94	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|27VULN|3AART|48CGEN|5ERES|67ASPD|7BPWR|9RCR|aRCVC
107	66223 11232	   	213.85	DCR|3VULN|2ASPD|1AART|1DMG	127VULN|37ASPD|478CGEN|5AART|6MBVNT|7BPWR|9RCR|aDMG
108	42234 42284	   	213.85	DCR|2VULN|2DMG|1AART|1CDMG|1DUR	19DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7DUR|8RMIN
109	42242 21116	   	213.74	DCR|5VULN|1AART|1DMG	1DMG|25678VULN|3AART|4CGEN|9RCR|aRMIN
110	42252 21116	   	213.74	DCR|5VULN|1AART|1DMG	1DMG|25678VULN|3AART|4AME|9RCR|aRMIN
111	66223 21116	   	213.74	DCR|5VULN|1AART|1ASPD	12678VULN|3ASPD|4CGEN|5AART|9RCR|aRMIN
112	66233 21116	   	213.74	DCR|5VULN|1AART|1ASPD	12678VULN|3ASPD|4AME|5AART|9RCR|aRMIN
113	42234 47311	 * 	213.66	DCR|2AART|2ASPD|1VULN|1DMG|1NUKE|1CDMG	1DMG|2VULN|37AART|4MBVNT|5CDMG|6RCR|8NUKE|9aASPD
114	62133 13432	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	178VULN|23ASPD|4AME|5AART|6MBVNT|9RCR|aDMG
115	64143 13432	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	178VULN|2AME|34ASPD|5AART|6MBVNT|9RCR|aDMG
116	66223 13832	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	127VULN|38ASPD|4CGEN|5AART|6MBVNT|9RCR|aDMG
117	66233 13832	   	213.65	DCR|3VULN|2ASPD|1AART|1DMG	127VULN|38ASPD|4AME|5AART|6MBVNT|9RCR|aDMG
118	42222 21116	   	213.64	DCR|5VULN|1AART|1DMG	1DMG|25678VULN|3AART|4ERES|9RCR|aRMIN
119	42246 21232	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|27VULN|3AART|48CGEN|5ERES|67ASPD|7BPWR|9RCR|aLHND
120	42256 21221	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|27VULN|3AART|4AME|5ERES|67ASPD|7BPWR|8CGEN|9RCR|aLHND
121	42256 21222	   	213.61	DCR|2VULN|2DMG|2ASPD|1AART	17DMG|27VULN|3AART|4AME|5ERES|67ASPD|7BPWR|8CGEN|9RCR|aLIT
122	61143 13432	   	213.55	DCR|3VULN|2ASPD|1AART|1DMG	178VULN|2TLV|34ASPD|5AART|6MBVNT|9RCR|aDMG
123	42246 21233	   	213.51	DCR|2VULN|2DMG|2ASPD|1AART|1MSE	17DMG|27VULN|3AART|48CGEN|5ERES|67ASPD|7BPWR|9RCR|aMSE
124	42256 21223	   	213.51	DCR|2VULN|2DMG|2ASPD|1AART|1MSE	17DMG|27VULN|3AART|4AME|5ERES|67ASPD|7BPWR|8CGEN|9RCR|aMSE
125	62163 26332	   	213.19	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	16VULN|23ASPD|4RMIN|5AART|7ZMB|8CGEN|9RCR|aDMG
126	62163 26232	   	213.09	DCR|2VULN|2ASPD|1AART|1DMG|1ZMB	16VULN|23ASPD|4RMIN|5AART|7ZMB|8TLV|9RCR|aDMG
127	42142 33333	   	213.09	DCR|3ASPD|2VULN|2DMG|1ZMB	17DMG|25VULN|347ASPD|67CGEN|7BPWR|8MBVNT|9RCR|aZMB
128	42252 11434	   	213.01	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aCGEN
129	42252 11436	   	213.01	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aLWND
130	42234 45411	   	212.91	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1DMG|27VULN|3AART|4MBVNT|5CDMG|6RCR|8DUR|9RCVC|aASPD
131	42242 21632	   	212.91	DCR|4VULN|2DMG|1AART	18DMG|2567VULN|3AART|4CGEN|9RCR|aLWND
132	42242 25132	   	212.91	DCR|4VULN|2DMG|1AART	17DMG|2568VULN|3AART|4CGEN|9RCR|aLWND
133	42242 31132	   	212.91	DCR|4VULN|2DMG|1AART	16DMG|2578VULN|3AART|4CGEN|9RCR|aLWND
134	42242 31134	   	212.91	DCR|4VULN|2DMG|1AART	16DMG|2578VULN|3AART|4CGEN|9RCR|aLIT
135	42242 31136	   	212.91	DCR|4VULN|2DMG|1AART	16DMG|2578VULN|3AART|4aCGEN|9RCR
136	42252 11435	   	212.91	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aDUST
137	42252 11438	   	212.91	DCR|4VULN|2DMG|1AART|1MSE	17DMG|2578VULN|3AART|47AME|6MBVNT|7BPWR|9RCR|aMSE
138	43222 31323	   	212.81	DCR|3VULN|3DMG|1AART	17aDMG|2LHND|3AART|467ERES|57aVULN|7aBPWR|8aFEWX|9RCR
139	43226 21323	   	212.81	DCR|3VULN|3DMG|1AART	17aDMG|2LHND|3AART|457ERES|67aVULN|7aBPWR|8aFEWX|9RCR
140	45226 21123	   	212.81	DCR|3VULN|3DMG|1AART	17aDMG|2FEWX|3AART|457ERES|67aVULN|7aBPWR|8aLHND|9RCR
141	42242 11232	   	212.81	DCR|3VULN|3DMG|1AART	17aDMG|257VULN|3AART|478CGEN|6MBVNT|7BPWR|9RCR
142	42222 11434	   	212.81	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR|aCGEN
143	42222 11436	   	212.81	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR|aLWND
144	42252 13432	   	212.81	DCR|4VULN|2DMG|1AART	1aDMG|2578VULN|3AART|4AME|6MBVNT|9RCR
145	42242 21633	   	212.81	DCR|4VULN|2DMG|1AART	18DMG|2567VULN|3AART|4CGEN|9RCR|aDUST
146	42242 25133	   	212.81	DCR|4VULN|2DMG|1AART	17DMG|2568VULN|3AART|4CGEN|9RCR|aDUST
147	42242 31133	   	212.81	DCR|4VULN|2DMG|1AART	16DMG|2578VULN|3AART|4CGEN|9RCR|aDUST
148	41226 21123	   	212.71	DCR|3VULN|3DMG|1AART	17aDMG|2DUST|3AART|457ERES|67aVULN|7aBPWR|8aLHND|9RCR
149	42222 11435	   	212.71	DCR|4VULN|2DMG|1AART	17DMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR|aDUST
150	42222 11438	   	212.71	DCR|4VULN|2DMG|1AART|1MSE	17DMG|2578VULN|3AART|47ERES|6MBVNT|7BPWR|9RCR|aMSE
151	42222 13432	   	212.71	DCR|4VULN|2DMG|1AART	1aDMG|2578VULN|3AART|4ERES|6MBVNT|9RCR
152	43222 31623	   	212.61	DCR|3VULN|3DMG|1AART	17aDMG|2LHND|3AART|467ERES|57aVULN|7aBPWR|8aDUST|9RCR
153	43226 21623	   	212.61	DCR|3VULN|3DMG|1AART	17aDMG|2LHND|3AART|457ERES|67aVULN|7aBPWR|8aDUST|9RCR
154	42142 51122	   	212.51	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	1DMG|25aVULN|34ASPD|6ZMB|7RCR|8MSLREG|9DUR
155	62242 51122	   	212.51	DCR|3VULN|2ASPD|1DMG|1ZMB|1DUR	15aVULN|24ASPD|3DMG|6ZMB|7RCR|8MSLREG|9DUR
156	42142 51321	   	212.37	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1aDMG|25VULN|34ASPD|6ZMB|7RCR|8DUR|9CGEN
157	42142 51332	   	212.37	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	1aDMG|25VULN|34ASPD|6ZMB|7RCR|8DUR|9BEXP
158	62242 51321	   	212.37	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	15VULN|24ASPD|3aDMG|6ZMB|7RCR|8DUR|9CGEN
159	62242 51332	   	212.37	DCR|2VULN|2DMG|2ASPD|1ZMB|1DUR	15VULN|24ASPD|3aDMG|6ZMB|7RCR|8DUR|9BEXP
160	42234 48541	   	211.95	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB	1DMG|28aVULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9LIT
161	62133 21615	   	211.75	DCR|3VULN|2ASPD|1AART|1DMG	167VULN|23ASPD|4AME|5AART|8DMG|9CGEN|aRCR
162	62133 21625	   	211.75	DCR|3VULN|2ASPD|1AART|1DMG	167VULN|23ASPD|4AME|5AART|8DMG|9MLV|aRCR
163	42234 45115	 * 	211.74	DCR|3VULN|1MDPS|1AART|1DMG|1CDMG	1DMG|278VULN|3AART|4MBVNT|5CDMG|6RCR|9RCVC|aMDPS
164	42234 48135	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9CGEN
165	42234 48141	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9LIT
166	42234 48164	   	211.71	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9BEXP
167	42234 48125	   	211.61	DCR|2VULN|2DMG|1AART|1CDMG|1ZMB	18DMG|2aVULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ERES
168	42234 48112	   	211.39	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1ZMB	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aRPLT
169	42234 48113	   	211.39	DCR|2DMG|1AART|1VULN|1ASPD|1CDMG|1ZMB	18DMG|2VULN|3AART|4MBVNT|5CDMG|6RCR|7ZMB|9ASPD|aCGEN
