0	Index      	 *	Score 	Summary	Detail	
1	24632 33153	 * 	231.03	DCR|3DMG|1MDPS|2ASPD|1VULN|1AART|1CDMG	1AART|238DMG|38BPWR|4RPLT|5MDPS|6RCR|78ASPD|9CDMG|aVULN
21	22612 13552	   	208.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3MLV|459VULN|6LWND|7RCR|8DUR|aDMG
22	22612 33551	   	207.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CDMG|3MLV|459VULN|6DUST|7RCR|8DUR|aNUKE
23	22612 33552	   	207.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3MLV|459VULN|6DUST|7RCR|8DUR|aDMG
24	22415 13113	   	207.91	DCR|3VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9DUR|aRCVC
25	22415 13112	   	207.59	DCR|3VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9DUR|aBEXP
26	22415 13115	   	207.59	DCR|3VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9DUR|aLIT
27	22411 13114	   	207.49	DCR|3VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|46aVULN|6BPWR|7CGEN|8RCR|9DUR
28	22415 13111	   	207.49	DCR|3VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9DUR|aLEGI
29	22415 13116	   	207.49	DCR|3VULN|3CDMG|1AART|1DUR|1MSE	1AART|256CDMG|3RMIN|456VULN|56BPWR|7CGEN|8RCR|9DUR|aMSE
30	22415 33114	   	207.49	DCR|3VULN|3CDMG|1AART|1DUR	1AART|256CDMG|3RMIN|45aVULN|5BPWR|7CGEN|8RCR|9DUR
31	24632 33151	   	207.25	DCR|3DMG|1MDPS|2ASPD|1AART|1CDMG	1AART|238DMG|38BPWR|4RPLT|5MDPS|6RCR|78ASPD|9CDMG|aCGEN
32	24632 33152	   	207.25	DCR|3DMG|1MDPS|2ASPD|1AART|1CDMG	1AART|238DMG|38BPWR|4RPLT|5MDPS|6RCR|78ASPD|9CDMG|aAME
33	22642 33621	   	207.25	DCR|3VULN|1AART|2CDMG|1NUKE	1AART|26CDMG|3MLV|4LWND|568VULN|6BPWR|7RCR|9BEXP|aNUKE
34	22642 33622	   	207.25	DCR|3VULN|1AART|2CDMG|1DMG	1AART|26CDMG|3MLV|4LWND|568VULN|6BPWR|7RCR|9BEXP|aDMG
35	23152 15114	 * 	207.22	DCR|3DMG|2VULN|1AART|1DUR	1AART|2LWND|347DMG|5aVULN|6RCVC|8RCR|9DUR
36	24252 63233	   	207.01	DCR|2VULN|2DMG|1AART|2DUR|1ZMB	1AART|24DMG|3DUST|56VULN|7RCR|89DUR|aZMB
37	22111 15251	   	206.03	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CDMG|3LWND|479VULN|5DUR|6MLV|8RCR|aNUKE
38	22111 15252	   	206.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3LWND|479VULN|5DUR|6MLV|8RCR|aDMG
39	22111 15256	   	206.03	DCR|3VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2CDMG|3LWND|479VULN|5DUR|6MLV|8RCR|aASPD
40	22511 15251	   	206.03	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CDMG|3FEWX|479VULN|5DUR|6MLV|8RCR|aNUKE
41	22511 15252	   	206.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3FEWX|479VULN|5DUR|6MLV|8RCR|aDMG
42	12652 13251	   	205.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1DUST|2AME|369VULN|4DUR|5AART|7CDMG|8RCR|aNUKE
43	12652 13252	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1DUST|2AME|369VULN|4DUR|5AART|7CDMG|8RCR|aDMG
44	22111 55251	   	205.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CDMG|3LWND|469VULN|5DUR|7TLV|8RCR|aNUKE
45	22111 55252	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3LWND|469VULN|5DUR|7TLV|8RCR|aDMG
46	22111 65251	   	205.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CDMG|3LWND|479VULN|5DUR|6ERES|8RCR|aNUKE
47	22111 65252	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3LWND|479VULN|5DUR|6ERES|8RCR|aDMG
48	25261 13251	   	205.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	1AART|2CGEN|3DUST|469VULN|5DUR|7CDMG|8RCR|aNUKE
49	25261 13252	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CGEN|3DUST|469VULN|5DUR|7CDMG|8RCR|aDMG
50	64222 13251	   	205.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	129VULN|2BPWR|3AART|4DUST|5CGEN|6DUR|7CDMG|8RCR|aNUKE
51	64222 13252	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	129VULN|2BPWR|3AART|4DUST|5CGEN|6DUR|7CDMG|8RCR|aDMG
52	64223 13251	   	205.93	DCR|3VULN|1AART|1NUKE|1CDMG|1DUR	129VULN|2BPWR|3AART|4DUST|5AME|6DUR|7CDMG|8RCR|aNUKE
53	64223 13252	   	205.93	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	129VULN|2BPWR|3AART|4DUST|5AME|6DUR|7CDMG|8RCR|aDMG
54	22122 31251	   	205.25	DCR|3VULN|1AART|2CDMG|1NUKE	1AART|26CDMG|3LWND|4CGEN|569VULN|6BPWR|7BEXP|8RCR|aNUKE
55	22122 31252	   	205.25	DCR|3VULN|1AART|2CDMG|1DMG	1AART|26CDMG|3LWND|4CGEN|569VULN|6BPWR|7BEXP|8RCR|aDMG
56	22642 31251	   	205.25	DCR|3VULN|1AART|2CDMG|1NUKE	1AART|26CDMG|3MLV|4LWND|569VULN|6BPWR|7BEXP|8RCR|aNUKE
57	22642 31252	   	205.25	DCR|3VULN|1AART|2CDMG|1DMG	1AART|26CDMG|3MLV|4LWND|569VULN|6BPWR|7BEXP|8RCR|aDMG
58	24332 33636	   	205.19	DCR|2VULN|2DMG|1MDPS|1AART|1ASPD	1AART|28DMG|3AELBLL|4RPLT|5MDPS|6RCR|7ASPD|9aVULN
59	24632 33336	   	205.19	DCR|2VULN|1MDPS|2DMG|1AART|1ASPD	1AART|23DMG|3BPWR|4RPLT|5MDPS|6RCR|7ASPD|8DMSP|9aVULN
60	22122 33251	   	205.15	DCR|3VULN|1AART|2CDMG|1NUKE	1AART|26CDMG|3LWND|4CGEN|569VULN|6BPWR|7DUST|8RCR|aNUKE
61	22122 33252	   	205.15	DCR|3VULN|1AART|2CDMG|1DMG	1AART|26CDMG|3LWND|4CGEN|569VULN|6BPWR|7DUST|8RCR|aDMG
62	24632 32225	   	204.65	DCR|3DMG|1MDPS|2ASPD|1AART|2DUR	1AART|23aDMG|3aBPWR|4RPLT|5MDPS|6RCR|7AME|8aDUR|9aASPD
63	22612 43223	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2CDMG|3MLV|45VULN|6DMG|7ASPD|8LIT|9DUR|aRCR
64	22612 43513	   	204.26	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2CDMG|3MLV|45VULN|6DMG|7ASPD|8DUR|9LIT|aRCR
65	24332 33133	 * 	203.96	DCR|2MDPS|2DMG|2ASPD|1VULN|1AART	1AART|28DMG|38AELBLL|4RPLT|5aMDPS|6RCR|78ASPD|8BPWR|9VULN
66	24632 33115	 * 	203.93	DCR|3DMG|3ASPD|1MDPS|1AART	1AART|238DMG|38BPWR|4RPLT|5MDPS|6RCR|78aASPD|9FEWX
67	22642 33151	   	203.92	DCR|2VULN|1AART|2CDMG|1NUKE|1ZMB	1AART|26CDMG|3MLV|4LWND|56VULN|6BPWR|7RCR|8RMIN|9ZMB|aNUKE
68	22642 33152	   	203.92	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1AART|26CDMG|3MLV|4LWND|56VULN|6BPWR|7RCR|8RMIN|9ZMB|aDMG
69	24632 33125	   	203.83	DCR|3DMG|3ASPD|1MDPS|1AART	1AART|238DMG|38BPWR|4RPLT|5MDPS|6RCR|78aASPD|9DUST
70	22211 54331	 * 	203.80	ACR|3VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1AART|2CDMG|3RCR|468VULN|5DUR|7BELT|9ASPD|aDMG
71	22642 33612	   	203.03	DCR|4VULN|1AART|2CDMG	1AART|26CDMG|3MLV|4LWND|568aVULN|6BPWR|7RCR|9LIT
72	22412 43263	   	202.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RMIN|45VULN|6DMG|7ASPD|8LIT|9FEWX|aRCR
73	22412 43313	   	202.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RMIN|45VULN|6DMG|7ASPD|8LHND|9LIT|aRCR
74	22412 43336	   	202.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RMIN|45VULN|6DMG|7ASPD|8LHND|9RPLT|aRCR
75	22412 43613	   	202.89	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RMIN|45VULN|6DMG|7ASPD|8FEWX|9LIT|aRCR
76	22412 43253	   	202.79	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2CDMG|3RMIN|45VULN|6DMG|7ASPD|8LIT|9DUST|aRCR
77	24252 43233	 * 	202.70	DCR|2AART|2DMG|1VULN|2DUR|1ZMB	16AART|24DMG|3DUST|5VULN|7RCR|89DUR|aZMB
78	22415 32413	   	202.65	DCR|2VULN|3CDMG|1AART|1DMG|1AAC	1AART|256CDMG|3RMIN|45VULN|5BPWR|7DLOT|8DMG|9RCR|aAAC
79	22411 12413	   	202.65	DCR|2VULN|3CDMG|1AART|1DMG|1AAC	1AART|256CDMG|3RMIN|46VULN|6BPWR|7DLOT|8DMG|9RCR|aAAC
80	61611 21334	 * 	202.64	DCR|3VULN|1MDPS|1AART|1ASPD|1ZMB	13aVULN|2RMIN|4ZMB|5BEXP|6RCR|7MDPS|8AART|9ASPD
81	23152 13213	 * 	202.48	DCR|2VULN|2AART|2DMG	19AART|2LWND|34DMG|5aVULN|68RCVC|7RCR
82	24642 13213	   	202.48	DCR|2VULN|2AART|2DMG	19AART|23DMG|3BPWR|4LWND|5aVULN|68RCVC|7RCR
83	23142 15413	   	202.16	DCR|2VULN|2AART|2DMG	19AART|2LWND|37DMG|46RCVC|5aVULN|8RCR
84	26266 21111	 * 	202.12	DCR|3VULN|2ASPD|1AART|1ZMB	1AART|29ASPD|3DUST|469VULN|5ZMB|7CGEN|89LIT|9BPWR|aRCR
85	22111 56513	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3LWND|467VULN|5DUR|8DMG|9LIT|aRCR
86	22111 56533	   	202.03	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|3LWND|467VULN|5DUR|8DMG|9RPLT|aRCR
87	24232 63253	   	201.91	DCR|3VULN|1AART|1DMG|1ZMB|1DUR	1AART|2DMG|34DUST|569VULN|7RCR|8DUR|aZMB
88	26232 63253	   	201.91	DCR|3VULN|1AART|1ASPD|1ZMB|1DUR	1AART|2ASPD|34DUST|569VULN|7RCR|8DUR|aZMB
89	24534 21831	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|3MBVNT|4DUST|59VULN|6CDMG|7RCR|8ASPD|aLHND
90	24534 21833	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|3MBVNT|4DUST|59VULN|6CDMG|7RCR|8ASPD|aAME
91	24534 21834	   	201.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AART|2DMG|3MBVNT|4DUST|59VULN|6CDMG|7RCR|8ASPD|aCGEN
92	24534 21832	   	201.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1AART|2DMG|3MBVNT|4DUST|59VULN|6CDMG|7RCR|8ASPD|aMSE
93	64222 33621	   	201.62	DCR|3VULN|1AART|1NUKE|1CDMG	128VULN|2BPWR|3AART|4DUST|5CGEN|6RCR|7CDMG|9BEXP|aNUKE
94	64222 33622	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|2BPWR|3AART|4DUST|5CGEN|6RCR|7CDMG|9BEXP|aDMG
95	64223 33621	   	201.62	DCR|3VULN|1AART|1NUKE|1CDMG	128VULN|2BPWR|3AART|4DUST|5AME|6RCR|7CDMG|9BEXP|aNUKE
96	64223 33622	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	128VULN|2BPWR|3AART|4DUST|5AME|6RCR|7CDMG|9BEXP|aDMG
97	22411 13136	   	201.41	DCR|2VULN|3CDMG|1AART|1NUKE	1AART|256CDMG|3RMIN|46VULN|6BPWR|7CGEN|8RCR|9RPLT|aNUKE
98	22415 33136	   	201.41	DCR|2VULN|3CDMG|1AART|1NUKE	1AART|256CDMG|3RMIN|45VULN|5BPWR|7CGEN|8RCR|9RPLT|aNUKE
