0	Index      	 *	Score 	Summary	Detail	
1	31231 21263	 * 	213.47	DCR|4VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|347aVULN|4BPWR|5ASPD|6CDMG|8RCR|9AART
46	12311 26414	   	201.08	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4AART|57DMG|6aVULN|8ERES|9RCR
47	32312 23655	 * 	200.92	DCR|3VULN|1SPLARM|1AART|2CDMG	1RPLT|28CDMG|3RCVC|4AART|56aVULN|7SPLARM|9RCR
48	12311 26412	   	200.76	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4AART|57DMG|6VULN|8ERES|9RCR|aASPD
49	12311 23412	   	200.71	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	18ZMB|2DUR|3RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
50	23341 53412	   	200.71	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	1VULN|28ZMB|3RCVC|4DMG|5DUR|6AART|7aASPD|9RCR
51	12611 26412	   	200.66	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB|1DUR	13ZMB|2DUR|4AART|57DMG|6VULN|8ERES|9RCR|aASPD
52	21212 53312	   	200.61	DCR|3VULN|1AART|1ASPD|1DMG	13aVULN|2DUST|4DMG|5RMIN|6AART|7ASPD|8RCVC|9RCR
53	21213 53313	   	200.51	DCR|3VULN|1AART|1ASPD|1DMG	13aVULN|2DUST|4DMG|5TLV|6AART|7ASPD|8RCVC|9RCR
54	21215 53313	   	200.51	DCR|3VULN|1AART|1ASPD|1DMG|1AAC	13aVULN|2DUST|4DMG|5AAC|6AART|7ASPD|8RCVC|9RCR
55	21212 53316	 * 	200.37	DCR|2VULN|2DMG|1AART|1ASPD	13VULN|2DUST|4aDMG|5RMIN|6AART|7ASPD|8RCVC|9RCR
56	21215 53316	   	200.27	DCR|2VULN|2DMG|1AART|1ASPD|1AAC	13VULN|2DUST|4aDMG|5AAC|6AART|7ASPD|8RCVC|9RCR
57	31231 22263	   	199.23	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|34aVULN|4BPWR|5ASPD|6CDMG|7RCVC|8RCR|9AART
58	23363 31234	 * 	199.10	DCR|3ASPD|2VULN|1CDMG|1ZMB	19VULN|2ZMB|3RCVC|469ASPD|589BEXP|7RCR|9BPWR|aCDMG
59	16311 23312	   	199.06	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|28RCVC|3DUR|4AART|5DMG|6VULN|7aASPD|9RCR
60	23663 31234	   	199.00	DCR|3ASPD|2VULN|1CDMG|2ZMB	19VULN|23ZMB|469ASPD|589BEXP|7RCR|9BPWR|aCDMG
61	12311 23312	   	198.63	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1ZMB|2DUR|38RCVC|4AART|5DMG|6VULN|7aASPD|9RCR
62	23341 53312	   	198.63	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|2ZMB|38RCVC|4DMG|5DUR|6AART|7aASPD|9RCR
63	23361 56312	   	198.63	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|2ZMB|38RCVC|4aASPD|5DUR|6AART|7DMG|9RCR
64	12611 23312	   	198.58	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	13ZMB|2DUR|4AART|5DMG|6VULN|7aASPD|8RCVC|9RCR
65	23641 53312	   	198.58	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	1VULN|23ZMB|4DMG|5DUR|6AART|7aASPD|8RCVC|9RCR
66	11311 23413	   	198.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	18ZMB|2FEWX|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
67	23343 53413	   	198.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1aVULN|28ZMB|3RCVC|4DMG|5BEXP|6AART|7ASPD|9RCR
68	43311 23413	   	198.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1BEXP|28ZMB|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
69	63311 23413	   	198.56	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1FEWX|28ZMB|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
70	43621 31363	   	198.50	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	14BEXP|2ZMB|36ASPD|5DUR|7RCR|8aVULN|9AART
71	25632 61311	   	198.33	DCR|2VULN|3ZMB|1ASPD|1DMG|1DUR	14VULN|2RMIN|34aZMB|4BPWR|5LIT|6RCR|7DMG|8ASPD|9DUR
72	21233 23134	 * 	198.12	DCR|5VULN|2ASPD	13479VULN|24DUST|49BPWR|569BEXP|89ASPD|aRCR
73	31231 21255	   	198.00	DCR|4VULN|1ASPD|1CDMG|1DUR	1RPLT|24DUST|3479VULN|4BPWR|5ASPD|6CDMG|8RCR|aDUR
74	23361 53112	   	197.81	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1aVULN|2ZMB|3RCVC|47ASPD|5DUR|6AART|8RMIN|9RCR
75	23661 53112	   	197.71	DCR|2VULN|2ASPD|1AART|2ZMB|1DUR	1aVULN|23ZMB|47ASPD|5DUR|6AART|8RMIN|9RCR
76	23361 53413	   	197.71	DCR|2VULN|2ASPD|1AART|1ZMB|1DUR	1aVULN|2ZMB|3RCVC|47ASPD|5DUR|6AART|8ERES|9RCR
77	31231 21261	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|347VULN|4BPWR|5ASPD|6CDMG|8RCR|9AART|aMLV
78	31231 21265	   	197.62	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|347VULN|4BPWR|5ASPD|6CDMG|8RCR|9AART|aLHND
79	31231 21264	   	197.52	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|24DUST|347VULN|4BPWR|5ASPD|6CDMG|8RCR|9AART|aERES
80	31231 21266	   	197.52	DCR|3VULN|1AART|1ASPD|1CDMG|1SELL	1RPLT|24DUST|347VULN|4BPWR|5ASPD|6CDMG|8RCR|9AART|aSELL
81	31233 21236	   	197.52	DCR|3VULN|1AART|1ASPD|1CDMG|1AAC	1RPLT|24DUST|347VULN|4BPWR|5AAC|6CDMG|8RCR|9ASPD|aAART
82	23361 53116	   	197.49	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	1VULN|2ZMB|3RCVC|47ASPD|5DUR|6AART|8RMIN|9RCR|aDMG
83	31231 21252	 * 	197.12	DCR|4VULN|2CDMG|1ASPD	1RPLT|24DUST|3479VULN|4BPWR|5ASPD|6aCDMG|8RCR
84	21213 53312	   	196.90	DCR|2VULN|2ASPD|1AART|1DMG	13VULN|2DUST|4DMG|5TLV|6AART|7aASPD|8RCVC|9RCR
85	21215 53312	   	196.90	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	13VULN|2DUST|4DMG|5AAC|6AART|7aASPD|8RCVC|9RCR
86	16311 26116	 * 	196.88	DCR|3DMG|1VULN|1AART|1ZMB|1DUR	1ZMB|2RCVC|3DUR|4AART|57aDMG|6VULN|8RMIN|9RCR
87	21215 56112	 * 	196.86	DCR|3VULN|2DMG|1AART|1AAC	13aVULN|2DUST|47DMG|5AAC|6AART|8RMIN|9RCR
88	11311 23313	   	196.49	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|2FEWX|38RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
89	23343 53313	   	196.49	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1aVULN|2ZMB|38RCVC|4DMG|5BEXP|6AART|7ASPD|9RCR
90	23363 56313	   	196.49	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1aVULN|2ZMB|38RCVC|4ASPD|5BEXP|6AART|7DMG|9RCR
91	43311 23313	   	196.49	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1BEXP|2ZMB|38RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
92	63311 23313	   	196.49	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2ZMB|38RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
93	12311 26116	   	196.45	DCR|3DMG|1VULN|1AART|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4AART|57aDMG|6VULN|8RMIN|9RCR
94	23643 53313	   	196.43	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB	1aVULN|23ZMB|4DMG|5BEXP|6AART|7ASPD|8RCVC|9RCR
95	23344 53313	   	196.39	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1aVULN|2ZMB|38RCVC|4DMG|5DUST|6AART|7ASPD|9RCR
96	31231 21235	   	196.37	DCR|3VULN|2ASPD|1CDMG|1DUR	1RPLT|24DUST|347VULN|4BPWR|59ASPD|6CDMG|8RCR|aDUR
97	12611 26116	   	196.36	DCR|3DMG|1VULN|1AART|2ZMB|1DUR	13ZMB|2DUR|4AART|57aDMG|6VULN|8RMIN|9RCR
98	12311 26416	   	196.35	DCR|3DMG|1VULN|1AART|1ZMB|1DUR	1ZMB|2DUR|3RCVC|4AART|57aDMG|6VULN|8ERES|9RCR
99	21435 13262	 * 	196.19	ACR|3VULN|3ASPD|2DMG	14aVULN|234DUST|4aBPWR|5RCR|6LHND|78aASPD|9aDMG
100	23153 51236	   	195.93	DCR|2VULN|1MDPS|2ASPD|1DMG|2DUR|1AAC|1ZMB	17VULN|2ZMB|3MDPS|47DUR|57ASPD|6AAC|7BPWR|8DUST|9RCR|aDMG
101	11311 23416	   	195.77	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB	18ZMB|2FEWX|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
102	43311 23416	   	195.77	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB	1BEXP|28ZMB|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
103	63311 23416	   	195.77	DCR|2DMG|1VULN|1AART|1ASPD|2ZMB	1FEWX|28ZMB|3RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
104	32312 23154	 * 	195.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1RPLT|2CDMG|3RCVC|4AART|56VULN|7SPLARM|8ERES|9RCR|aDMG
105	32312 23243	 * 	195.62	DCR|1SPLARM|2VULN|1MDPS|1AART|1DMG|1CDMG	1RPLT|2CDMG|3RCVC|4AART|56VULN|7SPLARM|8MDPS|9RCR|aDMG
106	31231 22254	   	195.51	DCR|3VULN|1ASPD|1DMG|1CDMG	1RPLT|24DUST|349VULN|4BPWR|5ASPD|6CDMG|7RCVC|8RCR|aDMG
107	31231 22256	   	195.51	DCR|3VULN|1ASPD|1NUKE|1CDMG	1RPLT|24DUST|349VULN|4BPWR|5ASPD|6CDMG|7RCVC|8RCR|aNUKE
108	31231 21232	   	195.49	DCR|3VULN|2ASPD|2CDMG	1RPLT|24DUST|347VULN|4BPWR|59ASPD|6aCDMG|8RCR
109	11311 23613	   	195.35	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1ZMB|28FEWX|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
110	23343 53513	   	195.35	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1aVULN|2ZMB|3RCVC|4DMG|58BEXP|6AART|7ASPD|9RCR
111	43311 23513	   	195.35	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18BEXP|2ZMB|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
112	63311 23613	   	195.35	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	18FEWX|2ZMB|3RCVC|4AART|5DMG|6aVULN|7ASPD|9RCR
113	25341 53312	   	194.46	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1aVULN|2RMIN|38RCVC|4DMG|5DUR|6AART|7ASPD|9RCR
114	25633 53312	   	194.30	DCR|3VULN|1AART|1ASPD|2ZMB	14aVULN|2RMIN|34ZMB|4BPWR|5BEXP|6AART|7ASPD|8RCVC|9RCR
115	43361 31352	   	194.28	DCR|2VULN|2ASPD|1CDMG|1ZMB|1DUR	1BEXP|2ZMB|3RCVC|46ASPD|5DUR|7RCR|89VULN|aCDMG
116	23361 11335	   	194.12	DCR|2VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	17VULN|2ZMB|3RCVC|4ASPD|5DUR|6LHND|8CDMG|9DMG|aRCR
117	12133 34611	 * 	194.08	DCR|2VULN|1MDPS|1ASPD|1DMG|3DUR|2ZMB	14ZMB|248DUR|3MDPS|4BPWR|5aVULN|6ASPD|7RCR|9DMG
118	23661 11335	   	194.03	DCR|2VULN|1ASPD|1DMG|1CDMG|2ZMB|1DUR	17VULN|23ZMB|4ASPD|5DUR|6LHND|8CDMG|9DMG|aRCR
119	31231 21213	   	193.91	DCR|3VULN|1ASPD|1DMG|1CDMG	1RPLT|24DUST|347VULN|4BPWR|5ASPD|6CDMG|8RCR|9BEXP|aDMG
120	12163 51236	   	193.90	DCR|2VULN|1MDPS|2ASPD|1DMG|1AAC|2ZMB|1DUR	17ZMB|2DUR|3MDPS|47VULN|57ASPD|6AAC|7BPWR|8DUST|9RCR|aDMG
121	21435 33613	 * 	193.87	ACR|3VULN|1MDPS|1AART|1ASPD|1DMG	146VULN|234DUST|46BPWR|5RCR|7AART|8ASPD|9DMG|aMDPS
122	32312 23521	   	193.72	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	19RPLT|2CDMG|3RCVC|4AART|56VULN|7SPLARM|8DMG|aRCR
123	32312 23553	   	193.72	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1RPLT|2CDMG|3RCVC|4AART|56VULN|7SPLARM|8DMG|9MLV|aRCR
124	32312 26441	   	193.72	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1RPLT|2CDMG|3RCVC|4AART|56VULN|7DMSP|8DMG|9SPLARM|aRCR
125	32312 26541	   	193.72	DCR|1SPLARM|2VULN|1AART|1ASPD|1CDMG	1RPLT|2CDMG|3RCVC|4AART|56VULN|7DMSP|8ASPD|9SPLARM|aRCR
126	11311 23316	   	193.70	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1ZMB|2FEWX|38RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
127	23343 53316	   	193.70	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1VULN|2ZMB|38RCVC|4aDMG|5BEXP|6AART|7ASPD|9RCR
128	43311 23316	   	193.70	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1BEXP|2ZMB|38RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
129	63311 23316	   	193.70	DCR|2DMG|1VULN|1AART|1ASPD|1ZMB	1FEWX|2ZMB|38RCVC|4AART|5aDMG|6VULN|7ASPD|9RCR
130	41123 13536	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1BEXP|2DUST|378VULN|4AELBLL|5DUR|6RCR|9ASPD|aAART
131	61123 13536	   	193.68	DCR|3VULN|1AART|1ASPD|1DUR	1FEWX|2DUST|378VULN|4AELBLL|5DUR|6RCR|9ASPD|aAART
132	32312 23543	   	193.62	DCR|1SPLARM|2VULN|1AART|1DMG|1CDMG	1RPLT|2CDMG|3RCVC|4AART|56VULN|7SPLARM|8DMG|9ERES|aRCR
133	21215 53512	   	193.62	DCR|2VULN|2ASPD|1AART|1DMG|1AAC	13VULN|2DUST|4DMG|5AAC|6AART|79ASPD|8ERES|aRCR
134	31231 21125	   	193.52	DCR|3VULN|1AART|1ASPD|1CDMG	1RPLT|248DUST|347VULN|4BPWR|5ASPD|6CDMG|9AART|aRCR
135	11363 31363	   	193.50	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2FEWX|3RCVC|46ASPD|5BEXP|7RCR|8aVULN|9AART
136	23363 31463	   	193.50	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8FEWX|9AART
137	23363 31513	   	193.50	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8CGEN|9AART
138	63363 31363	   	193.50	DCR|2VULN|2ASPD|1AART|1ZMB	1FEWX|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8aVULN|9AART
139	11633 31363	   	193.41	DCR|2VULN|2ASPD|1AART|2ZMB	14ZMB|2FEWX|36ASPD|5BEXP|7RCR|8aVULN|9AART
140	23663 31513	   	193.41	DCR|2VULN|2ASPD|1AART|2ZMB	1aVULN|23ZMB|46ASPD|5BEXP|7RCR|8CGEN|9AART
141	63633 31363	   	193.41	DCR|2VULN|2ASPD|1AART|2ZMB	1FEWX|24ZMB|36ASPD|5BEXP|7RCR|8aVULN|9AART
142	23363 31163	   	193.40	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8DUST|9AART
143	23363 31673	   	193.40	DCR|2VULN|2ASPD|1AART|1ZMB	1aVULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8MBVNT|9AART
144	23663 31163	   	193.31	DCR|2VULN|2ASPD|1AART|2ZMB	1aVULN|23ZMB|46ASPD|5BEXP|7RCR|8DUST|9AART
145	31233 21263	   	193.30	DCR|4VULN|1AART|1CDMG|1AAC	1RPLT|24DUST|347aVULN|4BPWR|5AAC|6CDMG|8RCR|9AART
146	32312 23653	   	193.30	DCR|1SPLARM|2VULN|1AART|2CDMG|1AAC	1RPLT|28CDMG|3RCVC|4AART|56VULN|7SPLARM|9RCR|aAAC
147	42311 23442	   	193.25	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1BEXP|2ERES|3RCVC|4AART|5DMG|69VULN|7ASPD|8ZMB|aRCR
148	62311 23442	   	193.25	DCR|2VULN|1AART|1ASPD|1DMG|1ZMB	1FEWX|2ERES|3RCVC|4AART|5DMG|69VULN|7ASPD|8ZMB|aRCR
149	23363 31516	   	193.18	DCR|2ASPD|1AART|1VULN|1DMG|1ZMB	1VULN|2ZMB|3RCVC|46ASPD|5BEXP|7RCR|8CGEN|9AART|aDMG
150	11653 31363	   	193.08	DCR|2VULN|2ASPD|1AART|1ZMB	1ZMB|2FEWX|36ASPD|4RCVC|5BEXP|7RCR|8aVULN|9AART
151	31231 21251	   	193.03	DCR|4VULN|1ASPD|1CDMG|1AAC	1RPLT|24DUST|3479VULN|4BPWR|5ASPD|6CDMG|8RCR|aAAC
152	23342 61143	   	192.92	DCR|3VULN|2DMG|1ZMB	19aVULN|2ZMB|3RCVC|47DMG|5LIT|6RCR|8AME
153	43643 31331	   	192.89	DCR|3ASPD|2VULN|2DUR|1ZMB	1BEXP|2ZMB|369ASPD|45DUR|7RCR|8aVULN
154	11311 26112	   	192.87	DCR|2VULN|2DMG|1AART|1ZMB	1ZMB|2FEWX|3RCVC|4AART|57DMG|6aVULN|8RMIN|9RCR
155	23343 56112	   	192.87	DCR|2VULN|2DMG|1AART|1ZMB	1aVULN|2ZMB|3RCVC|47DMG|5BEXP|6AART|8RMIN|9RCR
156	43311 26112	   	192.87	DCR|2VULN|2DMG|1AART|1ZMB	1BEXP|2ZMB|3RCVC|4AART|57DMG|6aVULN|8RMIN|9RCR
157	63311 26112	   	192.87	DCR|2VULN|2DMG|1AART|1ZMB	1FEWX|2ZMB|3RCVC|4AART|57DMG|6aVULN|8RMIN|9RCR
