0	Index      	 *	Score 	Summary	Detail	
1	42121 15152	 * 	228.88	DCR|3DMG|2VULN|1AART|1CDMG|2DUR	1AART|2aBEXP|349DMG|5CDMG|6aDUR|7RCR|8aVULN|aBPWR
19	42121 15153	 * 	210.48	DCR|3DMG|1VULN|1AART|2CDMG|1DUR	1AART|2BEXP|349DMG|5aCDMG|6DUR|7RCR|8VULN
20	24222 22122	   	210.08	DCR|2VULN|2DMG|2ASPD|1CDMG	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9LHND|aCDMG
21	24222 22543	   	210.08	DCR|2VULN|2DMG|2ASPD|1CDMG	1LIT|26DMG|3aVULN|4CGEN|56ASPD|6BPWR|7RCR|8RMIN|9CDMG
22	24222 22243	   	209.98	DCR|2VULN|2DMG|2ASPD|1CDMG	1LIT|26DMG|3aVULN|4CGEN|56ASPD|6BPWR|7RCR|8ERES|9CDMG
23	24222 22343	   	209.98	DCR|2VULN|2DMG|2ASPD|1CDMG|1AAC	1LIT|26DMG|3aVULN|4CGEN|56ASPD|6BPWR|7RCR|8AAC|9CDMG
24	42231 26413	 * 	209.55	DCR|2VULN|2AART|2DMG|1CDMG|1AAC	13AART|29BEXP|49DMG|5CDMG|6ERES|79VULN|8AAC|9BPWR|aRCR
25	24222 22146	   	208.91	DCR|2VULN|2DMG|2ASPD|1AAC|1DUR	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9DUR|aAAC
26	41242 21363	 * 	207.74	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1AART|2LIT|3ASPD|478VULN|5DUR|6ERES|9RCR|aDMG
27	42121 15132	 * 	207.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2BEXP|34DMG|5CDMG|6DUR|7RCR|8VULN|9RPLT|aASPD
28	46121 15132	   	207.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2FEWX|34DMG|5CDMG|6DUR|7RCR|8VULN|9RPLT|aASPD
29	24222 14224	 * 	206.95	DCR|2VULN|1MDPS|3ZMB|1ASPD|1DMG	19LIT|2DMG|39VULN|4CGEN|5ASPD|689ZMB|7RCR|9BPWR|aMDPS
30	32156 54242	   	206.89	DCR|3VULN|2DMG|1ASPD|2DUR	17DUST|24DUR|347VULN|47BPWR|57DMG|6MBVNT|8BEXP|9RCR|aASPD
31	32136 54481	   	206.79	DCR|3VULN|2DMG|1ASPD|2DUR	17DUST|24DUR|378VULN|57DMG|6MBVNT|7BPWR|9RCR|aASPD
32	24222 22125	   	206.76	DCR|3ASPD|2VULN|2DMG	1LIT|26DMG|38VULN|4CGEN|56aASPD|6BPWR|7RCR|9LHND
33	42121 15112	 * 	206.23	DCR|2DMG|1MDPS|1AART|1VULN|1CDMG|1DUR	1AART|2BEXP|34DMG|5CDMG|6DUR|7RCR|8VULN|9LHND|aMDPS
34	46121 15112	   	206.23	DCR|2DMG|1MDPS|1AART|1VULN|1CDMG|1DUR	1AART|2FEWX|34DMG|5CDMG|6DUR|7RCR|8VULN|9LHND|aMDPS
35	24222 14343	   	206.09	DCR|2VULN|2DMG|1ASPD|1CDMG|1ZMB	1LIT|28DMG|3aVULN|4CGEN|5ASPD|6ZMB|7RCR|9CDMG
36	42231 15132	 * 	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	13AART|2BEXP|4DMG|5CDMG|6DUR|7RCR|8VULN|9RPLT|aASPD
37	46231 15132	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	13AART|2FEWX|4DMG|5CDMG|6DUR|7RCR|8VULN|9RPLT|aASPD
38	41246 12223	 * 	204.80	DCR|3DMG|1AART|1VULN|1ASPD|1ZMB	1AART|2LIT|3ASPD|4VULN|56aDMG|7ZMB|8DUST|9RCR
39	42231 15112	 * 	204.71	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1DUR	13AART|2BEXP|4DMG|5CDMG|6DUR|7RCR|8VULN|9LHND|aMDPS
40	46231 15112	   	204.71	DCR|2AART|1MDPS|1VULN|1DMG|1CDMG|1DUR	13AART|2FEWX|4DMG|5CDMG|6DUR|7RCR|8VULN|9LHND|aMDPS
41	42231 15152	   	203.48	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	13AART|2BEXP|49DMG|5CDMG|6DUR|7RCR|8VULN|aLHND
42	42121 15122	   	203.48	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|2BEXP|34DMG|5CDMG|6DUR|7RCR|8VULN|9CGEN
43	42121 15134	   	203.48	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|2BEXP|34DMG|5CDMG|6DUR|7RCR|8VULN|9RPLT
44	46121 15122	   	203.48	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1aAART|2FEWX|34DMG|5CDMG|6DUR|7RCR|8VULN|9CGEN
45	42231 15151	   	203.38	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	13AART|2BEXP|49DMG|5CDMG|6DUR|7RCR|8VULN|aDUST
46	42231 15153	   	203.38	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	13AART|2BEXP|49DMG|5CDMG|6DUR|7RCR|8VULN|aMBVNT
47	24221 16363	   	203.19	DCR|3DMG|2VULN|1AART|1DUR	1LIT|26aDMG|38VULN|4CGEN|5AART|7DUR|9RCR
48	42121 15151	   	203.05	DCR|3DMG|1AART|1VULN|1CDMG|1DUR	1AART|2BEXP|349DMG|5CDMG|6DUR|7RCR|8VULN|aLHND
49	24222 14143	 * 	202.79	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1ZMB|1DUR	1LIT|2DMG|3VULN|4CGEN|5ASPD|6ZMB|7RCR|8AART|9DUR|aMDPS
50	42121 15211	 * 	202.41	DCR|2DMG|1MDPS|1AART|2CDMG|1NUKE|1DUR	1AART|2BEXP|34DMG|59CDMG|6DUR|7RCR|8NUKE|aMDPS
51	42121 15231	   	202.41	DCR|2DMG|1MDPS|1AART|1NUKE|1CDMG|1DUR	1AART|29BEXP|34DMG|5CDMG|6DUR|7RCR|8NUKE|aMDPS
52	46121 15211	   	202.41	DCR|2DMG|1MDPS|1AART|2CDMG|1NUKE|1DUR	1AART|2FEWX|34DMG|59CDMG|6DUR|7RCR|8NUKE|aMDPS
53	24222 22521	 * 	202.23	DCR|3DMG|3ASPD|1VULN	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8RMIN|aFEWX
54	24222 22522	   	202.23	DCR|3DMG|3ASPD|1VULN	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8RMIN|aAME
55	24222 22524	   	202.23	DCR|3DMG|3ASPD|1VULN	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8RMIN|aDMSP
56	24222 22526	   	202.23	DCR|3DMG|3ASPD|1VULN	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8RMIN|aLHND
57	24222 22141	   	202.14	DCR|2VULN|2DMG|2ASPD|1DUR	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9DUR|aRPLT
58	24222 22143	   	202.14	DCR|2VULN|2DMG|2ASPD|1DUR	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9DUR|aBEXP
59	24222 22321	   	202.13	DCR|3DMG|3ASPD|1VULN|1AAC	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8AAC|aFEWX
60	24222 22322	   	202.13	DCR|3DMG|3ASPD|1VULN|1AAC	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8AAC|aAME
61	24222 22324	   	202.13	DCR|3DMG|3ASPD|1VULN|1AAC	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8AAC|aDMSP
62	24222 22326	   	202.13	DCR|3DMG|3ASPD|1VULN|1AAC	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8AAC|aLHND
63	24222 22523	   	202.13	DCR|3DMG|3ASPD|1VULN	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8RMIN|aERES
64	24222 22525	   	202.13	DCR|3DMG|3ASPD|1VULN	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8RMIN|aDUST
65	24222 22323	   	202.03	DCR|3DMG|3ASPD|1VULN|1AAC	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8AAC|aERES
66	24222 22325	   	202.03	DCR|3DMG|3ASPD|1VULN|1AAC	19LIT|269DMG|3VULN|4CGEN|569ASPD|69BPWR|7RCR|8AAC|aDUST
67	42121 13465	   	201.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1AART|2BEXP|34DMG|5CDMG|6DUR|7MBVNT|8ASPD|9VULN|aRCR
68	25264 33312	 * 	201.19	DCR|3VULN|3ASPD|1CDMG	14LIT|256ASPD|357VULN|5BPWR|8RCR|9AELBLL|aCDMG
69	42623 33313	 * 	201.10	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29BEXP|3RMIN|49DMG|57VULN|6AME|89CDMG|9BPWR|aRCR
70	46163 33313	   	201.10	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29FEWX|39DMG|4RMIN|57VULN|6AME|89CDMG|9BPWR|aRCR
71	46623 33313	   	201.10	DCR|2VULN|2DMG|1AART|2CDMG	1AART|29FEWX|3RMIN|49DMG|57VULN|6AME|89CDMG|9BPWR|aRCR
72	42231 15211	 * 	200.90	DCR|2AART|1MDPS|2CDMG|1DMG|1NUKE|1DUR	13AART|2BEXP|4DMG|59CDMG|6DUR|7RCR|8NUKE|aMDPS
73	42231 15231	   	200.90	DCR|2AART|1MDPS|1DMG|1NUKE|1CDMG|1DUR	13AART|29BEXP|4DMG|5CDMG|6DUR|7RCR|8NUKE|aMDPS
74	46231 15211	   	200.90	DCR|2AART|1MDPS|2CDMG|1DMG|1NUKE|1DUR	13AART|2FEWX|4DMG|59CDMG|6DUR|7RCR|8NUKE|aMDPS
75	24222 22126	   	200.61	DCR|2VULN|2DMG|2ASPD|1AAC	1LIT|26DMG|38VULN|4CGEN|56ASPD|6BPWR|7RCR|9LHND|aAAC
76	14313 11362	 * 	200.40	DCR|3VULN|1MDPS|1AART|1DMG	1CGEN|2RCVC|356VULN|46LHND|6BPWR|7DMG|8RCR|9AART|aMDPS
77	14313 24362	   	200.30	DCR|3VULN|1MDPS|1AART|1DMG	1CGEN|2RCVC|357VULN|4LHND|6DMG|8RCR|9AART|aMDPS
78	15313 24362	   	200.30	DCR|3VULN|1MDPS|1AART|1DMG	1CGEN|24LWND|357VULN|6DMG|8RCR|9AART|aMDPS
79	24222 14142	   	200.21	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LIT|2DMG|3VULN|4CGEN|5ASPD|6ZMB|7RCR|8AART|9DUR|aCDMG
80	24222 22232	   	199.93	DCR|2DMG|2ASPD|1VULN|1CDMG|1ZMB	1LIT|26DMG|3VULN|4CGEN|56ASPD|6BPWR|7RCR|8ERES|9ZMB|aCDMG
81	42231 13465	   	199.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	13AART|2BEXP|4DMG|5CDMG|6DUR|7MBVNT|8ASPD|9VULN|aRCR
82	16121 61363	   	199.53	DCR|3VULN|1AART|1ASPD|1DMG	1CGEN|2ASPD|3LHND|4LIT|5AART|678VULN|9RCR|aDMG
83	41226 61232	   	199.29	DCR|2VULN|2DMG|1AART|1ASPD	1AART|2LIT|3ASPD|4LWND|5aDMG|67VULN|8MLV|9RCR
84	25226 33313	   	199.12	DCR|3VULN|1AART|1ASPD|2ZMB	19LIT|2ASPD|379VULN|4CGEN|5ERES|6RCR|89ZMB|9BPWR|aAART
