0	Index      	 *	Score 	Summary	Detail	
1	54441 54344	 * 	294.00	橙3易伤3矿等3时间1暴击	1加一28a时间38a易伤4暴击5敌人爆炸6全技能78a矿等8a序列升级9核
16	51424 64374	   	274.03	橙3易伤3矿等1暴击	1加一28a低血量敌人38a易伤4基地爆炸5全技能6暴击78a矿等8a序列升级9核
17	53232 52181	 * 	272.02	橙3矿等2伤害1易伤2攻速	1加一28伤害3赏金邻近4双倍秒伤578矿等68攻速8序列升级9核a易伤
18	26822 17144	   	271.82	橙橙2易伤1等级	1寒冰对冰2加一38易伤4等级5最后敌人6策反7a核9敌人爆炸
19	26821 84244	   	271.72	橙橙2易伤1等级	1寒冰对冰2加一37易伤4等级5挖尘6a核8策反9低血量敌人
20	26821 14144	   	271.72	橙橙2易伤1等级	1寒冰对冰2加一38易伤4等级5挖尘6策反7a核9低血量敌人
21	26822 17134	   	271.72	橙橙2易伤1等级	1寒冰对冰2加一38易伤4等级5最后敌人6策反7a核9挖尘
22	26824 14134	   	271.72	橙橙2易伤1等级	1寒冰对冰2加一38易伤4等级5敌人爆炸6策反7a核9挖尘
23	54441 53344	 * 	271.34	橙3易伤3等级3时间1暴击	1加一28a时间38a易伤4暴击5敌人爆炸6全技能78a等级8a序列升级9核
24	54233 61283	   	270.62	橙橙1等级1矿等2时间1暴击	1加一24时间3暴击5敌人爆炸6矿等7平台89核a等级
25	32533 23361	 * 	270.59	橙2易伤2等级3攻速1伤害	1平台28易伤3全技能48a攻速5基地爆炸6伤害78等级8序列升级9核
26	52324 32453	   	269.74	橙橙2等级1矿等1暴击	1加一2双倍秒伤3掉矿45等级69核7矿等8额外掉落a暴击
27	52231 33844	   	269.04	橙2易伤2矿等2伤害1技能	1加一2双倍秒伤3随机矿4全技能5a矿等6技能7a易伤8a伤害9核a序列升级
28	57422 32452	   	268.12	橙橙2易伤1矿等	1加一2敌人爆炸35易伤45基地爆炸5序列升级69核7矿等8额外掉落a挖尘
29	57422 32453	   	268.12	橙橙2易伤1矿等	1加一2敌人爆炸35易伤45基地爆炸5序列升级69核7矿等8额外掉落a烈焰减费
30	57422 32454	   	268.12	橙橙2易伤1矿等1挖怪	1加一2敌人爆炸35易伤45基地爆炸5序列升级69核7矿等8额外掉落a挖怪
31	54441 54744	   	266.65	橙3矿等2易伤2时间1暴击	1加一2a时间3a易伤4暴击5敌人爆炸6全技能78a矿等9核a序列升级
32	32533 23364	   	265.67	橙2易伤2等级2攻速1伤害	1平台28易伤3全技能48攻速5基地爆炸6伤害78等级8序列升级9核a时间
33	26821 74444	   	265.58	橙橙1等级1易伤1伤害	1寒冰对冰2加一3易伤4等级5挖尘6伤害7a核8双倍矿9低血量敌人
34	26821 82444	   	265.58	橙橙1等级1易伤1伤害	1寒冰对冰2加一3易伤4等级5挖尘6a核7伤害8双倍矿9低血量敌人
35	53214 11415	 * 	265.58	橙橙1等级2技能1伤害	1加一2伤害3赏金邻近4平台56技能7a核8雷电9等级
36	26824 74434	   	265.58	橙橙1等级1易伤1伤害	1寒冰对冰2加一3易伤4等级5敌人爆炸6伤害7a核8双倍矿9挖尘
37	26824 82434	   	265.58	橙橙1等级1易伤1伤害	1寒冰对冰2加一3易伤4等级5敌人爆炸6a核7伤害8双倍矿9挖尘
38	56338 24144	   	265.58	橙橙1等级1易伤1伤害	1加一2赏金邻近3等级4双倍秒伤5策反6伤害7平台8a核9易伤
39	58238 24144	   	265.58	橙橙1等级1易伤1伤害	1加一2等级3赏金邻近4双倍秒伤5策反6伤害7平台8a核9易伤
40	26623 82144	   	265.48	橙橙1等级1易伤1伤害	1寒冰对冰2加一3挖尘4等级5挖青6a核7伤害8易伤9最后敌人
41	26821 74244	   	265.48	橙橙1易伤1等级1伤害	1寒冰对冰2加一3易伤4等级5挖尘6伤害7a核8烈焰减费9低血量敌人
42	26821 82244	   	265.48	橙橙1易伤1等级1伤害	1寒冰对冰2加一3易伤4等级5挖尘6a核7伤害8烈焰减费9低血量敌人
43	26824 74234	   	265.48	橙橙1易伤1等级1伤害	1寒冰对冰2加一3易伤4等级5敌人爆炸6伤害7a核8烈焰减费9挖尘
44	26824 82234	   	265.48	橙橙1易伤1等级1伤害	1寒冰对冰2加一3易伤4等级5敌人爆炸6a核7伤害8烈焰减费9挖尘
45	53633 14334	   	265.48	橙橙1等级1易伤1伤害	1加一2伤害3风暴减费4最后敌人5易伤6基地爆炸7a核8寒冰对甲9等级
46	26244 53482	 * 	265.38	橙橙1等级1易伤3时间	1寒冰对冰2加一3双倍秒伤457时间6易伤8等级9a核
47	53633 14234	   	265.38	橙橙1等级1易伤1伤害	1加一2伤害3风暴减费4最后敌人5易伤6基地爆炸7a核8基础对甲9等级
48	53683 14334	   	265.38	橙橙1等级1易伤1伤害	1加一2伤害3风暴减费4挖尘5易伤6基地爆炸7a核8寒冰对甲9等级
49	52134 53482	   	265.28	橙橙1易伤1等级3时间	1加一2双倍秒伤357时间4激光对绿6易伤8等级9a核
50	53683 14234	   	265.28	橙橙1等级1易伤1伤害	1加一2伤害3风暴减费4挖尘5易伤6基地爆炸7a核8基础对甲9等级
51	54323 44283	 * 	264.73	橙橙2矿等1暴击	1加一2时间3赏金塔4暴击5平台6a矿等79核8随机技能
52	56423 44283	   	264.73	橙橙2矿等1暴击	1加一2赏金邻近3时间4暴击5平台6a矿等79核8随机技能
