0	Index      	 *	Score 	Summary	Detail	
1	52122 33434	 * 	315.66	DCR|DCR|1VULN|1TLV|1MLV|1AAC|1ASPD	1BELT|2MLV|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aAAC
23	53532 33432	   	290.36	DCR|DCR|1VULN|1TLV|1MLV|1ASPD	1BELT|2aERES|3AME|4MLV|5VULN|68RCR|7ASPD|9TLV
24	32122 62621	   	289.70	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|25VULN|345DUR|5BPWR|6CGEN|79RCR|8CDMG|aZMB
25	32122 62624	   	289.70	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|25VULN|345DUR|5BPWR|6CGEN|79RCR|8CDMG|aFEWX
26	32151 52621	   	289.70	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|24VULN|346DUR|4BPWR|5CGEN|79RCR|8CDMG|aZMB
27	32122 62622	   	289.60	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|25VULN|345DUR|5BPWR|6CGEN|79RCR|8CDMG|aERES
28	32122 62623	   	289.60	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|25VULN|345DUR|5BPWR|6CGEN|79RCR|8CDMG|aDUST
29	32122 62626	   	289.60	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|25VULN|345DUR|5BPWR|6CGEN|79RCR|8CDMG|aBEXP
30	32151 52622	   	289.60	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|24VULN|346DUR|4BPWR|5CGEN|79RCR|8CDMG|aERES
31	32151 52623	   	289.60	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|24VULN|346DUR|4BPWR|5CGEN|79RCR|8CDMG|aDUST
32	32121 52625	   	289.60	DCR|DCR|2VULN|3DUR|1ASPD|1CDMG	1ASPD|2aVULN|346DUR|5CGEN|79RCR|8CDMG
33	66323 33225	 * 	288.57	ACR|DCR|2DMG|1VULN|1TLV|1MLV|1CDMG	1CDMG|2aDMG|3RMIN|4VULN|58RCR|6FEWX|7TLV|9MLV
34	51122 33434	   	287.07	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1BELT|2AME|3AEFBLL|4DUR|5VULN|68RCR|7ASPD|9TLV|aAAC
35	53122 33434	   	286.97	DCR|DCR|1VULN|1TLV|1AAC|1ASPD	1BELT|2ERES|3AEFRZ|4DUR|5VULN|68RCR|7ASPD|9TLV|aAAC
