0	Index      	 *	Score 	Summary	Detail	
1	36417 21641	 * 	302.81	DCR|DCR|1VULN|1TLV|1MLV|1DMG|1SELL	1MBVNT|2DMG|3SELL|4TLV|5DUR|68RCR|7LWND|9MLV|aVULN
14	36418 81324	 * 	284.72	DCR|2VULN|2MLV|2DMG|1TLV|1SELL	1MBVNT|28DMG|3SELL|4TLV|58VULN|6AART|78MLV|8BPWR|9RCR|aERES
15	36327 21641	 * 	284.61	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1MBVNT|2DMG|3CGEN|4CDMG|5DUR|68RCR|7LWND|9MLV|aVULN
16	37127 21641	   	284.61	DCR|DCR|1VULN|1MLV|1DMG|1CDMG	1MBVNT|2CGEN|3DMG|4CDMG|5DUR|68RCR|7LWND|9MLV|aVULN
17	36183 47433	 * 	284.48	DCR|DCR|2DMG|1VULN|1AAC|1CDMG	1MBVNT|23DMG|4AAC|5DLOT|6RMIN|78RCR|9VULN|aCDMG
18	34644 17433	   	284.39	DCR|2VULN|2MLV|2TLV|1ASPD|2AART	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6aAART|7RCR|8BPWR|9ASPD
19	36183 27433	   	284.38	DCR|DCR|2DMG|1VULN|1AAC|1CDMG	1MBVNT|23DMG|4AAC|5DLOT|6ERES|78RCR|9VULN|aCDMG
20	34644 17484	 * 	284.02	DCR|3MLV|2VULN|2TLV	1MBVNT|28VULN|39DMSP|48aMLV|58TLV|6AART|7RCR|8BPWR
21	34643 57244	   	283.92	DCR|3MLV|2VULN|2TLV	1MBVNT|29VULN|3DMSP|49aMLV|5DLOT|69TLV|7RCR|8AART|9BPWR
22	34643 84154	 * 	282.89	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6DUR|7LHND|8TLV|9aRCR
23	34644 17411	   	281.65	DCR|2VULN|2MLV|2TLV|1DMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9FEWX|aDMG
24	34644 17421	   	281.65	DCR|2VULN|2MLV|2TLV|1DMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9LHND|aDMG
25	32163 21641	   	281.44	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1MBVNT|2DUR|3AME|4CDMG|5AAC|68RCR|7LWND|9MLV|aVULN
26	32563 21641	   	281.34	DCR|DCR|1VULN|1MLV|1AAC|1CDMG	1MBVNT|2DUR|3ERES|4CDMG|5AAC|68RCR|7LWND|9MLV|aVULN
27	32168 21641	   	280.80	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1MBVNT|2DUR|3AME|4CDMG|5ASPD|68RCR|7LWND|9MLV|aVULN
28	36413 23257	 * 	280.76	DCR|DCR|3DMG|2TLV|1SELL	1MBVNT|278DMG|3SELL|48TLV|58BEXP|6aRCR|8BPWR|9RPLT
29	36488 24132	 * 	280.42	DCR|3VULN|2DMG|1TLV|2ASPD|1SELL	1MBVNT|27DMG|3SELL|47aVULN|57ASPD|6RCR|7BPWR|8LHND|9TLV
30	36488 24232	 * 	280.42	DCR|3VULN|2DMG|1TLV|2ASPD|1SELL	1MBVNT|27DMG|3SELL|47aVULN|57ASPD|6RCR|7BPWR|8LWND|9TLV
31	36488 24424	 * 	280.32	DCR|3VULN|2DMG|1TLV|2ASPD|1SELL	1MBVNT|27DMG|3SELL|479VULN|57ASPD|6RCR|7BPWR|8ERES|aTLV
32	32122 61426	 * 	279.97	DCR|DCR|3TLV|1VULN	1MBVNT|2DUR|3AME|4LIT|58aTLV|69RCR|7VULN
33	36533 32374	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1MBVNT|2DMG|3VULN|4LWND|5MLV|6AAC|7aRCR|8NUKE|9BBNT
34	36743 32374	   	279.44	DCR|DCR|1VULN|1MLV|1DMG|1AAC	1MBVNT|2DMG|3LWND|4VULN|5MLV|6AAC|7aRCR|8NUKE|9BBNT
35	22215 41511	   	278.98	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|2RAT|1CDMG	1AAC|2aRAT|3TLV|4DMG|5MLV|6CDMG|7RCR|89VULN
36	34644 17435	   	277.84	DCR|2VULN|2MLV|2TLV|1ASPD	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9ASPD|aLIT
37	34644 17436	   	277.84	DCR|2VULN|2MLV|2TLV|1ASPD	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9ASPD|aRCVC
38	34644 17437	   	277.84	DCR|2VULN|2MLV|2TLV|1ASPD	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9ASPD|aCGEN
39	15113 21615	   	277.77	DCR|DCR|2DMG|1VULN|1AAC	1NUKE|2LHND|37DMG|4AAC|5MULARM|6RAT|8aRCR|9VULN
40	36183 47431	   	277.77	DCR|DCR|2DMG|1VULN|1AAC	1MBVNT|23DMG|4AAC|5DLOT|6RMIN|78RCR|9VULN|aRAT
41	34644 17431	   	277.74	DCR|2VULN|2MLV|2TLV|1ASPD	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9ASPD|aERES
42	34644 17434	   	277.74	DCR|2VULN|2MLV|2TLV|1ASPD	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9ASPD|aAEFBLL
43	34644 17438	   	277.74	DCR|2VULN|2MLV|2TLV|1ASPD|1MSE	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9ASPD|aMSE
44	36183 27431	   	277.67	DCR|DCR|2DMG|1VULN|1AAC	1MBVNT|23DMG|4AAC|5DLOT|6ERES|78RCR|9VULN|aRAT
45	36245 47142	 * 	277.04	ACR|DCR|3VULN|2DMG	1MBVNT|28DMG|3LHND|48aVULN|57RCR|68LWND|8BPWR|9DUR
46	36245 37142	   	276.94	ACR|DCR|3VULN|2DMG	1MBVNT|28DMG|38LHND|48aVULN|57RCR|6LEGI|8BPWR|9DUR
47	34815 37322	   	276.37	ACR|DCR|2VULN|1TLV|1DMG|1AAC	1MBVNT|2aVULN|3DUST|4AAC|57RCR|6LHND|8DMG|9TLV
48	36533 32413	   	275.86	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1MBVNT|2DMG|39VULN|4LWND|5aMLV|6AAC|7RCR|8TLV
49	36743 32413	   	275.86	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	1MBVNT|2DMG|3LWND|49VULN|5aMLV|6AAC|7RCR|8TLV
50	34644 17412	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9FEWX|aCDMG
51	34644 17422	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9LHND|aCDMG
52	34644 17441	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aLHND
53	34644 17442	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aBBNT
54	34644 17443	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aCGEN
55	34644 17444	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aLWND
56	34644 17446	   	275.24	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aAME
57	34644 17445	   	275.14	DCR|2VULN|2MLV|2TLV|1CDMG|1MSE	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aMSE
58	34644 17447	   	275.14	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aAEWIND
59	34644 17448	   	275.14	DCR|2VULN|2MLV|2TLV|1CDMG	1MBVNT|28VULN|3DMSP|48MLV|58TLV|6AART|7RCR|8BPWR|9CDMG|aLSRHEA
60	36417 21642	   	274.80	DCR|DCR|1TLV|1MLV|1DMG|1SELL	1MBVNT|2DMG|3SELL|4TLV|5DUR|68RCR|7LWND|9MLV|aRAT
61	34643 51354	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6TLV|7DUST|8LHND|9aRCR
62	34643 51454	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6TLV|7DUST|8LWND|9aRCR
63	34643 53254	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6TLV|7AETHUN|8FEWX|9aRCR
64	34643 53354	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6TLV|7AETHUN|8LHND|9aRCR
65	34643 53454	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6TLV|7AETHUN|8LWND|9aRCR
66	34643 72154	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6DUST|7LHND|8TLV|9aRCR
67	34643 74354	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6DUST|7TLV|8LHND|9aRCR
68	34643 74454	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3DMSP|4MLV|5DLOT|6DUST|7TLV|8LWND|9aRCR
69	34833 37426	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|37DUST|4RMIN|5MLV|6LIT|89RCR|aTLV
70	37443 64154	   	274.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2CGEN|3ERES|4MLV|5DLOT|6VULN|7LHND|8TLV|9aRCR
71	37443 53834	   	274.38	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2CGEN|3ERES|4MLV|5DLOT|6TLV|7AETHUN|8aRCR|9VULN
72	32145 72226	 * 	274.03	ACR|DCR|2VULN|1TLV|1MLV	1MBVNT|2DUR|3AME|47VULN|59RCR|6LIT|8MLV|aTLV
73	32122 61124	   	273.68	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2DUR|3AME|48LIT|5TLV|69RCR|7VULN|aAAC
74	22516 22633	   	273.67	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|2DUR	1AAC|2RAT|35VULN|45DUR|5BPWR|6AME|7DMG|8TLV|9RCR|aMLV
75	22516 32633	   	273.67	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|2DUR	1AAC|2RAT|35VULN|45DUR|5BPWR|6ZMB|7DMG|8TLV|9RCR|aMLV
76	32522 61124	   	273.58	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2DUR|3ERES|48LIT|5TLV|69RCR|7VULN|aAAC
77	12516 32633	   	273.57	DCR|2VULN|1TLV|1MLV|1DMG|1AAC|2DUR	1NUKE|2RAT|35VULN|45DUR|5BPWR|6AAC|7DMG|8TLV|9RCR|aMLV
78	32522 61524	   	273.48	DCR|DCR|1VULN|1TLV|1AAC	1MBVNT|2DUR|38ERES|4LIT|5TLV|69RCR|7VULN|aAAC
79	34423 31165	 * 	273.07	DCR|3VULN|3MLV|1DMG	1MBVNT|268VULN|3LWND|478AME|568MLV|68BPWR|9DMG|aRCR
80	36181 25314	 * 	273.04	DCR|DCR|2DMG|2AAC|1CDMG	1MBVNT|23DMG|49AAC|5DUR|6aRCR|7BBNT|8CDMG
81	32122 61125	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1MBVNT|2DUR|3AME|48LIT|5TLV|69RCR|7VULN|aASPD
82	37622 61122	   	273.03	DCR|DCR|1VULN|1TLV|1ASPD	1MBVNT|2CGEN|3DUR|48LIT|5TLV|69RCR|7VULN|aASPD
83	22215 21616	   	272.99	DCR|2VULN|2TLV|1MLV|1DMG|1AAC	1AAC|2RAT|3aTLV|4DMG|5MLV|6aCGEN|7BASICY|8RCR|9aVULN|aBPWR
84	34823 31165	   	272.97	DCR|3VULN|3MLV|1DMG	1MBVNT|268VULN|3DUST|478AME|568MLV|68BPWR|9DMG|aRCR
85	32522 61125	   	272.93	DCR|DCR|1VULN|1TLV|1ASPD	1MBVNT|2DUR|3ERES|48LIT|5TLV|69RCR|7VULN|aASPD
