0	Index      	 *	Score 	Summary	Detail	
1	21125 44337	 * 	275.24	DCR|2VULN|2MLV|1TLV|1DMG|1AAC	18VENICY|2AAC|3MULHEA|48MLV|5MBVNT|68VULN|7RCR|8BPWR|9DMG|aTLV
42	61433 22326	   	248.85	ACR|DCR|2VULN|2DMG	1BBNT|28DMG|3aRCR|4LIT|58VULN|6MBVNT|78LWND|8BPWR|9DUR
43	21125 44342	   	246.53	DCR|3MLV|2VULN|1AAC	18VENICY|2AAC|3MULHEA|48aMLV|5MBVNT|68VULN|7RCR|8BPWR|9MDPS
44	21226 23234	   	245.57	DCR|DCR|1VULN|1AAC	1VENICY|2AAC|3DUR|4VULN|5RAT|6BBNT|7aRCR|89ERES
45	12124 12165	 * 	245.52	DCR|DCR|1VULN|1TLV	1TBNT|24LHND|3ERES|5AETHUN|6CGEN|7TLV|8VULN|9aRCR
46	12124 32165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|24LHND|3ERES|5AETHUN|6AME|7TLV|8VULN|9aRCR
47	12134 12165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|2LHND|3ERES|4RCVC|5AETHUN|6CGEN|7TLV|8VULN|9aRCR
48	12134 32165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|2LHND|3ERES|4RCVC|5AETHUN|6AME|7TLV|8VULN|9aRCR
49	13324 12165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|2ERES|34LHND|5AETHUN|6CGEN|7TLV|8VULN|9aRCR
50	13324 32165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|2ERES|34LHND|5AETHUN|6AME|7TLV|8VULN|9aRCR
51	13334 12165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|2ERES|3LHND|4RCVC|5AETHUN|6CGEN|7TLV|8VULN|9aRCR
52	13334 32165	   	245.52	DCR|DCR|1VULN|1TLV	1TBNT|2ERES|3LHND|4RCVC|5AETHUN|6AME|7TLV|8VULN|9aRCR
53	21125 44215	   	245.42	DCR|2VULN|1TLV|1MLV|1AAC|1ASPD	1VENICY|2AAC|3MULHEA|4MLV|5MBVNT|68VULN|7RCR|9TLV|aASPD
54	13434 43816	   	245.28	DCR|DCR|1VULN|1AAC|2DUR	1TBNT|28ERES|3AAC|4MBVNT|58LIT|68DUR|7aRCR|8BPWR|9VULN
