0	Index      	 *	Score 	Summary	Detail	
1	26242 34173	 * 	288.23	DCR|DCR|1VULN|1TLV|1MLV|1CDMG	1MBVNT|2TBNT|3DLOT|4MLV|5CDMG|6ZMB|7aRCR|8VULN|9TLV
73	28823 32351	   	262.02	DCR|3VULN|1TLV|1MLV|1AAC	1MBVNT|2AAC|3RAT|47aVULN|5ZMB|6RCR|8MLV|9TLV
74	33233 54212	   	260.87	DCR|2VULN|2MLV|1TLV|1CDMG	1DUR|2CDMG|39VULN|4MULHEA|5aMLV|6CGEN|7RCR|8TLV
75	22228 43456	 * 	260.68	DCR|2VULN|2DMG|1TLV|1MLV	1MBVNT|2DUR|38DMG|4RPLT|5MLV|6aVULN|7TLV|9RCR
76	22247 15433	   	260.68	DCR|2VULN|2DMG|1TLV|1MLV	1MBVNT|2DUR|39DMG|45VULN|6LWND|7TLV|8MLV|aRCR
77	36247 15433	   	260.68	DCR|2VULN|2DMG|1TLV|1MLV	1DUR|2MBVNT|39DMG|45VULN|6LWND|7TLV|8MLV|aRCR
78	22247 25433	   	260.58	DCR|2VULN|2DMG|1TLV|1MLV	1MBVNT|2DUR|39DMG|45VULN|6DUST|7TLV|8MLV|aRCR
79	36247 25433	   	260.58	DCR|2VULN|2DMG|1TLV|1MLV	1DUR|2MBVNT|39DMG|45VULN|6DUST|7TLV|8MLV|aRCR
80	33235 24241	   	260.14	DCR|3VULN|1TLV|1MLV|1CDMG	1DUR|2CDMG|36aVULN|4MULHEA|5LHND|7RCR|8TLV|9MLV
81	25728 33424	   	260.02	DCR|2VULN|2MLV|2TLV	1MBVNT|2RAT|35TLV|45VULN|5BPWR|6CGEN|7AEFRZ|89MLV|aRCR
82	23526 21533	 * 	259.70	DCR|3VULN|3DMG|3CDMG	1MBVNT|28aCDMG|36aLWND|4DMSP|568DMG|68aBPWR|78aVULN|9RCR
83	25728 32412	   	259.40	DCR|3VULN|2TLV|1MLV	1MBVNT|2RAT|35TLV|457VULN|5BPWR|6CGEN|8MLV|9RCR|aTBNT
84	25728 32413	   	259.40	DCR|3VULN|2TLV|1MLV	1MBVNT|2RAT|35TLV|457VULN|5BPWR|6CGEN|8MLV|9RCR|aLIT
85	25728 32414	   	259.40	DCR|3VULN|2TLV|1MLV	1MBVNT|2RAT|35TLV|457VULN|5BPWR|6CGEN|8MLV|9RCR|aAME
86	25728 32411	   	259.30	DCR|3VULN|2TLV|1MLV	1MBVNT|2RAT|35TLV|457VULN|5BPWR|6CGEN|8MLV|9RCR|aBEXP
87	22148 34637	   	259.22	DCR|DCR|2VULN|2DUR	1MBVNT|29DUR|3RMIN|4aVULN|5VENFST|68RCR|7LIT
88	32351 23241	   	259.22	DCR|DCR|2VULN|2DUR	17DUR|28AEBURN|3aVULN|4RCVC|5DMSP|69RCR
89	32351 23441	   	259.22	DCR|DCR|2VULN|2DUR	17DUR|2AEBURN|3aVULN|4RCVC|5DMSP|69RCR|8AEWIND
90	32356 23243	   	259.22	DCR|DCR|2VULN|2DUR	17DUR|28AEBURN|35VULN|4RCVC|69RCR|aLWND
91	23554 42312	 * 	259.15	DCR|3VULN|1TLV|1DMG|2CDMG	1MBVNT|27CDMG|37LWND|4RAT|5DMG|679VULN|7BPWR|8RCR|aTLV
92	32331 23441	   	259.12	DCR|DCR|2VULN|2DUR	17DUR|24AEBURN|3aVULN|5DMSP|69RCR|8AEWIND
93	32336 23443	   	259.12	DCR|DCR|2VULN|2DUR	17DUR|24AEBURN|35VULN|69RCR|8AEWIND|aLWND
94	32356 23242	   	259.12	DCR|DCR|2VULN|2DUR	17DUR|28AEBURN|35VULN|4RCVC|69RCR|aAEFRZ
95	32336 23442	   	259.02	DCR|DCR|2VULN|2DUR	17DUR|24AEBURN|35VULN|69RCR|8AEWIND|aAEFRZ
96	25212 52315	   	258.78	DCR|3VULN|1TLV|1MLV|1CDMG	1MBVNT|2RAT|349VULN|5CDMG|6TLV|7FEWX|8RCR|aMLV
97	23317 67121	   	258.75	DCR|3VULN|2MLV|2CDMG	1MBVNT|28CDMG|3ZMB|489VULN|5BBNT|68MLV|7RCR|8BPWR|aDUR
98	61115 35131	   	258.74	DCR|DCR|1VULN|1MLV|1ASPD	1BEXP|2LIT|3LEGI|4ASPD|5LHND|6VULN|7aRCR|8TBNT|9MLV
99	23238 12718	   	258.53	DCR|3VULN|1TLV|1MLV|1CDMG|1SELL	1MBVNT|2CDMG|34aVULN|5SELL|6RAT|7TLV|8MLV|9RCR
