0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41325 11213	6	 * 	279.53	橙4易伤3伤害2时间	179敌人爆炸2随机矿3a时间467a易伤57a伤害7a序列升级8核
22	15213 25241	1	 * 	257.40	橙4易伤1等级1伤害1时间	1矿等279a易伤3伤害4等级5掉矿6时间8核
23	15213 25241	2	   	257.40	橙4易伤1等级1伤害1时间	1矿等279a易伤3伤害4等级5掉矿6时间8核
24	35213 25241	1	   	257.40	橙4易伤1等级1伤害1时间	1金币生成279a易伤3伤害4等级5掉矿6时间8核
25	35213 25241	2	   	257.40	橙4易伤1等级1伤害1时间	1金币生成279a易伤3伤害4等级5掉矿6时间8核
26	15213 31161	1	 * 	256.80	橙3易伤2等级2伤害	19矿等279易伤36伤害4a等级59掉矿8核9序列升级
27	15213 31161	2	   	256.80	橙3易伤2等级2伤害	19矿等279易伤36伤害4a等级59掉矿8核9序列升级
28	35213 31161	1	   	256.80	橙3易伤2等级2伤害	19金币生成279易伤36伤害4a等级59掉矿8核9序列升级
29	35213 31161	2	   	256.80	橙3易伤2等级2伤害	19金币生成279易伤36伤害4a等级59掉矿8核9序列升级
30	55213 31121	1	   	256.80	橙3易伤2等级2伤害	1低血量敌人24等级36伤害57a易伤8核9基地爆炸
31	55213 31151	1	   	256.80	橙3易伤2等级2伤害	1低血量敌人24等级36伤害57a易伤8核9最后敌人
32	41322 21245	6	   	256.27	橙3易伤2伤害2时间1暴击	17敌人爆炸2随机矿35时间479易伤67伤害7序列升级8核a暴击
33	15423 23531	7	   	255.86	橙4易伤3时间	17矿等2467易伤357时间7序列升级8攻速9雷电a核
34	35122 22235	6	   	255.85	橙3易伤3时间2伤害	17金币生成27a易伤3基地爆炸459时间67伤害7序列升级8核
35	15211 41161	1	   	255.57	橙3易伤2等级1伤害2攻速	19矿等269易伤3伤害4a等级5立即金币79攻速8核9序列升级
36	15211 41161	2	   	255.57	橙3易伤2等级1伤害2攻速	19矿等269易伤3伤害4a等级5立即金币79攻速8核9序列升级
37	15223 41163	2	   	255.57	橙3易伤2等级1伤害2攻速	149矿等269易伤3伤害5a等级79攻速8核9序列升级
38	15223 41163	1	   	255.57	橙3易伤2等级1伤害2攻速	149矿等269易伤3伤害5a等级79攻速8核9序列升级
39	35211 41161	2	   	255.57	橙3易伤2等级1伤害2攻速	19金币生成269易伤3伤害4a等级5立即金币79攻速8核9序列升级
40	35211 41161	1	   	255.57	橙3易伤2等级1伤害2攻速	19金币生成269易伤3伤害4a等级5立即金币79攻速8核9序列升级
41	52432 23224	3	 * 	253.86	橙2易伤2等级2时间1伤害	1低血量敌人2基地爆炸3a时间4a等级5攻速6a易伤7核8伤害9敌人爆炸a序列升级
42	45213 31243	2	 * 	253.54	橙3易伤3伤害1等级	1a敌人爆炸2金币生成36a伤害4等级5掉矿79a易伤8核a序列升级
43	15213 31166	1	   	253.44	橙3易伤3伤害1等级	19矿等279易伤36a伤害4等级59掉矿8核9序列升级
44	15213 31166	2	   	253.44	橙3易伤3伤害1等级	19矿等279易伤36a伤害4等级59掉矿8核9序列升级
45	15423 23323	10	   	252.90	橙4易伤3时间1暴击	17矿等2467易伤357时间7序列升级8金币生成9核a暴击
46	15223 41161	2	   	252.80	橙3易伤1等级1伤害2攻速1时间	149矿等269易伤3伤害5等级79攻速8核9序列升级a时间
47	15223 41161	1	   	252.80	橙3易伤1等级1伤害2攻速1时间	149矿等269易伤3伤害5等级79攻速8核9序列升级a时间
48	35413 23151	8	 * 	252.71	橙3易伤3时间1等级	147金币生成267易伤357时间7序列升级8等级9雷电a核
49	15224 22611	5	 * 	252.22	橙4易伤2时间1等级	17矿等247a易伤39敌人爆炸5等级67时间7序列升级8核
50	15314 22241	5	   	252.22	橙4易伤2时间1等级	17矿等279a易伤3随机矿4策反5等级67时间7序列升级8核
51	35314 22241	5	   	252.22	橙4易伤2时间1等级	17金币生成279a易伤3随机矿4策反5等级67时间7序列升级8核
52	15423 21315	7	   	252.02	橙4易伤2时间1等级	1矿等2469易伤35时间7等级8立即金币a核
53	15423 21325	9	   	252.02	橙4易伤2时间1等级	1矿等2468易伤35时间7等级9低血量敌人a核
54	15423 21335	8	   	252.02	橙4易伤2时间1等级	1矿等2468易伤35时间7等级9立即金币a核
55	35413 21315	8	   	252.02	橙4易伤2时间1等级	14金币生成2689易伤35时间7等级a核
56	12255 22342	1	   	251.20	橙3易伤2伤害1时间2雷电	17矿等2时间37伤害4攻速58雷电679易伤7序列升级a核
57	41125 11241	6	   	251.18	橙5易伤2伤害	17敌人爆炸2随机矿3基地爆炸4679a易伤57伤害7序列升级8核
58	15423 31161	5	 * 	251.04	橙3易伤2时间1等级1伤害	19矿等247易伤35时间6伤害8核a等级
59	12213 21241	1	   	250.94	橙3易伤2时间1等级1伤害	1矿等26时间3伤害4等级5掉矿79a易伤8核
60	15213 25231	2	   	250.94	橙3易伤2时间1等级1伤害	1矿等27a易伤3伤害4等级5掉矿69时间8核
61	15213 25231	1	   	250.94	橙3易伤2时间1等级1伤害	1矿等27a易伤3伤害4等级5掉矿69时间8核
62	32213 21241	1	   	250.94	橙3易伤2时间1等级1伤害	1金币生成26时间3伤害4等级5掉矿79a易伤8核
63	32433 31241	1	   	250.94	橙3易伤2时间1等级1伤害	1金币生成24时间3掉矿5等级6伤害79a易伤8核
64	35213 25231	2	   	250.94	橙3易伤2时间1等级1伤害	1金币生成27a易伤3伤害4等级5掉矿69时间8核
65	35213 25231	1	   	250.94	橙3易伤2时间1等级1伤害	1金币生成27a易伤3伤害4等级5掉矿69时间8核
66	15253 22241	2	   	250.83	橙3易伤2伤害2时间	17矿等29a易伤37伤害4攻速5掉矿67时间7序列升级8核
67	15253 22241	1	   	250.83	橙3易伤2伤害2时间	17矿等29a易伤37伤害4攻速5掉矿67时间7序列升级8核
68	35253 22241	1	   	250.83	橙3易伤2伤害2时间	17金币生成29a易伤37伤害4攻速5掉矿67时间7序列升级8核
69	35253 22241	2	   	250.83	橙3易伤2伤害2时间	17金币生成29a易伤37伤害4攻速5掉矿67时间7序列升级8核
70	15324 22241	5	 * 	250.09	橙3易伤2等级2时间1核弹	17矿等29a易伤3随机矿4核弹57等级67时间7序列升级8核
71	35324 22241	5	   	250.09	橙3易伤2等级2时间1核弹	17金币生成29a易伤3随机矿4核弹57等级67时间7序列升级8核
72	15423 21235	9	   	249.99	橙3易伤2等级2时间	1矿等246易伤35时间79等级8低血量敌人a核
73	12225 12241	7	   	249.64	橙5易伤1伤害1时间	1矿等2基地爆炸3时间4679a易伤5伤害8核
74	12225 15241	6	   	249.64	橙5易伤1伤害1时间	1矿等2基地爆炸3时间4679a易伤5伤害8核
75	13425 12241	7	   	249.64	橙5易伤1伤害1时间	1矿等2最后敌人3时间4679a易伤5伤害8核
76	15123 22241	7	   	249.64	橙5易伤1伤害1时间	1矿等2479a易伤3基地爆炸5时间6伤害8核
77	15123 25241	6	   	249.64	橙5易伤1伤害1时间	1矿等2479a易伤3基地爆炸5时间6伤害8核
78	15223 25241	6	   	249.64	橙5易伤1伤害1时间	1矿等2479a易伤3敌人爆炸5时间6伤害8核
79	42412 36211	10	 * 	249.53	橙2易伤3时间1等级1伤害1全技能	18敌人爆炸25基地爆炸3全技能458时间58序列升级68易伤7核9等级a伤害
