0	Index      	 *	Score 	Summary	Detail	
1	25253 21332	 * 	221.54	DCR|3ASPD|2VULN|2AART	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9aAART
37	51223 11552	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MSLFST|2DMG|37VULN|4DUR|5LHND|6AART|8ASPD|9RCR|aCDMG
38	51261 12263	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MSLFST|2DMG|35VULN|4ASPD|6AART|7MLV|8CDMG|9RCR|aDUR
39	51261 13152	   	206.16	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1DUR	1MSLFST|2DMG|35VULN|4ASPD|6AART|7LHND|8DUR|9RCR|aCDMG
40	21136 51523	   	205.95	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2LHND|36AART|4AME|5CDMG|7RCR|8DUR|9DMG|aVULN
41	21115 51523	   	205.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1ASPD|2LHND|36AART|4TLV|5CDMG|7RCR|8DUR|9DMG|aVULN
42	51261 14111	 * 	205.64	DCR|3VULN|1AART|1ASPD|1DMG|1DUR	1MSLFST|2DMG|359VULN|4ASPD|6AART|7MBVNT|8DUR|aRCR
43	25253 25113	   	205.56	DCR|3ASPD|2VULN|2CDMG	15aASPD|2RCVC|3RMIN|47VULN|6RCR|8aCGEN|9aCDMG|aBPWR
44	25253 21335	   	205.46	DCR|3ASPD|2VULN|1AART	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9AART|aBEXP
45	25253 21331	   	205.36	DCR|3ASPD|2VULN|1AART|1SELL	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9AART|aSELL
46	25253 21334	   	205.36	DCR|3ASPD|2VULN|1AART	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9AART|aDUST
47	22322 14551	   	205.28	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE	14ASPD|25CDMG|35TLV|5BPWR|6VULN|7AART|8RCR|9RMIN|aNUKE
48	21136 13152	   	205.15	DCR|3VULN|1AART|2CDMG|1ASPD	1ASPD|2LHND|3AART|4AME|56CDMG|79aVULN|8RCR
49	21115 13152	   	205.05	DCR|3VULN|1AART|2CDMG|1ASPD	1ASPD|2LHND|3AART|4TLV|56CDMG|79aVULN|8RCR
50	23621 23241	   	204.91	DCR|2ASPD|1VULN|1AART|1DMG|2DUR	18ASPD|28DUST|38DUR|4RCVC|5RMIN|6RCR|7AART|8BPWR|9VULN|aDMG
51	22163 53353	   	204.76	DCR|2ASPD|1VULN|1AART|1NUKE|1CDMG	19ASPD|2CDMG|3RPLT|4RMIN|5VULN|6RCVC|7RCR|8AART|aNUKE
52	25643 22331	   	203.92	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB|1DUR	15ASPD|2RCVC|3VULN|4DMG|6RCR|7DUR|8AART|9BELT|aZMB
53	21146 53122	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|2RMIN	1ASPD|2LHND|36AART|4aRMIN|5CDMG|7VULN|8RCR|9DMG
54	51223 15242	   	203.85	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG|1DUR	1MSLFST|2DMG|3VULN|4DUR|5LHND|69AART|7ASPD|8RCR|aCDMG
55	21416 51221	 * 	203.48	DCR|3VULN|3ASPD|1ZMB|1DUR	159ASPD|2LHND|3ZMB|45aVULN|5BPWR|6DUR|7TLV|8RCR
56	51161 22152	 * 	203.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1MSLFST|28DMG|3DUR|4ASPD|5VULN|6FEWX|7AART|9RCR|aCDMG
57	51223 15152	   	203.36	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1MSLFST|28DMG|3VULN|4DUR|5LHND|6AART|7ASPD|9RCR|aCDMG
58	22112 66613	   	203.32	DCR|2VULN|2ASPD|1DMG|1CDMG|2ZMB	1aASPD|2CDMG|3RPLT|4aVULN|5DMG|6CGEN|7aZMB|8RCVC|9RCR|aBPWR
59	23453 23341	   	203.30	DCR|2ASPD|1VULN|1AART|1DMG|2ZMB|1DUR	15ASPD|2DUST|38ZMB|4DUR|6RCR|7AART|9VULN|aDMG
60	22116 62631	   	203.28	DCR|2VULN|1AART|2CDMG|1ASPD|1DMG	1ASPD|25CDMG|3RPLT|45VULN|5BPWR|6MSLREG|7ERES|8DMG|9AART|aRCR
61	22112 36613	   	203.22	DCR|2VULN|2ASPD|1DMG|1CDMG|2ZMB	1aASPD|2CDMG|3RPLT|4aVULN|5DMG|6ERES|7aZMB|8RCVC|9RCR|aBPWR
62	21136 13126	   	203.07	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|2LHND|3aAART|4AME|56CDMG|7VULN|8RCR|9DMG
63	21115 13126	   	202.97	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|2LHND|3aAART|4TLV|56CDMG|7VULN|8RCR|9DMG
64	23136 13126	   	202.97	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|2DUST|3aAART|4AME|56CDMG|7VULN|8RCR|9DMG
65	23543 22236	   	202.90	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|23DUST|4DMG|6RCR|7AART|8RCVC|9aVULN
66	23115 13126	   	202.87	DCR|2AART|1VULN|2CDMG|1ASPD|1DMG	1ASPD|2DUST|3aAART|4TLV|56CDMG|7VULN|8RCR|9DMG
67	21146 53113	   	202.80	DCR|2VULN|2AART|1ASPD|1CDMG	1ASPD|2LHND|36AART|4RMIN|5CDMG|7aVULN|8RCR|9ERES
68	21146 53121	   	202.58	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4RMIN|5CDMG|7VULN|8RCR|9DMG|aLWND
69	21146 53123	   	202.58	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4RMIN|5CDMG|7VULN|8RCR|9DMG|aRPLT
70	23341 23533	 * 	202.57	DCR|2VULN|2DMG|2ASPD	18ASPD|28DUST|3TLV|4CGEN|5RMIN|6RCR|78VULN|8BPWR|9aDMG
71	25253 21232	   	202.42	DCR|3ASPD|2AART|1VULN|2RMIN	157ASPD|2RCVC|38RMIN|4VULN|6RCR|9aAART
72	22112 66113	   	202.14	DCR|2VULN|2ASPD|1DMG|1CDMG|2ZMB	1aASPD|2CDMG|3RPLT|4aVULN|5DMG|6CGEN|7aZMB|8DMSP|9RCR|aBPWR
73	22112 36113	   	202.04	DCR|2VULN|2ASPD|1DMG|1CDMG|2ZMB	1aASPD|2CDMG|3RPLT|4aVULN|5DMG|6ERES|7aZMB|8DMSP|9RCR|aBPWR
74	21416 51222	   	201.89	DCR|3ASPD|2VULN|1CDMG|1ZMB|1DUR	159ASPD|2LHND|3ZMB|45VULN|5BPWR|6DUR|7TLV|8RCR|aCDMG
75	23313 23564	   	201.72	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|2DUST|3TLV|47VULN|6RCR|8LIT|9DMG|aAART
76	23543 22142	   	201.72	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|23DUST|4DMG|6RCR|7AART|8BEXP|9aVULN
77	25632 63221	   	201.66	DCR|3VULN|2ASPD|2CDMG	17ASPD|26RCVC|379VULN|47CDMG|5DMSP|7BPWR|8RMIN|aRCR
78	23543 22533	   	201.62	DCR|2VULN|2ASPD|1AART|1DMG	15ASPD|23DUST|4DMG|6RCR|7AART|8aVULN|9ERES
79	25253 22326	   	201.57	DCR|2VULN|2ASPD|1AART|1DUR	15ASPD|29RCVC|3RMIN|4aVULN|6RCR|7DUR|8AART
80	21416 32224	 * 	201.57	DCR|3ASPD|2VULN|1NUKE|1ZMB	159ASPD|2LHND|3ZMB|45VULN|5BPWR|6RMIN|7DUST|8RCR|aNUKE
81	22322 14512	   	201.44	DCR|2VULN|2ASPD|1AART|2CDMG	14ASPD|25CDMG|35TLV|5BPWR|6aVULN|7AART|8RCR|9LHND
82	23543 22141	   	201.40	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE	15ASPD|23DUST|4DMG|6RCR|7AART|8BEXP|9VULN|aNUKE
83	22322 14542	   	201.34	DCR|2VULN|2ASPD|1AART|2CDMG	14ASPD|25CDMG|35TLV|5BPWR|6aVULN|7AART|8RCR|9DUST
84	23543 22511	   	201.30	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE|1MSE	15ASPD|23DUST|4DMG|6RCR|7AART|8VULN|9MSE|aNUKE
85	22322 14514	 * 	201.24	DCR|3ASPD|3CDMG|1AART|1VULN	14aASPD|25aCDMG|35TLV|5aBPWR|6VULN|7AART|8RCR|9aLHND
86	22322 14521	   	201.12	DCR|2ASPD|1AART|1VULN|2CDMG|1NUKE	14ASPD|25CDMG|35TLV|5BPWR|6VULN|7AART|8RCR|9AME|aNUKE
87	61521 21236	   	201.10	DCR|2VULN|2ASPD|1AART|1DMG	14FEWX|2AART|35ASPD|6DMG|7RCR|8RCVC|9aVULN
88	22116 65331	   	201.05	DCR|3VULN|1AART|2CDMG|1ASPD	1ASPD|25CDMG|3RPLT|457VULN|5BPWR|6MSLREG|8AART|9DUST|aRCR
89	22322 14531	   	201.02	DCR|2ASPD|1AART|1VULN|2CDMG|1NUKE	14ASPD|25CDMG|35TLV|5BPWR|6VULN|7AART|8RCR|9ERES|aNUKE
90	25643 21331	   	201.01	DCR|3ASPD|1VULN|1DMG|1CDMG|1ZMB	157ASPD|2RCVC|3VULN|4DMG|6RCR|8CDMG|9ZMB|aAME
91	21136 53126	 * 	200.91	DCR|3AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36aAART|4AME|5CDMG|7VULN|8RCR|9DMG
92	25643 21332	   	200.91	DCR|3ASPD|1VULN|1DMG|1CDMG|1ZMB	157ASPD|2RCVC|3VULN|4DMG|6RCR|8CDMG|9ZMB|aMSLREG
93	25143 21432	   	200.87	DCR|2DMG|2ASPD|1VULN|1AART	18ASPD|2RCVC|3DMSP|4AART|58DUST|68DMG|7RCR|8BPWR|9VULN|aMLV
94	25143 21433	   	200.87	DCR|2DMG|2ASPD|1AART|1VULN	18ASPD|2RCVC|3DMSP|4AART|58DUST|68DMG|7RCR|8BPWR|9VULN|aBELT
95	25253 22342	   	200.84	DCR|2VULN|2ASPD|1AART|1DUR	15ASPD|2RCVC|3RMIN|49VULN|6RCR|7DUR|8AART|aMLV
96	25253 22343	   	200.84	DCR|2VULN|2ASPD|1AART|1DUR	15ASPD|2RCVC|3RMIN|49VULN|6RCR|7DUR|8AART|aFEWX
97	25253 25222	   	200.84	DCR|2VULN|2ASPD|1AART|1DUR	15ASPD|2RCVC|3RMIN|47VULN|6RCR|8SPLJET|9DUR|aAART
98	21115 53126	   	200.81	DCR|3AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36aAART|4TLV|5CDMG|7VULN|8RCR|9DMG
99	25143 21431	   	200.76	DCR|2DMG|2ASPD|1AART|1VULN|1SELL	18ASPD|2RCVC|3DMSP|4AART|58DUST|68DMG|7RCR|8BPWR|9VULN|aSELL
100	25253 22341	   	200.74	DCR|2VULN|2ASPD|1AART|1DUR|1SELL	15ASPD|2RCVC|3RMIN|49VULN|6RCR|7DUR|8AART|aSELL
101	25233 22521	   	200.52	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	15ASPD|2RCVC|3RMIN|4BEXP|6RCR|7AART|8VULN|9DUR|aDMG
102	25233 25321	   	200.52	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	15ASPD|2RCVC|3RMIN|4BEXP|6RCR|7VULN|8AART|9DUR|aDMG
103	25243 22341	   	200.52	DCR|2ASPD|1AART|1VULN|1DMG|1DUR	15ASPD|2RCVC|3RMIN|4LHND|6RCR|7DUR|8AART|9VULN|aDMG
104	25253 26321	   	200.52	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	15ASPD|2RCVC|3RMIN|4VULN|6RCR|7BEXP|8AART|9DUR|aDMG
105	25253 22311	   	200.42	DCR|2ASPD|1VULN|1AART|1DMG|1DUR	15ASPD|2RCVC|3RMIN|4VULN|6RCR|7DUR|8AART|9DUST|aDMG
106	25253 21433	   	200.32	DCR|3ASPD|2VULN|1ZMB|1DUR	157ASPD|2RCVC|3RMIN|4aVULN|6RCR|8ZMB|9DUR
107	21146 11262	   	200.26	DCR|2AART|1VULN|2CDMG|1ASPD|1DUR	1ASPD|2LHND|38AART|4RMIN|56CDMG|7RCR|9DUR|aVULN
108	25631 33324	   	200.05	DCR|2VULN|2ASPD|1AART|1CDMG	19ASPD|2RCVC|39VULN|4CDMG|5CGEN|6RPLT|7RCR|89LIT|9BPWR|aAART
109	61525 23123	   	199.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	14FEWX|2AART|3ASPD|5CDMG|6AME|7aVULN|8RCR|9DMG
110	61521 21142	   	199.92	DCR|2VULN|2ASPD|1AART|1DMG	14FEWX|2AART|35ASPD|6DMG|7RCR|8BEXP|9aVULN
111	23136 53123	   	199.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2DUST|3AART|4AME|5CDMG|6DMSP|7aVULN|8RCR|9DMG
112	61521 21342	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	14FEWX|2AART|35ASPD|6DMG|7RCR|8DUST|9aVULN
113	61521 21512	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	14FEWX|2AART|35ASPD|6DMG|7RCR|8aVULN|9DUST
114	61521 21533	   	199.82	DCR|2VULN|2ASPD|1AART|1DMG	14FEWX|2AART|35ASPD|6DMG|7RCR|8aVULN|9ERES
115	21136 53122	   	199.81	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4AME|5CDMG|7VULN|8RCR|9DMG|aRMIN
116	61523 21421	   	199.79	DCR|2DMG|2ASPD|1VULN|1AART	148FEWX|2AART|38ASPD|5RCVC|68DMG|7RCR|8BPWR|9AME|aVULN
117	23115 53123	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|2DUST|3AART|4TLV|5CDMG|6DMSP|7aVULN|8RCR|9DMG
118	23136 33123	   	199.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|26DUST|3AART|4AME|5CDMG|7aVULN|8RCR|9DMG
119	21115 53122	   	199.71	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4TLV|5CDMG|7VULN|8RCR|9DMG|aRMIN
120	61523 21411	   	199.69	DCR|2DMG|2ASPD|1VULN|1AART	148FEWX|2AART|38ASPD|5RCVC|68DMG|7RCR|8BPWR|9ERES|aVULN
121	23115 33123	   	199.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1ASPD|26DUST|3AART|4TLV|5CDMG|7aVULN|8RCR|9DMG
122	21136 11433	   	199.65	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2LHND|3AART|4AME|56CDMG|7RCR|8ZMB|9aVULN
123	61521 21141	   	199.60	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE	14FEWX|2AART|35ASPD|6DMG|7RCR|8BEXP|9VULN|aNUKE
124	11253 33413	 * 	199.56	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3FEWX|49VULN|5DUR|6CDMG|7RCR|8DMG|aMDPS
125	21115 11433	   	199.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2LHND|3AART|4TLV|56CDMG|7RCR|8ZMB|9aVULN
126	23136 11433	   	199.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2DUST|3AART|4AME|56CDMG|7RCR|8ZMB|9aVULN
127	21316 31224	   	199.54	DCR|3ASPD|2VULN|1NUKE|1DUR	159ASPD|2LHND|3TLV|45VULN|5BPWR|6RMIN|7DUR|8RCR|aNUKE
128	61521 21341	   	199.50	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE	14FEWX|2AART|35ASPD|6DMG|7RCR|8DUST|9VULN|aNUKE
129	61521 21511	   	199.50	DCR|2ASPD|1VULN|1AART|1DMG|1NUKE	14FEWX|2AART|35ASPD|6DMG|7RCR|8VULN|9DUST|aNUKE
130	11553 33413	   	199.46	DCR|2VULN|1MDPS|1AART|1DMG|1CDMG|1DUR	1LWND|2AART|3DUST|49VULN|5DUR|6CDMG|7RCR|8DMG|aMDPS
131	23115 11433	   	199.45	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2DUST|3AART|4TLV|56CDMG|7RCR|8ZMB|9aVULN
132	61522 31421	   	199.36	DCR|2DMG|2ASPD|1VULN|1AART	148FEWX|2AART|38ASPD|58DMG|6RCVC|7RCR|8BPWR|9AME|aVULN
133	21416 32221	   	199.34	DCR|3VULN|3ASPD|1ZMB	159ASPD|2LHND|3ZMB|45aVULN|5BPWR|6RMIN|7DUST|8RCR
134	61522 31411	   	199.26	DCR|2DMG|2ASPD|1VULN|1AART	148FEWX|2AART|38ASPD|58DMG|6RCVC|7RCR|8BPWR|9ERES|aVULN
135	22322 14623	   	199.12	DCR|2ASPD|1VULN|1AART|2CDMG|1NUKE	14ASPD|25CDMG|35TLV|5BPWR|6VULN|7AART|8RPLT|9RCR|aNUKE
136	25643 21233	   	198.98	DCR|3ASPD|1VULN|1DMG|1CDMG|1DUR	157ASPD|2RCVC|3VULN|4DMG|6RCR|8CGEN|9CDMG|aDUR
137	61121 31436	   	198.89	DCR|2VULN|2ASPD|1AART|2ZMB	18FEWX|2AART|36RCVC|48ZMB|58ASPD|7RCR|8BPWR|9aVULN
138	23421 24341	   	198.71	DCR|2ASPD|1VULN|1AART|1DMG|1ZMB	17ASPD|2DUST|3ZMB|4MLV|5RMIN|6RCR|8AART|9VULN|aDMG
139	25623 25113	   	198.52	DCR|3ASPD|2VULN|2CDMG|1AAC	15aASPD|2RCVC|37VULN|4AAC|6RCR|8aCGEN|9aCDMG|aBPWR
140	25116 21513	   	198.42	DCR|3ASPD|2VULN|2CDMG|1AAC	17aASPD|2RCVC|3DMSP|4TLV|5aVULN|6RCR|8AAC|9aCDMG|aBPWR
141	51261 12315	   	197.99	DCR|2VULN|2ASPD|1AART|1DMG	1MSLFST|2DMG|35VULN|48ASPD|6AART|7MLV|9RMIN|aRCR
142	52261 42313	   	197.96	DCR|2VULN|2DMG|2ASPD|1ZMB	1MSLFST|2ZMB|35VULN|46ASPD|79DMG|8BEXP|aRCR
143	25253 25112	   	197.93	DCR|3ASPD|2VULN|1CDMG	15aASPD|2RCVC|3RMIN|47VULN|6RCR|8CGEN|9CDMG
144	21136 51633	 * 	197.86	DCR|2VULN|2AART|1ASPD|1NUKE|1CDMG	1ASPD|2LHND|36AART|4AME|5CDMG|7RCR|8NUKE|9aVULN
145	25253 21328	   	197.83	DCR|3ASPD|2VULN|1CDMG	157ASPD|2RCVC|3RMIN|48VULN|6RCR|9MBVNT|aCDMG
146	21115 51633	   	197.76	DCR|2VULN|2AART|1ASPD|1NUKE|1CDMG	1ASPD|2LHND|36AART|4TLV|5CDMG|7RCR|8NUKE|9aVULN
147	11542 33313	 * 	197.76	DCR|2VULN|2AART|1MDPS|1DMG|1CDMG	1LWND|25AART|3DUST|4MDPS|6CDMG|7RCR|8DMG|9aVULN
148	21416 32222	   	197.75	DCR|3ASPD|2VULN|1CDMG|1ZMB	159ASPD|2LHND|3ZMB|45VULN|5BPWR|6RMIN|7DUST|8RCR|aCDMG
149	51261 12261	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG|1MSE	1MSLFST|2DMG|35VULN|4ASPD|6AART|7MLV|8CDMG|9RCR|aMSE
150	51261 12262	   	197.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1MSLFST|2DMG|35VULN|4ASPD|6AART|7MLV|8CDMG|9RCR|aTLV
151	25643 22221	   	197.73	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	15ASPD|2RCVC|3VULN|49DMG|6RCR|7DUR|8LWND|aZMB
152	25143 21522	   	197.65	DCR|2VULN|1AART|1ASPD|1DMG|1DUR	1ASPD|2RCVC|3DMSP|4AART|5DUST|6DMG|7RCR|8aVULN|9DUR
153	25643 22131	   	197.63	DCR|2DMG|2ASPD|1VULN|1ZMB|1DUR	15ASPD|2RCVC|3VULN|49DMG|6RCR|7DUR|8DUST|aZMB
154	23136 13163	   	197.55	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2DUST|3AART|4AME|56CDMG|7aVULN|8RCR|9ZMB
155	21136 51323	   	197.54	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4AME|5CDMG|7RCR|8DUST|9DMG|aVULN
156	25632 63121	   	197.50	DCR|3VULN|2ASPD|2CDMG	17ASPD|26RCVC|379VULN|47CDMG|5DMSP|7BPWR|8AME|aRCR
157	52261 15121	 * 	197.45	DCR|2VULN|1MDPS|2ASPD|1AART|1ZMB	1MSLFST|2ZMB|35VULN|49ASPD|6AART|7LIT|8RCR|aMDPS
158	23115 13163	   	197.45	DCR|2VULN|1AART|2CDMG|1ASPD|1ZMB	1ASPD|2DUST|3AART|4TLV|56CDMG|7aVULN|8RCR|9ZMB
159	21115 51323	   	197.44	DCR|2AART|1VULN|1ASPD|1DMG|1CDMG	1ASPD|2LHND|36AART|4TLV|5CDMG|7RCR|8DUST|9DMG|aVULN
