0	Index      	 *	Score 	Summary	Detail	
1	41362 11353	 * 	226.38	DCR|2VULN|2ASPD|1AART|1DMG|1CDMG|1DUR	18VULN|2DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9aASPD
49	45122 11351	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9ASPD|aBEXP
50	61262 11363	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2BEXP|38VULN|4DMG|5CDMG|6RCR|7AART|9DUST|aASPD
51	61362 11363	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2BEXP|3DUST|4DMG|5CDMG|6RCR|7AART|89VULN|aASPD
52	62262 11352	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7AART|9ASPD|aTLV
53	62262 11363	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7AART|9DUST|aASPD
54	62362 11363	   	203.85	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1AME|2FEWX|3DUST|4DMG|5CDMG|6RCR|7AART|89VULN|aASPD
55	43362 11313	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DUST|3ERES|4DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
56	43362 11333	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DUST|3ERES|4DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
57	43362 11351	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DUST|3ERES|4DMG|5CDMG|6RCR|7AART|9ASPD|aBEXP
58	45512 11313	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DMG|3DUST|4ERES|5CDMG|6RCR|7AART|9BEXP|aASPD
59	45512 11333	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DMG|3DUST|4ERES|5CDMG|6RCR|7AART|9CGEN|aASPD
60	45122 11352	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9ASPD|aTLV
61	45122 11363	   	203.75	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9DUST|aASPD
62	43362 11352	   	203.65	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	18VULN|2DUST|3ERES|4DMG|5CDMG|6RCR|7AART|9ASPD|aTLV
63	61262 11152	 * 	203.63	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1AME|2BEXP|3VULN|4DMG|5CDMG|6RCR|7AART|8MLV|9ASPD|aNUKE
64	62262 11152	   	203.63	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1AME|2FEWX|3VULN|4DMG|5CDMG|6RCR|7AART|8MLV|9ASPD|aNUKE
65	43122 11452	   	203.43	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1VULN|24DUST|3FEWX|5CDMG|6RCR|7AART|8DMG|9ASPD|aNUKE
66	43222 11452	   	203.43	DCR|1VULN|1AART|1ASPD|1DMG|1NUKE|1CDMG	1VULN|24DUST|3BEXP|5CDMG|6RCR|7AART|8DMG|9ASPD|aNUKE
67	65252 11312	   	202.53	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AME|2DUR|38VULN|4ZMB|5CDMG|6RCR|7AART|9BEXP|aDMG
68	65252 11333	   	202.53	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	1AME|2DUR|38VULN|4ZMB|5CDMG|6RCR|7AART|9CGEN|aASPD
69	11352 11422	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|8DMG|9aVULN
70	41352 11313	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9BEXP|aASPD
71	41352 11333	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9CGEN|aASPD
72	41352 11341	   	202.43	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9RPLT|aDMG
73	41352 11351	   	202.43	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9ASPD|aBEXP
74	41352 11352	   	202.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9ASPD|aTLV
75	41352 11363	   	202.33	DCR|2VULN|1AART|1ASPD|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9DUST|aASPD
76	41352 11413	   	202.11	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|8DMG|9AME|aASPD
77	41352 11423	   	202.11	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|8DMG|9AELBLL|aASPD
78	41352 11433	   	202.11	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|8DMG|9RMIN|aASPD
79	62262 11314	   	201.72	DCR|3VULN|1AART|1DMG|1CDMG	1AME|2FEWX|38aVULN|4DMG|5CDMG|6RCR|7AART|9BEXP
80	45122 11314	   	201.62	DCR|3VULN|1AART|1DMG|1CDMG	18aVULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9BEXP
81	43362 11314	   	201.52	DCR|3VULN|1AART|1DMG|1CDMG	18aVULN|2DUST|3ERES|4DMG|5CDMG|6RCR|7AART|9BEXP
82	61262 11323	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2BEXP|38VULN|49DMG|5CDMG|6RCR|7AART|aLIT
83	61262 11324	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2BEXP|38VULN|49DMG|5CDMG|6RCR|7AART|aRPLT
84	61262 11341	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2BEXP|38VULN|4aDMG|5CDMG|6RCR|7AART|9RPLT
85	62262 11312	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2FEWX|38VULN|4aDMG|5CDMG|6RCR|7AART|9BEXP
86	62262 11341	   	201.48	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2FEWX|38VULN|4aDMG|5CDMG|6RCR|7AART|9RPLT
87	33523 16136	   	201.46	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG|1DUR	1LIT|2MLV|3AART|4DUR|58DMG|6CDMG|7VULN|9ASPD|aRCR
88	61262 11421	 * 	201.38	DCR|3DMG|1MDPS|1VULN|1AART|1CDMG	1AME|2BEXP|3VULN|489DMG|5CDMG|6RCR|7AART|aMDPS
89	45122 11341	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2aDMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9RPLT
90	45152 11323	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|29DMG|3ERES|4BEXP|5CDMG|6RCR|7AART|aLIT
91	61262 11321	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2BEXP|38VULN|49DMG|5CDMG|6RCR|7AART|aDUST
92	61262 11322	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG|1MSE	1AME|2BEXP|38VULN|49DMG|5CDMG|6RCR|7AART|aMSE
93	61262 11325	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG|1SELL	1AME|2BEXP|38VULN|49DMG|5CDMG|6RCR|7AART|aSELL
94	61262 11362	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2BEXP|38VULN|4aDMG|5CDMG|6RCR|7AART|9DUST
95	61362 11362	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2BEXP|3DUST|4aDMG|5CDMG|6RCR|7AART|89VULN
96	62262 11362	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2FEWX|38VULN|4aDMG|5CDMG|6RCR|7AART|9DUST
97	62362 11362	   	201.38	DCR|2VULN|2DMG|1AART|1CDMG	1AME|2FEWX|3DUST|4aDMG|5CDMG|6RCR|7AART|89VULN
98	45223 22363	 * 	201.30	DCR|2VULN|2AART|2DMG	18VULN|27DMG|3AELBLL|4AME|5MLV|6RCR|9aAART
99	45233 22363	   	201.30	DCR|2VULN|2AART|2DMG	18VULN|27DMG|3AELBLL|4CGEN|5MLV|6RCR|9aAART
100	43362 11341	   	201.28	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|2DUST|3ERES|4aDMG|5CDMG|6RCR|7AART|9RPLT
101	45152 11321	   	201.28	DCR|2VULN|2DMG|1AART|1CDMG	18VULN|29DMG|3ERES|4BEXP|5CDMG|6RCR|7AART|aDUST
102	45152 11322	   	201.28	DCR|2VULN|2DMG|1AART|1CDMG|1MSE	18VULN|29DMG|3ERES|4BEXP|5CDMG|6RCR|7AART|aMSE
103	33542 52123	 * 	201.26	DCR|3VULN|2DMG|1AART	1aLIT|2MLV|3AART|45aVULN|6RMIN|7RCR|8BELT|9aDMG|aBPWR
104	33542 62123	   	201.16	DCR|3VULN|2DMG|1AART|1AAC	1aLIT|2MLV|3AART|45aVULN|6AAC|7RCR|8BELT|9aDMG|aBPWR
105	62262 11413	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AME|2FEWX|3VULN|48DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
106	62262 11433	   	201.16	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1AME|2FEWX|3VULN|48DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
107	11362 14124	   	201.15	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	1LHND|29DUR|3ERES|4DMG|59CDMG|6RCR|7CANARM|89VULN|9BPWR|aASPD
108	11612 14124	   	201.15	DCR|2VULN|2CDMG|1ASPD|1DMG|2DUR	1LHND|29DUR|3DMG|4ERES|59CDMG|6RCR|7CANARM|89VULN|9BPWR|aASPD
109	45122 11413	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|28DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9BEXP|aASPD
110	45122 11433	   	201.06	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|28DMG|3ERES|4FEWX|5CDMG|6RCR|7AART|9CGEN|aASPD
111	43362 11413	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2DUST|3ERES|48DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
112	43362 11433	   	200.96	DCR|2DMG|1VULN|1AART|1ASPD|1CDMG	1VULN|2DUST|3ERES|48DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
113	15263 26112	 * 	200.78	DCR|3DMG|2VULN|2CDMG	1LHND|24aDMG|38VULN|5DMSP|6RCR|79CDMG
114	65252 11313	   	200.30	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AME|2DUR|38aVULN|4ZMB|5CDMG|6RCR|7AART|9BEXP
115	41352 11314	   	200.20	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	18aVULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7AART|9BEXP
116	62262 11335	   	199.96	DCR|2VULN|2AART|1DMG|1CDMG	1AME|2FEWX|38VULN|4DMG|5CDMG|6RCR|7aAART|9CGEN
117	45122 11335	   	199.86	DCR|2VULN|2AART|1DMG|1CDMG	18VULN|2DMG|3ERES|4FEWX|5CDMG|6RCR|7aAART|9CGEN
118	41362 11236	   	199.63	DCR|2DMG|1VULN|1AART|1CDMG|1ZMB|1DUR	1VULN|2DUR|3ERES|4aDMG|5CDMG|6RCR|7AART|8MULARM|9ZMB
119	41362 11343	 * 	199.52	DCR|2VULN|1AART|2CDMG|1DMG|1DUR	18VULN|2DUR|3ERES|4DMG|5aCDMG|6RCR|7AART|9RPLT
120	15252 53333	 * 	199.23	DCR|1AART|1VULN|2CDMG|1ASPD|1DMG|1AAC|1ZMB	1LHND|2DMG|3VULN|4ZMB|58CDMG|6AAC|7RCR|9AART|aASPD
121	41352 11335	   	198.44	DCR|2VULN|2AART|1CDMG|1ZMB|1DUR	18VULN|2DUR|3ERES|4ZMB|5CDMG|6RCR|7aAART|9CGEN
122	11652 13153	 * 	198.11	DCR|1MDPS|1AART|1VULN|1ASPD|1DMG|1CDMG|1ZMB|1DUR	1LHND|2DUR|3DMG|4ZMB|5CDMG|6MDPS|7AART|8RCR|9ASPD|aVULN
123	42522 11353	   	198.01	DCR|2VULN|2ASPD|1AART|1CDMG	18VULN|2CGEN|3RMIN|4DUST|5CDMG|6RCR|7AART|9aASPD
124	32651 32123	   	197.95	DCR|2VULN|1AART|1ASPD|1DMG|1CDMG	1LIT|2LWND|3CDMG|4AART|57VULN|6BEXP|8DMG|9RCR|aASPD
125	43122 11353	   	197.91	DCR|2VULN|2ASPD|1AART|1CDMG	18VULN|24DUST|3FEWX|5CDMG|6RCR|7AART|9aASPD
126	15263 26323	   	197.76	DCR|2VULN|2DMG|1ASPD|1CDMG	1LHND|24DMG|39VULN|5DMSP|6RCR|7CDMG|8LIT|aASPD
127	61252 11326	   	197.44	DCR|2VULN|1AART|1DMG|1CDMG|2ZMB	1AME|2BEXP|38VULN|4aZMB|5CDMG|6RCR|7AART|9DMG
128	11362 11354	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LHND|29DUR|3ERES|4DMG|5CDMG|6RCR|7AART|8aVULN
129	11612 11354	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1LHND|29DUR|3DMG|4ERES|5CDMG|6RCR|7AART|8aVULN
130	41362 11325	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2aDUR|3ERES|4DMG|5CDMG|6RCR|7AART|9BELT
131	43632 11153	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	1aVULN|2DUST|34DUR|5CDMG|6RCR|7AART|8MLV|9ASPD
132	43632 11312	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2DUST|34DUR|5CDMG|6RCR|7AART|9BEXP|aDMG
133	43632 11333	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	18VULN|2DUST|34DUR|5CDMG|6RCR|7AART|9CGEN|aASPD
134	43632 11341	   	197.34	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	18VULN|2DUST|34DUR|5CDMG|6RCR|7AART|9RPLT|aDMG
135	43632 11351	   	197.34	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	18VULN|2DUST|34DUR|5CDMG|6RCR|7AART|9ASPD|aBEXP
136	43632 11352	   	197.24	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	18VULN|2DUST|34DUR|5CDMG|6RCR|7AART|9ASPD|aTLV
137	43632 11363	   	197.24	DCR|2VULN|1AART|1ASPD|1CDMG|2DUR	18VULN|29DUST|34DUR|5CDMG|6RCR|7AART|aASPD
138	41612 25122	 * 	197.18	ACR|4VULN|1ASPD|1DMG|1CDMG|1DUR	1689VULN|2DUR|3RCVC|4RCR|5CDMG|7ASPD|aDMG
139	45612 33221	   	197.15	DCR|2VULN|1AART|1ASPD|1DMG|2ZMB|1AAC	19VULN|2DMG|3AART|4aZMB|5BEXP|6AAC|7ASPD|8RCR
140	11642 11353	   	197.12	DCR|1AART|1VULN|1ASPD|1DMG|1CDMG|2DUR	1LHND|29DUR|3DMG|4CGEN|5CDMG|6RCR|7AART|8VULN|aASPD
141	15263 22141	 * 	197.06	DCR|3DMG|2VULN|1NUKE	1LHND|247DMG|38VULN|5DMSP|6RCR|9NUKE|aFEWX
142	15263 22142	   	197.06	DCR|3DMG|2VULN|1NUKE	1LHND|247DMG|38VULN|5DMSP|6RCR|9NUKE|aMBVNT
143	15263 22143	   	197.06	DCR|3DMG|2VULN|1NUKE|1SELL	1LHND|247DMG|38VULN|5DMSP|6RCR|9NUKE|aSELL
144	11362 11353	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LHND|29DUR|3ERES|4DMG|5CDMG|6RCR|7AART|8VULN|aASPD
145	11612 11353	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1LHND|29DUR|3DMG|4ERES|5CDMG|6RCR|7AART|8VULN|aASPD
146	41362 11513	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|28DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9BEXP|aASPD
147	41362 11533	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|28DUR|3ERES|4DMG|5CDMG|6RCR|7AART|9CGEN|aASPD
148	43632 11152	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|2DUST|34DUR|5CDMG|6RCR|7AART|8MLV|9ASPD|aDMG
149	43632 11413	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|2DUST|34DUR|5CDMG|6RCR|7AART|8DMG|9AME|aASPD
150	43632 11423	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|2DUST|34DUR|5CDMG|6RCR|7AART|8DMG|9AELBLL|aASPD
151	43632 11433	   	197.02	DCR|1VULN|1AART|1ASPD|1DMG|1CDMG|2DUR	1VULN|2DUST|34DUR|5CDMG|6RCR|7AART|8DMG|9RMIN|aASPD
152	15266 13311	 * 	196.96	DCR|3DMG|2VULN|1MDPS|1ASPD	1LHND|249DMG|3aVULN|5MDPS|6RCR|7MSLREG|8ASPD
153	61262 11422	   	196.75	DCR|3DMG|1VULN|1AART|1CDMG	1AME|2BEXP|3VULN|489DMG|5CDMG|6RCR|7AART|aFEWX
154	61262 11423	   	196.75	DCR|3DMG|1VULN|1AART|1CDMG	1aAME|2BEXP|3VULN|489DMG|5CDMG|6RCR|7AART
155	62262 11412	   	196.75	DCR|3DMG|1VULN|1AART|1CDMG	1AME|2FEWX|3VULN|48aDMG|5CDMG|6RCR|7AART|9BEXP
