0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32322 12451	1	 * 	294.41	橙3易伤3伤害1等级1时间2雷电1全技能	148易伤234伤害48序列升级58雷电6核7全技能9等级a时间
154	52236 11312	9	   	267.35	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a最后敌人
155	52236 11313	9	   	267.35	橙4易伤2伤害1等级	19a低血量敌人2349易伤5等级6核7雷电89伤害9序列升级
156	52236 11314	10	   	267.35	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a最后敌人
157	52236 11316	10	   	267.35	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a基地爆炸
158	32646 11311	9	   	267.35	橙4易伤2伤害1等级	1239易伤49低血量敌人5等级6核7雷电89伤害9序列升级a矿等
159	32646 11312	10	   	267.35	橙4易伤2伤害1等级	1239易伤49低血量敌人5等级6核7雷电89伤害9序列升级a矿等
160	32646 11312	9	   	267.35	橙4易伤2伤害1等级	1239易伤49低血量敌人5等级6核7雷电89伤害9序列升级a最后敌人
161	32646 11313	9	   	267.35	橙4易伤2伤害1等级	1239易伤49a低血量敌人5等级6核7雷电89伤害9序列升级
162	33646 11311	9	   	267.35	橙4易伤2伤害1等级	1239易伤29序列升级49低血量敌人5等级6核7雷电89伤害a矿等
163	33646 11312	10	   	267.35	橙4易伤2伤害1等级	1239易伤29序列升级49低血量敌人5等级6核7雷电89伤害a矿等
164	33646 11312	9	   	267.35	橙4易伤2伤害1等级	1239易伤29序列升级49低血量敌人5等级6核7雷电89伤害a最后敌人
165	33646 11313	9	   	267.35	橙4易伤2伤害1等级	1239易伤29序列升级49a低血量敌人5等级6核7雷电89伤害
166	52236 11315	9	   	267.25	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a赏金邻近
167	52236 11316	9	   	267.25	橙4易伤2伤害1等级	19低血量敌人2349易伤5等级6核7雷电89伤害9序列升级a挖尘
168	35231 13351	6	   	267.23	橙5易伤2伤害2攻速	13458易伤2挖青68攻速78伤害8序列升级9平台a核
169	32323 11133	1	   	267.19	橙3易伤3伤害1等级1暴击	149易伤234伤害4序列升级5基地爆炸6核7敌人爆炸8等级a暴击
170	32324 11133	1	   	267.19	橙3易伤3伤害1等级1暴击	149易伤234伤害4序列升级5敌人爆炸6核7基地爆炸8等级a暴击
171	52236 11261	6	   	267.16	橙4易伤1等级1伤害1时间1全技能	1低血量敌人2347易伤5等级6核8伤害9时间a全技能
172	32451 11112	2	   	267.15	橙5易伤3时间1全技能	12357易伤458时间5序列升级6全技能9随机矿a核
173	32651 11112	3	   	267.15	橙5易伤3时间1全技能	12357易伤458时间5序列升级6全技能9随机矿a核
174	33451 11112	2	   	267.15	橙5易伤3时间1全技能	12357易伤25序列升级458时间6全技能9随机矿a核
175	33651 11112	3	   	267.15	橙5易伤3时间1全技能	12357易伤25序列升级458时间6全技能9随机矿a核
176	32463 35122	3	   	267.15	橙4易伤2伤害1等级	1267易伤35伤害4等级8雷电9基地爆炸a核
177	33463 35122	3	   	267.15	橙4易伤2伤害1等级	1267易伤2序列升级35伤害4等级8雷电9基地爆炸a核
178	52236 11335	10	   	267.15	橙4易伤2伤害1等级	1低血量敌人2349易伤5等级6核7雷电8a伤害
179	32321 11133	1	   	267.09	橙3易伤3伤害1等级1暴击	149易伤234伤害4序列升级5挖尘6核7敌人爆炸8等级a暴击
180	32324 16133	1	   	267.09	橙3易伤3伤害1等级1暴击	149易伤234伤害4序列升级5敌人爆炸6核7挖尘8等级a暴击
181	35236 11261	6	   	267.06	橙4易伤1等级1伤害1时间1全技能	1347易伤2挖青5等级6核8伤害9时间a全技能
182	32421 61342	3	   	267.05	橙4易伤2伤害1等级	1246易伤34伤害4序列升级59挖尘7雷电8等级a核
183	33421 61342	3	   	267.05	橙4易伤2伤害1等级	1246易伤24序列升级34伤害59挖尘7雷电8等级a核
184	35236 11335	10	   	267.05	橙4易伤2伤害1等级	1349易伤2挖青5等级6核7雷电8a伤害
185	32323 45221	1	 * 	266.73	橙5易伤3伤害	14679易伤234伤害4序列升级5基地爆炸8敌人爆炸a核
186	32422 51221	3	   	266.73	橙5易伤3伤害	12479易伤348伤害4序列升级5基地爆炸6最后敌人a核
187	32422 63221	3	   	266.73	橙5易伤3伤害	12469易伤347伤害4序列升级5基地爆炸8敌人爆炸a核
188	32422 65221	3	   	266.73	橙5易伤3伤害	12469易伤348伤害4序列升级5基地爆炸7最后敌人a核
189	32422 66221	3	   	266.73	橙5易伤3伤害	12469易伤348伤害4序列升级5基地爆炸7敌人爆炸a核
190	32424 31221	3	   	266.73	橙5易伤3伤害	12479易伤348伤害4序列升级5低血量敌人6基地爆炸a核
191	32424 31361	3	   	266.73	橙5易伤3伤害	12478易伤349伤害4序列升级5低血量敌人6基地爆炸a核
192	32424 51221	3	   	266.73	橙5易伤3伤害	12479易伤348伤害4序列升级5低血量敌人6最后敌人a核
193	32424 63221	3	   	266.73	橙5易伤3伤害	12469易伤347伤害4序列升级5低血量敌人8敌人爆炸a核
194	33422 51221	3	   	266.73	橙5易伤3伤害	12479易伤24序列升级348伤害5基地爆炸6最后敌人a核
195	33422 63221	3	   	266.73	橙5易伤3伤害	12469易伤24序列升级347伤害5基地爆炸8敌人爆炸a核
196	33422 65221	3	   	266.73	橙5易伤3伤害	12469易伤24序列升级348伤害5基地爆炸7最后敌人a核
197	33422 66221	3	   	266.73	橙5易伤3伤害	12469易伤24序列升级348伤害5基地爆炸7敌人爆炸a核
198	33424 31221	3	   	266.73	橙5易伤3伤害	12479易伤24序列升级348伤害5低血量敌人6基地爆炸a核
199	33424 31361	3	   	266.73	橙5易伤3伤害	12478易伤24序列升级349伤害5低血量敌人6基地爆炸a核
200	33424 51221	3	   	266.73	橙5易伤3伤害	12479易伤24序列升级348伤害5低血量敌人6最后敌人a核
201	33424 63221	3	   	266.73	橙5易伤3伤害	12469易伤24序列升级347伤害5低血量敌人8敌人爆炸a核
202	32361 56231	1	   	266.67	橙3易伤2等级2伤害1全技能	179易伤23伤害47等级57最后敌人6核7序列升级8基地爆炸a全技能
203	32321 45221	1	   	266.63	橙5易伤3伤害	14679易伤234伤害4序列升级5挖尘8敌人爆炸a核
204	32421 31221	3	   	266.63	橙5易伤3伤害	12479易伤348伤害4序列升级5挖尘6基地爆炸a核
205	32421 51221	3	   	266.63	橙5易伤3伤害	12479易伤348伤害4序列升级5挖尘6最后敌人a核
206	32421 63221	3	   	266.63	橙5易伤3伤害	12469易伤347伤害4序列升级5挖尘8敌人爆炸a核
207	32421 65221	3	   	266.63	橙5易伤3伤害	12469易伤348伤害4序列升级5挖尘7最后敌人a核
208	32421 66221	3	   	266.63	橙5易伤3伤害	12469易伤348伤害4序列升级5挖尘7敌人爆炸a核
209	33421 31221	3	   	266.63	橙5易伤3伤害	12479易伤24序列升级348伤害5挖尘6基地爆炸a核
210	33421 51221	3	   	266.63	橙5易伤3伤害	12479易伤24序列升级348伤害5挖尘6最后敌人a核
211	33421 63221	3	   	266.63	橙5易伤3伤害	12469易伤24序列升级347伤害5挖尘8敌人爆炸a核
212	33421 65221	3	   	266.63	橙5易伤3伤害	12469易伤24序列升级348伤害5挖尘7最后敌人a核
213	33421 66221	3	   	266.63	橙5易伤3伤害	12469易伤24序列升级348伤害5挖尘7敌人爆炸a核
214	32322 11515	1	   	265.55	橙3易伤3伤害1时间1暴击	149易伤234伤害4序列升级5雷电6核7金币生成8时间a暴击
215	32322 16515	1	   	265.45	橙3易伤3伤害1时间1暴击	149易伤234伤害4序列升级5雷电6核7掉矿8时间a暴击
216	32431 11513	2	   	265.44	橙5易伤1等级1时间1全技能	12347易伤4序列升级5时间6全技能8核9平台a等级
217	32631 11513	3	   	265.44	橙5易伤1等级1时间1全技能	12347易伤4序列升级5时间6全技能8核9平台a等级
218	33431 11513	2	   	265.44	橙5易伤1等级1时间1全技能	12347易伤24序列升级5时间6全技能8核9平台a等级
