0	Index      	 *	Score 	Summary	Detail	
1	61351 25332	 * 	275.31	DCR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|26DUR|3TLV|4RAT|56LHND|6BPWR|7VULN|8aRCR|9DUST
35	11623 54332	   	258.29	DCR|DCR|2VULN|1MLV|1DUR|1AAC	1DUR|2RAT|35VULN|4MLV|6LWND|7AAC|8aRCR|9DUST
36	33321 11536	 * 	258.19	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1AART	1aRCR|2LIT|3FEWX|4MLV|5DUR|6AART|7DMG|89VULN
37	33421 11536	   	258.19	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1AART	1aRCR|2LIT|3BEXP|4MLV|5DUR|6AART|7DMG|89VULN
38	33621 11536	   	258.09	ACR|DCR|2VULN|1DMG|1MLV|1DUR|1AART	1aRCR|2LIT|3DUST|4MLV|5DUR|6AART|7DMG|89VULN
39	16222 23521	 * 	255.08	DCR|2VULN|2FLTARM|2TLV|2DUR|1AAC	1aDUR|2RPLT|35TLV|4aFLTARM|6RCR|7aVULN|8DLOT|9AAC|aBPWR
40	16222 23561	   	255.08	DCR|2VULN|2FLTARM|2TLV|2DUR	1aDUR|2RPLT|35TLV|4aFLTARM|6RCR|7aVULN|8DLOT|9RMIN|aBPWR
41	16223 25521	   	255.08	DCR|2VULN|2FLTARM|2TLV|2DUR|1AAC	1aDUR|2RPLT|36TLV|4aFLTARM|5aVULN|7RCR|8DLOT|9AAC|aBPWR
42	11611 52332	   	253.02	DCR|DCR|2TLV|1VULN|1DUR|1AAC	1DUR|2RAT|3VULN|47TLV|5DUST|6AAC|8aRCR|9LWND
43	11611 52352	   	253.02	DCR|DCR|2TLV|1VULN|1DUR|1AAC	1DUR|2RAT|3VULN|47TLV|5DUST|6AAC|8aRCR|9LHND
44	62311 24221	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aRPLT
45	62311 24222	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aLIT
46	62311 24223	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aLHND
47	62311 24224	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	1DMG|2DUST|3TLV|4AEPOI|5RAT|6TBNT|7VULN|89RCR|aRMIN
48	61351 52332	 * 	248.25	DCR|DCR|2DMG|1TLV|1DUR	16DMG|2DUR|3TLV|4RAT|5LHND|7DUST|8aRCR|9LWND
49	61311 24216	 * 	247.44	DCR|2VULN|2DMG|2TLV|1MLV|1DUR	19DMG|2DUR|39TLV|4AEPOI|5RAT|6TBNT|79VULN|8RCR|9BPWR|aMLV
50	61311 24215	   	245.49	DCR|2VULN|2DMG|2TLV|1DUR|1CDMG	19DMG|2DUR|39TLV|4AEPOI|5RAT|6TBNT|79VULN|8RCR|9BPWR|aCDMG
