0	Index      	 *	Score 	Summary	Detail	
1	26433 14212	 * 	268.59	DCR|DCR|2VULN|1TLV|1CDMG	1AEPOI|2ERES|39VULN|4TLV|5BBNT|6aRCR|7AME|8CDMG
43	42121 86131	   	250.20	DCR|DCR|1VULN|1DMG|1AART|1AAC|1CDMG	1DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|8CDMG|9AART|aCGEN
44	42121 86133	   	250.20	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1AAC	1DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|8CDMG|9AART|aLHND
45	42121 86134	   	250.20	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1AAC	1DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|8CDMG|9AART|aRAT
46	42121 86132	   	250.10	DCR|DCR|1VULN|1DMG|1AART|1CDMG|1AAC	1DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|8CDMG|9AART|aAEPOI
47	42122 86142	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG|1AAC	1DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|8CDMG|9BASHEA|aDUR
48	42124 86142	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1CDMG|1AAC	1DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|8CDMG|9BASHEA|aDUR
49	12535 32225	   	249.39	DCR|DCR|1VULN|1TLV|1DUR|1SELL	1TLV|2LWND|3ASPD|4DUR|5SELL|6ZMB|7MDPS|8VULN|9aRCR
50	13114 36215	 * 	249.00	DCR|DCR|1VULN|1TLV|2CDMG|1AAC	1TLV|28CDMG|3LWND|4AAC|5ZMB|6aRCR|7BBNT|9VULN
51	13514 33115	   	249.00	DCR|DCR|1VULN|1TLV|2CDMG|1AAC	1TLV|27CDMG|3BEXP|4AAC|5ZMB|6aRCR|8BBNT|9VULN
52	15124 33115	   	249.00	DCR|DCR|1VULN|1TLV|2CDMG|1AAC	1TLV|2LHND|3AAC|47CDMG|5ZMB|6aRCR|8BBNT|9VULN
53	42121 86123	   	249.00	DCR|DCR|1VULN|2AAC|1DMG|1CDMG	1DMG|2VULN|3aAAC|4MBVNT|59FEWX|67RCR|8CDMG
54	42121 86431	   	248.90	DCR|DCR|1VULN|1TLV|1DMG|1AAC	1DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|8BASARM|9BBNT|aTLV
55	42122 86141	   	248.90	DCR|DCR|1VULN|2AAC|1DMG|1CDMG	1DMG|2VULN|3aAAC|4MBVNT|5LHND|67RCR|8CDMG|9BASHEA
56	42124 86141	   	248.90	DCR|DCR|1VULN|2AAC|1DMG|1CDMG	1DMG|2VULN|3aAAC|4MBVNT|5LWND|67RCR|8CDMG|9BASHEA
57	31431 64212	   	248.62	ACR|DCR|2VULN|1TLV|1DUR|1CDMG	1DUR|23BEXP|4aRCR|59VULN|6MDPS|7TLV|8CDMG
58	23874 12426	 * 	247.95	DCR|DCR|3DUR|1TLV|1CDMG	1AEPOI|2MBVNT|367DUR|4AEBURN|5TLV|8CDMG|9aRCR
59	42262 14113	 * 	247.64	DCR|3VULN|3DMG|2MLV	14aDMG|249VULN|3RPLT|4aBPWR|5aCGEN|6BELT|7RCR|8aMLV
60	31631 64112	   	247.18	ACR|DCR|2VULN|2DUR|1TLV|1SELL	13DUR|2BEXP|4aRCR|59VULN|6MDPS|7TLV|8SELL
61	41252 16121	   	246.42	ACR|DCR|2DMG|1VULN|1TLV|1DUR	16DMG|28RCR|3DUR|4DMSP|5SNIFST|7TLV|9BOSS|aVULN
62	13626 22353	 * 	246.39	DCR|2VULN|2TLV|2DUR|2AART|1CDMG	1aTLV|2CDMG|3aVULN|46AART|5BBNT|7RCR|8aDUR|9TBNT|aBPWR
63	13541 12325	   	246.17	DCR|DCR|1TLV|1DMG|1MLV|1CDMG	1TLV|2CDMG|3BEXP|4BBNT|5ZMB|6ERES|7DMG|8MLV|9aRCR
64	42345 31233	 * 	245.84	DCR|3VULN|3DMG|1TLV|1AAC	158DMG|258VULN|3BOSS|4TBNT|58BPWR|68LWND|7AAC|9RCR|aTLV
65	35133 42225	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1AART	1DUR|2RPLT|3BELT|4AART|5RAT|6MLV|7MDPS|8VULN|9aRCR
66	36123 42225	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG|1AAC	1DUR|2ZMB|3AAC|4CDMG|5BEXP|6MLV|7MDPS|8VULN|9aRCR
67	36126 33325	   	245.74	DCR|DCR|1VULN|1MLV|1DUR|1CDMG|1AAC	1DUR|27ZMB|3AAC|4CDMG|5BBNT|6VULN|8MLV|9aRCR
68	42261 62311	   	245.54	DCR|3VULN|3DMG|1TLV	147DMG|249VULN|3RPLT|4BPWR|5TBNT|6AEWIND|8TLV|aRCR
69	23823 52226	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4CDMG|5BEXP|6MLV|7MDPS|8VULN|9aRCR
70	23824 37326	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4CDMG|5BBNT|6VULN|7RCVC|8MLV|9aRCR
71	23843 81426	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4VULN|5MLV|6MDPS|7BEXP|8CDMG|9aRCR
72	23843 84426	   	245.54	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4VULN|5MLV|6MDPS|7FEWX|8CDMG|9aRCR
73	23826 22226	   	245.44	DCR|DCR|1VULN|1MLV|1DUR|1CDMG	1AEPOI|2MBVNT|3DUR|4CDMG|5MLV|6DUST|7MDPS|8VULN|9aRCR
74	12244 31225	   	244.74	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2LWND|3RPLT|4BEXP|5MLV|6RMIN|7FEWX|8VULN|9aRCR
75	12221 11325	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2LWND|3RPLT|4VULN|5MDPS|6CGEN|7AEPOI|8MLV|9aRCR
76	12221 36325	   	244.54	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2LWND|3RPLT|4VULN|5MDPS|6AME|7RCVC|8MLV|9aRCR
77	12221 34325	   	244.44	DCR|DCR|1VULN|1TLV|1MLV	1TLV|2LWND|3RPLT|4VULN|5MDPS|67AME|8MLV|9aRCR
78	41233 26511	   	244.44	ACR|DCR|1VULN|2DUR|1DMG|1MLV|1CDMG	1DMG|28RCR|34DUR|5VULN|6CDMG|7CGEN|9LIT|aMLV
79	41233 26521	   	244.44	ACR|DCR|1VULN|2DUR|1DMG|1MLV|1CDMG	1DMG|28RCR|34DUR|5VULN|6CDMG|7CGEN|9BOSS|aMLV
80	23624 48226	   	244.18	DCR|DCR|1VULN|2MLV|1CDMG	1AEPOI|2MBVNT|3FEWX|4CDMG|5BBNT|67MLV|8VULN|9aRCR
81	23424 48226	   	244.08	DCR|DCR|1VULN|2MLV|1CDMG	1AEPOI|2MBVNT|3LEGI|4CDMG|5BBNT|67MLV|8VULN|9aRCR
82	42334 16311	   	243.84	DCR|3VULN|2DMG|1TLV|1AART	1aDMG|29aVULN|3BOSS|4AART|5BEXP|6TLV|7RCR|8aLIT|aBPWR
83	42336 16311	   	243.84	DCR|3VULN|2DMG|1TLV|1AART	1aDMG|29aVULN|3BOSS|4AART|5FEWX|6TLV|7RCR|8aLIT|aBPWR
84	42627 11213	   	243.74	DCR|3VULN|2DMG|1TLV|1DUR	19DMG|289VULN|3TLV|4MBVNT|5DUR|69LIT|7BOSS|9BPWR|aRCR
85	31561 31125	   	242.69	DCR|DCR|2VULN|1DUR	1DUR|2BEXP|3FEWX|4RPLT|56VULN|7DUST|8CGEN|9aRCR
86	13114 33115	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|37LWND|4AAC|5ZMB|6aRCR|8BBNT|9VULN
87	13114 34115	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3LWND|4AAC|5ZMB|6aRCR|7DMSP|8BBNT|9VULN
88	13114 42225	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3LWND|4AAC|5ZMB|6BEXP|7MDPS|8VULN|9aRCR
89	13114 52225	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3LWND|4AAC|5ZMB|6FEWX|7MDPS|8VULN|9aRCR
90	13514 31115	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|37BEXP|4AAC|5ZMB|6aRCR|8BBNT|9VULN
91	15124 32115	   	242.69	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|27LHND|3AAC|4CDMG|5ZMB|6aRCR|8BBNT|9VULN
92	31226 32215	   	242.69	DCR|DCR|1VULN|1TLV|1DUR	1DUR|2BEXP|39LHND|4AETHUN|5RPLT|6VULN|7TLV|8aRCR
93	25431 25212	   	242.59	DCR|DCR|2VULN|1CDMG	1AEPOI|2RMIN|39VULN|4TBNT|5LHND|6aRCR|7RCVC|8CDMG
94	13114 22225	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3LWND|4AAC|5ZMB|6DUST|7MDPS|8VULN|9aRCR
95	13114 35115	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3LWND|4AAC|5ZMB|6aRCR|7AEPOI|8BBNT|9VULN
96	13114 36315	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3LWND|4AAC|5ZMB|6aRCR|7BBNT|8AEWIND|9VULN
97	13514 22225	   	242.59	DCR|DCR|1VULN|1TLV|1CDMG|1AAC	1TLV|2CDMG|3BEXP|4AAC|5ZMB|6DUST|7MDPS|8VULN|9aRCR
98	23844 28832	   	242.59	DCR|DCR|1VULN|1TLV|1DUR	1AEPOI|2MBVNT|3DUR|4VULN|58LWND|6RAT|7aRCR|9TLV
99	51541 23212	   	242.55	DCR|DCR|2VULN|1DUR|1SELL	1BEXP|235FEWX|49VULN|6SELL|7DUR|8aRCR
100	32542 12342	 * 	242.53	DCR|3VULN|2TLV|2DUR|1AART	1aDUR|28LIT|35aVULN|4TBNT|6RCR|7aTLV|9AART|aBPWR
101	32552 12342	   	242.53	DCR|3VULN|2TLV|2DUR|1AART	1aDUR|28LIT|35aVULN|4BBNT|6RCR|7aTLV|9AART|aBPWR
102	41233 26532	   	242.48	ACR|DCR|1VULN|2DUR|1DMG|1AART|1CDMG	1DMG|28RCR|34DUR|5VULN|6CDMG|7CGEN|9LWND|aAART
103	11535 32225	   	242.45	DCR|DCR|1VULN|1TLV|1DUR|1AAC|1SELL	1TLV|2AAC|3LWND|4DUR|5SELL|6ZMB|7MDPS|8VULN|9aRCR
104	12135 32225	   	242.45	DCR|DCR|1VULN|1TLV|1DUR|1AAC|1SELL	1TLV|2LWND|3AAC|4DUR|5SELL|6ZMB|7MDPS|8VULN|9aRCR
105	23624 32726	   	242.39	DCR|DCR|1VULN|1TLV|1CDMG	1AEPOI|2MBVNT|3FEWX|4CDMG|5BBNT|6VULN|7TLV|8AEBURN|9aRCR
106	23424 32726	   	242.29	DCR|DCR|1VULN|1TLV|1CDMG	1AEPOI|2MBVNT|3LEGI|4CDMG|5BBNT|6VULN|7TLV|8AEBURN|9aRCR
107	41232 16133	   	242.29	ACR|DCR|2DMG|2DUR|1TLV|1MLV	16DMG|28RCR|34DUR|5SNIFST|7TLV|9MDPS|aMLV
108	31236 62632	 * 	241.86	DCR|DCR|3DUR|1DMG|1AART|1SELL	145DUR|2BEXP|3LHND|6AART|7SELL|8DMG|9aRCR
109	42623 44481	   	241.56	DCR|3VULN|1TLV|1DMG|1MLV|1AART	1DMG|278VULN|3TLV|4MBVNT|5MLV|6LWND|9AART|aRCR
110	41232 21115	   	241.29	ACR|DCR|2VULN|2DUR|1DMG	1DMG|2aRCR|34DUR|5SNIFST|6BEXP|78VULN|9CGEN
111	41232 31115	   	241.29	ACR|DCR|2VULN|2DUR|1DMG	1DMG|2aRCR|34DUR|5SNIFST|6LHND|78VULN|9CGEN
112	41232 42115	   	241.29	ACR|DCR|2VULN|2DUR|1DMG	1DMG|2aRCR|34DUR|5SNIFST|68VULN|7BEXP|9CGEN
113	41232 43115	   	241.29	ACR|DCR|2VULN|2DUR|1DMG	1DMG|2aRCR|34DUR|5SNIFST|68VULN|7LWND|9CGEN
114	41232 33525	   	241.29	ACR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2aRCR|34DUR|5SNIFST|67LHND|8TLV|9VULN
115	41233 13425	   	241.19	ACR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2aRCR|34DUR|5VULN|6AEFRZ|7TLV|8BEXP|9MULHEA
116	41233 13525	   	241.19	ACR|DCR|1VULN|2DUR|1TLV|1DMG	1DMG|2aRCR|34DUR|5VULN|6AEFRZ|7TLV|8LHND|9MULHEA
117	13135 13326	 * 	241.14	DCR|DCR|3TLV|1DUR|1CDMG	156TLV|2CDMG|3LWND|46BEXP|6BPWR|7DUR|8MBVNT|9aRCR
118	42121 86231	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|59FEWX|67RCR|aBEXP
119	42121 86232	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|59FEWX|67RCR|aRAT
120	42121 86234	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|59aFEWX|67RCR
121	42122 86231	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9FEWX|aDMSP
122	42122 86234	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9aFEWX
123	42124 86231	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9FEWX|aDMSP
124	42124 86234	   	240.49	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9aFEWX
125	41232 16123	   	240.43	ACR|DCR|2DMG|2DUR|1TLV|1AAC	16DMG|28RCR|34DUR|5SNIFST|7TLV|9BOSS|aAAC
126	42121 86211	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9TBNT|aLHND
127	42121 86214	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5aFEWX|67RCR|9TBNT
128	42121 86223	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9ERES|aLWND
129	42121 86233	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|59FEWX|67RCR|aTBNT
130	42121 86241	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9DLOT|aLHND
131	42121 86243	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9DLOT|aCGEN
132	42121 86321	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	1aDMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|8RAT|9MGNBOS
133	42122 86211	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5aLHND|67RCR|9TBNT
134	42122 86213	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9TBNT|aCGEN
135	42122 86223	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9ERES|aLWND
136	42122 86232	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9FEWX|aERES
137	42122 86331	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	1aDMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|8RAT|9AIRHEA
138	42124 86211	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9TBNT|aLHND
139	42124 86214	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9TBNT|aFEWX
140	42124 86223	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9ERES|aLHND
141	42124 86232	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9FEWX|aERES
142	42124 86321	   	240.39	DCR|DCR|2DMG|1VULN|1AAC	1aDMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|8RAT|9MGNBOS
143	41232 16132	   	240.33	ACR|DCR|2DMG|2DUR|1TLV|1AAC	16DMG|28RCR|34DUR|5SNIFST|7TLV|9MDPS|aAAC
144	42121 86212	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9TBNT|aBBNT
145	42121 86221	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9ERES|aSNITOX
146	42121 86222	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9ERES|aDUST
147	42121 86224	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9aERES
148	42121 86242	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5FEWX|67RCR|9DLOT|aDUST
149	42122 86212	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9TBNT|aERES
150	42122 86221	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9ERES|aSNITOX
151	42122 86222	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9ERES|aDUST
152	42122 86224	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LHND|67RCR|9aERES
153	42124 86212	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9TBNT|aBBNT
154	42124 86221	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9ERES|aSNITOX
155	42124 86222	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9ERES|aDUST
156	42124 86224	   	240.29	DCR|DCR|2DMG|1VULN|1AAC	18DMG|2VULN|3AAC|4MBVNT|5LWND|67RCR|9aERES
157	13214 35513	   	239.95	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9LIT|aBEXP
158	13214 35523	   	239.95	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9BOSS|aBEXP
159	13214 35532	   	239.95	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9LWND|aDMSP
160	13214 35533	   	239.95	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9LWND|aLIT
161	13214 35511	   	239.85	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9LIT|aAME
162	13214 35512	   	239.85	DCR|DCR|1TLV|1MLV|1CDMG|1DUR	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9LIT|aERES
163	13214 35521	   	239.85	DCR|DCR|1TLV|1MLV|1DUR|1CDMG	1TLV|2CDMG|3RMIN|4DUR|5ZMB|68RCR|7MLV|9BOSS|aAME
