0	Index      	 *	Score 	Summary	Detail	
1	42321 64231	 * 	187.72	DCR|3VULN|3DMG|3CDMG	178LWND|269CDMG|3RCVC|479VULN|579DMG|79BPWR|aRCR
51	25213 53231	   	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|2357VULN|4FEWX|6CGEN|8RCR|9DMG|aCDMG
52	25213 62231	   	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|2356VULN|4FEWX|7RMIN|8RCR|9DMG|aCDMG
53	25213 66231	   	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|2356VULN|4FEWX|7CGEN|8RCR|9DMG|aCDMG
54	25233 53231	   	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|2357VULN|4LHND|6CGEN|8RCR|9DMG|aCDMG
55	25233 66231	   	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|2356VULN|4LHND|7CGEN|8RCR|9DMG|aCDMG
56	25266 23231	   	160.63	DCR|4VULN|1DMG|1CDMG	1LIT|2357VULN|45CGEN|5BPWR|6LEGI|8RCR|9DMG|aCDMG
57	25211 33231	   	160.53	DCR|4VULN|1DMG|1CDMG	1LIT|2367VULN|4FEWX|5ERES|8RCR|9DMG|aCDMG
58	25231 33231	   	160.53	DCR|4VULN|1DMG|1CDMG	1LIT|2367VULN|4LHND|5ERES|8RCR|9DMG|aCDMG
59	21233 53416	 * 	160.39	DCR|2DMG|1AART|1VULN|2CDMG	1LIT|2CGEN|3RPLT|46DMG|59CDMG|7VULN|8RCR|aAART
60	34622 43331	   	160.35	ACR|3VULN|1AART|1DMG|1SELL	1LHND|2LWND|3AART|489VULN|5RCR|6SELL|7MBVNT|aDMG
61	43622 43331	   	160.35	ACR|3VULN|1AART|1DMG|1SELL	1LWND|2LHND|3AART|489VULN|5RCR|6SELL|7MBVNT|aDMG
62	32313 61112	   	160.12	DCR|3VULN|1AART|2CDMG|1DUR	19LHND|29CDMG|3RCVC|4DUR|5LWND|689VULN|7AART|9BPWR|aRCR
63	32314 63112	   	160.12	DCR|3VULN|1AART|2CDMG|1DUR	19LHND|29CDMG|3RCVC|4DUR|5BEXP|689VULN|7AART|9BPWR|aRCR
64	42313 61112	   	160.12	DCR|3VULN|1AART|2CDMG|1DUR	19LWND|29CDMG|3RCVC|4DUR|5LHND|689VULN|7AART|9BPWR|aRCR
65	42314 63112	   	160.12	DCR|3VULN|1AART|2CDMG|1DUR	19LWND|29CDMG|3RCVC|4DUR|5BEXP|689VULN|7AART|9BPWR|aRCR
66	14436 32223	 * 	160.10	ACR|3VULN|1DMG|2CDMG|1ASPD	18TLV|28aVULN|3DUST|4ASPD|5RCR|68CDMG|7BELT|8BPWR|9DMG
67	12153 53432	   	159.92	DCR|3VULN|1AART|2CDMG|1DUR	18TLV|2BEXP|38CDMG|4DUR|5CGEN|689VULN|7AART|8BPWR|aRCR
68	25213 53224	 * 	159.81	DCR|5VULN|1DMG	1LIT|23579VULN|4FEWX|6CGEN|8RCR|aDMG
69	25233 53224	   	159.81	DCR|5VULN|1DMG	1LIT|23579VULN|4LHND|6CGEN|8RCR|aDMG
70	25211 33224	   	159.71	DCR|5VULN|1DMG	1LIT|23679VULN|4FEWX|5ERES|8RCR|aDMG
71	25231 33224	   	159.71	DCR|5VULN|1DMG	1LIT|23679VULN|4LHND|5ERES|8RCR|aDMG
72	31123 26526	 * 	159.48	DCR|2DMG|1AART|1VULN|3DUR	1LHND|2RCVC|356DUR|48DMG|7RCR|9AART|aVULN
73	33123 26526	   	159.48	DCR|2DMG|1AART|1VULN|3DUR	12LHND|356DUR|48DMG|7RCR|9AART|aVULN
74	41123 26522	   	159.48	DCR|2DMG|1AART|1VULN|3DUR	1LWND|2RCVC|356DUR|48DMG|7RCR|9AART|aVULN
75	21233 53441	   	159.46	DCR|2VULN|2DMG|1CDMG|1ZMB	1LIT|2CGEN|3RPLT|46DMG|5CDMG|7aVULN|8RCR|9ZMB
76	26123 13612	 * 	159.28	DCR|2DMG|1AART|1VULN|1FLTHEA	1LIT|2BEXP|3SNIHEL|4DUST|5AART|6aDMG|7RCR|8FLTHEA|9VULN
77	32321 34511	   	159.27	DCR|3VULN|2DMG|1CDMG|1SELL	17LHND|2CDMG|36RCVC|478VULN|57DMG|7BPWR|9SELL|aRCR
78	42321 34511	   	159.27	DCR|3VULN|2DMG|1CDMG|1SELL	17LWND|2CDMG|36RCVC|478VULN|57DMG|7BPWR|9SELL|aRCR
79	11642 33614	   	159.26	DCR|2VULN|2DMG|1CDMG|1ZMB	1TLV|2FEWX|3aDMG|45VULN|6MBVNT|7ZMB|8RCR|9CDMG
80	12642 33614	   	159.26	DCR|2VULN|2DMG|1CDMG|1ZMB	1TLV|2BEXP|3aDMG|45VULN|6MBVNT|7ZMB|8RCR|9CDMG
81	31242 43611	   	159.07	DCR|3VULN|2DMG|1CDMG|1SELL	1LHND|2RCVC|346VULN|58DMG|7CDMG|9SELL|aRCR
82	33242 43611	   	159.07	DCR|3VULN|2DMG|1CDMG|1SELL	12LHND|346VULN|58DMG|7CDMG|9SELL|aRCR
83	23233 61262	 * 	159.00	DCR|2VULN|2DMG|2ZMB|1DUR	1LIT|2LEGI|3aVULN|4LHND|5DUR|6aZMB|7RCR|8ERES|9aDMG|aBPWR
84	31165 63112	   	159.00	DCR|3VULN|1AART|1CDMG|2DUR	19LHND|2RCVC|39DUR|4DUST|5CDMG|689VULN|7AART|9BPWR|aRCR
85	33165 63112	   	159.00	DCR|3VULN|1AART|1CDMG|2DUR	129LHND|39DUR|4DUST|5CDMG|689VULN|7AART|9BPWR|aRCR
86	32253 63152	   	158.80	DCR|3VULN|1AART|1CDMG|2DUR	1LHND|2CDMG|3DUST|45DUR|689VULN|7AART|aRCR
87	25663 21131	 * 	158.78	DCR|2VULN|1AART|1DMG|1CDMG	1LIT|2aVULN|3DUST|4DMG|5BELT|6AART|7RCR|8DMSP|9CDMG
88	25663 21231	   	158.78	DCR|2VULN|1AART|1DMG|1CDMG	18LIT|2aVULN|3DUST|4DMG|5BELT|6AART|7RCR|9CDMG
89	34622 13431	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3AART|4aVULN|5RCR|6CDMG|7MBVNT|8DMG|9MLV
90	34622 13451	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2aLWND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG
91	34622 13453	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG|aCGEN
92	34622 13621	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	19LHND|2LWND|3AART|48VULN|5RCR|6CDMG|7MBVNT|aDMG
93	43622 13431	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LWND|2LHND|3AART|4aVULN|5RCR|6CDMG|7MBVNT|8DMG|9MLV
94	43622 13451	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1aLWND|2LHND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG
95	43622 13453	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LWND|2LHND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG|aCGEN
96	43622 13621	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LWND|29LHND|3AART|48VULN|5RCR|6CDMG|7MBVNT|aDMG
97	34622 14231	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3AART|49VULN|5RCR|6CDMG|7RMIN|8ERES|aDMG
98	43622 14231	   	158.59	ACR|2VULN|1AART|1DMG|1CDMG	1LWND|2LHND|3AART|49VULN|5RCR|6CDMG|7RMIN|8ERES|aDMG
99	34622 13454	   	158.49	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG|aERES
100	34622 13461	 * 	158.49	ACR|2DMG|1AART|1VULN|1CDMG	1LHND|2LWND|3AART|4VULN|5RCR|6CDMG|7MBVNT|8aDMG|9LSRREG
101	34622 13471	   	158.49	ACR|2VULN|1AART|1DMG|1CDMG	1LHND|2LWND|3AART|4aVULN|5RCR|6CDMG|7MBVNT|8DMG|9NUKE
102	43622 13454	   	158.49	ACR|2VULN|1AART|1DMG|1CDMG	1LWND|2LHND|3AART|49VULN|5RCR|6CDMG|7MBVNT|8DMG|aERES
103	43622 13461	   	158.49	ACR|2DMG|1AART|1VULN|1CDMG	1LWND|2LHND|3AART|4VULN|5RCR|6CDMG|7MBVNT|8aDMG|9LSRREG
104	43622 13471	   	158.49	ACR|2VULN|1AART|1DMG|1CDMG	1LWND|2LHND|3AART|4aVULN|5RCR|6CDMG|7MBVNT|8DMG|9NUKE
105	34625 22331	   	158.41	DCR|3VULN|1AART|1CDMG|1DUR	1LHND|2LWND|3AART|456VULN|7FEWX|8DUR|9RCR|aCDMG
106	43625 22331	   	158.41	DCR|3VULN|1AART|1CDMG|1DUR	1LWND|2LHND|3AART|456VULN|7FEWX|8DUR|9RCR|aCDMG
107	34622 42332	   	158.33	ACR|3VULN|1AART|1ZMB|1DUR|1SELL	1LHND|2LWND|3AART|489VULN|5RCR|6SELL|7DUR|aZMB
108	43622 42332	   	158.33	ACR|3VULN|1AART|1ZMB|1DUR|1SELL	1LWND|2LHND|3AART|489VULN|5RCR|6SELL|7DUR|aZMB
109	34625 23331	   	158.31	DCR|3VULN|1AART|1CDMG|1DUR	1LHND|2LWND|3AART|456VULN|7DUST|8DUR|9RCR|aCDMG
110	43625 23331	   	158.31	DCR|3VULN|1AART|1CDMG|1DUR	1LWND|2LHND|3AART|456VULN|7DUST|8DUR|9RCR|aCDMG
111	14436 33313	   	158.27	ACR|3VULN|1CDMG|1FLTHEA|1ZMB|1ASPD	1TLV|29aVULN|3DUST|4ASPD|5RCR|6CDMG|7ZMB|8FLTHEA
112	36511 62112	   	158.25	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|2AIRHEA|3RCR|4ZMB|5DUST|68VULN|7AART|9CGEN|aDMG
113	36511 62312	   	158.25	ACR|2DMG|1AART|1VULN|1ZMB	1LHND|2AIRHEA|3RCR|4ZMB|5DUST|6VULN|7AART|89DMG|aFEWX
114	36511 62313	   	158.25	ACR|2DMG|1AART|1VULN|1ZMB	1LHND|2AIRHEA|3RCR|4ZMB|5DUST|6VULN|7AART|89DMG|aLIT
115	36511 62122	   	158.15	ACR|2VULN|1AART|1DMG|1ZMB	1LHND|2AIRHEA|3RCR|4ZMB|5DUST|68VULN|7AART|9TLV|aDMG
116	36511 62311	   	158.15	ACR|2DMG|1AART|1VULN|1ZMB	1LHND|2AIRHEA|3RCR|4ZMB|5DUST|6VULN|7AART|89DMG|aMBVNT
117	14141 22261	   	158.13	DCR|4VULN|1DMG|1CDMG	1TLV|248aVULN|3CDMG|5DMG|6BEXP|7RMIN|9RCR
118	31242 42211	   	158.13	DCR|4VULN|1DMG|1CDMG	1LHND|2RCVC|346aVULN|5DMG|7MBVNT|8CDMG|9RCR
119	33242 42211	   	158.13	DCR|4VULN|1DMG|1CDMG	12LHND|346aVULN|5DMG|7MBVNT|8CDMG|9RCR
120	41242 42211	   	158.13	DCR|4VULN|1DMG|1CDMG	1LWND|2RCVC|346aVULN|5DMG|7MBVNT|8CDMG|9RCR
121	11642 33642	   	157.95	DCR|2VULN|2DMG|2DUR|1ZMB	1aTLV|2FEWX|3aDMG|45VULN|6MBVNT|7ZMB|8RCR|9aDUR|aBPWR
122	25213 26214	 * 	157.88	DCR|3VULN|1AART|1DMG	1LIT|235VULN|4FEWX|6RPLT|7AART|8RCR|9LHND|aDMG
123	36516 13331	   	157.87	ACR|2VULN|2DMG|1ZMB|1ASPD	1LHND|2AIRHEA|3RCR|4ZMB|5aDMG|6ASPD|79VULN|8CGEN
124	25213 26225	   	157.78	DCR|3VULN|1AART|1DMG	1LIT|235VULN|4FEWX|6RPLT|7AART|8RCR|9MBVNT|aDMG
