0	Index      	 *	Score 	Summary	Detail	
1	31121 13124	 * 	201.64	ACR|2VULN|2DMG|1AART|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ASPD|aAART
40	31121 13626	   	183.09	ACR|3VULN|2DMG|2CDMG|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8CGEN|9ASPD
41	31121 13366	   	183.09	ACR|3DMG|2VULN|2CDMG|1ASPD	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|aASPD
42	31143 34212	   	183.07	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|7AART|8DUST|aVULN
43	31121 13244	   	182.99	ACR|3DMG|2VULN|2CDMG|1DUR	1LEGI|27aDMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|9DUR
44	31121 13246	   	182.99	ACR|3VULN|2DMG|2CDMG|1DUR	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8DUST|9DUR
45	31121 13263	   	182.99	ACR|3DMG|2VULN|2CDMG|1DUR	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aDUR
46	31121 13266	   	182.99	ACR|3DMG|2VULN|2CDMG|1ASPD	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aASPD
47	31143 35225	   	182.69	DCR|3DMG|2VULN|1CDMG|1ASPD|1DUR	1LEGI|249DMG|3CDMG|5ASPD|6RCR|78VULN|aDUR
48	31143 31312	   	182.57	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|7BEXP|8AART|aVULN
49	31143 32243	   	182.56	DCR|3DMG|2VULN|1CDMG|2ASPD	1LEGI|24aDMG|3CDMG|5aASPD|6RCR|79DMSP|8aVULN|aBPWR
50	13314 12562	   	182.56	DCR|2VULN|2DMG|1AART|1ZMB|1DUR	1DUR|2BEXP|3AART|46DMG|5RPLT|7RCR|8ZMB|9aVULN
51	31143 33312	   	182.47	DCR|3DMG|1AART|1VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|7DUST|8AART|aVULN
52	31121 13616	 * 	182.39	ACR|3DMG|2VULN|3CDMG	1LEGI|27aDMG|37aCDMG|4RCR|5RCVC|67VULN|7aBPWR|8CGEN|9aFEWX
53	31121 13236	   	182.29	ACR|3DMG|2VULN|3CDMG	1LEGI|27aDMG|37aCDMG|4RCR|5RCVC|67VULN|7aBPWR|8DUST|9aCGEN
54	31122 63312	 * 	180.59	ACR|3DMG|1AART|1VULN|1CDMG|1DUR	1LEGI|279DMG|3CDMG|4RCR|5MLV|6DUR|8AART|aVULN
55	15123 53324	 * 	180.47	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	17DUR|27ZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|8RCVC|9aVULN
56	15123 53316	 * 	180.28	ACR|2DMG|1AART|2ZMB|1CDMG|1FLTHEA|2DUR	17DUR|27ZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|8RCVC|9AART|aFLTHEA
57	15123 53412	   	179.87	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	17DUR|27ZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|89VULN|aRCVC
58	31125 24336	 * 	179.77	ACR|2VULN|2DMG|3ZMB|1CDMG	1LEGI|2aDMG|3CDMG|4RCR|5RPLT|6aVULN|79aZMB|8BELT|aBPWR
59	15123 53132	 * 	179.67	ACR|3DMG|1AART|2ZMB|1CDMG|2DUR	17DUR|27ZMB|3CDMG|4RCR|5MGNSTR|679DMG|7BPWR|8ERES|aAART
60	64123 53132	   	179.67	ACR|3DMG|1AART|2ZMB|1CDMG|2DUR	17ZMB|27DUR|3CDMG|4RCR|5MGNSTR|679DMG|7BPWR|8ERES|aAART
61	31121 13125	   	179.61	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5aRCVC|67VULN|7BPWR|8ZMB|9ASPD
62	15123 53413	   	178.47	ACR|2VULN|2DMG|2ZMB|1CDMG|2DUR	17DUR|27ZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|89VULN|aDUST
63	31121 13115	   	178.44	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9FEWX|aASPD
64	31121 13121	   	178.44	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ASPD|aCGEN
65	31121 13122	   	178.44	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ASPD|aMLV
66	31121 13155	   	178.44	ACR|2VULN|2DMG|2CDMG|1ZMB|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9BEXP|aASPD
67	31121 13133	   	178.34	ACR|2DMG|2VULN|2CDMG|1ZMB|1DUR	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8ZMB|9ERES|aDUR
68	31143 36353	 * 	176.91	DCR|3DMG|1VULN|2CDMG|2DUR|1ASPD	1LEGI|249DMG|39CDMG|5ASPD|6RCR|7LWND|89DUR|9BPWR|aVULN
69	53131 15242	   	176.77	DCR|3VULN|2DMG|1AART	169VULN|2BEXP|39FEWX|4DLOT|5AART|79DMG|8RCR|9BPWR|aMLV
70	53131 15243	   	176.67	DCR|3VULN|2DMG|1AART	169VULN|2BEXP|39FEWX|4DLOT|5AART|79DMG|8RCR|9BPWR|aLEGI
71	53231 15242	   	176.57	DCR|3VULN|2DMG|1AART	169VULN|2BEXP|39DUST|4DLOT|5AART|79DMG|8RCR|9BPWR|aMLV
72	53231 15243	   	176.47	DCR|3VULN|2DMG|1AART	169VULN|2BEXP|39DUST|4DLOT|5AART|79DMG|8RCR|9BPWR|aLEGI
73	15121 13623	   	176.32	ACR|2VULN|1AART|2CDMG|2DUR|1ZMB|1ASPD	17DUR|2ZMB|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9ASPD|aAART
74	31143 34114	 * 	176.23	DCR|3DMG|1AART|2CDMG|2ASPD	1LEGI|24aDMG|3aCDMG|5aASPD|6RCR|7AART|89RPLT|aBPWR
75	31121 12243	   	176.15	ACR|3VULN|2DMG|2CDMG	1LEGI|2aDMG|3aCDMG|4RCR|5RCVC|68aVULN|7RMIN|9DMSP|aBPWR
76	31121 13314	   	176.15	ACR|3DMG|2VULN|2CDMG	1LEGI|27aDMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|9BEXP
77	31121 13316	   	176.15	ACR|3VULN|2DMG|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8LWND|9BEXP
78	31121 13322	   	176.15	ACR|3VULN|2DMG|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8LWND|9MLV
79	31121 13361	   	176.15	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|aCGEN
80	31121 13362	   	176.15	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8aLWND
81	31121 13363	   	176.15	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|aMLV
82	31121 13364	   	176.15	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|aLHND
83	31121 31226	   	176.15	ACR|3VULN|2DMG|2CDMG	1LEGI|2aDMG|3aCDMG|4RCR|5RCVC|6CGEN|7BEXP|89aVULN|aBPWR
84	31143 35163	   	176.11	DCR|3DMG|1VULN|1CDMG|1ZMB|1DUR|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|7VULN|8ZMB|aDUR
85	31121 13214	   	176.05	ACR|3DMG|2VULN|2CDMG	1LEGI|27aDMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|9BEXP
86	31121 13216	   	176.05	ACR|3VULN|2DMG|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8DUST|9BEXP
87	31121 13261	   	176.05	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aCGEN
88	31121 13262	   	176.05	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aLWND
89	31121 13264	   	176.05	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aLHND
90	31121 13354	   	176.05	ACR|3DMG|2VULN|2CDMG	1LEGI|27aDMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|9DUST
91	31121 13356	   	176.05	ACR|3VULN|2DMG|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8LWND|9DUST
92	31121 13365	   	176.05	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|aERES
93	31121 13636	   	176.05	ACR|3VULN|2DMG|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8CGEN|9ERES
94	31121 33226	   	176.05	ACR|3VULN|2DMG|2CDMG	1LEGI|2aDMG|3aCDMG|4RCR|5RCVC|6CGEN|7DUST|89aVULN|aBPWR
95	31143 35136	   	175.98	DCR|3DMG|1VULN|2ASPD|1CDMG|1ZMB	1LEGI|24aDMG|3CDMG|5aASPD|6RCR|7VULN|8ZMB|9aCGEN|aBPWR
96	31121 13256	   	175.95	ACR|3VULN|2DMG|2CDMG	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|89DUST
97	31121 13265	   	175.95	ACR|3DMG|2VULN|2CDMG	1LEGI|279DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aERES
98	31121 13423	   	175.91	ACR|3VULN|2DMG|2CDMG|1SELL	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67aVULN|7BPWR|8SELL|9MLV
99	31143 31222	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1LEGI|24DMG|3CDMG|5ASPD|6RCR|7BEXP|89aVULN
100	31143 32223	   	175.75	DCR|3DMG|2VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|7DMSP|8aVULN
101	31143 32623	   	175.75	DCR|3DMG|2VULN|1CDMG|1ASPD	1LEGI|248DMG|3CDMG|5ASPD|6RCR|7DMSP|9aVULN
102	31143 35212	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1LEGI|24DMG|3CDMG|5ASPD|6RCR|78aVULN|9FEWX
103	31143 35224	   	175.75	DCR|3DMG|2VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|78VULN|aLHND
104	31143 35226	   	175.75	DCR|3DMG|2VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|78VULN|aCGEN
105	31143 35232	   	175.75	DCR|3VULN|2DMG|1CDMG|1ASPD	1LEGI|24DMG|3CDMG|5ASPD|6RCR|78aVULN|9BEXP
106	31143 35221	   	175.65	DCR|3DMG|2VULN|1CDMG|1ASPD	1LEGI|249DMG|3CDMG|5ASPD|6RCR|78VULN|aERES
107	31143 35222	   	175.51	DCR|3DMG|2VULN|1CDMG|1ASPD|1SELL	1LEGI|249DMG|3CDMG|5ASPD|6RCR|78VULN|aSELL
108	31121 13141	 * 	175.35	ACR|2VULN|2DMG|2CDMG|2ZMB	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8aZMB|9DMSP
109	64121 13623	 * 	174.88	ACR|2VULN|1AART|2CDMG|2ZMB|1ASPD|1DUR	17ZMB|2DUR|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9ASPD|aAART
110	15123 53431	   	174.51	ACR|2DMG|3ZMB|1VULN|1CDMG|2DUR	17DUR|27aZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|8VULN|9FEWX
111	15123 53611	   	174.51	ACR|2DMG|3ZMB|1VULN|1CDMG|2DUR	17DUR|27aZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|8FEWX|9VULN
112	55121 14232	 * 	174.46	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	16VULN|28ZMB|3CDMG|4RCR|5RCVC|7CANHEL|9DMG|aAART
113	31143 34323	   	174.45	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LEGI|24DMG|3CDMG|5ASPD|6RCR|7AART|8BEXP|9VULN|aDUR
114	15123 53211	   	174.41	ACR|2DMG|3ZMB|1VULN|1CDMG|2DUR	17DUR|27aZMB|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|8DUST|9VULN
115	64123 53211	   	174.41	ACR|2DMG|3ZMB|1VULN|1CDMG|2DUR	17aZMB|27DUR|3CDMG|4RCR|5MGNSTR|67DMG|7BPWR|8DUST|9VULN
116	31121 13623	   	174.37	ACR|2VULN|2DMG|2CDMG|1DUR|1ASPD	1LEGI|27DMG|37CDMG|4RCR|5RCVC|67VULN|7BPWR|8CGEN|9ASPD|aDUR
117	31143 31323	   	173.85	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LEGI|24DMG|3CDMG|5ASPD|6RCR|7BEXP|8AART|9VULN|aDUR
118	31122 63222	   	173.77	ACR|3VULN|2DMG|1CDMG|1DUR	1LEGI|27DMG|3CDMG|4RCR|5MLV|6DUR|89aVULN
119	31111 13344	   	173.76	DCR|3DMG|2VULN|1CDMG|1DUR	1LEGI|27aDMG|3CDMG|47DUST|5RCVC|67VULN|7BPWR|8RCR|9DUR
120	31111 13346	   	173.76	DCR|3VULN|2DMG|1CDMG|1DUR	1LEGI|27DMG|3CDMG|47DUST|5RCVC|67aVULN|7BPWR|8RCR|9DUR
121	31111 13363	   	173.76	DCR|3DMG|2VULN|1CDMG|1DUR	1LEGI|279DMG|3CDMG|47DUST|5RCVC|67VULN|7BPWR|8RCR|aDUR
122	31111 13366	   	173.76	DCR|3DMG|2VULN|1CDMG|1ASPD	1LEGI|279DMG|3CDMG|47DUST|5RCVC|67VULN|7BPWR|8RCR|aASPD
123	31122 33312	   	173.55	ACR|3DMG|1AART|1VULN|1CDMG	1LEGI|279DMG|3CDMG|4RCR|5MLV|6DUST|8AART|aVULN
124	31111 13336	 * 	173.33	DCR|3DMG|2VULN|2CDMG	1LEGI|27aDMG|3aCDMG|47DUST|5RCVC|67VULN|7aBPWR|8RCR|9aCGEN
125	31124 21245	   	173.10	ACR|3VULN|2DMG|2CDMG|1SELL	1LEGI|2aDMG|36CDMG|4RCR|5SELL|79aVULN|8aBEXP|aBPWR
126	31124 21435	   	173.10	ACR|3DMG|2VULN|2CDMG|1SELL	1LEGI|28aDMG|36CDMG|4RCR|5SELL|7aVULN|9aFEWX|aBPWR
127	31124 21145	   	172.90	ACR|3VULN|2DMG|2CDMG|1SELL	1LEGI|2aDMG|36CDMG|4RCR|5SELL|79aVULN|8aDUST|aBPWR
128	31121 13165	   	172.67	ACR|2VULN|2DMG|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5aRCVC|67VULN|7BPWR|8ZMB|9MLV
129	52113 23414	 * 	172.63	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|2CGEN|3CDMG|4DUST|5AART|6RMIN|8RCR|9DMG
130	55153 33112	   	172.62	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1aVULN|2ZMB|3CDMG|4LWND|5AART|6DUR|7LHND|8DMG|9RCR
131	31121 13135	   	172.57	ACR|2DMG|2VULN|2CDMG|1ZMB	1LEGI|27DMG|37CDMG|4RCR|5aRCVC|67VULN|7BPWR|8ZMB|9ERES
132	51113 23414	   	172.53	DCR|3VULN|1AART|1DMG|1CDMG	17aVULN|2TLV|3CDMG|4DUST|5AART|6RMIN|8RCR|9DMG
133	15121 13356	   	172.28	ACR|2VULN|3CDMG|1DMG|2DUR|1ZMB	17DUR|2ZMB|379CDMG|4RCR|5RCVC|67VULN|7BPWR|8LWND|aDMG
134	15121 13256	   	172.18	ACR|2VULN|3CDMG|1DMG|2DUR|1ZMB	17DUR|2ZMB|379CDMG|4RCR|5RCVC|67VULN|7BPWR|8DUST|aDMG
135	32611 33414	   	172.03	DCR|3VULN|1AART|1DMG|1CDMG	1LEGI|23FEWX|47aVULN|5CDMG|6AART|8RCR|9DMG
136	31124 22353	 * 	171.88	ACR|3DMG|3ZMB|3CDMG|1SELL	1LEGI|29aDMG|369CDMG|4RCR|5SELL|79aZMB|8RCVC|9aBPWR
137	53131 13154	   	171.87	DCR|3VULN|2DMG|1AART	169VULN|29BEXP|3FEWX|4DLOT|5AART|7ERES|89DMG|9BPWR|aRCR
138	53131 23154	   	171.87	DCR|3VULN|2DMG|1AART	179VULN|29BEXP|3FEWX|4DLOT|5AART|6ERES|89DMG|9BPWR|aRCR
139	53231 13154	   	171.77	DCR|3VULN|2DMG|1AART	169VULN|29BEXP|3DUST|4DLOT|5AART|7ERES|89DMG|9BPWR|aRCR
140	53231 23154	   	171.77	DCR|3VULN|2DMG|1AART	179VULN|29BEXP|3DUST|4DLOT|5AART|6ERES|89DMG|9BPWR|aRCR
141	12633 13642	 * 	171.74	ACR|3DMG|1AART|3DUR|1CDMG	138DUR|28CGEN|4RCR|5AART|6DMSP|78aDMG|8BPWR|9CDMG
