0	Index      	 *	Score 	Summary	Detail	
1	63524 23332	 * 	197.87	DCR|3VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|48aVULN|5DMG|6RCR|7LHND|9ZMB
27	31523 11413	   	184.46	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1LHND|28DMG|349VULN|5CDMG|6DUR|7RCR|aZMB
28	31542 11413	   	184.46	DCR|3VULN|2DMG|1CDMG|1ZMB|1DUR	1LHND|28DMG|359VULN|4CDMG|6DUR|7RCR|aZMB
29	31546 22132	   	184.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LHND|2DMG|3aVULN|4CDMG|57AART|6RCR|8BEXP|9ZMB
30	31546 22312	   	184.33	DCR|2AART|2VULN|1DMG|1CDMG|1ZMB	1LHND|2DMG|38VULN|4CDMG|57AART|6RCR|9ZMB|aFEWX
31	63342 31342	 * 	183.58	DCR|3VULN|1AART|1DMG|2CDMG|1DUR	1AART|24CDMG|348VULN|4BPWR|5DUST|6DMG|7DUR|9BELT|aRCR
32	31131 42322	 * 	183.47	DCR|3DMG|2AART|1VULN|1ASPD	1LHND|249DMG|38AART|5BEXP|6RCR|7ASPD|aVULN
33	31134 41533	   	183.47	DCR|3DMG|2AART|1VULN|1DUR	1LHND|249DMG|3aAART|5VULN|6RCR|7LWND|8DUR
34	63314 23342	   	182.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1aAART|2CDMG|38VULN|4FEWX|5DMG|6RCR|7LHND|9DUR
35	63334 23342	   	182.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1aAART|2CDMG|38VULN|4BEXP|5DMG|6RCR|7LHND|9DUR
36	63314 21432	   	182.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	18AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7RMIN|9DUR
37	63514 23321	 * 	182.66	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	19AART|2CDMG|3DUR|4FEWX|5aDMG|6RCR|7LWND|8VULN
38	63514 23323	   	182.66	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	19AART|2CDMG|3DUR|4FEWX|5DMG|6RCR|7LWND|8aVULN
39	31134 44312	   	182.62	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1LHND|24DMG|3AART|5VULN|6RCR|7ZMB|8DUR|9RCVC|aCDMG
40	63524 23311	   	182.56	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1aAART|2CDMG|3DUR|48VULN|5DMG|6RCR|7LHND|9BASICY
41	63362 21353	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|39VULN|4ZMB|5LWND|6RCR|7RMIN|8DMG|aDUR
42	63363 23341	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|38VULN|4ZMB|5FEWX|6RCR|7LHND|9DUR|aDMG
43	62265 21332	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CGEN|3CDMG|4aVULN|5DUR|6RCR|7RMIN|8DMG|9ZMB
44	63314 22532	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7DMSP|8DUR|9ZMB
45	63362 21341	   	182.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5LWND|6RCR|7RMIN|8aDMG|9DUR
46	63362 21343	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3aVULN|4ZMB|5LWND|6RCR|7RMIN|8DMG|9DUR
47	63363 21341	   	182.22	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1DUR	1AART|2CDMG|3VULN|4ZMB|5FEWX|6RCR|7RMIN|8aDMG|9DUR
48	63514 22332	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|4FEWX|5DMG|6RCR|7DMSP|8aVULN|9ZMB
49	63524 22132	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|4aVULN|5DMG|6RCR|7DMSP|8BEXP|9ZMB
50	63524 22312	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|48VULN|5DMG|6RCR|7DMSP|9ZMB|aFEWX
51	63524 23333	   	182.22	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|48VULN|5DMG|6RCR|7LHND|9ZMB|aBELT
52	63362 22362	 * 	182.22	DCR|3VULN|2AART|1CDMG|1ZMB	17AART|2CDMG|38aVULN|4ZMB|5LWND|6RCR|9CANHEL
53	63524 23331	   	182.12	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1DUR	1AART|2CDMG|3DUR|48VULN|5DMG|6RCR|7LHND|9ZMB|aDUST
54	63314 21362	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2CDMG|3aVULN|4FEWX|58DMG|6RCR|7RMIN|9LWND
55	63334 21312	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2CDMG|3aVULN|4BEXP|58DMG|6RCR|7RMIN|9FEWX
56	63334 21362	   	181.86	DCR|2VULN|2DMG|1AART|1CDMG	1AART|2CDMG|3aVULN|4BEXP|58DMG|6RCR|7RMIN|9LWND
57	31121 22354	   	181.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|2DMG|37AART|4LWND|5CDMG|6RCR|89VULN|aDUR
58	31121 22341	   	181.46	DCR|2AART|2DMG|1VULN|1CDMG|1DUR	1LHND|2aDMG|37AART|4LWND|5CDMG|6RCR|8VULN|9DUR
59	31121 22343	   	181.46	DCR|2AART|2VULN|1DMG|1CDMG|1DUR	1LHND|2DMG|37AART|4LWND|5CDMG|6RCR|8aVULN|9DUR
60	26233 12134	   	181.19	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB|1DUR|1SELL	1LIT|24CDMG|34VULN|4BPWR|5SELL|6DUR|7RCR|8DMG|9AART|aZMB
61	31234 21332	 * 	181.08	DCR|2VULN|2DMG|1AART|2CDMG	1LHND|24DMG|34CDMG|4BPWR|5BEXP|6aVULN|7RCR|8MLV|9AART
62	41242 21332	   	180.87	DCR|2VULN|2DMG|1AART|2CDMG|1ZMB|1DUR|1MSE	1MSE|25DMG|35CDMG|4AART|5BPWR|6RCR|7DUR|8aVULN|9ZMB
63	31121 24331	   	180.86	DCR|2VULN|2DMG|1AART|1CDMG	19LHND|2aDMG|3AART|49LWND|5CDMG|6RCR|7BEXP|89VULN|9BPWR
64	31121 25331	   	180.76	DCR|2VULN|2DMG|1AART|1CDMG	19LHND|2aDMG|3AART|49LWND|5CDMG|6RCR|7DUST|89VULN|9BPWR
65	31523 31411	   	180.62	DCR|4VULN|2DMG|1CDMG	1LHND|28DMG|349aVULN|5CDMG|6FEWX|7RCR
66	31523 61411	   	180.62	DCR|4VULN|2DMG|1CDMG	1LHND|28DMG|349aVULN|5CDMG|6BEXP|7RCR
67	31542 31411	   	180.62	DCR|4VULN|2DMG|1CDMG	1LHND|28DMG|359aVULN|4CDMG|6FEWX|7RCR
68	63362 22353	   	180.54	DCR|2AART|2VULN|1CDMG|1ZMB|1DUR|1ASPD	17AART|2CDMG|38VULN|4ZMB|5LWND|6RCR|9ASPD|aDUR
69	31523 51411	   	180.52	DCR|4VULN|2DMG|1CDMG	1LHND|28DMG|349aVULN|5CDMG|6DUST|7RCR
70	31523 11414	   	180.39	DCR|3VULN|2DMG|1CDMG|1ASPD|1DUR	1LHND|28DMG|349VULN|5CDMG|6DUR|7RCR|aASPD
71	63361 31313	   	180.31	DCR|2VULN|1AART|1DMG|1CDMG|2DUR|1ZMB	1AART|2CDMG|38VULN|4ZMB|5MLV|6DMG|7aDUR|9RCR
72	35143 36331	 * 	180.25	ACR|2VULN|1AART|1DMG|2ZMB|1CDMG	19LHND|2RCR|3LEGI|4AART|59ZMB|6FEWX|7CDMG|89VULN|9BPWR|aDMG
73	63314 21222	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|39aVULN|4FEWX|5DMG|6RCR|7RMIN|8LHND
74	63314 21315	   	179.93	DCR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3VULN|49FEWX|58aDMG|6RCR|7RMIN
75	63314 21341	   	179.93	DCR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3VULN|4FEWX|589DMG|6RCR|7RMIN|aCGEN
76	63314 21343	   	179.93	DCR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3VULN|4FEWX|589DMG|6RCR|7RMIN|aBEXP
77	63314 23351	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|389VULN|4aFEWX|5DMG|6RCR|7LHND
78	63334 21222	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|39aVULN|4BEXP|5DMG|6RCR|7RMIN|8LHND
79	63334 21341	   	179.93	DCR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3VULN|4BEXP|589DMG|6RCR|7RMIN|aCGEN
80	63334 21343	   	179.93	DCR|3DMG|1AART|1VULN|1CDMG	1AART|2CDMG|3VULN|4aBEXP|589DMG|6RCR|7RMIN
81	63334 21622	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|39aVULN|4BEXP|5DMG|6RCR|7RMIN|8FEWX
82	63334 23351	   	179.93	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|389VULN|4BEXP|5DMG|6RCR|7LHND|aFEWX
83	11242 25315	   	179.89	DCR|2VULN|1AART|2CDMG|1DMG|1ZMB	1MLV|25FEWX|35CDMG|4AART|5BPWR|6RCR|78VULN|9ZMB|aDMG
84	63314 23352	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|389VULN|4FEWX|5DMG|6RCR|7LHND|aSNIHEL
85	63314 23353	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|389VULN|4FEWX|5DMG|6RCR|7LHND|aDUST
86	63314 23362	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|38aVULN|4FEWX|5DMG|6RCR|7LHND|9ERES
87	63314 24312	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|38aVULN|4FEWX|5DMG|6RCR|7BEXP|9BASICY
88	63334 23362	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|38aVULN|4BEXP|5DMG|6RCR|7LHND|9ERES
89	63334 25212	   	179.83	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|37aVULN|4BEXP|5DMG|6RCR|8FEWX|9BASICY
90	63314 25312	   	179.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|38aVULN|4FEWX|5DMG|6RCR|7DUST|9BASICY
91	63334 25312	   	179.73	DCR|3VULN|1AART|1DMG|1CDMG	1AART|2CDMG|37aVULN|4BEXP|5DMG|6RCR|8DUST|9BASICY
92	65122 43111	   	179.72	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB|1ASPD	1AART|2DUST|3LIT|4DMG|5ZMB|6ASPD|7RCR|8aVULN|9CDMG
93	65122 43131	   	179.72	DCR|2DMG|1AART|1VULN|1CDMG|1ZMB|1ASPD	1AART|2DUST|3LIT|49DMG|5ZMB|6ASPD|7RCR|8VULN|aCDMG
94	31523 11332	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DMG|34aVULN|5CDMG|6DUR|7RCR|8MLV|9AART
95	31542 11332	   	179.67	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DMG|35aVULN|4CDMG|6DUR|7RCR|8MLV|9AART
96	14323 11432	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MLV|24aVULN|3LEGI|5CDMG|6DUR|7RCR|8DMG|9AART
97	14342 11432	   	179.57	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1MLV|25aVULN|3LEGI|4CDMG|6DUR|7RCR|8DMG|9AART
98	35611 31523	 * 	179.54	ACR|2VULN|2DMG|1AART|1ZMB	13LHND|2RCR|47DMG|5AART|6LSRHEA|8aVULN|9ZMB
99	31121 24333	   	178.93	DCR|3VULN|1AART|1DMG|1CDMG	19LHND|2DMG|3AART|49LWND|5CDMG|6RCR|7BEXP|89aVULN|9BPWR
100	31121 25333	   	178.83	DCR|3VULN|1AART|1DMG|1CDMG	19LHND|2DMG|3AART|49LWND|5CDMG|6RCR|7DUST|89aVULN|9BPWR
101	31234 22232	   	178.68	DCR|2VULN|2DMG|1AART|2CDMG	1LHND|24DMG|34CDMG|4BPWR|5BEXP|6aVULN|7CGEN|8RCR|9AART
102	31234 42232	   	178.68	DCR|2VULN|2DMG|1AART|2CDMG	1LHND|24DMG|34CDMG|4BPWR|5BEXP|6CGEN|7aVULN|8RCR|9AART
103	31134 41334	 * 	178.46	DCR|2AART|2VULN|2DMG	1LHND|24DMG|3aAART|59VULN|6RCR|7LWND|8MGNSTR
104	31234 21441	 * 	178.44	DCR|3DMG|1AART|1VULN|2CDMG	1LHND|248DMG|34CDMG|4BPWR|5BEXP|6VULN|7RCR|9CANSTR|aAART
105	63524 23313	   	178.05	DCR|2VULN|1AART|1DMG|1CDMG|1DUR|1ASPD	1AART|2CDMG|3DUR|48VULN|5DMG|6RCR|7LHND|9BASICY|aASPD
106	31134 41312	   	178.02	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3AART|5aVULN|6RCR|7LWND|8MGNSTR|9ZMB
107	31134 46312	   	178.02	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3AART|5aVULN|6RCR|7FEWX|8MGNSTR|9ZMB
108	31134 44123	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3AART|5aVULN|6RCR|7ZMB|8BELT|9TLV
109	31134 44211	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3AART|59VULN|6RCR|7ZMB|8RMIN|aMBVNT
110	31134 44213	   	177.92	DCR|2VULN|2DMG|1AART|1ZMB	1LHND|24DMG|3AART|59VULN|6RCR|7ZMB|8RMIN|aDUST
111	63314 23212	   	177.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7LHND|89ASPD
112	63314 24212	   	177.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7BEXP|89ASPD
113	63334 23212	   	177.83	DCR|2VULN|1AART|1DMG|2ASPD|1CDMG	1AART|2CDMG|3aVULN|4BEXP|5DMG|6RCR|7LHND|89ASPD
114	63362 21422	   	177.81	DCR|3VULN|1AART|1CDMG|1ZMB|1DUR	1AART|2CDMG|39aVULN|4ZMB|5LWND|6RCR|7RMIN|8DUR
115	63363 23262	   	177.81	DCR|3VULN|1AART|1CDMG|1ZMB|1ASPD	1AART|2CDMG|39aVULN|4ZMB|5FEWX|6RCR|7LHND|8ASPD
116	31546 21322	   	177.53	DCR|3VULN|1AART|1DMG|1CDMG	1LHND|2DMG|39aVULN|4CDMG|5AART|6RCR|7RMIN|8BEXP
117	63314 21132	   	177.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|28CDMG|3aVULN|4FEWX|5DMG|6RCR|7RMIN|9DUR
118	63314 23242	   	177.53	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1AART|29CDMG|3aVULN|4FEWX|5DMG|6RCR|7LHND|8ASPD
119	63334 23242	   	177.53	DCR|2VULN|1AART|1DMG|2CDMG|1ASPD	1AART|29CDMG|3aVULN|4BEXP|5DMG|6RCR|7LHND|8ASPD
120	63524 21112	   	177.53	DCR|2VULN|1AART|1DMG|2CDMG|1DUR	1AART|28CDMG|3DUR|4aVULN|5DMG|6RCR|7RMIN|9FEWX
121	31523 31413	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	1LHND|28DMG|349VULN|5CDMG|6FEWX|7RCR|aZMB
122	31523 61413	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	1LHND|28DMG|349VULN|5CDMG|6BEXP|7RCR|aZMB
123	31542 31413	   	177.52	DCR|3VULN|2DMG|1CDMG|1ZMB	1LHND|28DMG|359VULN|4CDMG|6FEWX|7RCR|aZMB
124	31523 51413	   	177.42	DCR|3VULN|2DMG|1CDMG|1ZMB	1LHND|28DMG|349VULN|5CDMG|6DUST|7RCR|aZMB
125	31134 41531	   	177.31	DCR|3DMG|1AART|1VULN|2DUR	1LHND|249DMG|3AART|5VULN|6RCR|7LWND|8aDUR
126	61342 64143	 * 	177.28	ACR|2VULN|2DMG|1AART|1FLTHEA	1AART|2RPLT|3FLTHEA|4DLOT|5RCR|6MBVNT|79DMG|8aVULN
127	31523 12232	   	177.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DMG|34aVULN|5CDMG|6DUR|7CGEN|8RCR|9AART
128	31542 12232	   	177.27	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1LHND|2DMG|35aVULN|4CDMG|6DUR|7CGEN|8RCR|9AART
129	63314 23532	   	177.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7LHND|8RCVC|9ZMB
130	63334 23532	   	177.18	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aVULN|4BEXP|5DMG|6RCR|7LHND|8RCVC|9ZMB
131	63322 31342	   	177.17	DCR|3VULN|1AART|1DMG|1CDMG|1DUR	1AART|2CDMG|348VULN|5DUST|6DMG|7DUR|9BELT|aRCR
132	31131 42321	 * 	177.05	DCR|3DMG|2AART|1CDMG|1ASPD	1LHND|249DMG|38AART|5BEXP|6RCR|7ASPD|aCDMG
133	31331 42322	   	176.96	DCR|2AART|2DMG|1VULN|1ASPD|1DUR	1LHND|29DMG|3RCVC|4DUR|58AART|6RCR|7ASPD|aVULN
134	31131 42652	   	176.95	DCR|2DMG|1AART|1VULN|1CDMG|1ASPD|1DUR	1LHND|24DMG|3AART|5BEXP|6RCR|7ASPD|8DUR|9VULN|aCDMG
135	63342 35323	   	176.64	DCR|3VULN|1AART|1DMG|2CDMG	1AART|24CDMG|347VULN|4BPWR|5DUST|6DMG|8RMIN|9BEXP|aRCR
136	63343 33342	   	176.64	DCR|3VULN|1AART|1DMG|2CDMG	1AART|24CDMG|348VULN|4BPWR|5LWND|6DMG|7DUST|9BELT|aRCR
137	63314 23333	   	176.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38VULN|4FEWX|5DMG|6RCR|7LHND|9ZMB|aRCVC
138	63314 24333	   	176.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38VULN|4FEWX|5DMG|6RCR|7BEXP|9ZMB|aRCVC
139	63334 23333	   	176.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38VULN|4BEXP|5DMG|6RCR|7LHND|9ZMB|aRCVC
140	63334 25233	   	176.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|37VULN|4BEXP|5DMG|6RCR|8FEWX|9ZMB|aRCVC
141	63334 26333	   	176.58	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38VULN|4BEXP|5DMG|6RCR|7LWND|9ZMB|aRCVC
142	63524 21333	   	176.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2CDMG|3aDUR|4VULN|58DMG|6RCR|79RMIN
143	63524 23121	   	176.51	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2CDMG|39DUR|4VULN|5aDMG|6RCR|7LHND|8LWND
144	63524 23123	   	176.51	DCR|2VULN|1AART|1DMG|1CDMG|2DUR	1AART|2CDMG|39DUR|4aVULN|5DMG|6RCR|7LHND|8LWND
145	63524 21323	   	176.41	DCR|2DMG|1AART|1VULN|1CDMG|2DUR	1AART|2CDMG|3aDUR|4VULN|58DMG|6RCR|7RMIN|9DUST
146	31134 44121	   	176.08	DCR|3DMG|1AART|1VULN|1ZMB	1aLHND|24aDMG|3AART|5VULN|6RCR|7ZMB|8BELT|9aTLV|aBPWR
147	63362 21342	   	176.08	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	1aAART|2CDMG|3VULN|4ZMB|5LWND|6RCR|7RMIN|8DMG|9DUR
148	63362 22141	   	176.08	DCR|2AART|1VULN|1DMG|1CDMG|1ZMB|1DUR	17AART|2CDMG|3VULN|4ZMB|5LWND|6RCR|8BEXP|9DUR|aDMG
149	31131 14252	   	175.86	DCR|2VULN|2DMG|1AART|1CDMG	1LHND|24DMG|3AART|5BEXP|6RMIN|79VULN|8RCR|aCDMG
150	31121 22353	   	175.83	DCR|2AART|2VULN|1DMG|1CDMG	1LHND|2DMG|37AART|4LWND|5CDMG|6RCR|89VULN|aRCVC
151	63314 24121	   	175.72	DCR|2AART|2DMG|1VULN|1CDMG	19AART|2CDMG|3VULN|4FEWX|5aDMG|6RCR|7BEXP|8LWND
152	63314 24123	   	175.72	DCR|2AART|2VULN|1DMG|1CDMG	19AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7BEXP|8LWND
153	63334 21412	   	175.72	DCR|2AART|2VULN|1DMG|1CDMG	18AART|2CDMG|3aVULN|4BEXP|5DMG|6RCR|7RMIN|9FEWX
154	63334 24132	   	175.72	DCR|2AART|2VULN|1DMG|1CDMG	19AART|2CDMG|3aVULN|478BEXP|5DMG|6RCR
155	63314 23311	   	175.62	DCR|2AART|2VULN|1DMG|1CDMG	1aAART|2CDMG|38VULN|4FEWX|5DMG|6RCR|7LHND|9BASICY
156	63314 25121	   	175.62	DCR|2AART|2DMG|1VULN|1CDMG	19AART|2CDMG|3VULN|4FEWX|5aDMG|6RCR|7DUST|8LWND
157	63314 25123	   	175.62	DCR|2AART|2VULN|1DMG|1CDMG	19AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7DUST|8LWND
158	63334 23311	   	175.62	DCR|2AART|2VULN|1DMG|1CDMG	1aAART|2CDMG|38VULN|4BEXP|5DMG|6RCR|7LHND|9BASICY
159	63334 26311	   	175.62	DCR|2AART|2VULN|1DMG|1CDMG	1aAART|2CDMG|38VULN|4BEXP|5DMG|6RCR|7LWND|9BASICY
160	63234 33621	 * 	175.33	DCR|2VULN|1AART|3CDMG|1DMG	1AART|267CDMG|3RCVC|4RPLT|56VULN|6BPWR|8RCR|9DMSP|aDMG
161	63314 22132	   	175.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|3aVULN|4FEWX|5DMG|6RCR|7DMSP|8BEXP|9ZMB
162	63314 22312	   	175.28	DCR|2VULN|1AART|1DMG|1CDMG|1ZMB	1AART|2CDMG|38VULN|4FEWX|5DMG|6RCR|7DMSP|9ZMB|aBELT
