0	Index      	 *	Score 	Summary	Detail	
1	11633 74237	 * 	295.84	DCR|DCR|2VULN|1TLV|1CDMG	1RAT|2CGEN|3MBVNT|4RPLT|59VULN|68RCR|7CDMG|aTLV
13	16423 33533	 * 	275.22	DCR|3VULN|1TLV|1DMG|1AEPOI	1RAT|2AEPOI|3BEXP|4DMG|579VULN|6RCR|8MLV|aTLV
14	16423 33633	   	275.22	DCR|3VULN|1TLV|1DMG|1AEPOI	1RAT|2AEPOI|3BEXP|4DMG|579VULN|6RCR|8CGEN|aTLV
15	22233 13553	 * 	274.94	DCR|3TLV|3VULN	19TSLHEL|2RAT|359TLV|4MDPS|689VULN|7DLOT|9BPWR|aRCR
16	66321 23233	 * 	274.42	DCR|3VULN|2TLV|1AEFBLL|1AEPOI	1AAC|2AEPOI|3AEFBLL|48TLV|5TSLARM|679VULN|aRCR
17	66321 23413	   	274.42	DCR|3VULN|2TLV|1AEFBLL|1AEPOI	1AAC|2AEPOI|3AEFBLL|49TLV|5TSLARM|678VULN|aRCR
18	55321 23233	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1AME|2DMSP|3AEFBLL|48TLV|5MSLTOX|679VULN|aRCR
19	55321 23413	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1AME|2DMSP|3AEFBLL|49TLV|5MSLTOX|678VULN|aRCR
20	61321 23233	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1AAC|2AEWIND|3AEFBLL|48TLV|5TSLARM|679VULN|aRCR
21	61321 23413	   	274.32	DCR|3VULN|2TLV|1AEFBLL	1AAC|2AEWIND|3AEFBLL|49TLV|5TSLARM|678VULN|aRCR
22	15363 24123	   	274.25	DCR|2TLV|2VULN|2DMG	1RAT|2DMSP|3aTLV|47DMG|5FEWX|68VULN|9RCR
23	15422 24123	   	274.25	DCR|2TLV|2VULN|2DMG	1RAT|2DMSP|3BEXP|47DMG|5aTLV|68VULN|9RCR
24	13522 24123	   	274.15	DCR|2TLV|2VULN|2DMG	1RAT|2RMIN|3ERES|47DMG|5aTLV|68VULN|9RCR
25	15362 24123	   	274.15	DCR|2TLV|2VULN|2DMG	1RAT|2DMSP|3aTLV|47DMG|5DUST|68VULN|9RCR
26	66162 21121	   	273.86	DCR|3VULN|1TLV|1AEPOI|2DUR	1AAC|2AEPOI|368VULN|4RAT|5TLV|7aDUR|9RCR
27	16536 23121	   	271.31	DCR|2VULN|1TLV|3DUR|1AEPOI|1ASPD	1RAT|2AEPOI|3ASPD|4TLV|57aDUR|68VULN|9RCR
28	16423 33233	   	271.19	DCR|2VULN|1TLV|1DMG|1AEPOI|1AART	1RAT|2AEPOI|3BEXP|4DMG|57VULN|6RCR|8DUR|9AART|aTLV
29	13614 43745	   	270.85	DCR|3VULN|2TLV	1RAT|2RMIN|3MBVNT|469VULN|5aTLV|7DUR|8RCR
30	16332 15522	   	270.31	DCR|2TLV|2VULN|1AEPOI|1ASPD	1RAT|2AEPOI|34TLV|5LHND|68VULN|7LIT|9RCR|aASPD
31	16336 33423	   	270.31	DCR|2TLV|2VULN|1AEPOI|1ASPD	1RAT|2AEPOI|34TLV|5RPLT|69VULN|7FEWX|8ASPD|aRCR
32	16533 26123	   	270.31	DCR|2TLV|2VULN|1AEPOI|1ASPD	1RAT|2AEPOI|3ASPD|4aTLV|5FEWX|68VULN|7RCVC|9RCR
33	16333 15522	   	270.21	DCR|2TLV|2VULN|1AEPOI|1ASPD	1RAT|2AEPOI|34TLV|5AETHUN|68VULN|7LIT|9RCR|aASPD
34	16336 31423	   	270.21	DCR|2TLV|2VULN|1AEPOI|1ASPD	1RAT|2AEPOI|34TLV|5RPLT|69VULN|7DUST|8ASPD|aRCR
35	16532 26123	   	270.21	DCR|2TLV|2VULN|1AEPOI|1ASPD	1RAT|2AEPOI|3ASPD|4aTLV|5DUST|68VULN|7RCVC|9RCR
36	66321 23433	 * 	269.26	DCR|4VULN|1TLV|1AEFBLL|1AEPOI	1AAC|2AEPOI|3AEFBLL|4TLV|5TSLARM|6789VULN|aRCR
37	16366 23122	   	269.23	DCR|2VULN|1TLV|1DMG|1AEPOI|2DUR	1RAT|2AEPOI|3TLV|4DMG|57DUR|68VULN|9RCR|aLHND
38	55321 23433	   	269.16	DCR|4VULN|1TLV|1AEFBLL	1AME|2DMSP|3AEFBLL|4TLV|5MSLTOX|6789VULN|aRCR
39	61321 23433	   	269.16	DCR|4VULN|1TLV|1AEFBLL	1AAC|2AEWIND|3AEFBLL|4TLV|5TSLARM|6789VULN|aRCR
40	11113 33226	 * 	269.16	DCR|4VULN|1TLV|3RAT	159RAT|2CGEN|3LWND|457aVULN|5BPWR|6RCR|8TLV
41	16366 23123	   	269.13	DCR|2VULN|1TLV|1DMG|1AEPOI|2DUR	1RAT|2AEPOI|3TLV|4DMG|57DUR|68VULN|9RCR|aBLASTR
42	22221 12141	   	268.93	DCR|DCR|1TLV|1VULN	1TSLHEL|2RAT|3TLV|4SNIHEL|5DUR|6LIT|7aRCR|8VULN|9BLAICY
43	22243 12141	   	268.93	DCR|DCR|1TLV|1VULN	1TSLHEL|2RAT|3TLV|4DUR|5LSRREG|6LIT|7aRCR|8VULN|9BLAICY
44	22215 36226	   	268.80	DCR|3VULN|1TLV|1AEPOI|1ASPD	1TSLHEL|2RAT|3TLV|4RCVC|5AEPOI|678VULN|9ASPD|aRCR
45	16331 35123	 * 	268.66	DCR|3TLV|2VULN|1AEPOI|1ASPD|1MSE	1RAT|2AEPOI|34aTLV|5MSE|6ASPD|78VULN|9RCR
46	11113 33224	 * 	268.18	DCR|3VULN|1TLV|1DMG|3RAT	159RAT|2CGEN|3LWND|457VULN|5BPWR|6RCR|8TLV|aDMG
47	16363 24122	   	268.11	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3TLV|47DMG|5FEWX|68VULN|9RCR|aLWND
48	16421 24123	   	268.11	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3BEXP|47DMG|5CGEN|68VULN|9RCR|aTLV
49	16422 24122	   	268.11	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3BEXP|47DMG|5TLV|68VULN|9RCR|aLWND
50	16362 24122	   	268.01	DCR|2VULN|1TLV|2DMG|1AEPOI	1RAT|2AEPOI|3TLV|47DMG|5DUST|68VULN|9RCR|aLWND
51	11113 33244	   	268.00	DCR|3VULN|2TLV|2RAT	15RAT|2CGEN|3LWND|457VULN|5BPWR|6RCR|8aTLV|9FEWX
52	11414 63311	 * 	268.00	ACR|3VULN|2TLV|2RAT	19RAT|2CGEN|3RCR|49TLV|5DUST|6AME|79aVULN|8RPLT|9BPWR
53	11113 36226	   	268.00	DCR|3VULN|2TLV|2RAT	15RAT|2CGEN|3LWND|459VULN|5BPWR|6RCR|7LIT|8aTLV
54	11113 33213	   	267.90	DCR|3VULN|2TLV|2RAT	15RAT|2CGEN|3LWND|457VULN|5BPWR|6RCR|8aTLV|9AEFRZ
55	11414 33311	   	267.90	ACR|3VULN|2TLV|2RAT	19RAT|2CGEN|3RCR|49TLV|5DUST|6ERES|79aVULN|8RPLT|9BPWR
56	13614 44123	   	267.80	DCR|3VULN|2TLV|2RAT	17RAT|2RMIN|3MBVNT|468VULN|5aTLV|9RCR
57	13652 44123	   	267.80	DCR|3VULN|2TLV|2RAT	17RAT|2RMIN|3MBVNT|4aTLV|568VULN|9RCR
58	16612 14323	   	266.70	DCR|2VULN|1TLV|1DMG|1AEPOI|2RAT	14RAT|2AEPOI|3MDPS|57VULN|6RCR|8DMG|9DUR|aTLV
59	12412 11443	   	266.32	DCR|2TLV|2VULN|1DMG	1RAT|2LWND|3DMG|45VULN|6DUR|7aTLV|8CGEN|9RCR
60	12412 11663	   	266.22	DCR|2TLV|2VULN|1DMG	1RAT|2LWND|3DMG|45VULN|6DUR|7aTLV|8RCR|9ERES
61	13613 21745	   	266.22	DCR|2TLV|2VULN|1AEPOI	1RAT|2RMIN|3MBVNT|49VULN|5DUR|6AEPOI|7aTLV|8RCR
62	13613 41745	 * 	266.22	DCR|2TLV|2VULN|1AEBURN	1RAT|2RMIN|3MBVNT|49VULN|5DUR|6AEBURN|7aTLV|8RCR
63	25133 21321	   	266.00	ACR|3VULN|1TLV|2DMG	17TSLHEL|278VULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|9TLV|aRCVC
64	25133 21324	   	266.00	ACR|3VULN|1TLV|2DMG	17TSLHEL|278VULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|9TLV|aCGEN
65	25133 21325	   	266.00	ACR|3VULN|1TLV|2DMG	17TSLHEL|278VULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|9TLV|aDMSP
66	25133 21232	   	266.00	ACR|3VULN|1TLV|2DMG	17TSLHEL|27aVULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|8TLV|9RMIN
67	12235 74233	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2LWND|3MLV|4MBVNT|5RPLT|68RCR|7CDMG|9VULN|aTLV
68	13615 74213	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4VULN|5RPLT|68RCR|7CDMG|9LWND|aTLV
69	13615 74223	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4VULN|5RPLT|68RCR|7CDMG|9LHND|aTLV
70	13615 74243	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4VULN|5RPLT|68RCR|7CDMG|9BEXP|aTLV
71	13633 74213	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4RPLT|5VULN|68RCR|7CDMG|9LWND|aTLV
72	13633 74223	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4RPLT|5VULN|68RCR|7CDMG|9LHND|aTLV
73	13633 74243	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4RPLT|5VULN|68RCR|7CDMG|9BEXP|aTLV
74	13633 74263	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1RAT|2RMIN|3MBVNT|4RPLT|5VULN|68RCR|7CDMG|9FEWX|aTLV
75	34135 74233	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1LWND|2AME|3RAT|4MBVNT|5RPLT|68RCR|7CDMG|9VULN|aTLV
76	52135 84233	   	265.98	DCR|DCR|1TLV|1VULN|1CDMG	1AME|2BEXP|3RAT|4MBVNT|5RPLT|68RCR|7CDMG|9VULN|aTLV
77	25133 21322	   	265.90	ACR|3VULN|1TLV|2DMG	17TSLHEL|278VULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|9TLV|aAETHUN
78	25133 21323	   	265.90	ACR|3VULN|1TLV|2DMG	17TSLHEL|278VULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|9TLV|aDUST
79	25133 21326	   	265.90	ACR|3VULN|1TLV|2DMG	17TSLHEL|278VULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|9TLV|aMDPS
80	25133 21252	   	265.90	ACR|3VULN|1TLV|2DMG	17TSLHEL|27aVULN|3AAC|47DMG|5RCR|6RPLT|7BPWR|8TLV|9ERES
81	35135 74233	   	265.88	DCR|DCR|1TLV|1VULN|1CDMG	1LWND|2ERES|3RAT|4MBVNT|5RPLT|68RCR|7CDMG|9VULN|aTLV
