0	Index      	 *	Score 	Summary	Detail	
1	11231 11114	 * 	326.34	ACR|DCR|3VULN|2TLV	17aVULN|26RCR|3AETHUN|4LIT|5aTLV|89aMLV|aBPWR
20	11231 16131	   	302.25	ACR|DCR|2VULN|1TLV|1AEPOI	18VULN|26RCR|3AETHUN|4LIT|5TLV|7BEXP|9AEPOI|aZMB
21	11231 11231	   	302.15	ACR|DCR|2VULN|1TLV|1AEPOI	17VULN|26RCR|3AETHUN|4LIT|5TLV|8DUST|9AEPOI|aZMB
22	11231 13131	   	302.15	ACR|DCR|2VULN|1TLV|1AEPOI	18VULN|26RCR|3AETHUN|4LIT|5TLV|7DUST|9AEPOI|aZMB
23	13421 31225	 * 	301.52	ACR|3VULN|1TLV|3DMG|1AEFBLL	14aVULN|267DMG|3CGEN|5RCR|8TLV|9AEFBLL
24	11231 12112	   	301.45	ACR|DCR|2TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57TLV|89MLV
25	13221 31225	   	301.42	ACR|3VULN|1TLV|3DMG|1AEFBLL	14aVULN|267DMG|3ERES|5RCR|8TLV|9AEFBLL
26	11231 12133	   	301.35	ACR|DCR|2TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57TLV|8MLV|9BASFIG
27	11231 11424	   	301.25	ACR|DCR|2TLV|2VULN	17VULN|26RCR|3AETHUN|4LIT|5aTLV|8LSRHEA|9AIRHEL
28	11231 11466	   	301.25	ACR|DCR|2TLV|2VULN	17VULN|26RCR|3AETHUN|4LIT|5aTLV|8LSRHEA|9ERES
29	11231 11524	   	301.25	ACR|DCR|2TLV|2VULN	17VULN|26RCR|3AETHUN|4LIT|5aTLV|8BASICY|9AIRHEL
30	11231 11566	   	301.25	ACR|DCR|2TLV|2VULN	17VULN|26RCR|3AETHUN|4LIT|5aTLV|8BASICY|9ERES
31	11231 12465	   	301.25	ACR|DCR|2TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57TLV|8LSRHEA|9ERES
32	11231 12565	   	301.25	ACR|DCR|2TLV|2VULN	1aVULN|26RCR|3AETHUN|4LIT|57TLV|8BASICY|9ERES
33	13421 11432	 * 	301.03	ACR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	14VULN|2aDMG|3CGEN|5RCR|6CDMG|7aSPLJET|8AEPOI|9aTLV|aBPWR
34	13421 14432	   	301.03	ACR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	14VULN|2aDMG|3CGEN|5RCR|6CDMG|7aMULARM|8AEPOI|9aTLV|aBPWR
35	13221 11432	   	300.93	ACR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	14VULN|2aDMG|3ERES|5RCR|6CDMG|7aSPLJET|8AEPOI|9aTLV|aBPWR
36	13221 14432	   	300.93	ACR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	14VULN|2aDMG|3ERES|5RCR|6CDMG|7aMULARM|8AEPOI|9aTLV|aBPWR
37	13226 24432	 * 	300.93	DCR|2TLV|2VULN|2DMG|1AEPOI|1CDMG	14VULN|2aDMG|3ERES|5CDMG|6aMSLTOX|7RCR|8AEPOI|9aTLV|aBPWR
38	11231 11112	   	299.94	ACR|DCR|3VULN|1TLV	17aVULN|26RCR|3AETHUN|4LIT|5TLV|89MLV
39	11231 11133	   	299.84	ACR|DCR|3VULN|1TLV	17aVULN|26RCR|3AETHUN|4LIT|5TLV|8MLV|9BASFIG
40	11231 11465	   	299.74	ACR|DCR|3VULN|1TLV	17aVULN|26RCR|3AETHUN|4LIT|5TLV|8LSRHEA|9ERES
41	11231 11565	   	299.74	ACR|DCR|3VULN|1TLV	17aVULN|26RCR|3AETHUN|4LIT|5TLV|8BASICY|9ERES
42	33221 16611	   	299.17	DCR|3VULN|2TLV|1AEFBLL|1ASPD|1AART	1FEWX|258VULN|35TLV|4RPLT|5BPWR|6RCR|7AEFBLL|9ASPD|aAART
43	11231 12631	   	298.60	ACR|DCR|2TLV|1VULN|1AEPOI	1VULN|26RCR|3AETHUN|4LIT|57TLV|8LWND|9AEPOI|aZMB
44	11231 11662	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	17VULN|26RCR|3AETHUN|4LIT|5TLV|8LWND|9DUR|aASPD
45	11231 16162	   	298.56	ACR|DCR|2VULN|1TLV|1ASPD	18VULN|26RCR|3AETHUN|4LIT|5TLV|7BEXP|9DUR|aASPD
46	11231 16326	   	298.56	ACR|DCR|2VULN|1TLV|1CDMG	19VULN|26RCR|3AETHUN|4LIT|5TLV|7BEXP|8CDMG|aNUKE
47	11231 12231	   	298.50	ACR|DCR|2TLV|1VULN|1AEPOI	1VULN|26RCR|3AETHUN|4LIT|57TLV|8DUST|9AEPOI|aZMB
48	11231 11262	   	298.46	ACR|DCR|2VULN|1TLV|1ASPD	17VULN|26RCR|3AETHUN|4LIT|5TLV|8DUST|9DUR|aASPD
49	11231 13162	   	298.46	ACR|DCR|2VULN|1TLV|1ASPD	18VULN|26RCR|3AETHUN|4LIT|5TLV|7DUST|9DUR|aASPD
50	11231 13326	   	298.46	ACR|DCR|2VULN|1TLV|1CDMG	19VULN|26RCR|3AETHUN|4LIT|5TLV|7DUST|8CDMG|aNUKE
