0	Index      	 *	Score 	Summary	Detail	
1	31225 62151	 * 	285.28	DCR|2LIT|2VULN|2DMG|2ASPD|1CDMG	18FEWX|2CDMG|38LIT|4aVULN|56DMG|78ASPD|8BPWR|9RCR
30	62273 83314	   	265.03	DCR|2LIT|2VULN|1MLV|1DMG	1TSLARM|2aVULN|3MBVNT|4FEWX|5MLV|6RCR|79LIT|8DMG
31	33121 36441	   	264.47	DCR|3LIT|1VULN|1MLV|1DMG|1ASPD	1FEWX|237LIT|4MLV|5ASPD|6DUST|8VULN|9RCR|aDMG
32	22248 86313	 * 	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1CANTOX|279VULN|3MBVNT|4MLV|5FEWX|6RCR|8DMG|aLIT
33	22273 86313	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1CANTOX|279VULN|3MBVNT|4FEWX|5MLV|6RCR|8DMG|aLIT
34	22363 65313	   	264.30	DCR|3VULN|1LIT|1MLV|1DMG	1CANTOX|279VULN|3DUST|4FEWX|5MLV|6RCR|8DMG|aLIT
35	22241 16741	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1CANTOX|27VULN|3MBVNT|4MLV|5LWND|6aLIT|8RCR|9DMG
36	62241 16741	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1TSLARM|27VULN|3MBVNT|4MLV|5LWND|6aLIT|8RCR|9DMG
37	22246 26741	   	261.43	DCR|2LIT|2VULN|1MLV|1DMG	1CANTOX|27VULN|3MBVNT|4MLV|5aLIT|6LHND|8RCR|9DMG
38	33123 14251	   	260.92	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1FEWX|23LIT|4MLV|5DMG|6CGEN|7ASPD|8CDMG|9RCR|aVULN
39	33123 24251	   	260.92	DCR|2LIT|1VULN|1MLV|1DMG|1CDMG|1ASPD	1FEWX|23LIT|4MLV|5DMG|6TLV|7ASPD|8CDMG|9RCR|aVULN
40	22241 16744	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1CANTOX|27aVULN|3MBVNT|4MLV|5LWND|6LIT|8RCR|9DMG
41	22246 26744	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1CANTOX|27aVULN|3MBVNT|4MLV|5LIT|6LHND|8RCR|9DMG
42	62241 16744	   	260.70	DCR|3VULN|1LIT|1MLV|1DMG	1TSLARM|27aVULN|3MBVNT|4MLV|5LWND|6LIT|8RCR|9DMG
43	35223 41335	   	259.78	DCR|2LIT|2VULN|1MLV|1DMG|1SELL	17FEWX|2SELL|37LIT|48VULN|5MLV|67LHND|7BPWR|9RCR|aDMG
44	22248 86343	 * 	259.74	DCR|1LIT|2VULN|2DMG|1MLV	1CANTOX|27VULN|3MBVNT|4MLV|5FEWX|6RCR|89DMG|aLIT
45	22273 86343	   	259.74	DCR|1LIT|2VULN|2DMG|1MLV	1CANTOX|27VULN|3MBVNT|4FEWX|5MLV|6RCR|89DMG|aLIT
46	31225 62152	   	258.97	DCR|2LIT|2DMG|1VULN|2ASPD|1CDMG	18FEWX|2CDMG|38LIT|4VULN|56DMG|78ASPD|8BPWR|9RCR|aDLOT
47	34531 11113	   	258.91	DCR|2LIT|2VULN|1MLV|1ASPD|1DUR	18FEWX|2DUR|38LIT|4ASPD|59BEXP|6RCR|78VULN|8BPWR|aMLV
48	22413 41531	 * 	258.84	DCR|1LIT|1FLTARM|1MLV|1VULN|1NUKE|1DUR	1CANTOX|2VULN|3ZMB|4MLV|5LIT|6DUR|7RCR|8DMSP|9FLTARM|aNUKE
49	31115 13311	 * 	258.84	DCR|1LIT|2DMG|1VULN|1MLV|2CDMG	1FEWX|28CDMG|3ZMB|46DMG|5MLV|7RCR|9VULN|aLIT
50	34531 11133	   	258.81	DCR|2LIT|2VULN|1MLV|2DUR|1ASPD	18FEWX|29DUR|38LIT|4ASPD|5BEXP|6RCR|78VULN|8BPWR|aMLV
51	31225 22156	 * 	258.78	DCR|3LIT|1VULN|2ASPD|1DMG|1CDMG	18FEWX|2CDMG|38aLIT|4VULN|5DMG|6RCVC|78ASPD|8BPWR|9RCR
52	22413 41631	   	258.74	DCR|1LIT|1FLTARM|1MLV|1VULN|1NUKE|2DUR	1CANTOX|2VULN|3ZMB|4MLV|5LIT|68DUR|7RCR|9FLTARM|aNUKE
53	33242 41612	   	258.71	DCR|2LIT|2VULN|1MLV|1CDMG	1FEWX|25LIT|3ERES|4aVULN|6RCR|7LWND|8MLV|9CDMG
54	33242 42612	   	258.61	DCR|2LIT|2VULN|1MLV|1CDMG	1FEWX|25LIT|3ERES|4aVULN|6RCR|7DUST|8MLV|9CDMG
55	23233 42253	   	258.06	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	15CANTOX|2CDMG|3ASPD|457LIT|5BPWR|6MLV|8RCVC|9RCR|aVULN
56	63233 42253	   	258.06	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	15TSLARM|2CDMG|3ASPD|457LIT|5BPWR|6MLV|8RCVC|9RCR|aVULN
57	33652 22151	 * 	257.61	DCR|2LIT|1VULN|1MLV|2CDMG|1ASPD|2ZMB	1FEWX|28LIT|3ASPD|4MLV|58ZMB|6CGEN|78CDMG|8BPWR|9RCR|aVULN
58	55143 21323	 * 	257.09	DCR|2LIT|1VULN|1MLV|2CDMG|1DMG	1MLV|2VULN|3BLASTR|4aLIT|5DMG|6FEWX|7RCR|89CDMG
59	51126 63311	   	256.32	DCR|3LIT|1VULN|1MLV|1DMG	1MLV|2BEXP|3FRZARM|4LHND|5VULN|6RCR|79aLIT|8DMG
60	63233 22163	   	256.16	DCR|3LIT|1VULN|1MLV|1CDMG|1ASPD	156TSLARM|2CDMG|3ASPD|458LIT|5BPWR|7VULN|9MLV|aRCR
61	22243 83311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1CANTOX|2VULN|3MBVNT|4MLV|5BEXP|6RCR|79aLIT|8DMG
62	22248 83311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1CANTOX|2VULN|3MBVNT|4MLV|5FEWX|6RCR|79aLIT|8DMG
63	22273 83311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1CANTOX|2VULN|3MBVNT|4FEWX|5MLV|6RCR|79aLIT|8DMG
64	22363 63311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1CANTOX|2VULN|3DUST|4FEWX|5MLV|6RCR|79aLIT|8DMG
65	62243 83311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1TSLARM|2VULN|3MBVNT|4MLV|5BEXP|6RCR|79aLIT|8DMG
66	62248 83311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1TSLARM|2VULN|3MBVNT|4MLV|5FEWX|6RCR|79aLIT|8DMG
67	62273 83311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1TSLARM|2VULN|3MBVNT|4FEWX|5MLV|6RCR|79aLIT|8DMG
68	62363 63311	   	256.12	DCR|3LIT|1VULN|1MLV|1DMG	1TSLARM|2VULN|3DUST|4FEWX|5MLV|6RCR|79aLIT|8DMG
69	35223 41331	   	255.97	DCR|2LIT|2VULN|1MLV|1AART|1SELL	17FEWX|2SELL|37LIT|48VULN|5MLV|67LHND|7BPWR|9RCR|aAART
70	22431 15213	   	255.96	DCR|3LIT|1VULN|1MLV|1DMG	1CANTOX|2VULN|3ZMB|467LIT|5LWND|8DMG|9MLV|aRCR
71	62431 15213	   	255.96	DCR|3LIT|1VULN|1MLV|1DMG	1TSLARM|2VULN|3ZMB|467LIT|5LWND|8DMG|9MLV|aRCR
72	22246 62254	   	255.91	DCR|2LIT|2VULN|1MLV|1AART	17CANTOX|27VULN|3MBVNT|4MLV|58LIT|67CGEN|7BPWR|9RCR|aAART
73	22246 15154	   	255.81	DCR|2LIT|2VULN|1MLV|1AART	1CANTOX|28VULN|3MBVNT|4MLV|56LIT|7CGEN|9RCR|aAART
74	22246 17154	   	255.81	DCR|2LIT|2VULN|1MLV|1AART	1CANTOX|28VULN|3MBVNT|4MLV|56LIT|7TLV|9RCR|aAART
75	22248 88113	 * 	255.81	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	18CANTOX|28VULN|3MBVNT|4MLV|5FEWX|6RCR|78CDMG|8BPWR|9LIT|aASPD
76	22273 88113	   	255.81	DCR|1LIT|2VULN|1MLV|2CDMG|1ASPD	18CANTOX|28VULN|3MBVNT|4FEWX|5MLV|6RCR|78CDMG|8BPWR|9LIT|aASPD
77	23232 34463	 * 	255.81	DCR|1LIT|1VULN|1MLV|2ASPD|1DMG|1CDMG	1CANTOX|2CDMG|3aASPD|4LIT|5FEWX|6RCR|7DMG|8VULN|9MLV
78	31615 23142	   	255.54	DCR|1LIT|2DMG|1VULN|1MLV|1CDMG|1ASPD|1DUR	1FEWX|2CDMG|3ASPD|48DMG|5MLV|6DUR|7VULN|9RCR|aLIT
79	32541 11112	 * 	255.47	DCR|2LIT|3VULN|1DMG	18FEWX|2LWND|38LIT|4DMG|59BEXP|6RCR|78aVULN|8BPWR
80	32541 11151	   	255.47	DCR|2LIT|3VULN|1DMG	18FEWX|2LWND|38LIT|4DMG|5BEXP|6RCR|78aVULN|8BPWR|9RPLT
81	32541 11162	   	255.47	DCR|2LIT|3VULN|1DMG	18FEWX|2LWND|38LIT|4DMG|5BEXP|6RCR|78aVULN|8BPWR|9CGEN
82	32543 11151	   	255.37	DCR|2LIT|3VULN|1DMG|1DUR	18FEWX|2LWND|38LIT|4DMG|5DUR|6RCR|78aVULN|8BPWR|9RPLT
83	32543 11162	   	255.37	DCR|2LIT|3VULN|1DMG|1DUR	18FEWX|2LWND|38LIT|4DMG|5DUR|6RCR|78aVULN|8BPWR|9CGEN
84	34541 11112	   	255.37	DCR|2LIT|3VULN|1DMG|1DUR	18FEWX|2DUR|38LIT|4DMG|59BEXP|6RCR|78aVULN|8BPWR
