0	Index      	 *	Score 	Summary	Detail	
1	26212 31335	 * 	218.66	ACR|3ASPD|1BASARM|1DMG|1VULN	16AEFBLL|2AAC|346ASPD|5RCR|6BPWR|7DMG|8TLV|9BASARM|aVULN
47	34431 31331	   	189.88	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1ERES|24BEXP|3ASPD|5RCR|6VULN|7SELL|89LWND|aBASARM
48	36631 31211	   	189.88	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1ERES|2ASPD|34BEXP|5RCR|6VULN|7SELL|8LHND|9DMSP|aBASARM
49	36631 31311	   	189.88	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1ERES|2ASPD|34BEXP|5RCR|6VULN|7SELL|8LWND|9DMSP|aBASARM
50	36631 31331	   	189.88	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	1ERES|2ASPD|34BEXP|5RCR|6VULN|7SELL|89LWND|aBASARM
51	34431 31221	   	189.78	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	19ERES|24BEXP|3ASPD|5RCR|6VULN|7SELL|8LHND|aBASARM
52	34431 31321	   	189.78	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	19ERES|24BEXP|3ASPD|5RCR|6VULN|7SELL|8LWND|aBASARM
53	36631 31221	   	189.78	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	19ERES|2ASPD|34BEXP|5RCR|6VULN|7SELL|8LHND|aBASARM
54	36631 31321	   	189.78	ACR|1BASARM|2BEXP|1VULN|1ASPD|1SELL	19ERES|2ASPD|34BEXP|5RCR|6VULN|7SELL|8LWND|aBASARM
55	34431 61111	 * 	189.29	ACR|3BEXP|1ASPD|1DMG|1VULN|1CDMG	1ERES|248BEXP|3ASPD|5RCR|6ZMB|7CDMG|9VULN|aDMG
56	36631 61111	   	189.29	ACR|3BEXP|1ASPD|1DMG|1VULN|1CDMG	1ERES|2ASPD|348BEXP|5RCR|6ZMB|7CDMG|9VULN|aDMG
57	26212 26322	 * 	188.97	ACR|2ASPD|2DMG|2VULN	1aAEFBLL|2AAC|34ASPD|5RCR|6RCVC|7aDMG|8BELT|9aVULN|aBPWR
