0	Index      	 *	Score 	Summary	Detail	
1	21322 31553	 * 	212.18	ACR|3BEXP|2DMG|1ASPD|2CDMG|1AART	1aCDMG|2RPLT|3ASPD|47aBEXP|5RCR|6RCVC|8AART|9aDMG|aBPWR
38	21322 55121	   	184.72	ACR|2BEXP|1ASPD|1DMG|2CDMG|1AAC|1VULN	1aCDMG|2RPLT|3ASPD|4aBEXP|5RCR|6VULN|7AAC|8DMG|9aERES|aBPWR
39	21322 61231	 * 	184.51	ACR|3BEXP|2ASPD|3CDMG	19aCDMG|2RPLT|39ASPD|479BEXP|5RCR|6BELT|8RMIN|9BPWR
40	21122 31254	   	183.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|3LWND|4ASPD|5RCR|6RCVC|7BEXP|8DMSP|9BASARM|aVULN
41	21122 31554	   	183.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|38LWND|4ASPD|5RCR|6RCVC|7BEXP|9BASARM|aVULN
42	21222 31254	   	183.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|3LHND|4ASPD|5RCR|6RCVC|7BEXP|8DMSP|9BASARM|aVULN
43	21312 31254	   	183.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|3ASPD|4LHND|5RCR|6RCVC|7BEXP|8DMSP|9BASARM|aVULN
44	21322 36254	   	183.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|3ASPD|4BEXP|5RCR|6RCVC|7LHND|8DMSP|9BASARM|aVULN
45	21322 62543	   	183.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|3ASPD|4BEXP|5RCR|6BELT|7VULN|8DLOT|9CGEN|aBASARM
46	21322 62523	   	183.45	ACR|1BASARM|1ASPD|1BEXP|1CDMG|1VULN	1CDMG|2RPLT|3ASPD|4BEXP|5RCR|6BELT|7VULN|8DLOT|9ERES|aBASARM
47	21322 25363	 * 	183.26	ACR|2ASPD|2DMG|1BEXP|1CDMG|1SELL	1CDMG|2RPLT|3aASPD|4BEXP|5RCR|6SELL|7LHND|89DMG
48	21322 52225	   	183.13	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|49BEXP|5RCR|68VULN|7RMIN|aDMG
49	21342 51312	   	183.13	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|7aBEXP|8DMG|9LWND
50	21342 51332	   	183.13	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|7aBEXP|8DMG|9FEWX
51	21342 51321	   	183.03	ACR|2BEXP|2VULN|1DMG|1ASPD|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|79BEXP|8DMG|aAEFBLL
52	21342 51323	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|79BEXP|8DMG|aERES
53	21342 51324	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|79BEXP|8DMG|aLEGI
54	21342 51325	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|79BEXP|8DMG|aNUKE
55	21342 51352	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|7aBEXP|8DMG|9MBVNT
56	21342 53322	   	183.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1CDMG|2RPLT|3ASPD|46VULN|5RCR|7DUST|8DMG|9aBEXP
57	21322 63515	 * 	182.92	ACR|1BASARM|1ASPD|2CDMG|1BEXP	18CDMG|2RPLT|3ASPD|4BEXP|5RCR|6BELT|7MDPS|9LWND|aBASARM
58	21322 63225	   	182.92	ACR|1BASARM|1ASPD|2CDMG|1BEXP	19CDMG|2RPLT|3ASPD|4BEXP|5RCR|6BELT|7MDPS|8DUR|aBASARM
