0	Index      	 *	Score 	Summary	Detail	
1	54332 35333	 * 	224.43	ACR|2BASARM|3DMG|1AART|1CDMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9CDMG|aAART
29	54332 31243	   	204.45	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8ZMB|9DUR
30	54332 31413	   	204.45	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8LWND|9ZMB
31	54332 31225	   	204.35	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8ZMB|9ERES
32	54332 31313	   	204.35	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8DUST|9ZMB
33	54332 31353	   	204.35	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aASPD|8DUST|9CGEN
34	54332 32273	   	204.35	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8CGEN|9aASPD
35	54332 33363	   	204.35	ACR|1BASARM|2ASPD|2DMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7CGEN|8DUST|9aASPD
36	45143 31221	   	203.82	ACR|1BASARM|3BEXP|1DMG|1SELL	1LWND|2RCR|3DUST|47aBEXP|5FEWX|6SELL|8BASARM|9DMG
37	14252 21162	   	202.61	ACR|1BASARM|2BEXP|1ASPD|1DMG|1SELL	1SELL|2DUR|3DUST|4RCR|58BEXP|6BASARM|7RCVC|9ASPD|aDMG
38	54332 31214	 * 	202.51	ACR|3DMG|1BASARM|1ASPD	1MDPS|2DLOT|36aDMG|4BASARM|5RCR|7ASPD|8ZMB|9CGEN
39	54332 31224	   	202.41	ACR|3DMG|1BASARM|1ASPD	1MDPS|2DLOT|36aDMG|4BASARM|5RCR|7ASPD|8ZMB|9ERES
40	54332 32148	   	202.30	ACR|1BASARM|2DMG|1BEXP|1CDMG|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8AAC|9CDMG|aBEXP
41	45116 32221	   	201.96	ACR|1BASARM|2ASPD|1DMG	1LWND|2RCR|3DUST|46ASPD|5RPLT|7RMIN|8BASARM|9DMG|aFEWX
42	45116 32233	   	201.96	ACR|1BASARM|2ASPD|1DMG	1LWND|2RCR|3DUST|46ASPD|5RPLT|7RMIN|8BASARM|9ZMB|aDMG
43	45116 32213	   	201.86	ACR|1BASARM|2ASPD|1DMG	1LWND|2RCR|3DUST|46ASPD|5RPLT|7RMIN|8BASARM|9TLV|aDMG
44	45116 32223	   	201.86	ACR|1BASARM|2ASPD|1DMG	1LWND|2RCR|3DUST|46ASPD|5RPLT|7RMIN|8BASARM|9DMG|aNUKE
45	14123 14221	   	201.05	ACR|3DMG|1BASARM|1BEXP|1SELL	1SELL|2DUR|39aDMG|4RCR|5ZMB|6BEXP|7LWND|8BASARM
46	54332 31242	   	200.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8ZMB|9DUR|aCDMG
47	54332 31412	   	200.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8LWND|9ZMB|aCDMG
48	54332 33213	   	200.51	ACR|1BASARM|2DMG|1ASPD|1AART	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7CGEN|8RPLT|9ASPD|aAART
49	54332 33214	   	200.51	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7CGEN|8RPLT|9ASPD|aCDMG
50	54332 52133	   	200.51	ACR|1BASARM|2ASPD|1DMG|1BEXP	1MDPS|2DLOT|3DMG|4BASARM|5RCR|6LWND|7LIT|8BEXP|9aASPD
51	54332 31133	   	200.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9BEXP|aMLV
52	54332 31312	   	200.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9ZMB|aCDMG
53	54332 31316	   	200.41	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9ZMB|aBEXP
54	54332 31342	   	200.41	ACR|1BASARM|2DMG|1ASPD|1AART	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9AART|aZMB
55	54332 31352	   	200.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9CGEN|aCDMG
56	54332 32272	   	200.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8CGEN|9ASPD|aCDMG
57	54332 33362	   	200.41	ACR|1BASARM|2DMG|1ASPD|1CDMG	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7CGEN|8DUST|9ASPD|aCDMG
58	54332 31125	   	200.31	ACR|1BASARM|2DMG|1ASPD|1AART	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9ERES|aAART
59	54332 31131	   	200.31	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9BEXP|aAEFBLL
60	54332 31134	   	200.31	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9BEXP|aMULARM
61	54332 31135	   	200.31	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9BEXP|aLEGI
62	54332 31325	   	200.31	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9LEGI|aBEXP
63	54332 31336	   	200.31	ACR|1BASARM|2DMG|1ASPD|1BEXP	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9MBVNT|aBEXP
64	54332 31341	   	200.31	ACR|1BASARM|2DMG|1ASPD|1AART	1aMDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9AART
65	14123 14251	   	200.24	ACR|1BASARM|2DMG|2BEXP|1SELL	1SELL|2DUR|3aDMG|4RCR|5ZMB|69BEXP|7LWND|8BASARM
66	54332 31143	   	200.16	ACR|1BASARM|2DMG|1ASPD|1BEXP|1SELL	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9SELL|aBEXP
67	52366 31223	   	199.94	ACR|1BASARM|2DMG|2BEXP|1SELL	13MDPS|2DUST|4RCR|57BEXP|6SELL|8BASARM|9aDMG
68	63361 33422	 * 	198.32	ACR|2ASPD|2DMG|2VULN|1BEXP|1AAC	18VULN|2aLHND|3AAC|48ASPD|5RCR|68DMG|7DMSP|8BPWR|9BEXP
69	63361 33421	   	198.22	ACR|2ASPD|2DMG|2VULN|1BEXP|1AAC	18VULN|2LHND|3AAC|48ASPD|5RCR|68DMG|7DMSP|8BPWR|9BEXP|aERES
70	63361 33423	   	198.22	ACR|2ASPD|2DMG|2VULN|1BEXP|1AAC	18VULN|2LHND|3AAC|48ASPD|5RCR|68DMG|7DMSP|8BPWR|9BEXP|aAEMAG
71	35221 32144	   	197.76	ACR|1BASARM|2BEXP|1ASPD|1DMG	1CGEN|28BEXP|3FEWX|4ASPD|5RCR|6DMG|7SNITOX|9DLOT|aBASARM
72	45143 11211	   	197.55	ACR|1BASARM|3BEXP|1CDMG	1LWND|2RCR|3DUST|47aBEXP|5FEWX|6CDMG|8BASARM|9TLV
73	54332 35312	   	197.13	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9LWND|aCGEN
74	54332 35313	   	197.13	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9LWND|aDUR
75	54332 32822	   	197.03	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DMSP|aCGEN
76	54332 32823	   	197.03	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DMSP|aDUR
77	54332 32832	   	197.03	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9RCVC|aCGEN
78	54332 32833	   	197.03	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9RCVC|aDUR
79	54332 35322	   	197.03	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9ERES|aLWND
80	54332 35323	   	197.03	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7DMSP|8BPWR|9ERES|aCGEN
81	54332 32813	   	196.93	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9LEGI|aLIT
82	54332 32814	   	196.93	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9LEGI|aCGEN
83	54332 32824	   	196.93	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DMSP|aAME
84	54332 32834	   	196.93	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9RCVC|aAME
85	54332 32843	   	196.93	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DUST|aLIT
86	54332 32844	   	196.93	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DUST|aCGEN
87	54332 36232	   	196.89	ACR|2BASARM|3DMG|1SELL	1MDPS|2DLOT|369DMG|49BASARM|5RCR|7SELL|8DMSP|9BPWR|aZMB
88	54332 32811	   	196.83	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9LEGI|aAME
89	54332 32841	   	196.83	ACR|2BASARM|3DMG	1MDPS|2DLOT|368DMG|48BASARM|5RCR|7MBVNT|8BPWR|9DUST|aAME
90	54332 36231	   	196.79	ACR|2BASARM|3DMG|1SELL	1MDPS|2DLOT|369DMG|49BASARM|5RCR|7SELL|8DMSP|9BPWR|aAEMAG
91	35221 32524	   	196.57	ACR|1BASARM|1ASPD|1DMG|1BEXP|1AART	1CGEN|2BEXP|3FEWX|4ASPD|5RCR|6DMG|7SNITOX|8AEMAG|9AART|aBASARM
92	52366 11221	   	196.24	ACR|1BASARM|2BEXP|1DMG|1CDMG	13MDPS|2DUST|4RCR|57BEXP|6CDMG|8BASARM|9DMG|aFEWX
93	14252 21124	   	196.20	ACR|1BASARM|2BEXP|1ASPD|1CDMG|1SELL	1SELL|2DUR|3DUST|4RCR|58BEXP|6BASARM|7RCVC|9CDMG|aASPD
94	52366 11213	   	196.14	ACR|1BASARM|2BEXP|1DMG|1CDMG	13MDPS|2DUST|4RCR|57BEXP|6CDMG|8BASARM|9TLV|aDMG
95	54332 32154	   	195.59	ACR|1BASARM|2DMG|1AART|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8AAC|9AART|aVULN
96	54232 31163	   	195.16	ACR|1BASARM|2ASPD|1DMG|1AAC	1MDPS|2DLOT|3ZMB|4BASARM|5RCR|6DMG|7CGEN|8AAC|9aASPD
97	54332 13163	   	195.16	ACR|1BASARM|2ASPD|1DMG|1AAC	1MDPS|2DLOT|3DMG|4BASARM|5RCR|6CGEN|7ZMB|8AAC|9aASPD
98	54332 32113	   	195.06	ACR|1BASARM|2DMG|1ASPD|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8AAC|9ZMB|aASPD
99	54332 32163	   	195.06	ACR|1BASARM|2DMG|1ASPD|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7MBVNT|8AAC|9CGEN|aASPD
100	54332 34113	 * 	195.06	ACR|1BASARM|2DMG|2VULN|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7aVULN|8AAC|9RPLT
101	54332 31124	   	194.96	ACR|1BASARM|2DMG|1ASPD|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8AIRHEL|9ERES|aAAC
102	54332 31326	   	194.96	ACR|1BASARM|2DMG|1ASPD|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9LEGI|aAAC
103	54332 31337	   	194.96	ACR|1BASARM|2DMG|1ASPD|1AAC	1MDPS|2DLOT|36DMG|4BASARM|5RCR|7ASPD|8DUST|9MBVNT|aAAC
104	65331 32335	   	194.71	ACR|2ASPD|1DMG|1AART|1BEXP|1CDMG|1AAC	1VULN|2BEXP|3AAC|4ERES|5RCR|6DMG|7CDMG|8AART|9aASPD
105	35263 32131	 * 	194.70	ACR|3DMG|2BEXP|2CDMG	1CGEN|29BEXP|3FEWX|4RCR|5VULN|69aDMG|7VENFST|89CDMG|9BPWR
106	35663 32131	   	194.60	ACR|3DMG|2BEXP|2CDMG	1CGEN|29BEXP|3DUST|4RCR|5VULN|69aDMG|7VENFST|89CDMG|9BPWR
