0	Index      	 *	Score 	Summary	Detail	
1	66222 36133	 * 	215.71	ACR|1BASARM|2DMG|1ASPD|1BEXP	1LIT|2RCR|36DMG|4RCVC|5BELT|7ASPD|8MLV|9BEXP|aBASARM
14	66212 23211	   	202.69	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2RCR|39DMG|4CDMG|57BEXP|6VULN|8FEWX|aASPD
15	66212 23532	   	202.59	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|6VULN|89ASPD|aAEFBLL
16	66212 23533	   	202.59	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|6VULN|89ASPD|aERES
17	66212 13521	 * 	202.27	ACR|2ASPD|2BEXP|1DMG|2CDMG	1aLIT|2RCR|3DMG|4aCDMG|57BEXP|6LWND|8aASPD|9RPLT|aBPWR
18	66222 36113	   	202.06	ACR|1BASARM|2DMG|1ASPD	1LIT|2RCR|36DMG|4RCVC|5BELT|7ASPD|8MLV|9FEWX|aBASARM
19	66222 36323	   	201.86	ACR|1BASARM|2DMG|1ASPD	1LIT|2RCR|36DMG|4RCVC|5BELT|7ASPD|8DUST|9AME|aBASARM
20	66212 24311	 * 	200.78	ACR|2DMG|2VULN|1ASPD|1BEXP|1CDMG	1LIT|2RCR|37DMG|4CDMG|5BEXP|68VULN|9DUST|aASPD
21	66216 33211	   	200.10	ACR|2ASPD|2DMG|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5AAC|6LWND|7VULN|8aASPD
22	66216 11133	   	200.01	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC	1LIT|2RCR|3DMG|4CDMG|5AAC|6RCVC|7BEXP|8LHND|9BASARM|aRMIN
23	66216 11132	   	199.77	ACR|1BASARM|1DMG|1BEXP|1CDMG|1AAC|1SELL	1LIT|2RCR|3DMG|4CDMG|5AAC|6RCVC|7BEXP|8LHND|9BASARM|aSELL
24	66214 33211	   	198.50	ACR|2ASPD|2DMG|1BEXP|1CDMG	1LIT|2RCR|39DMG|4CDMG|5CGEN|6LWND|7BEXP|8aASPD
25	66363 31121	   	198.45	ACR|1BASARM|1ASPD|1CDMG|1BEXP	1LIT|2RCR|3ERES|4MDPS|5VULN|6BEXP|7ASPD|8DUR|9BASARM|aCDMG
26	66211 33211	   	198.40	ACR|2ASPD|2DMG|1BEXP|1CDMG	1LIT|2RCR|39DMG|4CDMG|5TLV|6LWND|7BEXP|8aASPD
27	66212 43211	   	198.40	ACR|2ASPD|2DMG|1CDMG|1BEXP	1LIT|2RCR|39DMG|4CDMG|5BEXP|6TLV|7FEWX|8aASPD
28	66213 43211	   	198.40	ACR|2ASPD|2DMG|1CDMG|1BEXP	1LIT|2RCR|39DMG|4CDMG|5FEWX|6TLV|7BEXP|8aASPD
29	66363 31221	   	198.35	ACR|1BASARM|1ASPD|1CDMG|1BEXP	1LIT|2RCR|3ERES|4MDPS|5VULN|6BEXP|7ASPD|8DUST|9BASARM|aCDMG
30	66212 14311	 * 	198.28	ACR|3DMG|2BEXP|1CDMG	1LIT|2RCR|379DMG|4CDMG|5aBEXP|6LWND|8VULN
31	66212 24111	   	198.28	ACR|3DMG|2BEXP|1CDMG	1LIT|2RCR|379DMG|4CDMG|5aBEXP|6VULN|8DUR
32	66212 24211	   	198.28	ACR|3DMG|2BEXP|1CDMG	1LIT|2RCR|379DMG|4CDMG|5aBEXP|6VULN|8FEWX
33	66212 31211	   	198.26	ACR|2ASPD|2DMG|1BEXP|1CDMG|1SELL	1LIT|2RCR|39DMG|4CDMG|5BEXP|6SELL|7RPLT|8aASPD
34	66212 23341	 * 	198.13	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|68VULN|9DUR|aASPD
35	66212 23351	   	198.13	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|68VULN|9LHND|aASPD
36	66222 16133	   	198.12	ACR|1BASARM|1ASPD|1DMG|1BEXP	1LIT|2RCR|3DMG|4RCVC|5BELT|6DMSP|7ASPD|8MLV|9BEXP|aBASARM
37	66212 23311	   	198.03	ACR|2BEXP|2VULN|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|68VULN|9DUST|aASPD
38	66212 63133	 * 	198.02	ACR|1BASARM|2CDMG|1DMG|1BEXP	1LIT|2RCR|3DMG|46CDMG|5BEXP|7ZMB|8LHND|9BASARM|aRMIN
39	66211 23263	   	197.82	ACR|1BASARM|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|5TLV|6DUST|7FEWX|8ASPD|9LSRREG|aBASARM
40	66212 63132	   	197.78	ACR|1BASARM|2CDMG|1DMG|1BEXP|1SELL	1LIT|2RCR|3DMG|46CDMG|5BEXP|7ZMB|8LHND|9BASARM|aSELL
41	66212 23511	   	196.37	ACR|3BEXP|1DMG|1ASPD|1CDMG	1LIT|2RCR|3DMG|4CDMG|579BEXP|6VULN|8ASPD|aLHND
42	66212 23513	   	196.37	ACR|3BEXP|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|579BEXP|6VULN|8ASPD|aCGEN
43	66212 23512	   	196.27	ACR|3BEXP|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|579BEXP|6VULN|8ASPD|aAME
44	66212 53212	   	196.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5BEXP|6ZMB|7VULN|8ASPD|aAAC
45	66216 33213	   	196.16	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5AAC|6LWND|7VULN|8ASPD|aBEXP
46	65352 33133	 * 	195.85	ACR|1BASARM|3BEXP|1CDMG|1AAC	1LIT|26SPLARM|367BEXP|4RCR|5MDPS|6BPWR|8CDMG|9BASARM|aAAC
47	66212 13111	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2RCR|39DMG|4CDMG|57BEXP|6LWND|8DUR|aASPD
48	66212 13211	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2RCR|39DMG|4CDMG|57BEXP|6LWND|8FEWX|aASPD
49	66212 13523	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	1LIT|2RCR|3aDMG|4CDMG|57BEXP|6LWND|8ASPD|9RPLT
50	66212 13533	   	195.75	ACR|2ASPD|2BEXP|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57BEXP|6LWND|89ASPD|aRPLT
51	66212 41231	   	195.75	ACR|2DMG|2BEXP|1ASPD|1CDMG	17LIT|2RCR|37DMG|4CDMG|5aBEXP|67TLV|7BPWR|8RMIN|9ASPD
52	66212 24321	   	195.65	ACR|2DMG|2BEXP|2VULN|1CDMG	1LIT|2RCR|37DMG|4CDMG|5aBEXP|68VULN|9RMIN
53	66222 35133	   	195.64	ACR|1BASARM|2DMG|1BEXP	1LIT|2RCR|36DMG|4RCVC|5BELT|7BEXP|89DUR|aBASARM
54	66222 35223	   	195.64	ACR|1BASARM|2DMG|1BEXP	1LIT|2RCR|36DMG|48RCVC|5BELT|7BEXP|9LWND|aBASARM
55	66212 24313	   	195.55	ACR|2DMG|2BEXP|2VULN|1CDMG	1LIT|2RCR|37DMG|4CDMG|5aBEXP|68VULN|9DUST
56	66243 12123	   	195.55	ACR|2DMG|2BEXP|1ASPD|1AART	1LIT|2RCR|3aDMG|4TLV|5DUST|6aERES|7ASPD|8aBEXP|9AART|aBPWR
57	65352 33132	   	194.49	ACR|1BASARM|3BEXP|1CDMG	1LIT|26SPLARM|367BEXP|4RCR|5MDPS|6BPWR|8CDMG|9BASARM|aVULN
58	66212 31215	   	194.32	ACR|2DMG|1ASPD|1BEXP|1AART|1CDMG|1SELL	1LIT|2RCR|39DMG|4CDMG|5BEXP|6SELL|7RPLT|8ASPD|aAART
59	66212 61311	 * 	194.17	ACR|2DMG|2CDMG|1ASPD|1BEXP	1LIT|2RCR|39DMG|46CDMG|5BEXP|7LHND|8VULN|aASPD
60	66222 15123	   	192.89	ACR|1BASARM|2BEXP|1DMG	1LIT|2RCR|3DMG|4RCVC|5BELT|6DMSP|79BEXP|8DUR|aBASARM
61	66222 63223	   	192.89	ACR|1BASARM|2BEXP|1DMG	1LIT|2RCR|3DMG|4RCVC|5BELT|69BEXP|78LWND|aBASARM
62	66213 53211	   	191.79	ACR|2ASPD|2DMG|1CDMG	1LIT|2RCR|39DMG|4CDMG|5FEWX|6ZMB|7VULN|8aASPD
63	66215 22211	   	191.79	ACR|2ASPD|2DMG|1CDMG	1LIT|2RCR|39DMG|4CDMG|5DUR|6VULN|7CGEN|8aASPD
64	66215 23211	   	191.79	ACR|2ASPD|2DMG|1CDMG	1LIT|2RCR|39DMG|4CDMG|5DUR|6VULN|7ZMB|8aASPD
65	66211 61311	   	191.69	ACR|2ASPD|2DMG|1CDMG	1LIT|2RCR|39DMG|4CDMG|5TLV|6aASPD|7LHND|8VULN
66	66212 31232	   	191.57	ACR|2BEXP|1ASPD|1DMG|1AART|1CDMG|1SELL	1LIT|2RCR|3DMG|4CDMG|5aBEXP|6SELL|7RPLT|8ASPD|9AART
67	66312 24211	   	191.45	ACR|2ASPD|2DMG|1BEXP|1SELL	1LIT|2RCR|3ERES|4SELL|5BEXP|6VULN|79DMG|8aASPD
68	66212 14111	   	191.34	ACR|3DMG|2BEXP|1CDMG	1LIT|2RCR|379DMG|4CDMG|5aBEXP|6LWND|8DUR
69	66212 14211	   	191.34	ACR|3DMG|2BEXP|1CDMG	1LIT|2RCR|379DMG|4CDMG|5aBEXP|6LWND|8FEWX
70	66216 33212	 * 	190.35	ACR|2DMG|1ASPD|2AAC|1CDMG	1LIT|2RCR|39DMG|4CDMG|5aAAC|6LWND|7VULN|8ASPD
71	66212 13511	   	189.43	ACR|3BEXP|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|579BEXP|6LWND|8ASPD|aLHND
72	66212 13513	   	189.43	ACR|3BEXP|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|579BEXP|6LWND|8ASPD|aCGEN
73	66212 13522	   	189.43	ACR|3BEXP|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57aBEXP|6LWND|8ASPD|9RPLT
74	66212 13512	   	189.33	ACR|3BEXP|1ASPD|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|579BEXP|6LWND|8ASPD|aTLV
75	66212 23321	 * 	189.33	ACR|3BEXP|2VULN|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57aBEXP|68VULN|9RMIN
76	66212 23313	   	189.23	ACR|3BEXP|2VULN|1DMG|1CDMG	1LIT|2RCR|3DMG|4CDMG|57aBEXP|68VULN|9DUST
77	66214 33212	   	189.22	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5CGEN|6LWND|7BEXP|8ASPD|aAAC
78	66211 33212	   	189.12	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5TLV|6LWND|7BEXP|8ASPD|aAAC
79	66212 43212	   	189.12	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5BEXP|6TLV|7FEWX|8ASPD|aAAC
80	66213 43212	   	189.12	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC	1LIT|2RCR|39DMG|4CDMG|5FEWX|6TLV|7BEXP|8ASPD|aAAC
81	66212 31214	   	188.98	ACR|2DMG|1ASPD|1BEXP|1CDMG|1AAC|1SELL	1LIT|2RCR|39DMG|4CDMG|5BEXP|6SELL|7RPLT|8ASPD|aAAC
82	66212 22114	   	188.81	ACR|3VULN|1DMG|1BEXP|1AART|1CDMG	1LIT|2RCR|3DMG|4CDMG|5BEXP|69aVULN|7AART|8DUR
83	66212 22214	   	188.81	ACR|3VULN|1DMG|1BEXP|1AART|1CDMG	1LIT|2RCR|3DMG|4CDMG|5BEXP|69aVULN|7AART|8LHND
84	26154 12333	   	188.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1ZMB|2ASPD|3FEWX|4RCR|5LHND|6VULN|7BASARM|8LWND|9BEXP|aCDMG
85	26535 22312	 * 	188.51	ACR|3ASPD|1DMG|1BEXP|1AART	1ZMB|278ASPD|3LIT|4DMG|5RCR|6BEXP|9AART|aVULN
86	26152 32621	   	188.50	ACR|2ASPD|2DMG|1BEXP|1CDMG	1ZMB|29ASPD|3FEWX|4RCR|5CGEN|69DMG|7CDMG|89VENICY|9BPWR|aBEXP
87	26153 53121	   	188.02	ACR|1BASARM|1ASPD|1BASICY|1CDMG	1ZMB|2ASPD|3FEWX|4RCR|5RCVC|6BASICY|7CDMG|8LWND|9LSRREG|aBASARM
88	26154 12213	   	188.02	ACR|1BASARM|2VULN|1ASPD|1CDMG	1ZMB|2ASPD|3FEWX|4RCR|5LHND|68VULN|7BASARM|9LIT|aCDMG
89	26154 12233	   	188.02	ACR|1BASARM|2VULN|1ASPD|1BEXP	1ZMB|2ASPD|3FEWX|4RCR|5LHND|68VULN|7BASARM|9BEXP|aLIT
90	26154 12232	   	187.92	ACR|1BASARM|2VULN|1ASPD|1BEXP	1ZMB|2ASPD|3FEWX|4RCR|5LHND|68VULN|7BASARM|9BEXP|aERES
91	66212 16311	   	187.85	ACR|2DMG|1ASPD|1BEXP|1CDMG	17LIT|2RCR|39DMG|4CDMG|5BEXP|6LWND|8VULN|aASPD
92	66212 21511	   	187.85	ACR|2DMG|1ASPD|1CDMG|1BEXP	1LIT|2RCR|39DMG|4CDMG|5BEXP|6VULN|7DUR|8RCVC|aASPD
93	66212 24131	   	187.85	ACR|2DMG|1ASPD|1CDMG|1BEXP	1LIT|2RCR|37DMG|4CDMG|5BEXP|6VULN|89DUR|aASPD
94	66212 26111	   	187.85	ACR|2DMG|1ASPD|1CDMG|1BEXP	17LIT|2RCR|39DMG|4CDMG|5BEXP|6VULN|8DUR|aASPD
95	66212 26211	   	187.85	ACR|2DMG|1ASPD|1CDMG|1BEXP	17LIT|2RCR|39DMG|4CDMG|5BEXP|6VULN|8FEWX|aASPD
96	66212 41232	   	187.85	ACR|2DMG|1ASPD|1BEXP|1CDMG	17LIT|2RCR|37DMG|4CDMG|5BEXP|67TLV|7BPWR|8RMIN|9ASPD|aVULN
97	26251 53121	   	187.82	ACR|1BASARM|1ASPD|1BASICY|1CDMG	1ZMB|2ASPD|35DUST|4RCR|6BASICY|7CDMG|8LWND|9LSRREG|aBASARM
98	26151 12225	   	187.82	ACR|1BASARM|2VULN|1ASPD|1BEXP	1ZMB|2ASPD|3FEWX|4RCR|5DUST|69VULN|7MDPS|8BEXP|aBASARM
99	66212 53213	   	187.75	ACR|2DMG|1ASPD|1CDMG|1BEXP	1LIT|2RCR|39DMG|4CDMG|5BEXP|6ZMB|7VULN|8ASPD|aERES
100	65352 33131	   	187.55	ACR|1BASARM|3BEXP|1CDMG	1LIT|26SPLARM|367BEXP|4RCR|5MDPS|6BPWR|8CDMG|9BASARM|aLHND
101	66212 61111	   	187.23	ACR|2DMG|1ASPD|2CDMG|1BEXP	1LIT|2RCR|39DMG|46CDMG|5BEXP|7LHND|8DUR|aASPD
102	66212 61211	   	187.23	ACR|2DMG|1ASPD|2CDMG|1BEXP	1LIT|2RCR|39DMG|46CDMG|5BEXP|7LHND|8FEWX|aASPD
103	66216 11231	   	186.47	ACR|2BEXP|1ASPD|1DMG|1CDMG|1AAC	1LIT|2RCR|3DMG|4CDMG|5AAC|6RCVC|7aBEXP|8RMIN|9ASPD
104	66323 25331	   	186.28	ACR|1BASARM|2BEXP|1AART	1LIT|2RCR|3ERES|4FEWX|5RCVC|68BEXP|7AART|9SNIHEL|aBASARM
105	26153 53221	 * 	185.75	ACR|2ASPD|2BEXP|1BASICY|1CDMG	1ZMB|28ASPD|3FEWX|4RCR|5RCVC|6BASICY|7CDMG|9aBEXP
