0	Index      	 *	Score 	Summary	Detail	
1	32642 16113	 * 	215.44	ACR|1BASARM|2DMG|2AAC|1BEXP|1AART	1AART|2RCVC|3RPLT|4RCR|56AAC|7BEXP|89DMG|aBASARM
15	32641 12613	   	193.95	ACR|1BASARM|2DMG|1AART|1AAC	1AART|2RCVC|3RPLT|4RCR|5RMIN|6AAC|79DMG|8ZMB|aBASARM
16	32642 22613	   	193.95	ACR|1BASARM|2DMG|1AART|1AAC	1AART|2RCVC|3RPLT|4RCR|5AAC|6RMIN|79DMG|8ZMB|aBASARM
17	32642 36113	   	193.95	ACR|1BASARM|2DMG|1AART|1AAC	1AART|27RCVC|3RPLT|4RCR|5AAC|6DUR|89DMG|aBASARM
18	32642 41213	   	193.95	ACR|1BASARM|2DMG|1AART|1AAC	1AART|2RCVC|38RPLT|4RCR|5AAC|69DMG|7LWND|aBASARM
19	21221 42631	   	193.65	ACR|1BASARM|1DMG|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5DMG|6BEXP|7VULN|8CGEN|9BASARM|aLWND
20	21221 42634	   	193.65	ACR|1BASARM|1DMG|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5DMG|6BEXP|7VULN|8CGEN|9BASARM|aFEWX
21	21221 42636	   	193.65	ACR|1BASARM|1DMG|1BEXP|1CDMG	14aDUR|2CDMG|3RCR|5DMG|6BEXP|7VULN|8CGEN|9BASARM
22	21223 46331	   	193.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5VULN|6CGEN|7ASPD|8BEXP|9BASARM|aLWND
23	21223 46334	   	193.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5VULN|6CGEN|7ASPD|8BEXP|9BASARM|aFEWX
24	21223 46336	   	193.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	14aDUR|2CDMG|3RCR|5VULN|6CGEN|7ASPD|8BEXP|9BASARM
25	21221 42632	   	193.55	ACR|1BASARM|1DMG|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5DMG|6BEXP|7VULN|8CGEN|9BASARM|aAEFBLL
26	21221 42635	   	193.55	ACR|1BASARM|1DMG|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5DMG|6BEXP|7VULN|8CGEN|9BASARM|aDUST
27	21223 16355	   	193.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5VULN|6ERES|7ASPD|8BEXP|9LWND|aBASARM
28	21223 46332	   	193.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5VULN|6CGEN|7ASPD|8BEXP|9BASARM|aAEFBLL
29	21223 46335	   	193.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG	14DUR|2CDMG|3RCR|5VULN|6CGEN|7ASPD|8BEXP|9BASARM|aDUST
30	35633 11221	 * 	193.31	ACR|2ASPD|2BEXP|2AART|1DMG	14AART|29DUR|3LEGI|5RCR|6FEWX|79ASPD|89BEXP|9BPWR|aDMG
31	43333 11221	   	193.31	ACR|2ASPD|2BEXP|2AART|1DMG	1LEGI|29DUR|34AART|5RCR|6FEWX|79ASPD|89BEXP|9BPWR|aDMG
32	21216 15122	 * 	193.02	ACR|1BASARM|2VULN|2CDMG|1AART	18DUR|28CDMG|3RCR|4FEWX|5VENFST|68VULN|7RPLT|8BPWR|9BASARM|aAART
33	21216 66122	   	193.02	ACR|1BASARM|2VULN|2CDMG|1AART	18DUR|28CDMG|3RCR|4FEWX|5VENFST|6RPLT|78VULN|8BPWR|9BASARM|aAART
34	21236 15123	   	193.02	ACR|1BASARM|2VULN|2CDMG|1BEXP	18DUR|28CDMG|3RCR|4LHND|5VENFST|68VULN|7RPLT|8BPWR|9BASARM|aBEXP
35	31343 34222	   	192.82	ACR|2DMG|1ASPD|2CDMG|1BEXP|1AART	1AART|26CDMG|3ASPD|4MLV|5RCR|7aDMG|8VULN|9BEXP
36	21225 33443	 * 	192.78	ACR|1BASARM|1DMG|2CDMG|1AART|1SELL	14DUR|26CDMG|3RCR|5AART|7DMSP|8DMG|9SELL|aBASARM
37	23311 16436	 * 	192.58	ACR|1BASARM|2ASPD|1CDMG	1DUR|2CGEN|3DMSP|4RCR|5CDMG|6FEWX|7aASPD|8VULN|9BASARM
38	21213 42453	 * 	192.45	ACR|1BASARM|3CDMG|1ASPD	1DUR|258CDMG|3RCR|45FEWX|5BPWR|6CGEN|7VULN|9ASPD|aBASARM
39	21212 23453	   	192.35	ACR|1BASARM|3CDMG|1ASPD	1DUR|278CDMG|3RCR|4FEWX|5MLV|6VULN|9ASPD|aBASARM
40	21213 12453	   	192.35	ACR|1BASARM|3CDMG|1ASPD	1DUR|258CDMG|3RCR|45FEWX|5BPWR|6ERES|7VULN|9ASPD|aBASARM
41	21213 52453	   	192.35	ACR|1BASARM|3CDMG|1ASPD	1DUR|258CDMG|3RCR|45FEWX|5BPWR|6TLV|7VULN|9ASPD|aBASARM
42	21232 23453	   	192.35	ACR|1BASARM|3CDMG|1ASPD	1DUR|278CDMG|3RCR|4LHND|5MLV|6VULN|9ASPD|aBASARM
43	31343 34131	 * 	192.29	ACR|2ASPD|1DMG|1BASICY|2CDMG|1AART	1AART|26CDMG|38ASPD|4MLV|5RCR|7DMG|9RPLT|aBASICY
44	21215 12453	   	192.25	ACR|1BASARM|3CDMG|1ASPD	1DUR|258CDMG|3RCR|4FEWX|6ERES|7VULN|9ASPD|aBASARM
45	31343 34242	 * 	192.19	ACR|2DMG|2VULN|1ASPD|2CDMG|1AART	1AART|26CDMG|3ASPD|4MLV|5RCR|7aDMG|89VULN
46	21241 23453	   	192.15	ACR|1BASARM|3CDMG|1ASPD	1DUR|278CDMG|3RCR|4TLV|5DUST|6VULN|9ASPD|aBASARM
47	21243 23453	   	192.15	ACR|1BASARM|3CDMG|1ASPD	1DUR|278CDMG|3RCR|4TLV|5LEGI|6VULN|9ASPD|aBASARM
48	31343 36611	   	191.92	ACR|2ASPD|3CDMG|1DMG|1BEXP|1AART	1AART|269CDMG|38ASPD|4MLV|5RCR|7BEXP|aDMG
49	21221 42132	   	191.16	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC	14DUR|2CDMG|3RCR|5aDMG|6BEXP|7VULN|8AAC|9ASPD
50	21221 42153	   	191.16	ACR|2DMG|1ASPD|1CDMG|1BEXP|1AAC	14DUR|2CDMG|3RCR|59DMG|6BEXP|7VULN|8AAC|aASPD
51	31343 33421	   	190.92	ACR|2DMG|2AART|3CDMG|1ASPD	17AART|269CDMG|3ASPD|49MLV|5RCR|89DMG|9BPWR|aDUR
52	31343 33422	   	190.92	ACR|2DMG|2AART|3CDMG|1ASPD	17AART|269CDMG|3ASPD|49MLV|5RCR|89DMG|9BPWR|aLWND
53	31343 33426	   	190.92	ACR|2DMG|3CDMG|2AART|1ASPD	17AART|269CDMG|3ASPD|49MLV|5RCR|89DMG|9BPWR|aZMB
54	31343 33423	   	190.68	ACR|2DMG|3CDMG|2AART|1ASPD|1SELL	17AART|269CDMG|3ASPD|49MLV|5RCR|89DMG|9BPWR|aSELL
55	21211 46236	   	190.44	ACR|1BASARM|2ASPD|1CDMG	1DUR|2CDMG|3RCR|4FEWX|58AEMAG|6CGEN|7aASPD|9BASARM
56	21223 32642	 * 	190.22	ACR|3VULN|1ASPD|1DMG|1CDMG|1AART	14DUR|2CDMG|3RCR|579VULN|6AART|8ASPD|aDMG
57	31343 34112	   	189.82	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|26CDMG|38ASPD|4MLV|5RCR|7aDMG|9DUR
58	53115 31314	 * 	189.79	ACR|2ASPD|2DMG|2BEXP	135MLV|2aBEXP|4RCR|6MDPS|7DUR|8aDMG|9aASPD|aBPWR
59	31343 34152	   	189.72	ACR|2ASPD|2DMG|2CDMG|1AART	1AART|26CDMG|38ASPD|4MLV|5RCR|7aDMG|9MDPS
60	21221 43413	   	189.57	ACR|2DMG|2VULN|1AART|1BEXP|1CDMG	14aDUR|2CDMG|3RCR|5aDMG|6BEXP|7ERES|8aVULN|9AART|aBPWR
61	32262 26351	   	188.90	2BASARM|3DMG|2ASPD|2VULN|1AART	1AART|256RCVC|37aDMG|47VULN|7aBPWR|8aBASARM|9aASPD
62	23311 46431	   	188.65	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUR|2CGEN|3DMSP|4RCR|5CDMG|6BEXP|7ASPD|8VULN|9BASARM|aLWND
63	23311 46432	   	188.55	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUR|2CGEN|3DMSP|4RCR|5CDMG|6BEXP|7ASPD|8VULN|9BASARM|aAEFBLL
64	21225 34111	   	188.27	ACR|2DMG|3CDMG|1ASPD|1AART	14DUR|269CDMG|3RCR|5AART|7aDMG|8ASPD
65	21221 42115	   	187.22	ACR|1ASPD|1DMG|1CDMG|1BEXP|1AART|1AAC	14DUR|2CDMG|3RCR|5DMG|6BEXP|7VULN|8AAC|9AART|aASPD
66	65215 23222	 * 	187.20	ACR|5VULN|1BASARM|1SELL	13ZMB|2789aVULN|4RCR|5BASARM|6SELL
67	31343 33431	 * 	187.16	ACR|2AART|1ASPD|1DMG|1BASICY|2CDMG	17AART|26CDMG|3ASPD|4MLV|5RCR|8DMG|9RPLT|aBASICY
68	21223 46313	 * 	186.92	ACR|2BEXP|2VULN|1ASPD|1AART|1CDMG	14aDUR|2CDMG|3RCR|5aVULN|6CGEN|7ASPD|8aBEXP|9AART|aBPWR
69	21223 16313	   	186.82	ACR|2BEXP|2VULN|1ASPD|1AART|1CDMG	14aDUR|2CDMG|3RCR|5aVULN|6ERES|7ASPD|8aBEXP|9AART|aBPWR
70	21221 42154	 * 	186.75	ACR|3DMG|1BEXP|1CDMG|1AAC	14DUR|2CDMG|3RCR|59aDMG|6BEXP|7VULN|8AAC
71	21233 31623	   	186.71	ACR|1BASARM|2CDMG|1BEXP|1AART	1DUR|25CDMG|3RCR|45LHND|5BPWR|6AART|7LWND|8BASARM|9MLV|aBEXP
72	21233 35623	   	186.61	ACR|1BASARM|2CDMG|1AART|1BEXP	1DUR|25CDMG|3RCR|45LHND|5BPWR|6AART|7DUST|8BASARM|9MLV|aBEXP
73	21235 31623	   	186.61	ACR|1BASARM|2CDMG|1AART|1BEXP	1DUR|25CDMG|3RCR|4LHND|6AART|7LWND|8BASARM|9MLV|aBEXP
74	21236 53521	   	186.61	ACR|1BASARM|1DMG|1BEXP|1CDMG	1DUR|2CDMG|3RCR|4LHND|5VENFST|6DMG|7CGEN|8MLV|9BASARM|aBEXP
75	45213 31623	   	186.61	ACR|1BASARM|2CDMG|1BEXP|1AART	1LEGI|25CDMG|3RCR|45FEWX|5BPWR|6AART|7LWND|8BASARM|9ZMB|aBEXP
76	45223 31623	   	186.61	ACR|1BASARM|2CDMG|1BEXP|1AART	1LEGI|25CDMG|3RCR|45DUR|5BPWR|6AART|7LWND|8BASARM|9MLV|aBEXP
77	21235 35623	   	186.51	ACR|1BASARM|2CDMG|1BEXP|1AART	1DUR|25CDMG|3RCR|4LHND|6AART|7DUST|8BASARM|9MLV|aBEXP
78	21216 15622	   	186.51	ACR|1BASARM|2VULN|1AART|1CDMG	1DUR|2CDMG|3RCR|4FEWX|5VENFST|68VULN|7RPLT|9BASARM|aAART
79	21213 46431	   	186.41	ACR|1BASARM|1ASPD|2CDMG	1DUR|25CDMG|3RCR|45FEWX|5BPWR|6CGEN|7ASPD|8VULN|9BASARM|aLWND
80	21213 42136	   	186.41	ACR|1BASARM|1ASPD|2CDMG	1DUR|25CDMG|3RCR|45FEWX|5BPWR|6CGEN|7VULN|8ZMB|9BASARM|aASPD
81	21211 16265	   	186.41	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUR|2CDMG|3RCR|4FEWX|58AEMAG|6ERES|7ASPD|9BEXP|aBASARM
82	21231 16265	   	186.41	ACR|1BASARM|1ASPD|1BEXP|1CDMG	1DUR|2CDMG|3RCR|4LHND|58AEMAG|6ERES|7ASPD|9BEXP|aBASARM
83	21213 46432	   	186.31	ACR|1BASARM|1ASPD|2CDMG	1DUR|25CDMG|3RCR|45FEWX|5BPWR|6CGEN|7ASPD|8VULN|9BASARM|aAEFBLL
84	21214 23636	   	186.31	ACR|1BASARM|1ASPD|2CDMG	1DUR|27CDMG|3RCR|4FEWX|5ZMB|6VULN|8CGEN|9BASARM|aASPD
85	21215 42136	   	186.31	ACR|1BASARM|1ASPD|2CDMG	1DUR|25CDMG|3RCR|4FEWX|6CGEN|7VULN|8ZMB|9BASARM|aASPD
86	65215 12222	 * 	186.30	ACR|1BASARM|3VULN|1DMG	13ZMB|29aVULN|4RCR|5BASARM|6LHND|7RPLT|8DMG
87	21251 31344	 * 	186.13	ACR|3DMG|1ASPD|1CDMG|1AAC	18DUR|2CDMG|3RCR|4MDPS|57aDMG|6AAC|9ASPD
88	21251 31356	   	186.13	ACR|3DMG|1ASPD|1CDMG|1AAC	18DUR|2CDMG|3RCR|4MDPS|579DMG|6AAC|aASPD
89	21251 31513	   	186.13	ACR|3DMG|1ASPD|1CDMG|1AAC	19DUR|2CDMG|3RCR|4MDPS|579DMG|6AAC|89TLV|9BPWR|aASPD
90	21251 31613	   	186.13	ACR|3DMG|1ASPD|1CDMG|1AAC	19DUR|2CDMG|3RCR|4MDPS|579DMG|6AAC|89AME|9BPWR|aASPD
91	31343 34116	   	185.88	ACR|2ASPD|1DMG|2CDMG|1BEXP|1AART	1AART|26CDMG|38ASPD|4MLV|5RCR|7DMG|9DUR|aBEXP
92	31343 36312	   	185.88	ACR|2DMG|1ASPD|2CDMG|1BEXP|1AART	1AART|26CDMG|3ASPD|4MLV|5RCR|7BEXP|8DUR|9aDMG
93	31343 36412	   	185.88	ACR|2DMG|1ASPD|2CDMG|1BEXP|1AART	1AART|26CDMG|3ASPD|4MLV|5RCR|7BEXP|8FEWX|9aDMG
94	31343 36112	   	185.78	ACR|2DMG|1ASPD|2CDMG|1BEXP|1AART	1AART|26CDMG|3ASPD|4MLV|5RCR|7BEXP|8DUST|9aDMG
95	32641 26113	   	185.64	ACR|1BASARM|2DMG|1AART	1AART|27RCVC|3RPLT|4RCR|5RMIN|6LHND|89DMG|aBASARM
96	32641 41213	   	185.64	ACR|1BASARM|2DMG|1AART	1AART|2RCVC|38RPLT|4RCR|5RMIN|69DMG|7LWND|aBASARM
97	53112 32254	   	185.64	ACR|1BASARM|2ASPD|1BEXP	137MLV|2BEXP|4RCR|5RPLT|6aASPD|8LHND|9BASARM
