0	Index      	 *	Score 	Summary	Detail	
1	65223 23336	 * 	328.66	DCR|3VULN|3MLV|2DMG|1TLV	18aVULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEBURN
32	65223 23333	   	306.42	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEBURN|aLSRICY
33	65223 23351	   	306.42	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEWIND|aERES
34	65223 23353	   	306.42	DCR|3MLV|2VULN|2DMG|1TLV	18VULN|28DMG|3TLV|4RAT|568MLV|7RCR|8BPWR|9AEWIND|aLSRICY
35	32223 26524	 * 	305.36	DCR|3MLV|2VULN|2DMG|2ASPD	17DMG|27ASPD|38VULN|4RAT|567MLV|7BPWR|9FEWX|aRCR
36	32223 23336	   	305.26	DCR|3MLV|2VULN|2DMG|2ASPD	18DMG|28ASPD|3aVULN|4RAT|568MLV|7RCR|8BPWR|9AEBURN
37	32223 26534	   	305.26	DCR|3MLV|2VULN|2DMG|2ASPD	17DMG|27ASPD|38VULN|4RAT|567MLV|7BPWR|9DUST|aRCR
38	63211 16134	 * 	305.14	DCR|3VULN|2MLV|2TLV|1AAC|1CDMG	18aVULN|2AAC|3aTLV|4CDMG|5AETHUN|6DUST|7aMLV|9RCR|aBPWR
39	64241 33311	   	303.07	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|2RAT	18VULN|23TLV|4AAC|58MLV|68RAT|7RCR|8BPWR|9DMG|aMDPS
40	64241 33312	   	303.07	DCR|2VULN|2MLV|2TLV|1DMG|1AAC|2RAT|1MSE	18VULN|23TLV|4AAC|58MLV|68RAT|7RCR|8BPWR|9DMG|aMSE
41	61211 66231	   	302.72	DCR|DCR|1VULN|1TLV|1MLV|2DUR|1CDMG	1VULN|2AME|3TLV|4CDMG|5AETHUN|68DUR|7MLV|9aRCR
42	63223 23311	   	300.78	DCR|3MLV|2VULN|1TLV|1AAC|2RAT	18VULN|2AAC|3TLV|48RAT|568MLV|7RCR|8BPWR|9CGEN|aDUR
43	63236 33311	   	300.78	DCR|3MLV|2VULN|1TLV|1AAC|2RAT	18VULN|2AAC|3TLV|458MLV|68RAT|7RCR|8BPWR|9CGEN|aDUR
44	63232 33316	   	299.40	DCR|3VULN|2TLV|1MLV|1DMG|1AAC|2RAT	18aVULN|2AAC|38TLV|4MLV|5AEFRZ|68RAT|7RCR|8BPWR|9DMG
45	63241 33316	   	299.40	DCR|3VULN|2TLV|1MLV|1DMG|1AAC|2RAT	18aVULN|2AAC|38TLV|4AEBURN|5MLV|68RAT|7RCR|8BPWR|9DMG
46	63236 33332	   	298.69	DCR|3MLV|2VULN|1TLV|3RAT|1AAC	18VULN|2AAC|3TLV|458MLV|68aRAT|7RCR|8BPWR|9AEBURN
47	63236 33352	   	298.69	DCR|3MLV|2VULN|1TLV|3RAT|1AAC	18VULN|2AAC|3TLV|458MLV|68aRAT|7RCR|8BPWR|9AEWIND
48	63223 23332	   	298.69	DCR|3MLV|2VULN|1TLV|3RAT|1AAC	18VULN|2AAC|3TLV|48aRAT|568MLV|7RCR|8BPWR|9AEBURN
49	63223 23352	   	298.69	DCR|3MLV|2VULN|1TLV|3RAT|1AAC	18VULN|2AAC|3TLV|48aRAT|568MLV|7RCR|8BPWR|9AEWIND
