0	Index      	 *	Score 	Summary	Detail	
1	11236 36612	 * 	285.94	DCR|DCR|2TLV|1VULN|1ASPD	1RMIN|29TLV|3RAT|4ASPD|5CGEN|6TBNT|7aRCR|8VULN
17	11236 36632	   	271.77	DCR|DCR|1VULN|1TLV|1ASPD	1RMIN|2TLV|3RAT|4ASPD|5CGEN|6TBNT|7aRCR|8VULN|9DMSP
18	11236 56312	   	271.77	DCR|DCR|1VULN|1TLV|1ASPD	1RMIN|2TLV|3RAT|4ASPD|58CGEN|6BBNT|7aRCR|9VULN
19	22234 46312	   	271.57	DCR|DCR|1VULN|1TLV|1ASPD	12DUST|3RAT|4ASPD|5BBNT|6TLV|7aRCR|8DMSP|9VULN
20	32123 33353	 * 	270.76	DCR|DCR|1VULN|1MLV|1DMG	1DUR|2DUST|3ERES|4MDPS|5VULN|68RCR|7BBNT|9DMG|aMLV
21	43533 16323	   	269.66	DCR|DCR|2VULN|1AAC	1FEWX|2BELT|3ERES|4AART|58VULN|6AAC|7aRCR|9LHND
22	43533 16333	   	269.66	DCR|DCR|2VULN|1AAC	1FEWX|2BELT|3ERES|4AART|58VULN|6AAC|7aRCR|9LWND
23	22141 42612	   	269.29	DCR|DCR|1VULN|1MLV|1DMG	12DUST|3DMG|4MDPS|5BEXP|6MLV|7aRCR|8RAT|9VULN
24	13336 32255	   	266.14	DCR|DCR|1VULN|1AAC|1ASPD	1RMIN|2LHND|3DUR|4BEXP|5VULN|6AAC|7aRCR|8ASPD|9AART
25	12316 32255	   	266.04	DCR|DCR|1VULN|1AAC|1ASPD	1RMIN|2BEXP|3DUR|4LEGI|5VULN|6AAC|7aRCR|8ASPD|9AART
26	31136 32255	   	266.04	DCR|DCR|1VULN|1AAC|1ASPD	1DUR|2LHND|3ERES|4BEXP|5VULN|6AAC|7aRCR|8ASPD|9AART
27	36133 32255	   	266.04	DCR|DCR|1VULN|1AAC|1ASPD	1DUR|2AAC|3VULN|4BEXP|5ERES|6FEWX|7aRCR|8ASPD|9AART
28	36133 12255	   	265.94	DCR|DCR|1VULN|1AAC|1ASPD	1DUR|2AAC|3VULN|4BEXP|5ERES|6LEGI|7aRCR|8ASPD|9AART
29	36126 33532	 * 	265.40	DCR|2MLV|2TLV|1VULN|2AAC	1DUR|26AAC|3VULN|45TLV|7RPLT|89MLV|aRCR
30	46233 52331	   	265.27	DCR|DCR|1VULN|1TLV|1AAC	1FEWX|2AAC|3TLV|4AEWIND|5LIT|69RCR|7BASARM|8CGEN|aVULN
31	23216 52331	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	14DUST|2LIT|3TLV|5AAC|69RCR|7BASARM|8CGEN|aVULN
32	26233 52331	   	265.17	DCR|DCR|1VULN|1TLV|1AAC	1DUST|2AAC|3TLV|4AEWIND|5LIT|69RCR|7BASARM|8CGEN|aVULN
33	11436 12613	   	265.09	DCR|DCR|1VULN|1TLV	1RMIN|2TLV|3AART|4DUR|5VULN|6aRCR|7FRZFST|8BBNT|9CGEN
34	11436 12633	   	265.09	DCR|DCR|1VULN|1TLV	1RMIN|2TLV|3AART|4DUR|5VULN|6aRCR|7FRZFST|8BBNT|9FEWX
35	23216 52413	   	264.93	DCR|DCR|1VULN|1TLV|1AAC|1SELL	14DUST|2LIT|3TLV|5AAC|6aRCR|7BASARM|8SELL|9VULN
36	26233 52413	   	264.93	DCR|DCR|1VULN|1TLV|1AAC|1SELL	1DUST|2AAC|3TLV|4AEWIND|5LIT|6aRCR|7BASARM|8SELL|9VULN
37	36112 53532	 * 	264.21	DCR|2VULN|2MLV|1TLV|1AAC	1DUR|2AAC|35VULN|4DMSP|6TLV|7RPLT|89MLV|aRCR
38	23311 61313	 * 	263.84	DCR|2VULN|2MLV|1DMG|2CDMG|1AAC	1aDUST|2LIT|3aCDMG|4DMG|58MLV|6AAC|7RCR|9aVULN|aBPWR
39	23311 61563	   	263.84	DCR|2VULN|2MLV|1DMG|2CDMG|1AAC	1aDUST|2LIT|3aCDMG|4DMG|59MLV|6AAC|7RCR|8aVULN|aBPWR
40	11236 36412	 * 	262.92	DCR|DCR|1TLV|1MLV|1ASPD	1RMIN|2TLV|3RAT|4ASPD|5CGEN|6TBNT|7aRCR|8MLV|9ERES
41	36232 32621	 * 	262.74	ACR|DCR|3AAC|1VULN|1TLV	1DUR|268AAC|3TLV|4AEWIND|59RCR|7CGEN|aVULN
42	36232 31621	   	262.64	ACR|DCR|3AAC|1VULN|1TLV	1DUR|268AAC|3TLV|4AEWIND|59RCR|7ERES|aVULN
43	11531 35821	   	262.41	DCR|DCR|2TLV|1VULN|1SELL	1RMIN|26TLV|3RPLT|4FEWX|5MBVNT|7SELL|89RCR|aVULN
44	11521 35821	   	262.31	DCR|DCR|2TLV|1VULN|1SELL	1RMIN|26TLV|3RPLT|4BEXP|5MBVNT|7SELL|89RCR|aVULN
45	32123 33356	 * 	262.14	DCR|DCR|2DMG|1VULN	1DUR|2DUST|3ERES|4MDPS|5VULN|68RCR|7BBNT|9aDMG
46	22253 46112	   	261.93	DCR|DCR|1VULN|1TLV|2RAT	12DUST|38RAT|4BBNT|5ZMB|6TLV|7aRCR|9VULN
47	63353 33362	   	261.83	DCR|DCR|1VULN|1TLV|1CDMG	13AEPOI|235ERES|3BPWR|4TLV|68RCR|7TBNT|9VULN|aCDMG
48	23356 52331	   	261.78	DCR|DCR|1VULN|1TLV|1CDMG|1SELL	1DUST|2LIT|3CDMG|4TLV|5SELL|69RCR|7BASARM|8CGEN|aVULN
49	43222 53315	   	261.25	DCR|DCR|2VULN|1AAC	1FEWX|2BELT|3MBVNT|46VULN|5ZMB|7MDPS|8aRCR|9AAC
50	12622 66321	   	260.28	DCR|DCR|1VULN|1DMG|1AAC	1RMIN|2BEXP|3RAT|4ZMB|5DMG|6VULN|79RCR|8AAC|aRCVC
51	12622 66322	   	260.28	DCR|DCR|1VULN|1DMG|1AAC	1RMIN|2BEXP|3RAT|4ZMB|5DMG|6VULN|79RCR|8AAC|aTBNT
52	14622 36321	   	260.28	DCR|DCR|1VULN|1DMG|1AAC	1RMIN|2VULN|3RAT|4ZMB|5DMG|6BEXP|79RCR|8AAC|aRCVC
53	14622 36322	   	260.28	DCR|DCR|1VULN|1DMG|1AAC	1RMIN|2VULN|3RAT|4ZMB|5DMG|6BEXP|79RCR|8AAC|aTBNT
54	12622 66323	   	260.18	DCR|DCR|1VULN|1DMG|1AAC	1RMIN|2BEXP|3RAT|4ZMB|5DMG|6VULN|79RCR|8AAC|aMDPS
55	14622 36323	   	260.18	DCR|DCR|1VULN|1DMG|1AAC	1RMIN|2VULN|3RAT|4ZMB|5DMG|6BEXP|79RCR|8AAC|aMDPS
56	33123 31242	   	259.61	DCR|DCR|2VULN	1DUR|2FEWX|3ERES|4MDPS|59VULN|6aRCR|7ZMB|8RAT
57	43363 13314	   	259.58	DCR|DCR|1VULN|1MLV|1AAC	1FEWX|2BELT|3LHND|4BBNT|5LIT|6VULN|7aRCR|8AAC|9MLV
58	32123 31242	   	259.51	DCR|DCR|2VULN	1DUR|2DUST|3ERES|4MDPS|59VULN|6aRCR|7ZMB|8RAT
59	34123 31242	   	259.51	DCR|DCR|2VULN	1DUR|2BEXP|3ERES|4MDPS|59VULN|6aRCR|7ZMB|8RAT
60	14246 33332	   	259.24	DCR|DCR|1VULN|1MLV|1AAC|1SELL	1RMIN|2VULN|3TBNT|4ERES|5MLV|68RCR|7BBNT|9SELL|aAAC
61	36233 52333	 * 	258.69	DCR|DCR|1TLV|1DMG|1AAC	1DUR|2AAC|3TLV|4AEWIND|5LIT|69RCR|7BASARM|8CGEN|aDMG
62	43221 43715	   	257.73	DCR|DCR|1VULN|1AAC|1ASPD	1FEWX|2BELT|3MBVNT|4VULN|5BEXP|6aRCR|7DUR|8ASPD|9AAC
63	11234 66122	   	257.60	DCR|DCR|2TLV|1ASPD|2RAT	1RMIN|29TLV|39RAT|4ASPD|5BBNT|6CGEN|7aRCR|89DUST|9BPWR
64	11236 36122	   	257.60	DCR|DCR|2TLV|1ASPD|2RAT	1RMIN|29TLV|39RAT|4ASPD|5CGEN|6TBNT|7aRCR|89DUST|9BPWR
65	11236 56122	   	257.60	DCR|DCR|2TLV|1ASPD|2RAT	1RMIN|29TLV|39RAT|4ASPD|5CGEN|6BBNT|7aRCR|89DUST|9BPWR
66	62312 35342	 * 	256.74	DCR|3DMG|1VULN|1TLV|1MLV|1AAC	13AEPOI|23aDMG|3BPWR|4AAC|5VULN|6AEFRZ|7MLV|8RCR|9TLV
67	11132 53436	 * 	256.74	DCR|2VULN|1TLV|1MLV|1DMG|1CDMG	1RMIN|2TLV|3DMG|4DUR|58VULN|6MLV|7CDMG|9BEXP|aRCR
68	64241 13323	   	256.58	DCR|DCR|1VULN|1TLV	1AEPOI|2AART|3BLAICY|4TBNT|5TLV|6FEWX|7aRCR|8VULN|9DUST
69	11222 36462	 * 	256.57	DCR|3VULN|2DMG|1TLV	1RMIN|2TLV|3RAT|49aVULN|58DMG|6BEXP|7RCR
70	14246 33322	   	256.24	DCR|DCR|1VULN|1MLV|1CDMG	1RMIN|2VULN|3TBNT|4ERES|5MLV|68RCR|7BBNT|9LWND|aCDMG
