0	Index      	 *	Score 	Summary	Detail	
1	21344 11174	 * 	358.54	DCR|2VULN|1MDPS|1CDMG|1DUR	1MLV|2DUR|3ZMB|45VULN|6LWND|7MBVNT|8RCR|9CDMG|aMDPS
15	21245 21212	   	335.88	2MDPS|2VULN|3DUR	13MLV|235DUR|3BPWR|47VULN|6LWND|89MDPS|aFEWX
16	21245 21213	   	335.88	2MDPS|2VULN|3DUR	13MLV|235DUR|3BPWR|47VULN|6LWND|89MDPS|aLSRICY
17	21245 21214	 * 	335.88	2MDPS|3VULN|3DUR	13MLV|235DUR|3BPWR|47aVULN|6LWND|89MDPS
18	21245 21215	   	335.88	2MDPS|2VULN|3DUR	13MLV|235DUR|3BPWR|47VULN|6LWND|89MDPS|aLSRREG
19	21245 21216	   	335.88	2MDPS|2VULN|3DUR	13MLV|235DUR|3BPWR|47VULN|6LWND|89MDPS|aBEXP
20	21615 36232	 * 	334.24	ACR|2VULN|1MDPS|2TLV|1DUR	1MLV|2DUR|3LIT|4RCR|56TLV|78VULN|9ASPD|aMDPS
21	21444 11122	   	331.14	DCR|2VULN|1MDPS|1DUR	1MLV|2DUR|3RMIN|45VULN|6LWND|7MBVNT|8RCR|9CGEN|aMDPS
22	21444 31122	   	331.14	DCR|2VULN|1MDPS|1DUR	1MLV|2DUR|3RMIN|45VULN|6FEWX|7MBVNT|8RCR|9CGEN|aMDPS
23	35421 23163	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|2TBNT|3CGEN|45VULN|6RCVC|7RCR|8RAT|9DUR|aMDPS
24	35421 33163	   	331.14	DCR|2VULN|1MDPS|1DUR	16LHND|2TBNT|3CGEN|45VULN|7RCR|8RAT|9DUR|aMDPS
25	36421 23163	   	331.14	DCR|2VULN|1MDPS|1DUR	1LHND|2BBNT|3CGEN|45VULN|6RCVC|7RCR|8RAT|9DUR|aMDPS
26	36421 33163	   	331.14	DCR|2VULN|1MDPS|1DUR	16LHND|2BBNT|3CGEN|45VULN|7RCR|8RAT|9DUR|aMDPS
27	12223 74454	   	330.70	DCR|2VULN|1MDPS|1DUR|1SELL	1SELL|2MBVNT|34DUST|59VULN|6LWND|7RCR|8DUR|aMDPS
28	12743 21651	 * 	330.65	ACR|2VULN|1MDPS|2CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|48CDMG|5DUR|68AEFBLL|78VULN|8BPWR|9MDPS|aRAT
29	12743 21652	 * 	330.65	ACR|2VULN|1MDPS|2CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|48CDMG|5DUR|68AEFBLL|78VULN|8BPWR|9MDPS|aERES
30	12743 21653	 * 	330.65	ACR|2VULN|1MDPS|2CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|48CDMG|5DUR|68AEFBLL|78VULN|8BPWR|9MDPS|aDUST
31	12743 21654	 * 	330.65	ACR|2VULN|1MDPS|2CDMG|1DUR|1SELL	1SELL|2MBVNT|3RCR|48CDMG|5DUR|68AEFBLL|78VULN|8BPWR|9MDPS|aFEWX
32	12733 13244	 * 	330.32	ACR|2MDPS|1VULN|2DUR|1SELL	1SELL|2MBVNT|3RCR|4LHND|57DUR|6LWND|8VULN|9aMDPS
33	33354 14213	 * 	329.88	DCR|1MDPS|1VULN|2DUR|1TLV|1AART	1LHND|2CGEN|3ZMB|46DUR|5VULN|7AART|8RCR|9TLV|aMDPS
