0	Index      	 *	Score 	Summary	Detail	
1	62211 35242	 * 	357.98	DCR|3VULN|1MDPS|2TLV|1CDMG|2DUR	1aDUST|2MDPS|3aDUR|4CDMG|58TLV|69aVULN|7RCR|aBPWR
13	26222 35313	   	331.24	DCR|2VULN|1MDPS|1DUR	1VENTOX|2BELT|34VULN|5LIT|6AAC|7RCVC|8RCR|9DUR|aMDPS
14	11615 33322	   	331.20	ACR|2VULN|1MDPS|2CDMG|1DUR	127BEXP|3CANARM|47VULN|5RCR|67CDMG|7BPWR|8MLV|9DUR|aMDPS
15	56222 35313	   	331.14	DCR|2VULN|1MDPS|1DUR	1SPLARM|2BELT|34VULN|5LIT|6AAC|7RCVC|8RCR|9DUR|aMDPS
16	33325 51224	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	12ERES|3TLV|4VULN|5DUR|6RCVC|7RCR|8LIT|9CDMG|aMDPS
17	36325 11224	   	330.98	DCR|1MDPS|1VULN|1CDMG|1TLV|1DUR	16ERES|2RCVC|3TLV|4VULN|5DUR|7RCR|8LIT|9CDMG|aMDPS
18	12566 31232	   	330.94	DCR|2VULN|1MDPS|1DUR	1BEXP|2LIT|3AETHUN|49VULN|5DUR|6ASPD|7RCR|8TBNT|aMDPS
19	21336 22436	   	330.90	DCR|2VULN|1MDPS|1DUR|1SELL	1VENTOX|2CGEN|3RPLT|48VULN|5TBNT|6DUR|7SELL|9RCR|aMDPS
20	14142 22324	 * 	330.00	ACR|2VULN|1MDPS|2DUR|1TLV	17BEXP|2TLV|3LEGI|4RCR|57DUR|67VULN|7BPWR|8RAT|9LIT|aMDPS
21	14142 22124	   	329.90	ACR|2VULN|1MDPS|2DUR|1TLV	17BEXP|2TLV|3LEGI|4RCR|57DUR|67VULN|7BPWR|8ZMB|9BBNT|aMDPS
22	14551 21211	   	328.84	DCR|3VULN|1CDMG|1TLV|1DUR	15BEXP|2TLV|3MLV|456VULN|5BPWR|7RCR|8CDMG|9FEWX|aDUR
23	14551 21221	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	15BEXP|2TLV|3MLV|456VULN|5BPWR|7RCR|8CDMG|9DUST|aDUR
24	14551 21231	   	328.74	DCR|3VULN|1CDMG|1TLV|1DUR	15BEXP|2TLV|3MLV|456VULN|5BPWR|7RCR|8CDMG|9AETHUN|aDUR
25	25411 31233	   	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1VENTOX|2RCVC|3DUR|469VULN|5FEWX|7TLV|8CDMG|aMDPS
26	25412 23233	   	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1VENTOX|2RCVC|3DUR|459VULN|6TLV|7FEWX|8CDMG|aMDPS
27	25452 31233	   	328.74	3VULN|1MDPS|1CDMG|1TLV|1DUR	1VENTOX|2RCVC|3DUR|4BEXP|569VULN|7TLV|8CDMG|aMDPS
28	25412 21214	   	328.64	DCR|3VULN|1CDMG|1TLV|1DUR	1VENTOX|2RCVC|3DUR|458VULN|6TLV|7ERES|9RCR|aCDMG
29	55412 23233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1SPLARM|2RCVC|3DUR|459VULN|6TLV|7FEWX|8CDMG|aMDPS
30	11612 25233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	12BEXP|3CANARM|459VULN|6TLV|7DUR|8CDMG|aMDPS
31	11616 31233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	12BEXP|3CANARM|469VULN|5DUR|7TLV|8CDMG|aMDPS
32	16612 25233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2RCVC|3CANARM|459VULN|6TLV|7DUR|8CDMG|aMDPS
33	16616 31233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1BEXP|2RCVC|3CANARM|469VULN|5DUR|7TLV|8CDMG|aMDPS
34	25462 31233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1VENTOX|2RCVC|3DUR|4DUST|569VULN|7TLV|8CDMG|aMDPS
35	55411 31233	   	328.64	3VULN|1MDPS|1CDMG|1TLV|1DUR	1SPLARM|2RCVC|3DUR|469VULN|5FEWX|7TLV|8CDMG|aMDPS
36	32552 12333	   	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1ERES|2LSRHEA|3DUR|4TLV|569VULN|7CDMG|8AAC|aMDPS
37	32552 15233	   	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1ERES|2LSRHEA|3DUR|4TLV|569VULN|7AAC|8CDMG|aMDPS
38	35616 11233	   	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1ERES|2ZMB|3FRZFST|469VULN|5DUR|7TLV|8CDMG|aMDPS
39	35612 25233	   	328.54	3VULN|1MDPS|1CDMG|1TLV|1DUR	1ERES|2ZMB|3FRZFST|459VULN|6TLV|7DUR|8CDMG|aMDPS
